,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6121467,53701000,1005078,Оренбургская область,80,48651.04,24620.9,19.03.2019,Благоустройство,7160.2,"1668,38000",3.438577134716908,0.4939285984431165
6121348,53701000,1005071,Оренбургская область,80,48523.72,24620.9,19.03.2019,Благоустройство,5261.5,"1668,36000",4.6794450251829325,0.4926007321779946
6099528,53701000,1002947,Оренбургская область,80,16168.91,16168.91,24.01.2019,Благоустройство,3422.0,"5642,34000",4.724988310929281,0.0
6099514,53701000,1002946,Оренбургская область,80,22599.79,22599.79,24.01.2019,Благоустройство,3471.2,"5648,71000",6.510656257202121,0.0
6116592,53701000,1004605,Оренбургская область,80,51802.0,51802.0,24.01.2019,Благоустройство,7456.3,"4390,77000",6.947413596555933,0.0
6108162,53701000,1003778,Оренбургская область,80,80718.57,53360.85,19.03.2019,Благоустройство,5407.4,"7146,82000",9.868115915227282,0.3389272134033099
6111814,53701000,1004148,Оренбургская область,80,45155.96,26630.12,18.03.2019,Благоустройство,2440.6,"1751,47000",10.911300499877079,0.41026345138050435
6120634,53701000,1005002,Оренбургская область,80,80263.94,58781.06,18.03.2019,Благоустройство,5084.4,"3496,42000",11.561061285500747,0.26765294601785067
6120770,53701000,1005011,Оренбургская область,80,80246.5,58781.06,20.03.2019,Благоустройство,4933.6,"3496,42000",11.914435706178043,0.26749378477566005
6108346,53701000,1003801,Оренбургская область,80,279322.39,286968.25,18.03.2019,Благоустройство,23887.4,"14759,85000",12.013373159071309,-0.027372886219396826
6122370,53701000,1005172,Оренбургская область,80,248728.42,254825.37,18.03.2019,Благоустройство,20943.5,"12227,89000",12.167277198176045,-0.024512478308670888
6122291,53701000,1005165,Оренбургская область,80,115052.9,101185.26,18.03.2019,Благоустройство,7365.0,"5242,11000",13.738663951120163,0.1205327288577689
6122502,53701000,1005180,Оренбургская область,80,146658.07,153741.29,18.03.2019,Благоустройство,10926.4,"7398,61000",14.070626189778885,-0.04829751271102914
6120642,53701000,1005003,Оренбургская область,80,180366.86,185910.68,18.03.2019,Благоустройство,12706.2,"8742,78000",14.631493286741904,-0.030736355891542423
6111246,53701000,1004075,Оренбургская область,80,37970.78,37970.78,19.03.2019,Благоустройство,2041.1,"2405,78000",18.603096369604625,0.0
6121357,53701000,1005072,Оренбургская область,80,306330.98,306330.98,25.01.2018,Благоустройство,8487.7,"3736,50000",36.09116486209456,0.0
6163305,53653000,1008865,Оренбургская область,80,174430.57,174430.57,11.04.2018,Благоустройство,3786.7,"5234,79000",46.06400559854227,0.0
6109888,53701000,1003950,Оренбургская область,80,600000.0,450020.53,,Благоустройство,9528.2,"10521,36000",47.23038244369346,0.24996578333333327
6105474,53701000,1003497,Оренбургская область,80,477095.53,477095.53,08.05.2018,Благоустройство,5314.5,"4009,48000",89.77242073572303,0.0
6138496,53723000,1006701,Оренбургская область,80,524232.79,524232.79,25.04.2018,Благоустройство,4579.3,"3583,48000",114.47880462079357,0.0
6125533,53723000,1005427,Оренбургская область,80,417960.36,417960.36,05.09.2018,Благоустройство,3385.7,"2232,54000",123.44872847564758,0.0
6105317,53701000,1003485,Оренбургская область,80,756641.66,756641.66,28.05.2018,Благоустройство,4443.2,"2904,96000",170.29205527547714,0.0
6097200,53701000,1002465,Оренбургская область,80,704782.17,464433.29,,Благоустройство,932.3,"942,81000",498.15862919661055,0.3410257668692158
