,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2420473,63602000,6360200016198236,Саратовская область,72,,,,Благоустройство,851.1,"0,00000",,
2420487,63602000,6360200016198237,Саратовская область,72,,,,Благоустройство,849.3,"0,00000",,
2420497,63602000,6360200016198444,Саратовская область,72,,,,Благоустройство,1215.0,"0,00000",,
2420509,63602000,6360200016198445,Саратовская область,72,,,,Благоустройство,1741.81,"0,00000",,
2420518,63602000,6360200016198446,Саратовская область,72,,,,Благоустройство,1809.7,"0,00000",,
2420539,63602000,6360200016198449,Саратовская область,72,,,,Благоустройство,681.3,"0,00000",,
2420541,63602000,6360200016198450,Саратовская область,72,,,,Благоустройство,702.0,"0,00000",,
2420552,63602000,6360200016198451,Саратовская область,72,,,,Благоустройство,921.4,"0,00000",,
2420574,63602000,6360200016198453,Саратовская область,72,,,,Благоустройство,1092.0,"0,00000",,
2420587,63602000,6360200016198456,Саратовская область,72,,,,Благоустройство,1684.9,"0,00000",,
2420592,63602000,6360200018610615,Саратовская область,72,,,,Благоустройство,3579.74,"0,00000",,
2420606,63602000,6360200016198458,Саратовская область,72,,,,Благоустройство,1274.35,"0,00000",,
2420621,63602000,6360200016198459,Саратовская область,72,,,,Благоустройство,1727.0,"0,00000",,
2420623,63602000,6360200016198460,Саратовская область,72,,,,Благоустройство,1295.2,"0,00000",,
2420637,63602000,6360200016198461,Саратовская область,72,,,,Благоустройство,1142.13,"0,00000",,
2420655,63602000,6360200016198464,Саратовская область,72,,,,Благоустройство,1311.41,"0,00000",,
2420661,63602000,6360200016198465,Саратовская область,72,,,,Благоустройство,1795.03,"0,00000",,
2420676,63602000,6360200014192988,Саратовская область,72,,,,Благоустройство,2079.6,"0,00000",,
2420687,63602000,6360200010440978,Саратовская область,72,,,,Благоустройство,5558.7,"0,00000",,
2420692,63602000,6360200010440979,Саратовская область,72,,,,Благоустройство,5306.7,"0,00000",,
2420705,63602000,6360200010440986,Саратовская область,72,,,,Благоустройство,2101.4,"0,00000",,
2420718,63602000,6360200010440990,Саратовская область,72,,,,Благоустройство,9084.8,"0,00000",,
2420733,63602000,6360200018610616,Саратовская область,72,,,,Благоустройство,3012.6,"0,00000",,
2420747,63602000,6360200010440992,Саратовская область,72,,,,Благоустройство,1863.2,"0,00000",,
2420752,63602000,6360200010440993,Саратовская область,72,,,,Благоустройство,5597.0,"0,00000",,
2420774,63602000,6360200010440995,Саратовская область,72,,,,Благоустройство,1637.6,"0,00000",,
2420775,63602000,636020004141775,Саратовская область,72,,,,Благоустройство,8521.8,"0,00000",,
2420787,63602000,6360200014192653,Саратовская область,72,,,,Благоустройство,455.9,"0,00000",,
2420802,63602000,6360200014192654,Саратовская область,72,,,,Благоустройство,639.4,"0,00000",,
2420809,63602000,636020004141760,Саратовская область,72,,,,Благоустройство,1603.8,"0,00000",,
2420828,63602000,636020004141762,Саратовская область,72,,,,Благоустройство,1297.6,"0,00000",,
2420841,63602000,636020004141766,Саратовская область,72,,,,Благоустройство,1643.2,"0,00000",,
2420854,63602000,636020004141770,Саратовская область,72,,,,Благоустройство,1028.6,"0,00000",,
2420938,63603000,6360300018610860,Саратовская область,72,,,,Благоустройство,1475.7,"0,00000",,
2424387,63607000,636070008905097,Саратовская область,72,,,,Благоустройство,10140.1,"0,00000",,
2424487,63607000,6360700012654399,Саратовская область,72,,,,Благоустройство,6602.43,"970,02608",,
2424506,63607000,6360700012654401,Саратовская область,72,,,,Благоустройство,7426.42,"0,00000",,
2424564,63607000,6360700012658305,Саратовская область,72,,,,Благоустройство,3031.01,"0,00000",,
2424572,63607000,6360700012658306,Саратовская область,72,,,,Благоустройство,6041.0,"0,00000",,
2424582,63607000,6360700012658307,Саратовская область,72,,,,Благоустройство,7507.4,"0,00000",,
2424598,63607000,6360700012658309,Саратовская область,72,,,,Благоустройство,4774.8,"215,15280",,
2424633,63607000,6360700012658312,Саратовская область,72,,,,Благоустройство,7488.2,"0,00000",,
2424646,63607000,6360700012658316,Саратовская область,72,,,,Благоустройство,5761.9,"0,00000",,
2424660,63607000,6360700012658317,Саратовская область,72,,,,Благоустройство,5011.8,"0,00000",,
2424678,63607000,6360700012658320,Саратовская область,72,,,,Благоустройство,14783.4,"0,00000",,
2424690,63607000,6360700012658321,Саратовская область,72,,,,Благоустройство,7503.5,"0,00000",,
2424714,63607000,6360700012658323,Саратовская область,72,,,,Благоустройство,4955.9,"0,00000",,
2424728,63607000,6360700012658325,Саратовская область,72,,,,Благоустройство,6442.6,"0,00000",,
2424734,63607000,6360700012658327,Саратовская область,72,,,,Благоустройство,4998.4,"0,00000",,
2424744,63607000,6360700012658329,Саратовская область,72,,,,Благоустройство,4661.5,"0,00000",,
2424755,63607000,6360700012658331,Саратовская область,72,,,,Благоустройство,5771.0,"0,00000",,
2424780,63607000,6360700012658333,Саратовская область,72,,,,Благоустройство,7238.64,"1064,08251",,
2424788,63607000,6360700012658334,Саратовская область,72,,,,Благоустройство,4617.4,"0,00000",,
2424803,63607000,6360700012658336,Саратовская область,72,,,,Благоустройство,4926.1,"0,00000",,
2424805,63607000,6360700012658338,Саратовская область,72,,,,Благоустройство,9652.0,"0,00000",,
2424826,63607000,6360700012658340,Саратовская область,72,,,,Благоустройство,5052.5,"0,00000",,
2424853,63607000,6360700012658344,Саратовская область,72,,,,Благоустройство,7515.0,"0,00000",,
2424869,63607000,6360700012658346,Саратовская область,72,,,,Благоустройство,10787.87,"0,00000",,
2424894,63607000,6360700012658348,Саратовская область,72,,,,Благоустройство,8198.51,"0,00000",,
2424896,63607000,6360700012658349,Саратовская область,72,,,,Благоустройство,3843.57,"0,00000",,
2424914,63607000,6360700012658350,Саратовская область,72,,,,Благоустройство,8448.13,"0,00000",,
2424936,63607000,6360700012658351,Саратовская область,72,,,,Благоустройство,7526.1,"0,00000",,
2424957,63607000,6360700012658355,Саратовская область,72,,,,Благоустройство,7526.1,"0,00000",,
2424977,63607000,6360700012658358,Саратовская область,72,,,,Благоустройство,8030.7,"0,00000",,
2424983,63607000,6360700012658359,Саратовская область,72,,,,Благоустройство,7529.9,"0,00000",,
2425003,63607000,6360700012658360,Саратовская область,72,,,,Благоустройство,5002.2,"0,00000",,
2425016,63607000,6360700012658362,Саратовская область,72,,,,Благоустройство,5014.0,"0,00000",,
2425024,63607000,6360700012658363,Саратовская область,72,,,,Благоустройство,7512.1,"0,00000",,
2425054,63607000,6360700012658367,Саратовская область,72,,,,Благоустройство,8172.75,"0,00000",,
2425077,63607000,6360700012658368,Саратовская область,72,,,,Благоустройство,7238.64,"0,00000",,
2425091,63607000,6360700012658369,Саратовская область,72,,,,Благоустройство,2437.4,"0,00000",,
2425101,63607000,6360700012658372,Саратовская область,72,,,,Благоустройство,7519.8,"0,00000",,
2425119,63607000,6360700012658373,Саратовская область,72,,,,Благоустройство,2456.4,"0,00000",,
2425136,63607000,6360700012658376,Саратовская область,72,,,,Благоустройство,7527.6,"0,00000",,
2425141,63607000,6360700012658379,Саратовская область,72,,,,Благоустройство,4901.0,"0,00000",,
2425155,63607000,6360700012658382,Саратовская область,72,,,,Благоустройство,4715.8,"241,22710",,
2425174,63607000,6360700012658391,Саратовская область,72,,,,Благоустройство,7241.54,"1064,54651",,
2425178,63607000,6360700012658393,Саратовская область,72,,,,Благоустройство,3930.5,"729,74500",,
2425202,63607000,6360700012658396,Саратовская область,72,,,,Благоустройство,4921.8,"0,00000",,
2425204,63607000,6360700012658398,Саратовская область,72,,,,Благоустройство,4646.0,"0,00000",,
2425219,63607000,6360700012658400,Саратовская область,72,,,,Благоустройство,10385.45,"1538,48971",,
2425234,63607000,6360700012658404,Саратовская область,72,,,,Благоустройство,13907.55,"2050,27467",,
2425330,63607000,636070006625868,Саратовская область,72,,,,Благоустройство,16341.0,"0,00000",,
2425347,63607000,636070006625872,Саратовская область,72,,,,Благоустройство,7117.3,"0,00000",,
2425355,63607000,636070006625877,Саратовская область,72,,,,Благоустройство,1066.91,"0,00000",,
2425377,63607000,636070006625881,Саратовская область,72,,,,Благоустройство,1070.91,"54,69900",,
2425391,63607000,6360700018615403,Саратовская область,72,,,,Благоустройство,10881.2,"0,00000",,
2425495,63607000,636070006625897,Саратовская область,72,,,,Благоустройство,1928.3,"0,00000",,
2425529,63607000,636070006625905,Саратовская область,72,,,,Благоустройство,1983.03,"0,00000",,
2425664,63607000,636070006625928,Саратовская область,72,,,,Благоустройство,1074.94,"73,93100",,
2425690,63607000,636070006625931,Саратовская область,72,,,,Благоустройство,1268.1,"0,00000",,
2425790,63607000,636070006625971,Саратовская область,72,,,,Благоустройство,1080.34,"0,00000",,
2425809,63607000,6360700010646354,Саратовская область,72,,,,Благоустройство,4909.04,"0,00000",,
2425890,63607000,6360700010646384,Саратовская область,72,,,,Благоустройство,4895.8,"0,00000",,
2425903,63607000,6360700010646386,Саратовская область,72,,,,Благоустройство,10893.0,"0,00000",,
2425916,63607000,6360700010646389,Саратовская область,72,,,,Благоустройство,6255.7,"0,00000",,
2425939,63607000,6360700010646394,Саратовская область,72,,,,Благоустройство,14634.7,"0,00000",,
2426007,63607000,636070008897143,Саратовская область,72,,,,Благоустройство,4980.4,"0,00000",,
