,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3485742,73629000,100744,Ульяновская область,62,831754.46,419571.61,05.08.2016,Благоустройство,263.2,"2916,80000",1594.1170592705166,0.49555832859615806
3485458,73627000,99060,Ульяновская область,62,50000.0,197322.3,25.03.2016,Благоустройство,226.64,"1223,60000",870.6419872926226,-2.946446
3488817,73652000,98587,Ульяновская область,62,650000.0,630011.88,29.12.2017,Благоустройство,809.5,"4762,20000",778.2728597899938,0.03075095384615384
3488918,73652000,98760,Ульяновская область,62,450000.0,262929.0,29.12.2017,Благоустройство,527.3,"4672,90000",498.63265693153807,0.4157133333333333
3462143,73701000,1214,Ульяновская область,62,97869.0,347228.29,29.12.2017,Благоустройство,711.3,"3614,10000",488.16011528187823,-2.54788840184328
3468609,73701000,493,Ульяновская область,62,729300.0,1893487.47,29.05.2018,Благоустройство,4355.76,"10702,20000",434.7088613697724,-1.5963080625257096
3471599,73701000,1440,Ульяновская область,62,533600.0,1140795.04,15.11.2017,Благоустройство,2658.1,"20770,50000",429.1768706971145,-1.1379217391304348
3473053,73701000,4300,Ульяновская область,62,500000.0,1072162.02,24.04.2017,Благоустройство,2676.51,"13294,40000",400.5821087909255,-1.14432404
3485371,73627000,99061,Ульяновская область,62,150000.0,421813.12,30.08.2017,Благоустройство,1063.23,"4744,40000",396.7280080509391,-1.8120874666666666
3471602,73701000,1439,Ульяновская область,62,1335644.36,1183895.78,21.03.2019,Благоустройство,3127.2,"13502,10000",378.5801291890509,0.11361451037759787
3471614,73701000,3269,Ульяновская область,62,730000.0,999058.73,29.12.2018,Благоустройство,2698.4,"17676,10000",370.24115401719536,-0.368573602739726
3455009,73705000,90291,Ульяновская область,62,300000.0,111582.84,16.02.2017,Благоустройство,308.5,"3319,60000",361.69478119935167,0.6280572
3468789,73701000,2982,Ульяновская область,62,1368000.0,4194609.35,25.12.2018,Благоустройство,12313.72,"43752,20000",340.64517871122615,-2.06623490497076
3462539,73701000,692,Ульяновская область,62,70369.0,246076.34,17.05.2017,Благоустройство,723.08,"4239,60000",340.316894396194,-2.496942403615228
3489364,73652000,98952,Ульяновская область,62,334868.04,329949.55,,Благоустройство,998.0,"3510,50000",330.6107715430862,0.014687845397249589
3471716,73701000,3087,Ульяновская область,62,92435.0,167560.71,16.06.2017,Благоустройство,518.3,"5396,10000",323.2890410958904,-0.8127409531021799
3461976,73701000,3864,Ульяновская область,62,183982.06,180054.17,17.02.2017,Благоустройство,558.96,"3492,50000",322.1235329898383,0.021349309818576793
3452226,73604000,97580,Ульяновская область,62,291461.13,290106.43,,Благоустройство,902.58,"784,80000",321.4190764253584,0.00464796111920657
3485449,73627000,99059,Ульяновская область,62,500106.2,497781.72,,Благоустройство,1548.7,"964,00000",321.4190740621166,0.004647972770583607
3462141,73701000,683,Ульяновская область,62,89157.0,229297.89,08.12.2017,Благоустройство,714.8,"3954,70000",320.78608002238394,-1.57184393822134
3460093,73715000,99670,Ульяновская область,62,1070796.26,1063371.05,,Благоустройство,3315.98,"716,00000",320.680779136183,0.006934288321104112
3460082,73715000,99620,Ульяновская область,62,1051685.86,1044393.16,,Благоустройство,3256.8,"565,10000",320.6807786784574,0.0069342949994593145
3460363,73715000,99605,Ульяновская область,62,1087158.62,1079619.94,,Благоустройство,3366.65,"624,70000",320.680777627612,0.006934296303514722
3472996,73701000,3334,Ульяновская область,62,89088.0,139550.9,29.12.2017,Благоустройство,438.0,"4558,50000",318.6093607305936,-0.5664388020833333
3466002,73701000,4119,Ульяновская область,62,106418.0,344823.44,29.12.2017,Благоустройство,1091.74,"6602,30000",315.8475827577995,-2.2402736379183974
3466044,73701000,1441,Ульяновская область,62,320623.0,886098.39,30.03.2018,Благоустройство,2813.43,"3713,40000",314.9530608545441,-1.7636769352167498
3473266,73701000,4742,Ульяновская область,62,185549.1,142562.88,15.12.2016,Благоустройство,452.81,"1675,60000",314.84039663434993,0.23167032338071164
3472325,73701000,3963,Ульяновская область,62,167040.0,418519.25,30.03.2018,Благоустройство,1334.52,"7195,90000",313.6103243113629,-1.5055031728927204
3462543,73701000,431,Ульяновская область,62,68752.0,220778.1,21.06.2017,Благоустройство,711.28,"4326,20000",310.3954841975031,-2.2112244007447055
3467025,73701000,121,Ульяновская область,62,1240000.0,2148150.76,25.04.2017,Благоустройство,6987.11,"24471,90000",307.44481767139774,-0.7323796451612902
3480851,73701000,3006,Ульяновская область,62,88160.0,130667.42,29.12.2017,Благоустройство,427.8,"3380,97000",305.4404394576905,-0.4821622050816697
3487871,73644000,99202,Ульяновская область,62,126901.1,126311.26,22.08.2019,Благоустройство,416.5,"174,50000",303.268331332533,0.004648029055697792
3466076,73701000,1177,Ульяновская область,62,189924.54,182805.96,30.03.2017,Благоустройство,605.53,"3158,00000",301.89414232160254,0.037481096439670285
3489296,73652000,98610,Ульяновская область,62,500000.0,140910.0,29.12.2017,Благоустройство,469.7,"3155,50000",300.0,0.71818
