,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1374941,5701000,54175,Приморский край,20,2545627.37,2545627.37,10.02.2017,ИРД,164.68,"64,58000",15458.023864464416,0.0
1370452,5701000,53612,Приморский край,20,1847686.79,1847686.79,,ИРД,362.48,"0,00000",5097.348239902891,0.0
1375219,5701000,54216,Приморский край,20,220366.06,259201.74,19.05.2017,ИРД,250.7,"3226,05000",1033.9120063821301,-0.176232583184543
1425349,5723000,60563,Приморский край,20,3204291.2,3204291.2,,ИРД,3495.4,"0,00000",916.7165989586314,0.0
1374946,5701000,54176,Приморский край,20,334849.44,334849.44,,ИРД,374.79,"0,00000",893.432162010726,0.0
1375197,5701000,54192,Приморский край,20,776348.92,776348.92,,ИРД,879.29,"0,00000",882.9270434100241,0.0
1374984,5701000,54181,Приморский край,20,185662.15,185662.15,10.02.2017,ИРД,210.3,"104,70000",882.8442700903471,0.0
1375254,5701000,54223,Приморский край,20,244915.99,244915.99,13.02.2017,ИРД,305.0,"210,08000",803.0032459016393,0.0
1424489,5723000,59636,Приморский край,20,390982.58,645362.38,13.02.2017,ИРД,817.5,"5417,86000",789.4341039755352,-0.6506167103403941
1362124,5701000,56050,Приморский край,20,1136093.55,3770810.92,15.05.2017,ИРД,4899.2,"17015,57000",769.6789108425866,-2.3191024806011793
1425004,5723000,59827,Приморский край,20,188015.01,188015.01,29.12.2015,ИРД,265.6,"188,02000",707.8878388554217,0.0
1362261,5701000,56087,Приморский край,20,361082.16,436004.45,12.05.2017,ИРД,635.1,"5093,45000",686.5130688080617,-0.20749374602168116
1372257,5701000,53824,Приморский край,20,476945.6,595785.92,15.05.2017,ИРД,867.9,"6296,98000",686.4683949763798,-0.2491695488961426
1379088,5701000,54724,Приморский край,20,369576.18,579286.74,15.05.2017,ИРД,843.87,"5327,89000",686.4644317252657,-0.5674352713965495
1379164,5701000,54740,Приморский край,20,241764.25,774513.8,24.05.2017,ИРД,1128.27,"3569,79000",686.4613966515108,-2.2035911016620533
1365126,5701000,52844,Приморский край,20,322480.46,494738.35,12.05.2017,ИРД,720.71,"3612,98000",686.4596717126167,-0.5341653568715449
1372260,5701000,53825,Приморский край,20,492705.67,603917.09,15.05.2017,ИРД,879.8,"7433,17000",686.4254262332348,-0.22571573004223797
1372506,5701000,53862,Приморский край,20,208102.39,208102.39,26.02.2019,ИРД,304.4,"208,10000",683.6477989487518,0.0
1370434,5701000,53606,Приморский край,20,278762.89,170227.99,27.01.2017,ИРД,258.18,"170,23000",659.3384073127276,0.3893448658105102
1379150,5701000,54748,Приморский край,20,481269.62,627521.17,24.05.2017,ИРД,954.2,"6817,54000",657.6411339341857,-0.3038869355601545
1405278,5714000,50289,Приморский край,20,147154.81,147154.81,10.07.2015,ИРД,231.6,"2258,74000",635.3834628670121,0.0
1362891,5701000,52515,Приморский край,20,335082.61,549604.02,12.05.2017,ИРД,870.7,"5133,65000",631.2208797519237,-0.6402045453806153
1414206,5717000,58107,Приморский край,20,184132.34,184132.34,29.04.2016,ИРД,294.2,"2673,49000",625.8747110808973,0.0
1428777,5723000,59527,Приморский край,20,683673.39,683673.39,02.07.2016,ИРД,1117.4,"9628,48000",611.8430195095758,0.0
1430578,5723000,60399,Приморский край,20,322689.14,322689.14,17.10.2016,ИРД,530.85,"3893,14000",607.8725440331543,0.0
1380947,5701000,54995,Приморский край,20,621653.92,1535986.37,15.05.2017,ИРД,2592.1,"9508,89000",592.5644728212646,-1.4708062164234403
1379012,5701000,54733,Приморский край,20,282928.03,301090.17,15.05.2017,ИРД,510.8,"4267,79000",589.4482576350822,-0.06419349825466199
1383514,5701000,55352,Приморский край,20,164898.5,164898.5,20.07.2015,ИРД,282.2,"164,90000",584.3320340184267,0.0
1405297,5714000,50313,Приморский край,20,215783.24,215783.24,10.07.2015,ИРД,370.7,"215,78000",582.0966819530618,0.0
1350306,5705000,49437,Приморский край,20,428621.41,428621.41,13.12.2016,ИРД,743.8,"5883,10000",576.2589540198978,0.0
1427460,5723000,60188,Приморский край,20,181387.48,181387.48,29.12.2015,ИРД,315.9,"2337,54000",574.1927192149415,0.0
1429830,5723000,60346,Приморский край,20,252551.47,252551.47,24.08.2016,ИРД,440.0,"3720,55000",573.9806136363636,0.0
1428484,5723000,60257,Приморский край,20,509603.98,504507.94,28.03.2016,ИРД,910.0,"7512,61000",554.4043296703296,0.010000000392461572
1412628,5659000,59374,Приморский край,20,159016.02,159016.02,30.06.2015,ИРД,288.0,"159,02000",552.1389583333333,0.0
1357190,5701000,55447,Приморский край,20,228328.31,1949812.29,15.05.2017,ИРД,3539.2,"3204,76000",550.9189336573237,-7.5395117670690945
1357742,5701000,55517,Приморский край,20,671411.36,1761486.76,15.05.2017,ИРД,3214.0,"10256,75000",548.0668201617922,-1.6235581715507463
1429439,5723000,59598,Приморский край,20,389931.36,389931.36,24.08.2016,ИРД,712.72,"6129,16000",547.1031541138175,0.0
1378389,5701000,54624,Приморский край,20,2141794.16,194119.9,09.12.2016,ИРД,356.5,"2246,80000",544.5158485273492,0.9093657534298254
1425143,5723000,59852,Приморский край,20,258115.88,258115.88,02.07.2016,ИРД,474.6,"3780,65000",543.8598398651496,0.0
1362718,5701000,52493,Приморский край,20,606987.17,2037709.14,12.05.2017,ИРД,3762.7,"9270,46000",541.5550376059745,-2.357087662989647
1357854,5701000,55531,Приморский край,20,235565.11,1044212.37,15.05.2017,ИРД,1937.2,"3692,78000",539.0317829857527,-3.432797242342043
1380469,5701000,54928,Приморский край,20,214091.51,214091.51,25.05.2016,ИРД,397.5,"3361,37000",538.5949937106918,0.0
1425884,5723000,60072,Приморский край,20,221572.92,221572.92,24.08.2016,ИРД,413.7,"3508,37000",535.5883973894126,0.0
1405866,5714000,50400,Приморский край,20,645954.8,645954.8,28.07.2015,ИРД,1208.0,"4291,11000",534.7307947019868,0.0
1355373,5701000,55378,Приморский край,20,326548.31,326548.31,10.05.2016,ИРД,611.2,"5382,32000",534.2740674083769,0.0
1380002,5701000,54864,Приморский край,20,285782.05,285782.05,15.05.2017,ИРД,536.6,"4580,31000",532.5792955646664,0.0
1427856,5723000,60222,Приморский край,20,727747.18,727747.18,29.12.2015,ИРД,1369.6,"9059,71000",531.3574620327104,0.0
1365936,5701000,52941,Приморский край,20,405744.56,934532.09,12.05.2017,ИРД,1771.6,"3685,88000",527.5073888010837,-1.3032522974553251
1374563,5701000,54126,Приморский край,20,275378.67,978863.04,15.05.2017,ИРД,1870.1,"3865,18000",523.4281803112134,-2.5546073339667164
1381831,5701000,55106,Приморский край,20,78169.55,115597.69,30.05.2017,ИРД,221.7,"1225,41000",521.4149300857015,-0.47880715700678844
1381851,5701000,55109,Приморский край,20,169603.41,188325.91,30.05.2017,ИРД,361.2,"2439,93000",521.3895625692138,-0.11038987954310588
1373353,5701000,53956,Приморский край,20,111377.12,151751.95,24.05.2017,ИРД,291.07,"1680,55000",521.3589514549765,-0.3625056025869588
1373366,5701000,53959,Приморский край,20,11272.68,118655.52,30.05.2017,ИРД,227.59,"11,27000",521.3564743617909,-9.525937044252121
1381846,5701000,55108,Приморский край,20,95558.79,106244.35,30.05.2017,ИРД,203.8,"1479,06000",521.3167320902846,-0.11182184286762122
1381821,5701000,55103,Приморский край,20,11393.32,112180.13,30.05.2017,ИРД,215.2,"11,39000",521.2831319702602,-8.846131768439752
1373953,5701000,54031,Приморский край,20,184292.87,1235518.88,15.05.2017,ИРД,2396.9,"1494,50000",515.4653427343652,-5.7041056987174805
1431552,5723000,59769,Приморский край,20,214954.11,808623.32,13.02.2017,ИРД,1570.0,"3331,95000",515.0467006369427,-2.7618416321511603
1425507,5723000,60042,Приморский край,20,360982.72,1836192.99,13.02.2017,ИРД,3565.1,"5734,39000",515.0466999523155,-4.086650657405429
1425775,5723000,59880,Приморский край,20,672650.99,672650.99,,ИРД,1306.0,"4413,60000",515.0466998468606,0.0
1434357,5650000,48248,Приморский край,20,626129.95,2276506.41,11.05.2017,ИРД,4420.0,"7374,99000",515.0466990950226,-2.6358369536547492
1434627,5650000,48220,Приморский край,20,240481.37,324067.38,11.05.2017,ИРД,629.2,"2455,62000",515.046694214876,-0.3475779017725989
1429683,5723000,60334,Приморский край,20,338632.08,2244625.02,13.02.2017,ИРД,4361.5,"7246,91000",514.6451954602775,-5.628506726238104
1371463,5701000,53728,Приморский край,20,1025989.71,13063283.97,15.05.2017,ИРД,25445.6,"15257,34000",513.3808583802308,-11.732373280819749
1425010,5723000,59828,Приморский край,20,196366.22,196366.22,29.12.2015,ИРД,384.1,"2213,56000",511.23722988804997,0.0
1428310,5723000,59549,Приморский край,20,158454.6,200971.22,14.02.2017,ИРД,393.3,"2192,87000",510.98708365115687,-0.2683205157818075
1428108,5723000,60245,Приморский край,20,135024.11,135024.11,18.04.2016,ИРД,264.3,"1921,72000",510.8744230041619,0.0
1426227,5723000,60087,Приморский край,20,180239.75,275982.62,14.02.2017,ИРД,540.7,"2763,80000",510.4172739041982,-0.5311973080299989
1361455,5701000,55983,Приморский край,20,667247.47,1949272.11,15.05.2017,ИРД,3820.0,"8734,12000",510.28065706806285,-1.9213630588962745
1429399,5723000,59594,Приморский край,20,325870.96,770561.37,13.02.2017,ИРД,1511.9,"4731,19000",509.66424366690916,-1.3646211678389506
1425983,5723000,59927,Приморский край,20,125272.59,125272.59,24.08.2016,ИРД,245.8,"1822,85000",509.65252237591534,0.0
1366462,5701000,52970,Приморский край,20,124874.0,840504.71,12.05.2017,ИРД,1655.0,"1957,56000",507.85783081571,-5.730822348927719
1374550,5701000,54123,Приморский край,20,54910.21,1018974.48,15.05.2017,ИРД,2008.4,"860,79000",507.3563433578968,-17.557104043127865
1405814,5714000,50394,Приморский край,20,626074.35,626074.35,10.07.2015,ИРД,1234.0,"4512,79000",507.35360615883303,0.0
1377636,5701000,54483,Приморский край,20,366703.01,366703.01,,ИРД,723.03,"0,00000",507.17537308272136,0.0
1380954,5701000,54997,Приморский край,20,521762.46,1296836.09,15.05.2017,ИРД,2560.3,"8028,67000",506.5172401671679,-1.4854913670868541
1372933,5701000,53918,Приморский край,20,189363.39,1564660.37,15.05.2017,ИРД,3096.2,"2942,48000",505.3486112008269,-7.262739540098009
1423142,5723000,59406,Приморский край,20,193632.91,193632.91,,ИРД,383.6,"73,77000",504.77818039624606,0.0
1365491,5701000,52890,Приморский край,20,99680.45,1011551.72,12.05.2017,ИРД,2006.7,"1472,83000",504.0871679872427,-9.147944958113653
1344510,5703000,48728,Приморский край,20,330023.82,3670428.8,11.05.2017,ИРД,7297.8,"5024,09000",502.95003973800317,-10.121708729994095
1414576,5717000,57659,Приморский край,20,174154.46,174154.46,29.12.2015,ИРД,348.0,"2189,49000",500.4438505747126,0.0
1428102,5723000,60244,Приморский край,20,561734.42,2975115.76,13.02.2017,ИРД,5949.3,"10559,39000",500.0782882019733,-4.2963031177615925
1425850,5723000,59903,Приморский край,20,302207.61,1696563.83,13.02.2017,ИРД,3403.6,"6014,06000",498.46157891644145,-4.613901747874583
1427958,5723000,60234,Приморский край,20,247939.96,247939.96,29.12.2015,ИРД,498.1,"3122,25000",497.77145151575985,0.0
1405797,5714000,50392,Приморский край,20,464376.62,464376.62,28.07.2015,ИРД,940.2,"3246,95000",493.9125930653052,0.0
1359598,5701000,55749,Приморский край,20,232547.65,132309.58,27.01.2017,ИРД,267.95,"1146,93000",493.78458667661874,0.43104314320097414
1424984,5723000,59821,Приморский край,20,190429.99,190429.99,29.12.2015,ИРД,385.8,"2148,71000",493.59769310523586,0.0
1423488,5723000,59983,Приморский край,20,122161.12,129173.71,02.10.2017,ИРД,262.0,"1807,46000",493.02942748091607,-0.05740443440597148
1423537,5723000,59998,Приморский край,20,122095.3,133242.58,14.02.2017,ИРД,270.8,"1948,88000",492.03316100443124,-0.09129982890414277
1423525,5723000,60511,Приморский край,20,101006.47,111353.1,14.02.2017,ИРД,226.7,"1609,96000",491.1914424349361,-0.10243531924242086
1400410,5626000,56734,Приморский край,20,590120.27,590120.27,29.07.2016,ИРД,1202.6,"9870,68000",490.7037003159821,0.0
1423481,5723000,59978,Приморский край,20,93616.99,110941.06,08.11.2017,ИРД,226.2,"1605,36000",490.4556145004421,-0.18505262773349146
1415031,5717000,57824,Приморский край,20,247304.35,247304.35,29.12.2015,ИРД,504.4,"3701,99000",490.29411181601904,0.0
1428243,5723000,59537,Приморский край,20,516003.27,2414729.5,13.02.2017,ИРД,4963.4,"9092,67000",486.50713220776083,-3.679678677230088
1427526,5723000,60194,Приморский край,20,346731.65,2194459.47,02.10.2017,ИРД,4512.0,"6082,93000",486.3606981382979,-5.328985167636125
1423518,5723000,59993,Приморский край,20,89953.99,91884.33,14.02.2017,ИРД,189.2,"1451,54000",485.64656448202965,-0.021459192638369866
1371249,5701000,53714,Приморский край,20,78807.26,618159.05,15.05.2017,ИРД,1275.0,"1000,56000",484.83062745098044,-6.843935317634442
1362119,5701000,56049,Приморский край,20,83675.79,705974.51,12.05.2017,ИРД,1459.0,"813,86000",483.8756065798492,-7.437022345411977
1414075,5717000,58110,Приморский край,20,174937.76,174937.76,29.04.2016,ИРД,361.6,"2458,29000",483.78805309734514,0.0
1378583,5701000,54657,Приморский край,20,525462.92,1533952.59,15.05.2017,ИРД,3174.81,"1828,34000",483.16358774225864,-1.9192404099608018
1427843,5723000,60220,Приморский край,20,368981.99,2174218.14,13.02.2017,ИРД,4500.0,"5022,97000",483.1595866666667,-4.892477678924113
1365722,5701000,52916,Приморский край,20,276583.11,276583.11,23.07.2015,ИРД,572.9,"276,58000",482.77729097573746,0.0
1415104,5717000,57827,Приморский край,20,234879.18,234879.18,29.04.2016,ИРД,486.7,"3348,89000",482.5953975755085,0.0
1388283,5707000,45944,Приморский край,20,222779.59,208993.49,20.06.2019,ИРД,433.1,"208,99000",482.552505195105,0.06188223975095746
1346184,5703000,48651,Приморский край,20,373119.34,484035.74,11.05.2017,ИРД,1004.89,"5762,17000",481.68032321945685,-0.297267892894536
1380969,5701000,54998,Приморский край,20,550684.93,1232249.23,15.05.2017,ИРД,2559.4,"8182,03000",481.4601977025865,-1.2376665183120226
1388682,5707000,45906,Приморский край,20,206279.7,196402.74,20.06.2019,ИРД,409.6,"196,40000",479.498876953125,0.047881395988068724
1423248,5723000,60509,Приморский край,20,244778.7,589367.94,14.02.2017,ИРД,1229.5,"3439,43000",479.35578690524596,-1.4077582730850353
1423458,5723000,59975,Приморский край,20,139116.06,142101.38,14.02.2017,ИРД,296.9,"2169,14000",478.6169754125969,-0.021459204638199263
1427927,5723000,60231,Приморский край,20,368981.99,1794680.23,13.02.2017,ИРД,3750.0,"5777,11000",478.58139466666665,-3.8638694533573306
1418587,5617000,56857,Приморский край,20,229271.75,638966.94,11.05.2017,ИРД,1337.6,"3261,24000",477.6965759569378,-1.7869414352182507
1427584,5723000,60199,Приморский край,20,411458.16,411458.16,29.12.2015,ИРД,862.5,"5325,03000",477.05293913043477,0.0
1405807,5714000,50393,Приморский край,20,614247.93,614247.93,28.07.2015,ИРД,1290.2,"4435,81000",476.08737405053483,0.0
1424074,5723000,59386,Приморский край,20,119512.46,188970.63,13.02.2017,ИРД,397.2,"1926,14000",475.7568731117825,-0.5811793180393073
1402004,5620000,46456,Приморский край,20,131357.39,186343.9,11.05.2017,ИРД,391.7,"2055,12000",475.73117181516466,-0.41860233367913274
1431245,5723000,59729,Приморский край,20,419699.1,2315752.97,13.02.2017,ИРД,4871.7,"9101,67000",475.34802430363123,-4.517650550120313
1414123,5717000,58120,Приморский край,20,169808.36,169808.36,29.12.2015,ИРД,357.3,"2194,65000",475.2542961097117,0.0
1431721,5723000,59788,Приморский край,20,175713.63,791935.81,13.02.2017,ИРД,1672.0,"2834,72000",473.64581937799045,-3.506968582915281
1388701,5707000,45908,Приморский край,20,206245.81,195937.82,20.06.2019,ИРД,414.0,"195,94000",473.2797584541063,0.04997914866731106
1410114,5714000,51081,Приморский край,20,3479500.99,3479500.99,,ИРД,7369.0,"0,00000",472.180891572805,0.0
1372492,5701000,53861,Приморский край,20,418217.15,418217.15,30.07.2015,ИРД,886.9,"418,22000",471.5493855000564,0.0
1429924,5723000,59632,Приморский край,20,327835.68,573298.48,13.02.2017,ИРД,1215.8,"1042,42000",471.5401217305478,-0.7487372942444824
1359604,5701000,55750,Приморский край,20,352856.86,149523.6,27.01.2017,ИРД,317.7,"1852,24000",470.64400377714827,0.5762485671952077
1427548,5723000,60195,Приморский край,20,348503.03,1757184.83,13.02.2017,ИРД,3735.8,"4681,56000",470.363731998501,-4.04209340733709
1401669,5620000,48271,Приморский край,20,285136.96,568560.05,11.05.2017,ИРД,1208.9,"4276,67000",470.3118951112582,-0.9939893095584662
1414109,5717000,58117,Приморский край,20,185241.05,185241.05,31.12.2015,ИРД,394.0,"2737,72000",470.15494923857864,0.0
1426013,5723000,60077,Приморский край,20,1709904.08,1709904.08,,ИРД,3637.0,"6291,39000",470.1413472642288,0.0
1427176,5723000,59428,Приморский край,20,389796.9,389796.9,24.08.2016,ИРД,830.5,"5882,86000",469.3520770620109,0.0
1431598,5723000,89956,Приморский край,20,133093.86,180987.41,14.02.2017,ИРД,386.0,"1944,01000",468.8793005181347,-0.3598479298744512
1355446,5701000,55313,Приморский край,20,362088.17,2688816.75,15.05.2017,ИРД,5751.0,"6011,27000",467.5389932185707,-6.425861910926281
1366137,5701000,53006,Приморский край,20,104461.63,157758.8,12.05.2017,ИРД,339.6,"1574,91000",464.5429917550058,-0.5102081022476863
1427974,5723000,59497,Приморский край,20,147801.23,147801.23,29.12.2015,ИРД,319.8,"2291,00000",462.167698561601,0.0
1419352,5623000,47621,Приморский край,20,371892.39,371892.39,13.11.2015,ИРД,804.9,"5583,43000",462.0355199403653,0.0
1428260,5723000,59538,Приморский край,20,467559.39,467559.39,,ИРД,1016.2,"5425,23000",460.10567801613854,0.0
1415501,5717000,57915,Приморский край,20,224249.13,224249.13,29.12.2015,ИРД,488.1,"3292,12000",459.43275968039336,0.0
1407605,5714000,50673,Приморский край,20,512377.16,512377.16,10.07.2015,ИРД,1115.5,"3685,80000",459.3251098162259,0.0
1425971,5723000,60074,Приморский край,20,231121.36,231121.36,24.08.2016,ИРД,503.52,"3640,12000",459.0112805846838,0.0
1358447,5701000,55621,Приморский край,20,363687.78,888633.45,15.05.2017,ИРД,1949.4,"5552,24000",455.8497229916897,-1.4433965034513943
1427693,5723000,60210,Приморский край,20,548263.3,2951372.1,13.02.2017,ИРД,6481.0,"8050,32000",455.38838142262,-4.38312905496319
1427552,5723000,60196,Приморский край,20,340968.88,1836141.49,13.02.2017,ИРД,4050.0,"4695,23000",453.36826913580245,-4.38507059647203
1345565,5703000,48570,Приморский край,20,782596.83,2293039.41,11.05.2017,ИРД,5081.0,"11057,67000",451.2968726628617,-1.930039225944731
1373622,5701000,53984,Приморский край,20,220239.09,226260.02,15.05.2017,ИРД,501.4,"3187,98000",451.25652173913045,-0.027338153276968195
1424153,5723000,59994,Приморский край,20,162097.64,162097.64,02.07.2016,ИРД,360.0,"2498,27000",450.27122222222226,0.0
1427137,5723000,59425,Приморский край,20,184091.74,287705.09,13.02.2017,ИРД,641.2,"3425,05000",448.69789457267626,-0.5628354102144943
1368037,5701000,53218,Приморский край,20,251134.79,271996.16,12.05.2017,ИРД,607.3,"3742,91000",447.8777539930841,-0.08306841915451048
1381121,5701000,54987,Приморский край,20,1322794.44,1322794.44,,ИРД,2953.5,"0,00000",447.8735195530726,0.0
1361776,5701000,56017,Приморский край,20,132059.31,1912007.86,15.05.2017,ИРД,4269.1,"2172,05000",447.87141552083574,-13.47840262076184
1362068,5701000,56064,Приморский край,20,89701.72,862909.24,12.05.2017,ИРД,1926.7,"1255,52000",447.8690195671355,-8.619762475011628
1381008,5701000,55001,Приморский край,20,446320.4,1292458.19,15.05.2017,ИРД,2885.8,"6697,69000",447.8682479728324,-1.8958080114644096
1356523,5701000,53405,Приморский край,20,165176.09,339209.76,15.05.2017,ИРД,757.39,"2589,34000",447.8667001148682,-1.053625073701648
1371596,5701000,53743,Приморский край,20,919540.57,2302670.79,15.05.2017,ИРД,5141.42,"14414,96000",447.86669636014955,-1.504153557901203
1364319,5701000,52706,Приморский край,20,275322.0,4106673.36,12.05.2017,ИРД,9169.41,"6889,40000",447.8666958942833,-13.915892518578246
1365074,5701000,52837,Приморский край,20,696892.6,2271046.92,27.06.2017,ИРД,5070.81,"9351,67000",447.86669585332515,-2.2588191064161105
1371561,5701000,53740,Приморский край,20,916349.56,2306482.13,15.05.2017,ИРД,5149.93,"14364,93000",447.86669527546974,-1.517033052321212
1379023,5701000,54734,Приморский край,20,178557.67,266794.19,15.05.2017,ИРД,595.7,"2623,21000",447.8666946449555,-0.49416258623894443
1364028,5701000,52695,Приморский край,20,86173.48,1098079.56,12.05.2017,ИРД,2451.8,"1350,88000",447.86669385757403,-11.742662359695816
1362000,5701000,56044,Приморский край,20,79422.83,686042.2,12.05.2017,ИРД,1531.8,"1001,22000",447.86669277973624,-7.63784632202101
1359015,5701000,55688,Приморский край,20,254258.23,572113.87,30.05.2017,ИРД,1277.42,"3985,82000",447.8666922390443,-1.2501292091902
1366563,5701000,52982,Приморский край,20,156837.48,200868.21,12.05.2017,ИРД,448.5,"2458,62000",447.86668896321066,-0.28074112131870504
1371497,5701000,53732,Приморский край,20,144369.26,1910668.74,15.05.2017,ИРД,4266.16,"2009,64000",447.86617004519286,-12.234595370233247
1373606,5701000,53989,Приморский край,20,357405.73,639224.46,15.05.2017,ИРД,1427.27,"5307,69000",447.8651271308162,-0.7885120644260516
1370012,5701000,53527,Приморский край,20,297396.47,362850.4,15.05.2017,ИРД,810.18,"4225,61000",447.86393147201863,-0.22008980133489836
1379051,5701000,54737,Приморский край,20,171876.39,264064.44,15.05.2017,ИРД,589.61,"2570,14000",447.86289242041346,-0.536362498653829
1367153,5701000,53109,Приморский край,20,192097.35,258192.91,12.05.2017,ИРД,576.5,"2959,10000",447.8628100607112,-0.34407325244205605
1358677,5701000,55646,Приморский край,20,525519.34,1864675.07,15.05.2017,ИРД,4163.5,"8238,12000",447.86239221808574,-2.5482520395919206
1365643,5701000,52905,Приморский край,20,238018.36,1811419.24,12.05.2017,ИРД,4044.6,"3659,60000",447.8611580873263,-6.610418120686152
1357151,5701000,55444,Приморский край,20,222139.42,522205.85,15.05.2017,ИРД,1166.0,"3180,34000",447.86093481989707,-1.3508022574291403
1381155,5701000,54990,Приморский край,20,495088.22,1305334.36,15.05.2017,ИРД,2914.6,"7711,46000",447.8605503328073,-1.6365692158864136
1362845,5701000,52511,Приморский край,20,222793.45,319277.45,12.05.2017,ИРД,712.9,"3183,07000",447.8572731098331,-0.43306479611496657
1366182,5701000,53014,Приморский край,20,99806.99,171922.59,12.05.2017,ИРД,383.9,"1564,60000",447.8317009637927,-0.7225505949032226
1414064,5717000,57584,Приморский край,20,190613.05,190613.05,29.12.2015,ИРД,426.9,"2760,83000",446.505153431717,0.0
1391947,5708000,45998,Приморский край,20,171402.91,171402.91,20.05.2015,ИРД,383.9,"3045,77000",446.4780151081011,0.0
1350845,5705000,49510,Приморский край,20,483215.76,483215.76,18.04.2016,ИРД,1084.1,"9849,78000",445.72987731759065,0.0
1365538,5701000,52893,Приморский край,20,139763.82,1005937.71,19.05.2017,ИРД,2258.1,"2190,97000",445.4796997475754,-6.197411390158052
1376558,5701000,54385,Приморский край,20,101952.54,990846.84,15.05.2017,ИРД,2233.6,"3571,63000",443.60979584527223,-8.7187067629703
1387998,5707000,45588,Приморский край,20,248110.23,242358.4,09.07.2019,ИРД,546.4,"242,36000",443.5549048316252,0.023182558816700206
