,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5082098,86604000,100319,Республика Карелия,21,0.0,0.0,,ИРД,151.3,,0.0,
5130065,86701000,1801990,Республика Карелия,21,0.0,0.0,,ИРД,2791.4,,0.0,
5130066,86701000,1801991,Республика Карелия,21,0.0,0.0,,ИРД,2680.8,,0.0,
5130067,86701000,1801991,Республика Карелия,20,0.0,0.0,,ИРД,2680.8,,0.0,
5130078,86701000,1801992,Республика Карелия,21,0.0,0.0,,ИРД,2890.2,,0.0,
5130089,86701000,1801992,Республика Карелия,20,0.0,0.0,,ИРД,2890.2,,0.0,
5130090,86701000,1801993,Республика Карелия,20,0.0,0.0,,ИРД,3776.0,,0.0,
5130100,86701000,1801993,Республика Карелия,21,0.0,0.0,,ИРД,3776.0,,0.0,
5130111,86701000,1801994,Республика Карелия,21,0.0,0.0,,ИРД,3420.2,,0.0,
5130112,86701000,1801994,Республика Карелия,20,0.0,0.0,,ИРД,3420.2,,0.0,
5130114,86701000,1801995,Республика Карелия,21,0.0,0.0,,ИРД,6226.0,,0.0,
5130118,86701000,1801995,Республика Карелия,20,0.0,0.0,,ИРД,6226.0,,0.0,
5130127,86701000,1801996,Республика Карелия,21,0.0,0.0,,ИРД,3502.9,,0.0,
5130130,86701000,1801996,Республика Карелия,20,0.0,0.0,,ИРД,3502.9,,0.0,
5130145,86701000,1801997,Республика Карелия,20,0.0,0.0,,ИРД,2293.0,,0.0,
5130146,86701000,1801997,Республика Карелия,21,0.0,0.0,,ИРД,2293.0,,0.0,
5130150,86701000,1801998,Республика Карелия,21,0.0,0.0,,ИРД,6137.8,,0.0,
5130161,86701000,1801998,Республика Карелия,20,0.0,0.0,,ИРД,6137.8,,0.0,
5130168,86701000,1801999,Республика Карелия,21,0.0,0.0,,ИРД,509.28,"33,75000",0.0,
5130182,86701000,1801987,Республика Карелия,20,0.0,0.0,,ИРД,4252.0,,0.0,
5130183,86701000,1801987,Республика Карелия,21,0.0,0.0,,ИРД,4252.0,,0.0,
5130188,86701000,1802439,Республика Карелия,21,0.0,0.0,,ИРД,1752.2,,0.0,
5130064,86701000,1801990,Республика Карелия,20,0.0,0.0,,ИРД,2791.4,,0.0,
5130189,86701000,1802439,Республика Карелия,20,0.0,0.0,,ИРД,1752.2,,0.0,
5130053,86701000,1801989,Республика Карелия,21,0.0,0.0,,ИРД,2463.0,,0.0,
5130041,86701000,1801988,Республика Карелия,21,0.0,0.0,,ИРД,1114.0,"48,85000",0.0,
5129904,86701000,1802379,Республика Карелия,21,0.0,0.0,,ИРД,5752.13,,0.0,
5129915,86701000,1802380,Республика Карелия,21,0.0,0.0,,ИРД,5752.13,,0.0,
5129916,86701000,1802380,Республика Карелия,20,0.0,0.0,,ИРД,5752.13,,0.0,
5129928,86701000,1802381,Республика Карелия,21,0.0,0.0,,ИРД,2895.6,,0.0,
5129932,86701000,1802381,Республика Карелия,20,0.0,0.0,,ИРД,2895.6,,0.0,
5129946,86701000,1801977,Республика Карелия,20,0.0,0.0,,ИРД,6400.0,,0.0,
5129947,86701000,1801977,Республика Карелия,21,0.0,0.0,,ИРД,6400.0,,0.0,
5129956,86701000,1801978,Республика Карелия,20,0.0,0.0,,ИРД,9600.0,,0.0,
5129957,86701000,1801978,Республика Карелия,21,0.0,0.0,,ИРД,9600.0,,0.0,
5129961,86701000,1801979,Республика Карелия,20,0.0,0.0,,ИРД,11700.0,,0.0,
