,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5763698,92730000,3559,Республика Татарстан,50,601.1,601.1,02.06.2014,ИРД,72696.0,"109101,24000",0.008268680532629032,0.0
5758680,92730000,98,Республика Татарстан,64,398.9,398.9,28.10.2014,ИРД,48139.9,"26775,01000",0.008286265654893342,0.0
5763128,92730000,11205,Республика Татарстан,64,398.9,398.9,15.08.2014,ИРД,40213.2,"17976,93000",0.009919628380730705,0.0
5758681,92730000,98,Республика Татарстан,50,601.1,601.1,28.10.2014,ИРД,48139.9,"26775,01000",0.012486523652936546,0.0
5757384,92730000,4337,Республика Татарстан,50,601.1,601.1,15.08.2014,ИРД,45581.1,"66838,95000",0.013187483408693516,0.0
5798791,92644000,6071,Республика Татарстан,64,761.0,761.0,24.07.2015,ИРД,56899.6,"29080,52000",0.013374434969665868,0.0
5761703,92730000,5445,Республика Татарстан,50,601.1,601.1,15.08.2014,ИРД,42427.32,"24295,57000",0.014167757944645101,0.0
5769554,92730000,3,Республика Татарстан,50,601.1,601.1,06.06.2014,ИРД,41316.8,"22944,09000",0.014548561360027882,0.0
5763129,92730000,11205,Республика Татарстан,50,601.1,601.1,15.08.2014,ИРД,40213.2,"17976,93000",0.01494782807635304,0.0
5763966,92730000,6342,Республика Татарстан,50,761.0,761.0,14.10.2015,ИРД,47567.5,"36834,51000",0.015998318179429233,0.0
5763441,92730000,4146,Республика Татарстан,50,601.1,601.1,02.06.2014,ИРД,33603.1,"53950,60000",0.017888230550157577,0.0
5769556,92730000,3,Республика Татарстан,64,761.0,761.0,08.11.2016,ИРД,41316.8,"22944,09000",0.01841865778569492,0.0
5795911,92644000,392,Республика Татарстан,64,761.0,761.0,12.09.2015,ИРД,37257.0,"10742,35000",0.020425691816302976,0.0
5757769,92730000,4155,Республика Татарстан,50,601.1,601.1,02.06.2014,ИРД,28261.9,"16770,73000",0.021268916810263994,0.0
5768938,92730000,813,Республика Татарстан,50,601.1,601.1,06.06.2014,ИРД,27727.3,"25195,82000",0.021678995069840917,0.0
5768778,92730000,521,Республика Татарстан,50,601.1,601.1,02.06.2014,ИРД,26857.9,"14280,36000",0.022380752031990588,0.0
5756462,92730000,9144,Республика Татарстан,50,601.1,601.1,15.08.2014,ИРД,25141.4,"3231,12000",0.02390877198564917,0.0
5796291,92644000,172,Республика Татарстан,64,601.1,601.1,17.12.2014,ИРД,24097.1,"12528,43000",0.024944910383407133,0.0
5763326,92730000,3103,Республика Татарстан,50,601.1,601.1,02.06.2014,ИРД,23862.0,"10371,45000",0.025190679741848965,0.0
5802213,92644000,692,Республика Татарстан,64,761.0,761.0,18.06.2015,ИРД,28782.8,"28671,37000",0.026439401309115165,0.0
5714347,92701000,4103,Республика Татарстан,50,601.1,601.1,18.08.2014,ИРД,21908.58,"1666,21000",0.02743673939616351,0.0
5796237,92644000,6219,Республика Татарстан,64,601.1,601.1,17.12.2014,ИРД,21328.8,"12092,05000",0.028182551292149582,0.0
5796067,92644000,7198,Республика Татарстан,64,601.1,601.1,17.12.2014,ИРД,21111.2,"4308,67000",0.02847303800826102,0.0
5796329,92644000,6220,Республика Татарстан,64,601.1,601.1,17.12.2014,ИРД,20872.1,"15943,20000",0.028799210429233287,0.0
5796383,92644000,173,Республика Татарстан,64,761.0,761.0,18.06.2015,ИРД,26387.9,"38164,26000",0.028838975439500678,0.0
5800211,92644000,9566,Республика Татарстан,64,761.0,761.0,08.06.2015,ИРД,26072.2,"19112,94000",0.029188177445708455,0.0
5744986,92701000,14569,Республика Татарстан,50,650.0,650.0,31.07.2015,ИРД,22120.12,"5811,37000",0.029385012377871368,0.0
5796348,92644000,4609,Республика Татарстан,64,601.1,601.1,17.12.2014,ИРД,20433.3,"17539,38000",0.029417666260466983,0.0
5799854,92644000,9557,Республика Татарстан,64,761.0,761.0,18.06.2015,ИРД,25007.7,"9157,41000",0.030430627366771032,0.0
