,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3440935,97701000,333,Чувашская Республика,50,443727.0,443727.0,,ИРД,795.66,"530,24000",557.6841867129176,0.0
3438756,97701000,795,Чувашская Республика,50,443727.0,443727.0,14.09.2017,ИРД,795.78,"3095,25000",557.6000904772676,0.0
3446119,97701000,2231,Чувашская Республика,50,2662362.0,2260983.84,,ИРД,7646.85,,295.67519174562074,0.15076017461186728
3442649,97701000,775,Чувашская Республика,50,443727.0,385258.13,,ИРД,1369.6,"2321,88000",281.29244304906547,0.13176766345072533
3437059,97701000,1672,Чувашская Республика,50,443727.0,359652.12,,ИРД,1353.8,"2347,67000",265.661190722411,0.18947433895165272
3442616,97701000,769,Чувашская Республика,50,443727.0,336388.49,15.09.2017,ИРД,1372.3,"3290,54000",245.1275158493041,0.241902138026309
3436873,97701000,1665,Чувашская Республика,50,443727.0,340277.8,,ИРД,1461.31,,232.85805202181604,0.23313704146919167
3436971,97701000,2189,Чувашская Республика,50,443727.0,337181.67,,ИРД,1570.7,,214.66968230725152,0.24011459748899666
3440483,97701000,2198,Чувашская Республика,50,443727.0,326496.86,,ИРД,1654.2,,197.37447708862288,0.2641942906336554
3436837,97701000,1661,Чувашская Республика,50,443727.0,295769.9,,ИРД,1849.4,"2623,24000",159.9274899967557,0.3334417333180085
3437072,97701000,2176,Чувашская Республика,50,443727.0,260869.69,,ИРД,2692.9,"721,76000",96.8731441939916,0.41209417051475344
3441553,97701000,1636,Чувашская Республика,50,1331181.0,859765.67,,ИРД,9057.4,,94.92411398414556,0.35413315694860426
3447772,97701000,789,Чувашская Республика,50,443727.0,253762.56,,ИРД,2679.4,,94.70872583414197,0.42811106829199036
3437114,97701000,2170,Чувашская Республика,50,443727.0,253076.2,,ИРД,2711.0,"969,14000",93.35160457395796,0.4296578752250821
3442399,97701000,362,Чувашская Республика,50,443727.0,269898.14,,ИРД,3575.1,"1984,65000",75.49387150009791,0.3917473131001719
3440537,97701000,757,Чувашская Республика,50,443727.0,270312.32,,ИРД,3675.0,,73.55437278911565,0.39081390134023847
3436994,97701000,2181,Чувашская Республика,50,443727.0,242127.42,,ИРД,3326.2,,72.79400517106609,0.45433246117545245
3443709,97701000,765,Чувашская Республика,50,443727.0,268892.55,12.10.2017,ИРД,3915.41,"2066,90000",68.67545161298561,0.39401354887126544
3437105,97701000,2169,Чувашская Республика,50,443727.0,229746.84,,ИРД,3592.2,"2290,89000",63.957140471020544,0.4822338059212083
3442526,97701000,1653,Чувашская Республика,50,443727.0,196059.9,14.09.2017,ИРД,3102.02,,63.20394452646985,0.5581519718205112
3445343,97701000,306,Чувашская Республика,50,443727.0,219783.36,,ИРД,4320.4,,50.87106749375058,0.5046878824141872
3440676,97701000,1631,Чувашская Республика,50,443727.0,150961.74,,ИРД,3224.2,"544,41000",46.82145648532969,0.6597868959968629
3443289,97701000,1681,Чувашская Республика,50,443727.0,267129.28,,ИРД,5825.9,"2401,86000",45.85201943047427,0.3979873210329774
3436807,97701000,1657,Чувашская Республика,50,443727.0,230216.95,,ИРД,5174.7,"2716,35000",44.48894621910449,0.48117434819156824
3433374,97641000,5592,Чувашская Республика,50,44058.0,32405.55,,ИРД,763.7,"1152,00000",42.43230326044258,0.2644797766580417
3440580,97701000,65,Чувашская Республика,50,443727.0,292236.87,,ИРД,6998.75,"8003,66000",41.755580639399895,0.3414039037516311
3433365,97641000,5589,Чувашская Республика,50,44058.0,23308.59,,ИРД,988.5,"1829,67000",23.579757207890744,0.4709566934495438
3433449,97641000,161234,Чувашская Республика,50,44058.0,18374.28,,ИРД,837.98,,21.926871763049235,0.582952471741795
3432510,97635000,5808,Чувашская Республика,50,12588.0,11477.16,,ИРД,600.44,,19.114582639397774,0.08824594852240229
3426297,97621000,3504,Чувашская Республика,50,12588.0,10480.84,,ИРД,594.06,,17.642729690603645,0.16739434381951063
3432540,97635000,5812,Чувашская Республика,50,12588.0,11559.42,,ИРД,906.8,,12.747485663872961,0.08171115347950428
3434272,97644000,4063,Чувашская Республика,50,44058.0,,,ИРД,767.6,,,
3439055,97701000,56,Чувашская Республика,50,,,,ИРД,5629.5,"5085,49000",,
3441915,97701000,1563,Чувашская Республика,50,443727.0,,,ИРД,3422.7,,,
3442165,97701000,176,Чувашская Республика,50,169200.0,,,ИРД,639.1,"1719,62000",,
3442182,97701000,179,Чувашская Республика,50,168000.0,,,ИРД,660.9,"1864,33000",,
3443835,97701000,2413,Чувашская Республика,50,443727.0,,,ИРД,4747.7,,,
