,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
349209,10605000,106054400001,Амурская область,3,631544.75,0.0,,Инженерные системы,939.1,"0,00000",0.0,1.0
395872,10732000,107320000210,Амурская область,5,721405.44,0.0,,Инженерные системы,1728.0,"0,00000",0.0,1.0
395882,10732000,107320000194,Амурская область,3,1670394.48,0.0,,Инженерные системы,2316.1,"0,00000",0.0,1.0
395883,10732000,107320000194,Амурская область,5,966925.43,0.0,,Инженерные системы,2316.1,"0,00000",0.0,1.0
395889,10732000,107320000194,Амурская область,4,1949762.46,0.0,,Инженерные системы,2316.1,"0,00000",0.0,1.0
395898,10732000,107320000211,Амурская область,3,1233557.58,0.0,,Инженерные системы,1710.4,"0,00000",0.0,1.0
395899,10732000,107320000211,Амурская область,5,714057.79,0.0,,Инженерные системы,1710.4,"0,00000",0.0,1.0
395901,10732000,107320000211,Амурская область,4,1439866.03,0.0,,Инженерные системы,1710.4,"0,00000",0.0,1.0
395913,10732000,107320000212,Амурская область,3,1102008.88,0.0,,Инженерные системы,1528.0,"0,00000",0.0,1.0
395925,10732000,107320000212,Амурская область,4,1286316.24,0.0,,Инженерные системы,1528.0,"0,00000",0.0,1.0
395928,10732000,107320000212,Амурская область,5,637909.44,0.0,,Инженерные системы,1528.0,"0,00000",0.0,1.0
395929,10732000,107320000213,Амурская область,5,489787.54,0.0,,Инженерные системы,1173.2,"0,00000",0.0,1.0
395930,10732000,107320000213,Амурская область,3,846123.57,0.0,,Инженерные системы,1173.2,"0,00000",0.0,1.0
395943,10732000,107320000213,Амурская область,4,987634.96,0.0,,Инженерные системы,1173.2,"0,00000",0.0,1.0
395956,10732000,107320000214,Амурская область,4,1278655.59,0.0,,Инженерные системы,1518.9,"0,00000",0.0,1.0
395958,10732000,107320000214,Амурская область,5,634110.37,0.0,,Инженерные системы,1518.9,"0,00000",0.0,1.0
395959,10732000,107320000214,Амурская область,3,1095445.87,0.0,,Инженерные системы,1518.9,"0,00000",0.0,1.0
395961,10732000,107320000215,Амурская область,4,956318.88,0.0,,Инженерные системы,1136.0,"0,00000",0.0,1.0
395963,10732000,107320000215,Амурская область,5,474257.28,0.0,,Инженерные системы,1136.0,"0,00000",0.0,1.0
