,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6496242,99605000,6795200001,Еврейская автономная область,3,1356201.79,0.0,,Инженерные системы,798.4,,0.0,1.0
6502319,99610000,6793700026,Еврейская автономная область,54,448439.25,0.0,,Инженерные системы,2048.7,,0.0,1.0
6502320,99610000,6793700021,Еврейская автономная область,3,3301309.84,0.0,,Инженерные системы,2346.7,,0.0,1.0
6502321,99610000,6793700021,Еврейская автономная область,5,1086850.09,0.0,,Инженерные системы,2346.7,,0.0,1.0
6502327,99610000,6793700021,Еврейская автономная область,54,511729.13,0.0,,Инженерные системы,2346.7,,0.0,1.0
6502333,99610000,6793700022,Еврейская автономная область,3,4616884.67,0.0,,Инженерные системы,2670.4,,0.0,1.0
6502334,99610000,6793700022,Еврейская автономная область,2,350089.0,0.0,,Инженерные системы,2670.4,,0.0,1.0
6502335,99610000,6793700022,Еврейская автономная область,54,715653.63,0.0,,Инженерные системы,2670.4,,0.0,1.0
6502336,99610000,6793700022,Еврейская автономная область,5,1519960.8,0.0,,Инженерные системы,2670.4,,0.0,1.0
6502343,99610000,6793700023,Еврейская автономная область,3,5070983.28,0.0,,Инженерные системы,2774.6,,0.0,1.0
6502344,99610000,6793700023,Еврейская автономная область,2,384522.38,0.0,,Инженерные системы,2774.6,,0.0,1.0
6502345,99610000,6793700023,Еврейская автономная область,54,786042.5,0.0,,Инженерные системы,2774.6,,0.0,1.0
6502346,99610000,6793700023,Еврейская автономная область,5,1669458.16,0.0,,Инженерные системы,2774.6,,0.0,1.0
6502347,99620000,6791000000,Еврейская автономная область,3,1318344.85,0.0,,Инженерные системы,836.7,,0.0,1.0
6502314,99610000,6793700026,Еврейская автономная область,3,2893008.89,0.0,,Инженерные системы,2048.7,,0.0,1.0
6502350,99620000,6791000000,Еврейская автономная область,54,204353.88,0.0,,Инженерные системы,836.7,,0.0,1.0
6502355,99620000,6791000001,Еврейская автономная область,54,207159.13,0.0,,Инженерные системы,845.3,,0.0,1.0
6502361,99620000,6791000001,Еврейская автономная область,3,1336442.32,0.0,,Инженерные системы,845.3,,0.0,1.0
6502362,99620000,6791000001,Еврейская автономная область,5,439980.65,0.0,,Инженерные системы,845.3,,0.0,1.0
6502367,99620000,6791000002,Еврейская автономная область,5,168708.9,0.0,,Инженерные системы,319.9,,0.0,1.0
6502368,99620000,6791000002,Еврейская автономная область,54,79434.38,0.0,,Инженерные системы,319.9,,0.0,1.0
6502369,99620000,6791000002,Еврейская автономная область,3,512453.7,0.0,,Инженерные системы,319.9,,0.0,1.0
6502371,99620000,6791000003,Еврейская автономная область,5,465454.18,0.0,,Инженерные системы,881.1,,0.0,1.0
6502372,99620000,6791000003,Еврейская автономная область,54,219153.0,0.0,,Инженерные системы,881.1,,0.0,1.0
6502373,99620000,6791000003,Еврейская автономная область,3,1413818.21,0.0,,Инженерные системы,881.1,,0.0,1.0
6502380,99620000,6791000004,Еврейская автономная область,54,78146.25,0.0,,Инженерные системы,316.3,,0.0,1.0
6502382,99620000,6791000004,Еврейская автономная область,5,165973.08,0.0,,Инженерные системы,316.3,,0.0,1.0
6502388,99620000,6791000004,Еврейская автономная область,3,504143.64,0.0,,Инженерные системы,316.3,,0.0,1.0
6502391,99620000,6791000005,Еврейская автономная область,5,1586654.01,0.0,,Инженерные системы,3204.5,,0.0,1.0
6502351,99620000,6791000000,Еврейская автономная область,5,434022.64,0.0,,Инженерные системы,836.7,,0.0,1.0
6502392,99620000,6791000005,Еврейская автономная область,54,747055.25,0.0,,Инженерные системы,3204.5,,0.0,1.0
6502312,99610000,6793700026,Еврейская автономная область,5,952430.14,0.0,,Инженерные системы,2048.7,,0.0,1.0
6502310,99610000,6793700029,Еврейская автономная область,54,809801.25,0.0,,Инженерные системы,2829.0,,0.0,1.0
6502238,99610000,6793700013,Еврейская автономная область,5,2042198.44,0.0,,Инженерные системы,3788.6,,0.0,1.0
6502239,99610000,6793700013,Еврейская автономная область,54,961542.38,0.0,,Инженерные системы,3788.6,,0.0,1.0
6502245,99610000,6793700013,Еврейская автономная область,3,6203182.79,0.0,,Инженерные системы,3788.6,,0.0,1.0
6502246,99610000,6793700013,Еврейская автономная область,2,470374.77,0.0,,Инженерные системы,3788.6,,0.0,1.0
6502252,99610000,6793700014,Еврейская автономная область,3,3847188.44,0.0,,Инженерные системы,2342.0,,0.0,1.0
6502253,99610000,6793700014,Еврейская автономная область,2,291724.5,0.0,,Инженерные системы,2342.0,,0.0,1.0
6502254,99610000,6793700014,Еврейская автономная область,54,596344.63,0.0,,Инженерные системы,2342.0,,0.0,1.0
6502255,99610000,6793700014,Еврейская автономная область,5,1266563.07,0.0,,Инженерные системы,2342.0,,0.0,1.0
6502257,99610000,6793700015,Еврейская автономная область,5,190048.3,0.0,,Инженерные системы,364.5,,0.0,1.0
6502259,99610000,6793700015,Еврейская автономная область,2,43773.38,0.0,,Инженерные системы,364.5,,0.0,1.0
6502260,99610000,6793700015,Еврейская автономная область,3,577272.17,0.0,,Инженерные системы,364.5,,0.0,1.0
6502263,99610000,6793700015,Еврейская автономная область,54,89481.75,0.0,,Инженерные системы,364.5,,0.0,1.0
