,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6167589,91701000,3601820416,Карачаево-Черкесская Республика,12,370912.0,1435853.0,,Инженерные системы,428.8,"0,00000",3348.537779850746,-2.8711419420239843
6167323,91701000,3600050301,Карачаево-Черкесская Республика,12,647934.6,1201949.0,20.10.2017,Инженерные системы,776.9,"0,00000",1547.1090230402883,-0.8550467902161731
6167798,91701000,3600290525,Карачаево-Черкесская Республика,12,809380.5,1104370.0,,Инженерные системы,935.7,"0,00000",1180.2607673399593,-0.36446331484388367
6166856,91635000,101001051,Карачаево-Черкесская Республика,12,1117902.0,1184769.0,20.10.2017,Инженерные системы,1170.4,"0,00000",1012.2769993164729,-0.05981472436761004
6167096,91701000,3600220178,Карачаево-Черкесская Республика,12,1189534.2,1312540.0,,Инженерные системы,1426.3,"0,00000",920.241183481736,-0.10340669482222542
6167003,91701000,3600130171,Карачаево-Черкесская Республика,12,3213235.2,3365498.0,,Инженерные системы,3852.8,"0,00000",873.5200373754152,-0.04738613594174488
6166222,91625000,1100130786,Карачаево-Черкесская Республика,12,3621409.0,3646801.0,,Инженерные системы,4186.6,"0,00000",871.06506473033,-0.00701163552639318
6167983,91701000,3600310597,Карачаево-Черкесская Республика,12,1239073.8,1290552.0,12.12.2016,Инженерные системы,1485.7,"0,00000",868.6491216261694,-0.04154570938389622
6167046,91701000,3600220184,Карачаево-Черкесская Республика,12,2125782.6,2164433.0,,Инженерные системы,2548.9,"0,00000",849.1635607516968,-0.018181727520020112
6167329,91701000,3600050303,Карачаево-Черкесская Республика,12,1193787.6,1145532.0,,Инженерные системы,1431.4,"0,00000",800.287830096409,0.04042226607145198
6167050,91701000,3600220185,Карачаево-Черкесская Республика,12,1637475.6,1563798.0,,Инженерные системы,1963.4,"0,00000",796.474483039625,0.0449946246527277
6168149,91701000,3600430659,Карачаево-Черкесская Республика,12,751921.5,981339.0,25.12.2018,Инженерные системы,1273.2,"0,00000",770.7657869934025,-0.3051083125033664
6168060,91701000,3600390626,Карачаево-Черкесская Республика,12,1239824.4,1113720.0,12.12.2016,Инженерные системы,1486.6,"0,00000",749.1726086371586,0.10171150043506154
6167993,91701000,3600310600,Карачаево-Черкесская Республика,12,1872997.2,1640040.0,12.12.2016,Инженерные системы,2245.8,"0,00000",730.2698370291209,0.124376694209687
6167605,91701000,3600160422,Карачаево-Черкесская Республика,12,539514.6,467926.0,,Инженерные системы,646.9,"0,00000",723.3359097232958,0.13269075572746314
6166789,91635000,3300741025,Карачаево-Черкесская Республика,12,2388358.2,2913435.0,20.12.2018,Инженерные системы,4061.9,"0,00000",717.2591644304389,-0.21984842977071017
6167598,91701000,3600160423,Карачаево-Черкесская Республика,12,1081030.8,927642.0,,Инженерные системы,1296.2,"0,00000",715.6627063724734,0.14189123936154274
6166614,91630000,1900020870,Карачаево-Черкесская Республика,12,453946.2,381561.0,04.10.2017,Инженерные системы,544.3,"0,00000",701.012309388205,0.15945766260407074
6167995,91701000,3600310601,Карачаево-Черкесская Республика,12,1338653.4,1113718.0,28.12.2016,Инженерные системы,1605.1,"0,00000",693.862064668868,0.1680310975193429
6167935,91701000,3602440579,Карачаево-Черкесская Республика,12,834247.8,956213.0,25.12.2018,Инженерные системы,1397.4,"0,00000",684.2800915986833,-0.14619780837300372
