,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1478313,38626000,4620004187,Курская область,5,320064.0,579.57,18.11.2016,Инженерные системы,666.8,"0,00000",0.8691811637672466,0.9981892059088182
1439825,38705000,4606002793,Курская область,5,721392.0,1346.68,09.01.2017,Инженерные системы,1502.9,"0,00000",0.8960542950296094,0.9981332202186882
1464366,38701000,4612001896,Курская область,4,551190.0,1847.67,27.11.2017,Инженерные системы,1469.84,"0,00000",1.2570551896805096,0.9966478528275186
1442905,38705000,4606002896,Курская область,2,50366.4,449.16,10.02.2016,Инженерные системы,299.8,"0,00000",1.4981987991994663,0.991082150004765
1442877,38705000,4606002894,Курская область,2,50181.6,461.91,10.02.2016,Инженерные системы,298.7,"0,00000",1.5464010713090057,0.9907952317183987
1460669,38701000,4612001576,Курская область,4,200767.5,1057.06,20.09.2018,Инженерные системы,535.38,"0,00000",1.974410698942807,0.9947349048028192
1437867,38705000,4606002728,Курская область,2,69004.32,827.26,10.02.2016,Инженерные системы,410.74,"0,00000",2.0140721624385254,0.9880114752235802
1478590,38626000,4620004222,Курская область,5,100752.0,529.02,18.11.2016,Инженерные системы,209.9,"0,00000",2.5203430204859454,0.9947492853739875
1463731,38701000,4612001846,Курская область,4,559687.5,3993.39,01.08.2016,Инженерные системы,1492.5,"0,00000",2.675638190954774,0.9928649648241206
1454409,38701000,4612001011,Курская область,5,200928.0,1522.29,02.08.2016,Инженерные системы,418.6,"0,00000",3.6366220735785952,0.9924237040133779
1468448,38701000,4612002250,Курская область,4,262800.0,2680.46,19.08.2016,Инженерные системы,700.8,"0,00000",3.8248573059360735,0.9898003805175039
1452927,38701000,4612000904,Курская область,5,187920.0,1553.45,02.08.2016,Инженерные системы,391.5,"0,00000",3.9679438058748406,0.9917334504044274
1464367,38701000,4612001896,Курская область,5,705523.2,6753.77,27.11.2017,Инженерные системы,1469.84,"0,00000",4.594901485876014,0.9904272885710916
1466951,38701000,4612002120,Курская область,4,600075.0,9535.83,02.11.2016,Инженерные системы,1600.2,"0,00000",5.959148856392951,0.9841089363829522
1468435,38701000,4612002249,Курская область,4,131213.2,3662.45,16.08.2019,Инженерные системы,588.4,"0,00000",6.224422161794697,0.9720877929964363
1463730,38701000,4612001846,Курская область,5,716400.0,9587.1,01.08.2016,Инженерные системы,1492.5,"0,00000",6.423517587939699,0.9866176716917924
1446471,38701000,4612005068,Курская область,5,394560.0,5424.06,25.10.2017,Инженерные системы,822.0,"0,00000",6.598613138686132,0.9862528892944039
1454876,38701000,4612001046,Курская область,5,385809.6,5575.13,20.10.2016,Инженерные системы,803.77,"0,00000",6.936225537156152,0.9855495301309247
1454410,38701000,4612001011,Курская область,4,156975.0,2942.41,02.08.2016,Инженерные системы,418.6,"0,00000",7.029168657429526,0.9812555502468546
1460668,38701000,4612001576,Курская область,5,256982.4,3942.18,20.09.2018,Инженерные системы,535.38,"0,00000",7.363330718368261,0.9846597276700662
