,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5310655,58604000,600300014,Псковская область,5,87121.6,0.0,,Инженерные системы,733.1,"0,00000",0.0,1.0
5354457,58616000,600900039,Псковская область,5,254198.76,0.0,,Инженерные системы,2139.0,"0,00000",0.0,1.0
5354470,58616000,600900040,Псковская область,54,499098.11,0.0,,Инженерные системы,729.1,"0,00000",0.0,1.0
5354471,58616000,600900040,Псковская область,5,86646.24,0.0,,Инженерные системы,729.1,"0,00000",0.0,1.0
5354499,58616000,600900042,Псковская область,5,94858.09,0.0,,Инженерные системы,798.2,"0,00000",0.0,1.0
5354510,58616000,600900042,Псковская область,54,546399.83,0.0,,Инженерные системы,798.2,"0,00000",0.0,1.0
5354516,58616000,600900043,Псковская область,5,77240.06,0.0,,Инженерные системы,649.95,"0,00000",0.0,1.0
5354517,58616000,600900043,Псковская область,54,444916.77,0.0,,Инженерные системы,649.95,"0,00000",0.0,1.0
5354527,58616000,600900044,Псковская область,3,629471.28,0.0,,Инженерные системы,1028.8,"0,00000",0.0,1.0
5354528,58616000,600900044,Псковская область,2,304319.04,0.0,,Инженерные системы,1028.8,"0,00000",0.0,1.0
5354529,58616000,600900044,Псковская область,5,122262.59,0.0,,Инженерные системы,1028.8,"0,00000",0.0,1.0
5354537,58616000,600900044,Псковская область,54,704254.75,0.0,,Инженерные системы,1028.8,"0,00000",0.0,1.0
5354456,58616000,600900039,Псковская область,54,1464231.06,0.0,,Инженерные системы,2139.0,"0,00000",0.0,1.0
5354548,58616000,600900004,Псковская область,5,77439.71,0.0,,Инженерные системы,651.63,"0,00000",0.0,1.0
5354550,58616000,600900004,Псковская область,2,192752.15,0.0,,Инженерные системы,651.63,"0,00000",0.0,1.0
5354551,58616000,600900004,Псковская область,3,398699.82,0.0,,Инженерные системы,651.63,"0,00000",0.0,1.0
5354565,58616000,600900045,Псковская область,3,505877.58,0.0,,Инженерные системы,826.8,"0,00000",0.0,1.0
5354566,58616000,600900045,Псковская область,2,244567.44,0.0,,Инженерные системы,826.8,"0,00000",0.0,1.0
5354567,58616000,600900045,Псковская область,54,565977.67,0.0,,Инженерные системы,826.8,"0,00000",0.0,1.0
5354568,58616000,600900045,Псковская область,5,98256.91,0.0,,Инженерные системы,826.8,"0,00000",0.0,1.0
5354569,58616000,600900046,Псковская область,54,394048.61,0.0,,Инженерные системы,575.64,"0,00000",0.0,1.0
5354572,58616000,600900046,Псковская область,2,170274.31,0.0,,Инженерные системы,575.64,"0,00000",0.0,1.0
5354573,58616000,600900046,Псковская область,3,352205.33,0.0,,Инженерные системы,575.64,"0,00000",0.0,1.0
5354584,58616000,600900046,Псковская область,5,68409.06,0.0,,Инженерные системы,575.64,"0,00000",0.0,1.0
5354586,58616000,600900047,Псковская область,3,723084.33,0.0,,Инженерные системы,1181.8,"0,00000",0.0,1.0
5354549,58616000,600900004,Псковская область,54,446066.8,0.0,,Инженерные системы,651.63,"0,00000",0.0,1.0
5354587,58616000,600900047,Псковская область,54,808989.37,0.0,,Инженерные системы,1181.8,"0,00000",0.0,1.0
5354455,58616000,600900039,Псковская область,2,632716.2,0.0,,Инженерные системы,2139.0,"0,00000",0.0,1.0
5354437,58616000,600900038,Псковская область,5,77202.03,0.0,,Инженерные системы,649.63,"0,00000",0.0,1.0
5354290,58616000,600900029,Псковская область,5,45976.82,0.0,,Инженерные системы,386.88,"1101,76000",0.0,1.0
5354303,58616000,600900030,Псковская область,54,914066.26,0.0,,Инженерные системы,1335.3,"0,00000",0.0,1.0
5354304,58616000,600900030,Псковская область,5,158687.05,0.0,,Инженерные системы,1335.3,"0,00000",0.0,1.0
5354323,58616000,600900031,Псковская область,5,78622.17,0.0,,Инженерные системы,661.58,"1512,11000",0.0,1.0
5354324,58616000,600900031,Псковская область,54,452877.97,0.0,,Инженерные системы,661.58,"1512,11000",0.0,1.0
5354339,58616000,600900032,Псковская область,3,1554588.48,0.0,,Инженерные системы,2540.8,"0,00000",0.0,1.0
5354342,58616000,600900032,Псковская область,54,1739279.23,0.0,,Инженерные системы,2540.8,"0,00000",0.0,1.0
5354343,58616000,600900032,Псковская область,2,751568.64,0.0,,Инженерные системы,2540.8,"0,00000",0.0,1.0
5354344,58616000,600900032,Псковская область,5,301948.67,0.0,,Инженерные системы,2540.8,"0,00000",0.0,1.0
5354353,58616000,600900033,Псковская область,3,1229145.47,0.0,,Инженерные системы,2008.9,"0,00000",0.0,1.0
5354358,58616000,600900033,Псковская область,5,238737.68,0.0,,Инженерные системы,2008.9,"0,00000",0.0,1.0
5354454,58616000,600900039,Псковская область,3,1308747.15,0.0,,Инженерные системы,2139.0,"0,00000",0.0,1.0
5354359,58616000,600900033,Псковская область,54,1375172.41,0.0,,Инженерные системы,2008.9,"0,00000",0.0,1.0
5354363,58616000,600900034,Псковская область,5,252071.52,0.0,,Инженерные системы,2121.1,"0,00000",0.0,1.0
5354364,58616000,600900034,Псковская область,54,1451977.79,0.0,,Инженерные системы,2121.1,"0,00000",0.0,1.0
5354365,58616000,600900034,Псковская область,2,627421.38,0.0,,Инженерные системы,2121.1,"0,00000",0.0,1.0
5354366,58616000,600900034,Псковская область,3,1297795.04,0.0,,Инженерные системы,2121.1,"0,00000",0.0,1.0
5354380,58616000,600900001,Псковская область,54,343728.07,0.0,,Инженерные системы,502.13,"0,00000",0.0,1.0
5354401,58616000,600900036,Псковская область,54,358808.49,0.0,,Инженерные системы,524.16,"0,00000",0.0,1.0
5354416,58616000,600900036,Псковская область,5,62291.17,0.0,,Инженерные системы,524.16,"0,00000",0.0,1.0
5354431,58616000,600900037,Псковская область,5,238737.68,0.0,,Инженерные системы,2008.9,"868,69000",0.0,1.0
5354432,58616000,600900037,Псковская область,54,1375172.41,0.0,,Инженерные системы,2008.9,"868,69000",0.0,1.0
5354433,58616000,600900037,Псковская область,2,594232.62,0.0,,Инженерные системы,2008.9,"868,69000",0.0,1.0
5354434,58616000,600900037,Псковская область,3,1229145.47,0.0,,Инженерные системы,2008.9,"868,69000",0.0,1.0
5354361,58616000,600900033,Псковская область,2,594232.62,0.0,,Инженерные системы,2008.9,"0,00000",0.0,1.0
5354595,58616000,600900047,Псковская область,5,140445.11,0.0,,Инженерные системы,1181.8,"0,00000",0.0,1.0
5354602,58616000,600900048,Псковская область,3,344349.18,0.0,,Инженерные системы,562.8,"0,00000",0.0,1.0
5354603,58616000,600900048,Псковская область,54,385259.11,0.0,,Инженерные системы,562.8,"0,00000",0.0,1.0
5354757,58616000,600900057,Псковская область,5,77546.67,0.0,,Инженерные системы,652.53,"0,00000",0.0,1.0
5354766,58616000,600900058,Псковская область,5,77185.39,0.0,,Инженерные системы,649.49,"0,00000",0.0,1.0
5354767,58616000,600900058,Псковская область,54,444601.88,0.0,,Инженерные системы,649.49,"0,00000",0.0,1.0
5354775,58618000,601000013,Псковская область,3,973208.61,0.0,,Инженерные системы,1590.6,"0,00000",0.0,1.0
5354776,58618000,601000013,Псковская область,2,470499.48,0.0,,Инженерные системы,1590.6,"0,00000",0.0,1.0
5354777,58618000,601000013,Псковская область,54,1088829.32,0.0,,Инженерные системы,1590.6,"0,00000",0.0,1.0
5354778,58618000,601000013,Псковская область,5,189026.9,0.0,,Инженерные системы,1590.6,"0,00000",0.0,1.0
5354794,58618000,601000019,Псковская область,5,152828.24,0.0,,Инженерные системы,1286.0,"337,82000",0.0,1.0
5354799,58618000,601000019,Псковская область,2,380398.8,0.0,,Инженерные системы,1286.0,"337,82000",0.0,1.0
5354809,58618000,601000020,Псковская область,5,37220.69,0.0,,Инженерные системы,313.2,"0,00000",0.0,1.0
5354814,58618000,601000020,Псковская область,2,92644.56,0.0,,Инженерные системы,313.2,"0,00000",0.0,1.0
5354756,58616000,600900057,Псковская область,54,446682.89,0.0,,Инженерные системы,652.53,"0,00000",0.0,1.0
5354832,58618000,601000021,Псковская область,3,214759.35,0.0,,Инженерные системы,351.0,"0,00000",0.0,1.0
5354834,58618000,601000021,Псковская область,5,41712.84,0.0,,Инженерные системы,351.0,"0,00000",0.0,1.0
5354838,58618000,601000022,Псковская область,5,148918.4,0.0,,Инженерные системы,1253.1,"402,33000",0.0,1.0
5354847,58618000,601000022,Псковская область,2,370666.98,0.0,,Инженерные системы,1253.1,"402,33000",0.0,1.0
5354855,58618000,601000023,Псковская область,5,36234.32,0.0,,Инженерные системы,304.9,"0,00000",0.0,1.0
5354858,58618000,601000023,Псковская область,54,208716.25,0.0,,Инженерные системы,304.9,"0,00000",0.0,1.0
5354859,58618000,601000023,Псковская область,2,90189.42,0.0,,Инженерные системы,304.9,"0,00000",0.0,1.0
5354864,58618000,601000023,Псковская область,3,186553.07,0.0,,Инженерные системы,304.9,"0,00000",0.0,1.0
5354871,58618000,601000014,Псковская область,54,326936.3,0.0,,Инженерные системы,477.6,"838,69000",0.0,1.0
5354872,58618000,601000014,Псковская область,5,56757.98,0.0,,Инженерные системы,477.6,"838,69000",0.0,1.0
5354886,58618000,601000015,Псковская область,54,504437.53,0.0,,Инженерные системы,736.9,"722,38000",0.0,1.0
5354898,58618000,601000016,Псковская область,2,174137.46,0.0,,Инженерные системы,588.7,"0,00000",0.0,1.0
5354833,58618000,601000021,Псковская область,2,103825.8,0.0,,Инженерные системы,351.0,"0,00000",0.0,1.0
