,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6180977,77603000,668,Чукотский автономный округ,3,1775125.34,1775125.34,,Инженерные системы,821.6,"1065,08000",2160.571251217137,0.0
6180972,77603000,668,Чукотский автономный округ,5,1775125.33,1775125.33,,Инженерные системы,821.6,"1065,08000",2160.5712390457643,0.0
6184222,77630000,553,Чукотский автономный округ,5,2403557.4,2569384.34,06.12.2016,Инженерные системы,1377.1,"7969,88000",1865.7935807130928,-0.06899229450480357
6184215,77630000,553,Чукотский автономный округ,4,2403557.4,2569384.33,06.12.2016,Инженерные системы,1377.1,"7969,88000",1865.793573451456,-0.06899229034430389
6184225,77630000,553,Чукотский автономный округ,3,2403557.4,2569384.33,06.12.2016,Инженерные системы,1377.1,"7969,88000",1865.793573451456,-0.06899229034430389
6182298,77609000,374,Чукотский автономный округ,4,1900000.0,1900000.0,20.10.2016,Инженерные системы,1035.0,"4850,41000",1835.7487922705313,0.0
6184842,77615000,456,Чукотский автономный округ,3,1156592.67,1156592.67,25.11.2016,Инженерные системы,822.4,"3793,07000",1406.362682392996,0.0
6184838,77615000,456,Чукотский автономный округ,5,1156592.67,1156592.67,25.11.2016,Инженерные системы,822.4,"3793,07000",1406.362682392996,0.0
6184845,77615000,456,Чукотский автономный округ,4,1156592.66,1156592.66,25.11.2016,Инженерные системы,822.4,"3793,07000",1406.362670233463,0.0
6184695,77630000,849,Чукотский автономный округ,4,1164024.25,1164024.25,,Инженерные системы,836.1,"534,27000",1392.2069728501376,0.0
6184697,77630000,849,Чукотский автономный округ,3,1164024.25,1164024.25,,Инженерные системы,836.1,"534,27000",1392.2069728501376,0.0
6184687,77630000,849,Чукотский автономный округ,5,1164024.25,1164024.25,,Инженерные системы,836.1,"534,27000",1392.2069728501376,0.0
6185636,77620000,527,Чукотский автономный округ,4,702240.96,702240.96,07.11.2016,Инженерные системы,646.9,"2455,92000",1085.5479363116401,0.0
6185631,77620000,527,Чукотский автономный округ,3,702240.96,702240.96,07.11.2016,Инженерные системы,646.9,"2455,92000",1085.5479363116401,0.0
6185640,77620000,527,Чукотский автономный округ,5,702240.96,702240.96,07.11.2016,Инженерные системы,646.9,"2455,92000",1085.5479363116401,0.0
6182899,77701000,6,Чукотский автономный округ,5,1772947.0,1772947.0,,Инженерные системы,2075.9,"2205,56000",854.0618526903993,0.0
6182309,77609000,375,Чукотский автономный округ,4,550000.0,550000.0,20.10.2016,Инженерные системы,1014.0,"3545,86000",542.4063116370809,0.0
6183602,77701000,100,Чукотский автономный округ,4,746184.0,457507.0,22.11.2018,Инженерные системы,2098.2,"54,88000",218.04737393956728,0.3868710666538012
6180571,77603000,185,Чукотский автономный округ,3,454808.75,454808.75,29.09.2015,Инженерные системы,3498.7,"7717,94000",129.99364049504103,0.0
6180562,77603000,185,Чукотский автономный округ,4,454808.75,454808.75,29.09.2015,Инженерные системы,3498.7,"7717,94000",129.99364049504103,0.0
6180583,77603000,186,Чукотский автономный округ,3,454808.75,454808.75,29.09.2015,Инженерные системы,3560.6,"16665,88000",127.73373869572545,0.0
6180580,77603000,186,Чукотский автономный округ,4,454808.75,454808.75,29.09.2015,Инженерные системы,3560.6,"16665,88000",127.73373869572545,0.0
6180459,77603000,169,Чукотский автономный округ,5,,,,Инженерные системы,3594.8,"0,00000",,
6180462,77603000,169,Чукотский автономный округ,3,,,,Инженерные системы,3594.8,"0,00000",,
6180463,77603000,169,Чукотский автономный округ,4,,,,Инженерные системы,3594.8,"0,00000",,
6180467,77603000,170,Чукотский автономный округ,5,,,,Инженерные системы,653.1,"0,00000",,
6180469,77603000,170,Чукотский автономный округ,3,,,,Инженерные системы,653.1,"0,00000",,
6180470,77603000,170,Чукотский автономный округ,4,,,,Инженерные системы,653.1,"0,00000",,
6180475,77603000,171,Чукотский автономный округ,5,,,,Инженерные системы,655.0,"0,00000",,
6180476,77603000,171,Чукотский автономный округ,3,,,,Инженерные системы,655.0,"0,00000",,
6180477,77603000,171,Чукотский автономный округ,4,,,,Инженерные системы,655.0,"0,00000",,
6180480,77603000,172,Чукотский автономный округ,5,,,,Инженерные системы,2756.4,"0,00000",,
6180484,77603000,172,Чукотский автономный округ,4,,,,Инженерные системы,2756.4,"0,00000",,
6180485,77603000,172,Чукотский автономный округ,3,,,,Инженерные системы,2756.4,"0,00000",,
6180487,77603000,175,Чукотский автономный округ,4,,,,Инженерные системы,1291.7,"0,00000",,
6180488,77603000,175,Чукотский автономный округ,3,,,,Инженерные системы,1291.7,"0,00000",,
6180493,77603000,175,Чукотский автономный округ,5,,,,Инженерные системы,1291.7,"0,00000",,
6180497,77603000,177,Чукотский автономный округ,5,,,,Инженерные системы,1708.7,"8080,60000",,
6180499,77603000,177,Чукотский автономный округ,3,,,,Инженерные системы,1708.7,"8080,60000",,
6180500,77603000,177,Чукотский автономный округ,4,,,,Инженерные системы,1708.7,"8080,60000",,
6180505,77603000,178,Чукотский автономный округ,5,,,,Инженерные системы,3474.4,"0,00000",,
6180507,77603000,178,Чукотский автономный округ,3,,,,Инженерные системы,3474.4,"0,00000",,
6180508,77603000,178,Чукотский автономный округ,4,,,,Инженерные системы,3474.4,"0,00000",,
6180514,77603000,179,Чукотский автономный округ,4,,,,Инженерные системы,3559.2,"4071,86000",,
6180515,77603000,179,Чукотский автономный округ,3,,,,Инженерные системы,3559.2,"4071,86000",,
6180517,77603000,179,Чукотский автономный округ,5,,,,Инженерные системы,3559.2,"4071,86000",,
6180520,77603000,180,Чукотский автономный округ,4,,,,Инженерные системы,1799.5,"0,00000",,
6180521,77603000,180,Чукотский автономный округ,5,,,,Инженерные системы,1799.5,"0,00000",,
6180523,77603000,180,Чукотский автономный округ,3,,,,Инженерные системы,1799.5,"0,00000",,
6180528,77603000,181,Чукотский автономный округ,4,,,,Инженерные системы,1767.7,"0,00000",,
6180529,77603000,181,Чукотский автономный округ,3,,,,Инженерные системы,1767.7,"0,00000",,
6180531,77603000,181,Чукотский автономный округ,5,,,,Инженерные системы,1767.7,"0,00000",,
6180532,77603000,173,Чукотский автономный округ,5,,,,Инженерные системы,2130.2,"0,00000",,
6180536,77603000,173,Чукотский автономный округ,4,,,,Инженерные системы,2130.2,"0,00000",,
6180537,77603000,173,Чукотский автономный округ,3,,,,Инженерные системы,2130.2,"0,00000",,
6180542,77603000,174,Чукотский автономный округ,5,,,,Инженерные системы,3162.8,"0,00000",,
6180544,77603000,174,Чукотский автономный округ,3,,,,Инженерные системы,3162.8,"0,00000",,
6180545,77603000,174,Чукотский автономный округ,4,,,,Инженерные системы,3162.8,"0,00000",,
6180546,77603000,182,Чукотский автономный округ,4,,,,Инженерные системы,3701.4,"0,00000",,
6180548,77603000,182,Чукотский автономный округ,5,,,,Инженерные системы,3701.4,"0,00000",,
6180552,77603000,182,Чукотский автономный округ,3,,,,Инженерные системы,3701.4,"0,00000",,
6180553,77603000,184,Чукотский автономный округ,5,,,,Инженерные системы,3470.6,"0,00000",,
6180555,77603000,184,Чукотский автономный округ,3,,,,Инженерные системы,3470.6,"0,00000",,
6180559,77603000,184,Чукотский автономный округ,4,,,,Инженерные системы,3470.6,"0,00000",,
6180560,77603000,185,Чукотский автономный округ,4,,,,Инженерные системы,3498.7,"7717,94000",,
6180567,77603000,185,Чукотский автономный округ,5,,,,Инженерные системы,3498.7,"7717,94000",,
6180569,77603000,185,Чукотский автономный округ,3,,,,Инженерные системы,3498.7,"7717,94000",,
6180575,77603000,183,Чукотский автономный округ,4,,,,Инженерные системы,3492.2,"0,00000",,
6180576,77603000,183,Чукотский автономный округ,3,,,,Инженерные системы,3492.2,"0,00000",,
6180578,77603000,183,Чукотский автономный округ,5,,,,Инженерные системы,3492.2,"0,00000",,
6180582,77603000,186,Чукотский автономный округ,4,,,,Инженерные системы,3560.6,"16665,88000",,
6180585,77603000,186,Чукотский автономный округ,3,,,,Инженерные системы,3560.6,"16665,88000",,
6180586,77603000,186,Чукотский автономный округ,5,,,,Инженерные системы,3560.6,"16665,88000",,
6180593,77603000,187,Чукотский автономный округ,3,,,,Инженерные системы,1769.8,"0,00000",,
6180595,77603000,187,Чукотский автономный округ,5,,,,Инженерные системы,1769.8,"0,00000",,
6180596,77603000,187,Чукотский автономный округ,4,,,,Инженерные системы,1769.8,"0,00000",,
6180598,77603000,189,Чукотский автономный округ,4,,,,Инженерные системы,2014.4,"0,00000",,
6180601,77603000,189,Чукотский автономный округ,5,,,,Инженерные системы,2014.4,"0,00000",,
6180604,77603000,189,Чукотский автономный округ,3,,,,Инженерные системы,2014.4,"0,00000",,
6180605,77603000,188,Чукотский автономный округ,5,,,,Инженерные системы,1787.2,"0,00000",,
6180609,77603000,188,Чукотский автономный округ,4,,,,Инженерные системы,1787.2,"0,00000",,
6180610,77603000,188,Чукотский автономный округ,3,,,,Инженерные системы,1787.2,"0,00000",,
6180612,77603000,190,Чукотский автономный округ,4,,,,Инженерные системы,892.7,"0,00000",,
6180614,77603000,190,Чукотский автономный округ,5,,,,Инженерные системы,892.7,"0,00000",,
6180618,77603000,190,Чукотский автономный округ,3,,,,Инженерные системы,892.7,"0,00000",,
6180621,77603000,191,Чукотский автономный округ,4,,,,Инженерные системы,1758.4,"0,00000",,
6180622,77603000,191,Чукотский автономный округ,3,,,,Инженерные системы,1758.4,"0,00000",,
6180625,77603000,191,Чукотский автономный округ,5,,,,Инженерные системы,1758.4,"0,00000",,
6180628,77603000,228,Чукотский автономный округ,3,,,,Инженерные системы,2488.2,"0,00000",,
6180629,77603000,228,Чукотский автономный округ,4,,,,Инженерные системы,2488.2,"0,00000",,
6180632,77603000,228,Чукотский автономный округ,5,,,,Инженерные системы,2488.2,"0,00000",,
6180634,77603000,229,Чукотский автономный округ,5,,,,Инженерные системы,2148.8,"0,00000",,
6180638,77603000,229,Чукотский автономный округ,4,,,,Инженерные системы,2148.8,"0,00000",,
6180639,77603000,229,Чукотский автономный округ,3,,,,Инженерные системы,2148.8,"0,00000",,
6180641,77603000,223,Чукотский автономный округ,5,,,,Инженерные системы,2723.7,"0,00000",,
6180644,77603000,223,Чукотский автономный округ,3,,,,Инженерные системы,2723.7,"0,00000",,
6180645,77603000,223,Чукотский автономный округ,4,,,,Инженерные системы,2723.7,"0,00000",,
6180647,77603000,224,Чукотский автономный округ,3,,,,Инженерные системы,2220.0,"0,00000",,
6180648,77603000,224,Чукотский автономный округ,4,,,,Инженерные системы,2220.0,"0,00000",,
6180651,77603000,224,Чукотский автономный округ,5,,,,Инженерные системы,2220.0,"0,00000",,
6180657,77603000,225,Чукотский автономный округ,4,,,,Инженерные системы,2806.3,"0,00000",,
