,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5650454,76701000,2415,Забайкальский край,7,279342.0,279342.0,29.12.2018,Лифтовое оборудование,8872.7,"279,34000",31.483313985596265,0.0
5673012,76621000,1012,Забайкальский край,7,463672.78,463672.78,29.12.2017,Лифтовое оборудование,4426.1,"463,67000",104.75876731208061,0.0
5673005,76621000,1011,Забайкальский край,7,455708.7,455708.7,29.12.2017,Лифтовое оборудование,4245.4,"455,71000",107.3417581382202,0.0
5651536,76701000,4826,Забайкальский край,7,3509612.75,3509612.75,06.06.2019,Лифтовое оборудование,14915.5,"3579,00000",235.29970500486073,0.0
5651600,76701000,3440,Забайкальский край,7,1693739.77,1693739.77,27.05.2019,Лифтовое оборудование,3518.4,"1945,50000",481.3948868804002,0.0
5652467,76701000,3642,Забайкальский край,7,3509612.75,3509612.75,06.06.2019,Лифтовое оборудование,6292.2,"3579,00000",557.7719637010903,0.0
5656679,76701000,2799,Забайкальский край,7,5190687.26,5190687.26,09.07.2019,Лифтовое оборудование,8279.8,"5334,20000",626.9097393656851,0.0
5664567,76701000,3745,Забайкальский край,7,2124343.14,2075970.79,,Лифтовое оборудование,3057.3,"35,40000",679.0209629411572,0.022770497425383025
5652961,76701000,2297,Забайкальский край,7,3931898.87,3931898.87,29.12.2018,Лифтовое оборудование,5762.9,"4018,61000",682.2778236651686,0.0
5655297,76701000,2622,Забайкальский край,7,6901760.73,6901760.73,05.07.2019,Лифтовое оборудование,10114.2,"7473,34000",682.3832562140357,0.0
5661167,76701000,3257,Забайкальский край,7,5190687.26,5190687.26,06.06.2019,Лифтовое оборудование,7546.5,"5616,30000",687.8271066057113,0.0
5664627,76701000,3741,Забайкальский край,7,5013566.41,5013566.41,07.06.2019,Лифтовое оборудование,7242.6,"5414,20000",692.232956396874,0.0
5652288,76701000,3481,Забайкальский край,7,2124343.14,2072533.26,,Лифтовое оборудование,2956.7,"35,40000",700.9616329015457,0.024388658792665725
5649410,76701000,2223,Забайкальский край,7,10621715.7,8622275.18,,Лифтовое оборудование,12164.6,"176,14000",708.8005507784884,0.18824082440843334
