,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1943243,3701000,730883587,Краснодарский край,7,3820000.0,55780.2,,Лифтовое оборудование,4354.6,"0,00000",12.80948881642401,0.9853978534031413
1937293,3705000,725708727,Краснодарский край,6,215600.0,89367.3,,Лифтовое оборудование,1989.1,"0,00000",44.92851038157961,0.5854948979591836
1936148,3705000,725486423,Краснодарский край,6,198000.0,97657.7,,Лифтовое оборудование,1891.0,"0,00000",51.64341618191433,0.5067792929292929
1937108,3705000,48400049,Краснодарский край,6,550000.0,210220.77,,Лифтовое оборудование,3020.1,"0,00000",69.6072216151783,0.6177804181818182
1940266,3705000,99995652,Краснодарский край,6,88000.0,35984.03,,Лифтовое оборудование,405.0,"0,00000",88.84945679012345,0.5910905681818182
1962267,3701000,723660937,Краснодарский край,7,1889992.37,1616641.04,25.09.2018,Лифтовое оборудование,17176.06,"0,00000",94.12176249966522,0.14463091721370286
1972566,3703000,739441983,Краснодарский край,7,1800000.0,1800000.0,04.05.2017,Лифтовое оборудование,17059.9,"0,00000",105.51058329767466,0.0
1936092,3705000,725504966,Краснодарский край,6,154000.0,154000.0,,Лифтовое оборудование,1427.9,"0,00000",107.85068982421737,0.0
1933382,3608000,48399266,Краснодарский край,7,1910000.0,1551800.0,,Лифтовое оборудование,12974.6,"0,00000",119.6029164675597,0.1875392670157068
1972500,3703000,738592934,Краснодарский край,7,1800000.0,1800000.0,04.05.2017,Лифтовое оборудование,12153.8,"0,00000",148.1018282347908,0.0
2019358,3628000,99993706,Краснодарский край,6,123856.81,123856.81,28.09.2017,Лифтовое оборудование,783.2,"0,00000",158.14199438202246,0.0
1972189,3703000,74908089,Краснодарский край,7,1800000.0,1800000.0,04.05.2017,Лифтовое оборудование,10972.9,"0,00000",164.04049977672267,0.0
1985295,3726000,48399083,Краснодарский край,7,1910000.0,1900090.86,11.12.2018,Лифтовое оборудование,11106.0,"0,00000",171.08687736358726,0.0051880314136125115
1933389,3608000,48401153,Краснодарский край,7,7640000.0,6252250.0,,Лифтовое оборудование,35999.5,"0,00000",173.6760232781011,0.18164267015706806
1974442,3703000,739687080,Краснодарский край,7,1800000.0,1800000.0,04.05.2017,Лифтовое оборудование,9372.7,"0,00000",192.04711555901713,0.0
1972547,3703000,739431537,Краснодарский край,7,1800000.0,1800000.0,04.05.2017,Лифтовое оборудование,9366.8,"0,00000",192.1680830166119,0.0
1955311,3701000,48400655,Краснодарский край,7,3779864.56,3242281.4,08.05.2018,Лифтовое оборудование,16813.0,"0,00000",192.84371617200975,0.14222286313877874
1959659,3701000,730318248,Краснодарский край,7,1889992.37,1576841.27,,Лифтовое оборудование,7994.52,"0,00000",197.24026833380864,0.16568908159137175
1986675,3726000,743391452,Краснодарский край,6,838403.4,838403.4,25.10.2017,Лифтовое оборудование,3802.5,"0,00000",220.48741617357004,0.0
2046130,3655000,244003135,Краснодарский край,7,1910000.0,1910000.0,,Лифтовое оборудование,8462.48,"0,00000",225.70215823257487,0.0
1933126,3608000,48399272,Краснодарский край,7,1910000.0,1551800.0,,Лифтовое оборудование,6425.8,"0,00000",241.49522238476143,0.1875392670157068
1932967,3608000,48399269,Краснодарский край,7,1910000.0,1551800.0,,Лифтовое оборудование,6203.9,"0,00000",250.13298086687408,0.1875392670157068
1979637,3726000,747775603,Краснодарский край,7,2050000.0,1688096.15,21.12.2018,Лифтовое оборудование,6608.6,"0,00000",255.4392987924825,0.1765384634146342
1938101,3705000,726531426,Краснодарский край,7,4700266.0,3740944.72,03.12.2018,Лифтовое оборудование,14528.0,"0,00000",257.4989482378855,0.204099359483059
1958224,3701000,464751466,Краснодарский край,7,1889992.37,1510837.19,13.08.2018,Лифтовое оборудование,5828.3,"0,00000",259.22433471166545,0.200612016227346
1953842,3701000,721226821,Краснодарский край,7,1889992.37,1611215.55,08.05.2018,Лифтовое оборудование,6156.15,"0,00000",261.724543748934,0.1475015584322174
1955112,3701000,48398738,Краснодарский край,7,1889992.37,1575244.54,,Лифтовое оборудование,5825.2,"0,00000",270.4189624390579,0.16653391568982898
1957860,3701000,731355972,Краснодарский край,7,1889992.37,1574628.17,,Лифтовое оборудование,5808.04,"0,00000",271.1117984724623,0.1668600386995214
1984431,3726000,99995927,Краснодарский край,7,1910000.0,1900090.86,11.12.2018,Лифтовое оборудование,7007.32,"0,00000",271.15799763675705,0.0051880314136125115
1958225,3701000,736568244,Краснодарский край,7,1889992.37,1615228.62,08.05.2018,Лифтовое оборудование,5921.7,"0,00000",272.76434469831304,0.14537823239995407
1959046,3701000,728220735,Краснодарский край,7,1959992.37,1614667.13,27.07.2018,Лифтовое оборудование,5712.17,"0,00000",282.67140683838187,0.17618703280972475
1942352,3709000,99987266,Краснодарский край,6,857422.45,857422.45,28.07.2017,Лифтовое оборудование,3004.2,"0,00000",285.4079122561747,0.0
1932635,3608000,242959511,Краснодарский край,7,3820000.0,3383300.0,,Лифтовое оборудование,11741.4,"0,00000",288.15132778033285,0.1143193717277487
1968726,3701000,78918274,Краснодарский край,7,1889992.37,1509050.14,07.09.2018,Лифтовое оборудование,5004.7,"0,00000",301.52659300257756,0.20155754914502655
1985797,3726000,738416114,Краснодарский край,7,2050000.0,1688096.15,21.12.2018,Лифтовое оборудование,5512.0,"0,00000",306.2583726415094,0.1765384634146342
