,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1721051,4703000,101003002,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,11048.5,"0,00000",0.0,1.0
1782017,4722000,801011002,Красноярский край,7,2115.56,0.0,,Лифтовое оборудование,3429.36,"0,00000",0.0,1.0
1782063,4722000,801011007,Красноярский край,7,4231.12,0.0,,Лифтовое оборудование,4728.68,"0,00000",0.0,1.0
1783420,4722000,801022010,Красноярский край,7,2115.56,0.0,,Лифтовое оборудование,7253.51,"0,00000",0.0,1.0
1783430,4722000,801022011,Красноярский край,7,2571675.0,0.0,,Лифтовое оборудование,9158.05,"0,00000",0.0,1.0
1783676,4722000,801027014,Красноярский край,7,6346.68,0.0,,Лифтовое оборудование,7213.91,"0,00000",0.0,1.0
1784037,4722000,801036001,Красноярский край,7,14808.92,0.0,,Лифтовое оборудование,15598.22,"0,00000",0.0,1.0
1784038,4722000,801036001,Красноярский край,7,14808.92,0.0,,Лифтовое оборудование,15598.22,"0,00000",0.0,1.0
1786705,4723000,901002014,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2869.54,"0,00000",0.0,1.0
1786847,4723000,901003004,Красноярский край,7,10865.76,0.0,,Лифтовое оборудование,14007.86,"0,00000",0.0,1.0
1786867,4723000,901003006,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2934.14,"0,00000",0.0,1.0
1786874,4723000,901003007,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,3067.57,"0,00000",0.0,1.0
1786949,4723000,901003015,Красноярский край,7,10865.76,0.0,,Лифтовое оборудование,12402.6,"57,25000",0.0,1.0
1786973,4723000,901003018,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,8482.8,"0,00000",0.0,1.0
1786987,4723000,901003020,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,8786.51,"0,00000",0.0,1.0
1787033,4723000,901003025,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,7482.82,"0,00000",0.0,1.0
1787076,4723000,901003029,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,5752.23,"0,00000",0.0,1.0
1787399,4723000,901009006,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2374.9,"0,00000",0.0,1.0
1781287,4701000,701320031,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,4501.4,"0,00000",0.0,1.0
1781274,4701000,701320030,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,4503.8,"0,00000",0.0,1.0
1781266,4701000,701320029,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,8533.1,"0,00000",0.0,1.0
1781255,4701000,701320028,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,12493.53,"0,00000",0.0,1.0
1781078,4701000,701320010,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,14806.2,"0,00000",0.0,1.0
1781086,4701000,701320011,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,6915.3,"0,00000",0.0,1.0
1781103,4701000,701320012,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,7723.34,"0,00000",0.0,1.0
1781112,4701000,701320013,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,11943.19,"0,00000",0.0,1.0
1781117,4701000,701320014,Красноярский край,7,14487.68,0.0,,Лифтовое оборудование,27768.5,"0,00000",0.0,1.0
1781127,4701000,701320015,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,4038.0,"0,00000",0.0,1.0
1781140,4701000,701320016,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,12924.7,"0,00000",0.0,1.0
1781151,4701000,701320017,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,8137.5,"0,00000",0.0,1.0
1787477,4723000,901009014,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,4294.59,"0,00000",0.0,1.0
1781155,4701000,701320018,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,10599.7,"0,00000",0.0,1.0
1781176,4701000,701320020,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,11910.0,"0,00000",0.0,1.0
1781186,4701000,701320021,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,7368.56,"0,00000",0.0,1.0
1781197,4701000,701320022,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,6446.6,"0,00000",0.0,1.0
1781205,4701000,701320023,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,8599.2,"0,00000",0.0,1.0
1781220,4701000,701320024,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,9331.1,"0,00000",0.0,1.0
1781230,4701000,701320025,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,7395.3,"0,00000",0.0,1.0
1781235,4701000,701320026,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2545.8,"0,00000",0.0,1.0
1781252,4701000,701320027,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,4786.9,"0,00000",0.0,1.0
1781166,4701000,701320019,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,5999.87,"0,00000",0.0,1.0
1781064,4701000,701320009,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2949.7,"0,00000",0.0,1.0
1787618,4723000,901011002,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,8595.9,"3115,30000",0.0,1.0
1787691,4723000,901011011,Красноярский край,7,3982400.0,0.0,,Лифтовое оборудование,3918.85,"0,00000",0.0,1.0
1789844,4726000,1001002003,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,10331.3,"1140,85000",0.0,1.0
1789938,4726000,1001002013,Красноярский край,7,5432.88,0.0,,Лифтовое оборудование,6727.5,"0,00000",0.0,1.0
1789965,4726000,1001002017,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2839.9,"0,00000",0.0,1.0
1790747,4726000,1001009005,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,14355.9,"0,00000",0.0,1.0
1790760,4726000,1001009006,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,5686.0,"0,00000",0.0,1.0
1790798,4726000,1001009010,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,4341.7,"0,00000",0.0,1.0
1790819,4726000,1001009012,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,4597.3,"0,00000",0.0,1.0
1791135,4726000,1001009049,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,24946.65,"12777,03000",0.0,1.0
1791151,4726000,1001009051,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,3491.9,"0,00000",0.0,1.0
1791182,4726000,1001009054,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,9128.7,"0,00000",0.0,1.0
1791494,4726000,1001014011,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,5899.9,"0,00000",0.0,1.0
1791588,4726000,1001014021,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,3003.8,"0,00000",0.0,1.0
1791623,4726000,1001018001,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,7033.0,"0,00000",0.0,1.0
1792147,4726000,1001033001,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,14411.95,"3773,18000",0.0,1.0
1792149,4726000,1001033002,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,7115.0,"0,00000",0.0,1.0
1792673,4729000,1101001001,Красноярский край,7,8589.24,0.0,,Лифтовое оборудование,8264.0,"0,00000",0.0,1.0
1792674,4729000,1101001001,Красноярский край,7,8589.24,0.0,,Лифтовое оборудование,8264.0,"0,00000",0.0,1.0
1789834,4726000,1001002002,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,22138.58,"0,00000",0.0,1.0
1789833,4726000,1001002002,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,22138.58,"0,00000",0.0,1.0
1789827,4726000,1001002001,Красноярский край,7,12676.72,0.0,,Лифтовое оборудование,16502.1,"0,00000",0.0,1.0
1789646,4723000,901058008,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,7502.43,"0,00000",0.0,1.0
1787949,4723000,901023007,Красноярский край,7,14487.68,0.0,,Лифтовое оборудование,17007.35,"0,00000",0.0,1.0
1788075,4723000,901027002,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,6724.2,"0,00000",0.0,1.0
1788144,4723000,901029001,Красноярский край,7,18109.6,0.0,,Лифтовое оборудование,20461.98,"0,00000",0.0,1.0
1788179,4723000,901029005,Красноярский край,7,7243.84,0.0,,Лифтовое оборудование,6944.8,"0,00000",0.0,1.0
1789110,4723000,901053002,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,5921.5,"0,00000",0.0,1.0
1789392,4723000,901057005,Красноярский край,7,9054.8,0.0,,Лифтовое оборудование,9577.99,"0,00000",0.0,1.0
1789397,4723000,901057006,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,3440.91,"0,00000",0.0,1.0
1789412,4723000,901057008,Красноярский край,7,1991200.0,0.0,,Лифтовое оборудование,4095.74,"0,00000",0.0,1.0
1787630,4723000,901011003,Красноярский край,7,3621.92,0.0,,Лифтовое оборудование,4313.29,"0,00000",0.0,1.0
1789492,4723000,901057017,Красноярский край,7,1810.96,0.0,,Лифтовое оборудование,2647.7,"0,00000",0.0,1.0
