,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6008678,47610000,51586095,Мурманская область,6,4021380.94,390000.0,14.10.2016,Лифтовое оборудование,4509.2,,86.48984298766966,0.9030183894988073
6010934,47715000,51585835,Мурманская область,6,2917428.77,2802910.14,14.11.2017,Лифтовое оборудование,22102.0,,126.81703646728803,0.039253273696893
6010874,47715000,51585365,Мурманская область,6,2917428.77,2802910.14,14.11.2017,Лифтовое оборудование,17736.0,,158.03507780784844,0.039253273696893
6034437,47615000,51594429,Мурманская область,6,2917428.77,2840894.63,20.12.2017,Лифтовое оборудование,16099.8,,176.45527459968446,0.02623342197314388
6008243,47605000,51587605,Мурманская область,6,2917428.77,2612480.98,25.12.2017,Лифтовое оборудование,11402.3,,229.11877252834955,0.10452621607621976
5990520,47737000,51591316,Мурманская область,6,3461194.94,2895900.0,22.12.2016,Лифтовое оборудование,10672.7,,271.3371499245739,0.16332363527608762
6031337,47717000,51593361,Мурманская область,6,5484778.74,5681789.26,15.02.2018,Лифтовое оборудование,20450.9,,277.82587856769135,-0.03591950183208294
6028969,47701000,51591380,Мурманская область,6,2917428.77,2840894.63,25.01.2018,Лифтовое оборудование,9209.7,,308.4676623559942,0.02623342197314388
6028970,47701000,51591380,Мурманская область,6,2917428.77,2840894.63,25.01.2018,Лифтовое оборудование,9209.7,,308.4676623559942,0.02623342197314388
6033154,47717000,51592745,Мурманская область,6,5834857.54,5681789.26,21.12.2017,Лифтовое оборудование,17745.7,,320.1783677172498,0.02623342197314388
6033153,47717000,51592745,Мурманская область,6,5834857.54,5681789.26,21.12.2017,Лифтовое оборудование,17745.7,,320.1783677172498,0.02623342197314388
6034962,47615000,51594296,Мурманская область,6,5834857.54,5681789.26,01.03.2018,Лифтовое оборудование,17264.3,,329.10626321368375,0.02623342197314388
6034406,47615000,51594434,Мурманская область,6,6908838.39,5948354.15,08.09.2016,Лифтовое оборудование,17662.8,,336.77300031705056,0.13902253689856528
6020323,47701000,51592692,Мурманская область,6,3100000.0,3100000.0,13.08.2015,Лифтовое оборудование,8774.4,,353.30051057622177,0.0
6006994,47605000,51587433,Мурманская область,6,2917428.77,2612480.98,18.12.2017,Лифтовое оборудование,7172.7,,364.22560263220265,0.10452621607621976
6018536,47701000,51592566,Мурманская область,6,3973040.46,3418343.8,21.06.2016,Лифтовое оборудование,9145.3,,373.7814833849081,0.13961515508956085
6036221,47719000,51593871,Мурманская область,6,2742389.38,2728677.43,29.05.2018,Лифтовое оборудование,7145.2,,381.88958041762305,0.005000001130401009
6023458,47701000,51591587,Мурманская область,6,2917428.77,2840894.63,18.01.2018,Лифтовое оборудование,6055.7,,469.12737255808577,0.02623342197314388
6014594,47701000,51591788,Мурманская область,6,5484778.74,5408832.14,23.01.2018,Лифтовое оборудование,10330.7,,523.5687939829827,0.013846793754163464
6009639,47715000,52426279,Мурманская область,6,8752286.31,8408730.43,20.11.2017,Лифтовое оборудование,15319.7,,548.883491843835,0.03925327255433453
6036842,47719000,51593857,Мурманская область,6,2917428.77,2840894.63,26.02.2018,Лифтовое оборудование,5056.4,,561.8413555098489,0.02623342197314388
6016272,47701000,51594137,Мурманская область,6,5834857.54,5681789.26,26.12.2017,Лифтовое оборудование,9847.8,,576.9602611750848,0.02623342197314388
6032796,47717000,51592482,Мурманская область,6,2917428.77,2802910.14,15.02.2018,Лифтовое оборудование,4788.5,,585.3419943614911,0.039253273696893
6006990,47605000,51587315,Мурманская область,6,5834857.54,5224961.97,18.12.2017,Лифтовое оборудование,8831.4,,591.6346185202799,0.1045262143623819
6032794,47717000,51592467,Мурманская область,6,2917428.77,2802910.14,15.02.2018,Лифтовое оборудование,4668.4,,600.4005954931026,0.039253273696893
6030495,47701000,52116882,Мурманская область,6,2917428.77,2840894.63,25.01.2018,Лифтовое оборудование,4676.1,,607.5350462992664,0.02623342197314388
5994992,47730000,51592979,Мурманская область,6,3585768.04,3585768.04,31.10.2014,Лифтовое оборудование,5848.6,,613.0985261430086,0.0
6015257,47701000,51583995,Мурманская область,6,11669715.07,5681789.26,02.03.2018,Лифтовое оборудование,9190.8,,618.2039931235583,0.5131167105693525
6004063,47703000,51582997,Мурманская область,6,2742389.38,2728677.43,27.12.2017,Лифтовое оборудование,4366.3,,624.9404369832581,0.005000001130401009
6008681,47610000,51586095,Мурманская область,6,2917428.77,2840894.63,25.05.2018,Лифтовое оборудование,4509.2,,630.0218730595227,0.02623342197314388
6008689,47610000,51585663,Мурманская область,6,2917428.77,2840894.63,25.05.2018,Лифтовое оборудование,4499.2,,631.4221706081081,0.02623342197314388
6034467,47615000,51594431,Мурманская область,6,3454419.19,2974177.0,08.09.2016,Лифтовое оборудование,4689.7,,634.1934452097149,0.1390225573636881
5989245,47705000,51593456,Мурманская область,6,2917428.77,2802910.14,07.02.2018,Лифтовое оборудование,4403.7,,636.489801757613,0.039253273696893
6003812,47703000,51584315,Мурманская область,6,2917428.77,2802910.14,27.12.2017,Лифтовое оборудование,4360.8,,642.751362135388,0.039253273696893
6011070,47715000,51584809,Мурманская область,6,14587143.84,14014550.72,01.12.2017,Лифтовое оборудование,21761.3,,644.0125691020298,0.039253271667197
6009561,47715000,51585041,Мурманская область,6,8752286.31,8408730.43,01.12.2017,Лифтовое оборудование,13042.6,,644.7127436247374,0.03925327255433453
6010189,47715000,51585206,Мурманская область,6,2917428.77,2802910.14,01.12.2017,Лифтовое оборудование,4322.4,,648.46153525819,0.039253273696893
6032891,47717000,51592460,Мурманская область,6,2917428.77,2802910.14,02.03.2018,Лифтовое оборудование,4296.2,,652.4161212234068,0.039253273696893
6011063,47715000,51584912,Мурманская область,6,5834857.54,5605820.29,01.12.2017,Лифтовое оборудование,8566.6,,654.3810017976793,0.03925327198305514
6033170,47717000,51592746,Мурманская область,6,2917428.77,2802910.14,02.03.2018,Лифтовое оборудование,4228.4,,662.877244347744,0.039253273696893
6010873,47715000,51584754,Мурманская область,6,23339430.16,22423281.16,14.11.2017,Лифтовое оборудование,32910.0,,681.3516001215436,0.03925327198305514
5993821,47730000,51592072,Мурманская область,6,3000000.0,3000000.0,04.12.2014,Лифтовое оборудование,4394.5,,682.6715212197065,0.0
5988383,47705000,51593554,Мурманская область,6,2917428.77,2840894.63,06.03.2018,Лифтовое оборудование,4161.1,,682.7268342505587,0.02623342197314388
6009581,47715000,51585580,Мурманская область,6,17504572.61,16817460.87,08.12.2017,Лифтовое оборудование,24493.5,,686.6091358931963,0.03925327143420032
5994940,47730000,51592974,Мурманская область,6,5443053.63,5443053.63,20.08.2014,Лифтовое оборудование,7922.6,,687.0287064852447,0.0
6018838,47701000,51592348,Мурманская область,6,2742389.37,2728677.43,29.12.2017,Лифтовое оборудование,3888.9,,701.6579058345548,0.004999997502178162
5991885,47733000,52603134,Мурманская область,6,2917428.77,2802910.14,15.06.2018,Лифтовое оборудование,3979.6,,704.31956478038,0.039253273696893
5991889,47733000,52603134,Мурманская область,6,2917428.77,2802910.14,15.06.2018,Лифтовое оборудование,3979.6,,704.31956478038,0.039253273696893
6025764,47701000,51583851,Мурманская область,6,2742389.38,2728677.43,,Лифтовое оборудование,3853.9,,708.0301590596539,0.005000001130401009
5990961,47737000,51594609,Мурманская область,6,2512251.65,2380691.0,22.12.2016,Лифтовое оборудование,3335.4,,713.7647658451759,0.052367624079379116
6014221,47701000,51592810,Мурманская область,6,2917428.77,2840894.63,27.12.2017,Лифтовое оборудование,3906.7,,727.1852535387924,0.02623342197314388
6023847,47701000,51591350,Мурманская область,6,2917428.77,2840894.63,23.01.2018,Лифтовое оборудование,3866.6,,734.7267961516578,0.02623342197314388
6022637,47701000,51584525,Мурманская область,6,9550000.0,9550000.0,27.08.2015,Лифтовое оборудование,12797.9,,746.21617609139,0.0
6013238,47701000,51592898,Мурманская область,6,2917428.77,2840894.63,27.12.2017,Лифтовое оборудование,3696.9,,768.4531986258756,0.02623342197314388
5991899,47733000,52603136,Мурманская область,6,3970730.94,3390000.0,18.10.2016,Лифтовое оборудование,3998.5,,847.8179317243967,0.14625290627221393
6024243,47701000,51592760,Мурманская область,6,10969557.48,10914709.66,27.12.2017,Лифтовое оборудование,12806.8,,852.2589296311335,0.005000002971861021
6011065,47715000,51585266,Мурманская область,6,14587143.84,14014550.72,01.12.2017,Лифтовое оборудование,15758.2,,889.349717607341,0.039253271667197
6019400,47701000,51582444,Мурманская область,6,5834857.54,5681789.26,18.01.2018,Лифтовое оборудование,6161.2,,922.188739206648,0.02623342197314388
6013609,47701000,51592899,Мурманская область,6,8631685.92,8631685.92,20.08.2015,Лифтовое оборудование,9323.5,,925.7988866841852,0.0
5993070,47730000,51592595,Мурманская область,6,2742389.38,2728677.43,,Лифтовое оборудование,2932.1,,930.6222263906416,0.005000001130401009
6019365,47701000,51582171,Мурманская область,6,5834857.54,5681789.26,18.01.2018,Лифтовое оборудование,6089.6,,933.0316047031002,0.02623342197314388
6027807,47701000,51592638,Мурманская область,6,5981800.0,6091266.11,24.12.2014,Лифтовое оборудование,6361.1,,957.5806244203046,-0.01829986124577892
6007694,47605000,51586407,Мурманская область,6,2917428.77,2612480.98,18.12.2017,Лифтовое оборудование,2703.3,,966.404387230422,0.10452621607621976
