,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1669847,79701000,385000000076,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8003.1,"0,00000",0.0,
1672211,79701000,385000000496,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8385.6,"0,00000",0.0,
1672206,79701000,385000000495,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8154.65,"0,00000",0.0,
1672165,79701000,385000000487,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6390.4,"0,00000",0.0,
1672162,79701000,385000000486,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6560.46,"0,00000",0.0,
1672085,79701000,385000000473,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,7064.83,"0,00000",0.0,
1672076,79701000,385000000471,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,9258.15,"0,00000",0.0,
1672064,79701000,385000000469,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,7081.09,"0,00000",0.0,
1672058,79701000,385000000541,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,33354.9,"0,00000",0.0,
1672053,79701000,385000000468,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,12038.23,"0,00000",0.0,
1671986,79701000,385000000457,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6458.8,"0,00000",0.0,
1671935,79701000,385000000448,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,10802.5,"0,00000",0.0,
1671890,79701000,385000000440,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6596.3,"0,00000",0.0,
1671810,79701000,385000000425,Республика Адыгея,6,2450140.0,0.0,,Лифтовое оборудование,14275.0,"6799,60000",0.0,1.0
1671775,79701000,385000000418,Республика Адыгея,6,9250000.0,0.0,,Лифтовое оборудование,11412.05,"0,00000",0.0,1.0
1671764,79701000,385000000416,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,9821.8,"0,00000",0.0,
1671733,79701000,385000000410,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,9141.72,"5999,00000",0.0,
1671724,79701000,385000000409,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,9211.3,"0,00000",0.0,
1671515,79701000,385000000572,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8576.8,"0,00000",0.0,
1676130,79630000,385100000638,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,62066.6,"0,00000",0.0,
1671531,79701000,385000000377,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,10754.52,"0,00000",0.0,
1671532,79701000,385000000378,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,10946.9,"0,00000",0.0,
1671548,79701000,385000000380,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,11642.7,"0,00000",0.0,
1671556,79701000,385000000382,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,13374.44,"0,00000",0.0,
1672229,79701000,385000000499,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6399.8,"0,00000",0.0,
1671570,79701000,385000000384,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,11019.7,"0,00000",0.0,
1671585,79701000,385000000529,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6266.8,"0,00000",0.0,
1671593,79701000,385000000387,Республика Адыгея,6,9250000.0,0.0,,Лифтовое оборудование,13563.16,"2028,53000",0.0,1.0
1671600,79701000,385000000389,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8277.34,"4500,00000",0.0,
1671618,79701000,385000000392,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8381.8,"0,00000",0.0,
1671713,79701000,385000000407,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5189.9,"0,00000",0.0,
1671719,79701000,385000000408,Республика Адыгея,6,1085070.0,0.0,,Лифтовое оборудование,2184.9,"1600,00000",0.0,1.0
1671577,79701000,385000000386,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,4977.9,"0,00000",0.0,
1671508,79701000,385000000374,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,1000.0,"0,00000",0.0,
1672241,79701000,385000000500,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6172.7,"4720,68000",0.0,
1672253,79701000,385000000501,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,9882.5,"0,00000",0.0,
1676127,79630000,385100000637,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,62066.6,"0,00000",0.0,
1676124,79630000,385100000636,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,62066.6,"0,00000",0.0,
1676121,79630000,385100000635,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,62066.6,"0,00000",0.0,
1676118,79630000,385100000634,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,62066.6,"0,00000",0.0,
1676117,79630000,385100000620,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676111,79630000,385100000619,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676109,79630000,385100000618,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676104,79630000,385100000617,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676100,79630000,385100000616,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676096,79630000,385100000615,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676090,79630000,385100000614,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676086,79630000,385100000613,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676083,79630000,385100000612,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676078,79630000,385100000611,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,64291.0,"0,00000",0.0,
1676065,79630000,385100000625,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,29616.0,"0,00000",0.0,
1676041,79630000,385100000621,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,29616.0,"0,00000",0.0,
1675760,79630000,385100000599,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,18369.9,"0,00000",0.0,
1672261,79701000,385000000503,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8137.2,"1567,58000",0.0,
1672290,79701000,385000000509,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8400.73,"0,00000",0.0,
1672302,79701000,385000000516,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,4340.15,"0,00000",0.0,
1672304,79701000,385000000517,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6489.8,"4110,70000",0.0,
1672321,79701000,385000000511,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,13254.2,"5030,30000",0.0,
1672327,79701000,385000000512,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5809.1,"4500,00000",0.0,
1672247,79701000,385000000528,Республика Адыгея,6,3700000.0,0.0,,Лифтовое оборудование,3948.8,"0,00000",0.0,1.0
1672335,79701000,385000000513,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,1000.0,"0,00000",0.0,
1672356,79701000,385000000518,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,4934.4,"0,00000",0.0,
1672366,79701000,385000000520,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6912.4,"0,00000",0.0,
1675547,79630000,385100000298,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,24484.0,"0,00000",0.0,
1675549,79630000,385100000562,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,24484.0,"0,00000",0.0,
1675553,79630000,385100000299,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,24484.0,"0,00000",0.0,
1675758,79630000,385100000217,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,18369.9,"0,00000",0.0,
1672343,79701000,385000000514,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5961.0,"0,00000",0.0,
1671435,79701000,385000000360,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,6519.5,"0,00000",0.0,
1671521,79701000,385000000376,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,7713.4,"0,00000",0.0,
1671427,79701000,385000000358,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,3356.3,"0,00000",0.0,
1670344,79701000,385000000178,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,2913.9,"0,00000",0.0,
1671431,79701000,385000000359,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,1478.9,"0,00000",0.0,
1670335,79701000,385000000177,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5693.1,"0,00000",0.0,
1670328,79701000,385000000175,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,7468.5,"13,00000",0.0,
1670321,79701000,385000000173,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5381.01,"709,06000",0.0,
1670300,79701000,385000000171,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5136.2,"1706,06000",0.0,
1670288,79701000,385000000169,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,3007.0,"0,00000",0.0,
1670283,79701000,385000000168,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,2498.0,"0,00000",0.0,
1670257,79701000,385000000163,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,5678.3,"0,00000",0.0,
1670198,79701000,385000000154,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,8687.3,"0,00000",0.0,
1670176,79701000,385000000151,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,18240.8,"0,00000",0.0,
1670169,79701000,385000000150,Республика Адыгея,6,2205070.0,0.0,,Лифтовое оборудование,18240.8,"3200,00000",0.0,1.0
1670158,79701000,385000000149,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,10924.0,"0,00000",0.0,
1670088,79701000,385000000072,Республика Адыгея,6,0.0,0.0,,Лифтовое оборудование,3041.7,"0,00000",0.0,
