,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4429522,80739000,4686,Республика Башкортостан,6,6413255.54,6413255.54,28.12.2018,Лифтовое оборудование,2595.1,"6413,25554",2471.2941851951755,0.0
4433944,80745000,5943,Республика Башкортостан,6,4109021.47,4109021.47,29.12.2015,Лифтовое оборудование,1665.0,"6637,73768",2467.880762762763,0.0
4450011,80701000,10922,Республика Башкортостан,6,44570070.0,44570070.0,,Лифтовое оборудование,21215.6,,2100.815909048059,0.0
4457611,80701000,10702,Республика Башкортостан,6,5206020.0,5206020.0,29.08.2019,Лифтовое оборудование,2779.5,"1311,50877",1873.0059363194819,0.0
4452285,80701000,10864,Республика Башкортостан,6,5207530.0,5207530.0,29.08.2019,Лифтовое оборудование,2793.2,"1260,29233",1864.359873979665,0.0
4475072,80701000,10727,Республика Башкортостан,6,5824468.0,5824468.0,,Лифтовое оборудование,3218.0,,1809.9651957737726,0.0
4421949,80727000,16168,Республика Башкортостан,6,9993120.0,9993120.0,23.07.2019,Лифтовое оборудование,5561.0,,1797.000539471318,0.0
4475381,80701000,10737,Республика Башкортостан,6,5824468.0,5824468.0,,Лифтовое оборудование,3264.5,,1784.183795374483,0.0
4477122,80701000,10871,Республика Башкортостан,6,11648936.0,11648936.0,,Лифтовое оборудование,6925.5,"2546,02063",1682.0353765071113,0.0
4467218,80701000,10780,Республика Башкортостан,6,9568980.21,9568980.21,27.11.2018,Лифтовое оборудование,5695.7,"9568,98021",1680.0358533630636,0.0
4467212,80701000,10779,Республика Башкортостан,6,9554055.57,9554055.57,22.10.2018,Лифтовое оборудование,5691.3,"9554,05557",1678.7123451583996,0.0
4467203,80701000,10777,Республика Башкортостан,6,9543815.53,9543815.53,27.11.2018,Лифтовое оборудование,5728.0,"12189,01241",1666.168912360335,0.0
4457592,80701000,10701,Республика Башкортостан,6,4639191.07,4639191.07,30.11.2017,Лифтовое оборудование,2795.5,"6166,74134",1659.5210409586837,0.0
4475176,80701000,10730,Республика Башкортостан,6,5210420.0,5210420.0,29.08.2019,Лифтовое оборудование,3176.8,"8568,58318",1640.1473180559053,0.0
4467196,80701000,10776,Республика Башкортостан,6,9355262.15,9355262.15,28.11.2018,Лифтовое оборудование,5704.8,"11704,62155",1639.893098793998,0.0
4468904,80701000,10794,Республика Башкортостан,6,5824468.0,5824468.0,,Лифтовое оборудование,3572.9,,1630.179406084693,0.0
4479576,80701000,10895,Республика Башкортостан,6,11648936.0,11648936.0,,Лифтовое оборудование,7171.4,,1624.3600970521795,0.0
4471023,80701000,10817,Республика Башкортостан,6,8824001.57,8824001.57,01.10.2018,Лифтовое оборудование,5447.6,"10532,92394",1619.796161612453,0.0
4451140,80701000,10813,Республика Башкортостан,6,5824468.0,5824468.0,,Лифтовое оборудование,3609.5,,1613.649535946807,0.0
4448048,80701000,10671,Республика Башкортостан,6,5824468.0,5824468.0,,Лифтовое оборудование,3659.3,"1320,23368",1591.6891208701118,0.0
4475208,80701000,10734,Республика Башкортостан,6,5231790.0,5231790.0,29.08.2019,Лифтовое оборудование,3299.4,"1008,12200",1585.6792144026185,0.0
4454504,80701000,10666,Республика Башкортостан,6,5206150.0,5206150.0,31.07.2019,Лифтовое оборудование,3287.4,,1583.667944272069,0.0
4448384,80701000,10799,Республика Башкортостан,6,9411739.69,9411739.69,30.10.2018,Лифтовое оборудование,5977.7,"11086,40233",1574.4750807166636,0.0
4451951,80701000,10634,Республика Башкортостан,6,8919510.33,8919510.33,01.10.2018,Лифтовое оборудование,5754.3,"10187,49635",1550.060012512382,0.0
4471241,80701000,10825,Республика Башкортостан,6,8825084.81,8825084.81,01.10.2018,Лифтовое оборудование,5733.5,"10682,75827",1539.2142338885499,0.0
4471042,80701000,10818,Республика Башкортостан,6,8825402.23,8825402.23,01.10.2018,Лифтовое оборудование,5736.8,"11044,81719",1538.3841566727097,0.0
