,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
25972,94701000,5991,Удмуртская Республика,6,2847000.0,2847000.0,12.03.0015,Лифтовое оборудование,9457.03,"1121,01000",301.0458886140786,0.0
11188,94720000,896,Удмуртская Республика,6,1851837.95,1851837.95,22.12.0015,Лифтовое оборудование,5208.47,"28,82000",355.54355693706594,0.0
32375,94701000,3301,Удмуртская Республика,6,1775946.0,1775946.0,19.11.0018,Лифтовое оборудование,4289.1,"1775,95000",414.06029236902845,0.0
24260,94701000,2790,Удмуртская Республика,6,1815153.88,1815154.0,28.04.0017,Лифтовое оборудование,4123.6,"1831,58000",440.1867300417111,-6.611009757021741e-08
13728,94701000,5018,Удмуртская Республика,6,1421070.57,1421070.57,05.05.0015,Лифтовое оборудование,3135.98,"471,12000",453.15039317852796,0.0
42228,94740000,7533,Удмуртская Республика,6,3875622.0,3875622.0,06.03.0015,Лифтовое оборудование,6598.65,"0,00000",587.3355913709622,0.0
10700,94720000,954,Удмуртская Республика,6,1643058.0,1643058.0,26.10.0016,Лифтовое оборудование,2716.28,"1659,49000",604.8927209271503,0.0
17641,94701000,5384,Удмуртская Республика,6,3382648.18,3630308.0,21.06.0017,Лифтовое оборудование,5787.1,"3415,51000",627.3103972628777,-0.07321477340277222
17857,94701000,5345,Удмуртская Республика,6,8505000.0,8505000.0,16.01.0015,Лифтовое оборудование,13477.53,"0,00000",631.0503482463033,0.0
22494,94701000,5705,Удмуртская Республика,6,10155277.0,10155277.0,10.03.0015,Лифтовое оборудование,15910.52,"2491,65000",638.2743618687509,0.0
11149,94720000,1113,Удмуртская Республика,6,7260616.0,7260616.0,18.06.0019,Лифтовое оборудование,10596.25,"6540,71000",685.2061814321104,0.0
10994,94720000,1263,Удмуртская Республика,6,1211000.0,1350000.0,01.07.0015,Лифтовое оборудование,1933.07,"0,00000",698.370985013476,-0.1147811725846408
10978,94720000,1109,Удмуртская Республика,6,7260615.52,7260616.0,04.05.0017,Лифтовое оборудование,10361.89,"7326,34000",700.7038291276978,-6.611009757021741e-08
39945,94740000,7136,Удмуртская Республика,6,1333953.0,1333953.0,09.04.0015,Лифтовое оборудование,1888.85,"423,55000",706.2249516901819,0.0
10965,94720000,1262,Удмуртская Республика,6,1211000.0,1350000.0,01.07.0015,Лифтовое оборудование,1907.83,"0,00000",707.6102168432199,-0.1147811725846408
10275,94720000,959,Удмуртская Республика,6,16336386.0,16336386.0,22.07.0019,Лифтовое оборудование,23064.81,"14588,31000",708.2818371363128,0.0
10739,94720000,1249,Удмуртская Республика,6,1211000.0,1350000.0,01.07.0015,Лифтовое оборудование,1903.57,"0,00000",709.1937780065876,-0.1147811725846408
8423,94720000,1151,Удмуртская Республика,6,3703675.91,3703675.91,22.12.0015,Лифтовое оборудование,5198.51,"0,00000",712.4495114946399,0.0
7705,94720000,1127,Удмуртская Республика,6,1211000.0,1350000.0,01.07.0015,Лифтовое оборудование,1890.45,"43,09000",714.115686741252,-0.1147811725846408
32697,94701000,3335,Удмуртская Республика,6,2940962.19,2940962.0,13.03.0015,Лифтовое оборудование,4084.6,"0,00000",720.0122411007198,6.460470678275555e-08
17594,94701000,5306,Удмуртская Республика,6,1815153.88,1815154.0,18.04.0017,Лифтовое оборудование,2517.2,"1831,58000",721.1004290481488,-6.611009757021741e-08
15318,94701000,5144,Удмуртская Республика,6,,2872294.0,01.10.0016,Лифтовое оборудование,3966.06,"540,83000",724.2184939209191,
19241,94701000,5505,Удмуртская Республика,6,1423500.0,1423500.0,13.05.0015,Лифтовое оборудование,1960.95,"495,39000",725.9236594507764,0.0
15075,94701000,826,Удмуртская Республика,6,1423500.0,1423500.0,13.05.0015,Лифтовое оборудование,1949.76,"0,00000",730.0898572131955,0.0
7738,94720000,1130,Удмуртская Республика,6,1211000.0,1350000.0,01.07.0015,Лифтовое оборудование,1835.32,"33,33000",735.5665497025042,-0.1147811725846408
39940,94740000,7135,Удмуртская Республика,6,1643058.0,1643058.0,13.12.0016,Лифтовое оборудование,2230.68,"1659,49000",736.5727042874819,0.0
11344,94720000,367,Удмуртская Республика,6,12706077.16,12706078.0,01.06.0017,Лифтовое оборудование,17036.71,"12821,09000",745.8058510123141,-6.611009749692e-08
10756,94720000,1251,Удмуртская Республика,6,1815153.88,1815154.0,12.05.0017,Лифтовое оборудование,2360.9,"1831,58000",768.839849210047,-6.611009757021741e-08
11166,94720000,1115,Удмуртская Республика,6,9075769.4,7260616.0,25.04.0017,Лифтовое оборудование,9411.08,"9141,49000",771.4965763759313,0.19999994711192204
17550,94701000,5318,Удмуртская Республика,6,1559260.0,1643056.0,01.10.0016,Лифтовое оборудование,2098.95,"954,10000",782.7990185568975,-0.05374087708271873
17480,94701000,5376,Удмуртская Республика,6,7260616.0,7260616.0,26.07.0017,Лифтовое оборудование,9021.71,"7326,34000",804.7937696955456,0.0
20665,94701000,2669,Удмуртская Республика,6,4917913.0,4217358.0,02.11.0016,Лифтовое оборудование,5219.93,"5586,66000",807.9338228673564,0.1424496529320466
