,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5384948,15604000,4001153,Брянская область,8,1857696.2,0.0,,Ремонт кровли ,390.7,"0,00000",0.0,1.0
5420076,15710000,9011188,Брянская область,8,1187310.0,0.0,,Ремонт кровли ,420.7,"0,00000",0.0,1.0
5420072,15710000,9011185,Брянская область,8,2314043.31,0.0,,Ремонт кровли ,726.3,"0,00000",0.0,1.0
5420066,15710000,9011184,Брянская область,8,2295062.5,0.0,,Ремонт кровли ,732.5,"0,00000",0.0,1.0
5420051,15710000,9011183,Брянская область,8,1720792.07,0.0,,Ремонт кровли ,577.23,"0,00000",0.0,1.0
5420050,15710000,9011182,Брянская область,8,1484945.42,0.0,,Ремонт кровли ,570.6,"0,00000",0.0,1.0
5420036,15710000,9011061,Брянская область,8,4639811.4,0.0,,Ремонт кровли ,254.8,"0,00000",0.0,1.0
5420027,15710000,9011026,Брянская область,8,4846164.0,0.0,,Ремонт кровли ,3659.1,"0,00000",0.0,1.0
5420020,15710000,9011025,Брянская область,8,4846164.0,0.0,,Ремонт кровли ,3458.9,"0,00000",0.0,1.0
5420088,15710000,9011189,Брянская область,8,2444889.74,0.0,,Ремонт кровли ,1136.9,"0,00000",0.0,1.0
5420000,15710000,9011023,Брянская область,8,4846164.0,0.0,,Ремонт кровли ,2742.0,"0,00000",0.0,1.0
5419982,15710000,9011021,Брянская область,8,3282463.07,0.0,,Ремонт кровли ,5980.8,"0,00000",0.0,1.0
5419978,15710000,9011020,Брянская область,8,5587309.73,0.0,,Ремонт кровли ,7287.4,"0,00000",0.0,1.0
5419958,15710000,9011018,Брянская область,8,6809126.73,0.0,,Ремонт кровли ,7663.7,"0,00000",0.0,1.0
5419941,15710000,9011017,Брянская область,8,6687026.43,0.0,,Ремонт кровли ,6989.4,"0,00000",0.0,1.0
5419938,15710000,9011016,Брянская область,8,2442006.0,0.0,,Ремонт кровли ,4494.6,"0,00000",0.0,1.0
5419921,15710000,9011015,Брянская область,8,3421657.41,0.0,,Ремонт кровли ,3098.58,"0,00000",0.0,1.0
5419910,15710000,9011014,Брянская область,8,3644693.96,0.0,,Ремонт кровли ,4064.8,"0,00000",0.0,1.0
5419909,15710000,9011013,Брянская область,8,3809529.36,0.0,,Ремонт кровли ,4053.7,"0,00000",0.0,1.0
5419994,15710000,60000392,Брянская область,8,2171350.34,0.0,,Ремонт кровли ,2933.3,"0,00000",0.0,1.0
5419893,15710000,9011012,Брянская область,8,3295080.1,0.0,,Ремонт кровли ,2847.4,"0,00000",0.0,1.0
5420099,15710000,9011190,Брянская область,8,2673996.57,0.0,,Ремонт кровли ,1502.2,"0,00000",0.0,1.0
5420113,15710000,9011192,Брянская область,8,2461851.31,0.0,,Ремонт кровли ,1165.0,"0,00000",0.0,1.0
5420264,15710000,9011300,Брянская область,8,2051285.04,0.0,,Ремонт кровли ,1276.19,"0,00000",0.0,1.0
5420256,15710000,9011297,Брянская область,8,4804971.61,0.0,,Ремонт кровли ,1428.4,"0,00000",0.0,1.0
5420255,15710000,9011264,Брянская область,8,1465964.61,0.0,,Ремонт кровли ,410.7,"0,00000",0.0,1.0
5420245,15710000,9011263,Брянская область,8,1437695.32,0.0,,Ремонт кровли ,405.5,"0,00000",0.0,1.0
5420233,15710000,9011262,Брянская область,8,1437695.32,0.0,,Ремонт кровли ,407.8,"0,00000",0.0,1.0
5420230,15710000,9011261,Брянская область,8,1437695.32,0.0,,Ремонт кровли ,416.9,"0,00000",0.0,1.0
5420222,15710000,9011260,Брянская область,8,1437695.32,0.0,,Ремонт кровли ,413.7,"0,00000",0.0,1.0
5420213,15710000,9011259,Брянская область,8,1445368.41,0.0,,Ремонт кровли ,401.0,"0,00000",0.0,1.0
5420106,15710000,9011191,Брянская область,8,1187310.18,0.0,,Ремонт кровли ,424.2,"0,00000",0.0,1.0
5420196,15710000,9011257,Брянская область,8,4476644.0,0.0,,Ремонт кровли ,2321.0,"0,00000",0.0,1.0
5420175,15710000,9011255,Брянская область,8,2285774.02,0.0,,Ремонт кровли ,704.1,"0,00000",0.0,1.0
5420169,15710000,9011254,Брянская область,8,2121812.14,0.0,,Ремонт кровли ,649.9,"0,00000",0.0,1.0
5420159,15710000,9011253,Брянская область,8,3028852.5,0.0,,Ремонт кровли ,1139.1,"0,00000",0.0,1.0
5420156,15710000,9011252,Брянская область,8,3028852.5,0.0,,Ремонт кровли ,1136.4,"0,00000",0.0,1.0
5420148,15710000,9011251,Брянская область,8,1437695.32,0.0,,Ремонт кровли ,425.4,"0,00000",0.0,1.0
5420137,15710000,9011250,Брянская область,8,4609509.66,0.0,,Ремонт кровли ,2422.8,"0,00000",0.0,1.0
5420127,15710000,9011195,Брянская область,8,2924256.13,0.0,,Ремонт кровли ,1447.7,"0,00000",0.0,1.0
5420119,15710000,9011193,Брянская область,8,2602771.4,0.0,,Ремонт кровли ,1319.6,"0,00000",0.0,1.0
5420187,15710000,9011256,Брянская область,8,2301927.9,0.0,,Ремонт кровли ,692.4,"0,00000",0.0,1.0
5420273,15710000,9011304,Брянская область,8,2409755.05,0.0,,Ремонт кровли ,896.6,"0,00000",0.0,1.0
5419882,15710000,9011011,Брянская область,8,3394388.34,0.0,,Ремонт кровли ,3033.0,"0,00000",0.0,1.0
5419861,15710000,9011009,Брянская область,8,6231185.31,0.0,,Ремонт кровли ,7059.1,"0,00000",0.0,1.0
5419550,15710000,9011046,Брянская область,8,1693124.16,0.0,,Ремонт кровли ,731.7,"0,00000",0.0,1.0
5419536,15710000,9011044,Брянская область,8,2305967.0,0.0,,Ремонт кровли ,746.8,"0,00000",0.0,1.0
5419515,15710000,9011042,Брянская область,8,1449811.0,0.0,,Ремонт кровли ,446.0,"0,00000",0.0,1.0
