,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5675106,76632000,1481,Забайкальский край,8,0.0,0.0,13.09.2018,Ремонт кровли ,416.7,"0,00000",0.0,
5672790,76621000,998,Забайкальский край,8,1013420.4,1013420.4,29.12.2018,Ремонт кровли ,35466.23,"1013,42000",28.57423526549058,0.0
5672095,76621000,951,Забайкальский край,8,816778.8,816778.8,29.12.2018,Ремонт кровли ,12082.8,"816,78000",67.59847055318305,0.0
5672713,76621000,990,Забайкальский край,8,1938383.64,1938383.64,30.12.2016,Ремонт кровли ,20122.0,"1938,38000",96.33155948712852,0.0
5672668,76621000,986,Забайкальский край,8,422127.3,422127.3,30.12.2016,Ремонт кровли ,4075.29,"422,13000",103.58214998196448,0.0
5671730,76621000,927,Забайкальский край,8,1439274.0,1439274.0,29.12.2018,Ремонт кровли ,11621.0,"1439,27000",123.85113157215386,0.0
5671850,76621000,932,Забайкальский край,8,590198.83,590198.83,30.12.2016,Ремонт кровли ,4420.8,"590,20000",133.50498326094822,0.0
5649278,76701000,2212,Забайкальский край,8,870000.0,870000.0,29.12.2017,Ремонт кровли ,6402.0,"870,00000",135.8950328022493,0.0
5671381,76621000,902,Забайкальский край,8,380057.94,380057.94,30.12.2016,Ремонт кровли ,2481.92,"380,06000",153.13061661939145,0.0
5661503,76701000,3327,Забайкальский край,8,748798.0,748798.0,29.12.2018,Ремонт кровли ,4799.0,"748,80000",156.0320900187539,0.0
5671947,76621000,935,Забайкальский край,8,1592287.28,1592287.28,29.12.2018,Ремонт кровли ,9804.49,"1592,29000",162.40388638266754,0.0
5672248,76621000,966,Забайкальский край,8,2484194.4,2484194.4,29.12.2018,Ремонт кровли ,14460.02,"2484,19000",171.79743873106676,0.0
5672761,76621000,995,Забайкальский край,8,999772.8,999772.8,29.12.2018,Ремонт кровли ,5741.6,"999,77000",174.1279085969068,0.0
5671860,76621000,933,Забайкальский край,8,590198.83,590198.83,30.12.2016,Ремонт кровли ,3139.16,"590,20000",188.01170695345252,0.0
5672861,76621000,4489,Забайкальский край,8,305498.4,305498.4,29.12.2018,Ремонт кровли ,1589.4,"305,50000",192.20989052472632,0.0
5671990,76621000,940,Забайкальский край,8,1067615.62,1067615.62,29.12.2018,Ремонт кровли ,5524.0,"1067,62000",193.26857711803044,0.0
5672162,76621000,958,Забайкальский край,8,2043997.2,2043997.2,29.12.2018,Ремонт кровли ,10575.0,"2044,00000",193.28578723404254,0.0
5672365,76621000,973,Забайкальский край,8,1028788.9,1028788.9,30.12.2016,Ремонт кровли ,5206.2,"1028,79000",197.60840920441015,0.0
5672680,76621000,987,Забайкальский край,8,4372968.0,4372968.0,29.12.2018,Ремонт кровли ,20102.58,"4372,97000",217.53267491038463,0.0
5671682,76621000,922,Забайкальский край,8,941889.6,941889.6,29.12.2018,Ремонт кровли ,4292.9,"941,89000",219.40636865522143,0.0
5672383,76621000,975,Забайкальский край,8,948394.8,948394.8,29.12.2018,Ремонт кровли ,4269.4,"948,39000",222.1377242703893,0.0
5671768,76621000,1045,Забайкальский край,8,1131562.18,1131562.18,30.12.2016,Ремонт кровли ,4955.0,"1131,56000",228.36774571140262,0.0
5671983,76621000,939,Забайкальский край,8,3886790.4,3886790.4,29.12.2018,Ремонт кровли ,16852.2,"3886,79000",230.6399401858511,0.0
5672358,76621000,1066,Забайкальский край,8,1028788.9,1028788.9,30.12.2016,Ремонт кровли ,4142.6,"1028,79000",248.34376961328633,0.0
5671760,76621000,1044,Забайкальский край,8,1212611.66,1212611.66,30.12.2016,Ремонт кровли ,4824.6,"1212,61000",251.33931517638766,0.0
5675409,76632000,4096,Забайкальский край,8,1056743.53,1103258.7,12.07.2018,Ремонт кровли ,4247.1,"1056,74000",259.7675354948082,-0.04401746372651075
5671776,76621000,1046,Забайкальский край,8,1289610.2,1289610.2,30.12.2016,Ремонт кровли ,4955.8,"1289,61000",260.22240606965573,0.0
5664435,76701000,3735,Забайкальский край,8,787561.0,787561.0,22.12.2015,Ремонт кровли ,2990.0,"2970,06000",263.39832775919734,0.0
5649449,76701000,2224,Забайкальский край,8,2391488.0,2391488.0,30.12.2014,Ремонт кровли ,8494.1,"11053,18000",281.546956122485,0.0
5675363,76632000,4079,Забайкальский край,8,2668940.52,1434574.8,,Ремонт кровли ,5028.6,"0,00000",285.28314043670207,0.46249277971919733
5671287,76621000,1019,Забайкальский край,8,1808673.32,1808673.32,29.12.2017,Ремонт кровли ,6198.5,"1808,67000",291.79209808824714,0.0
5672581,76621000,1080,Забайкальский край,8,1209253.2,1209253.2,29.12.2018,Ремонт кровли ,4100.8,"1209,25000",294.8822668747561,0.0
5672624,76621000,1084,Забайкальский край,8,1222034.4,1222034.4,29.12.2018,Ремонт кровли ,3650.36,"1222,03000",334.77092670311964,0.0
5672455,76621000,1070,Забайкальский край,8,1201034.4,1201034.4,29.12.2018,Ремонт кровли ,3511.28,"1201,03000",342.050306440956,0.0
5672636,76621000,1085,Забайкальский край,8,1211544.0,1211544.0,29.12.2018,Ремонт кровли ,3507.75,"1211,54000",345.3906350224503,0.0
5657613,76701000,2868,Забайкальский край,8,2725857.0,2725857.0,25.12.2015,Ремонт кровли ,7625.1,"2725,86000",357.48475429830427,0.0
5650708,76701000,840,Забайкальский край,8,1763747.0,1763747.0,26.11.2015,Ремонт кровли ,4562.0,"1763,75000",386.61705392371766,0.0
5647931,76715000,1700,Забайкальский край,8,1152494.3,876831.81,,Ремонт кровли ,2124.0,"0,00000",412.8210028248588,0.2391877252668408
5675314,76632000,4069,Забайкальский край,8,3298520.62,2708024.41,,Ремонт кровли ,6514.0,"0,00000",415.72373503223827,0.1790184989051243
5667250,76609000,304,Забайкальский край,8,444990.0,444990.0,17.12.2014,Ремонт кровли ,1042.4,"999,05000",426.8898695318495,0.0
5660715,76701000,3232,Забайкальский край,8,1767842.0,1767842.0,30.12.2016,Ремонт кровли ,4095.5,"4389,01000",431.6547430106214,0.0
5659066,76701000,3024,Забайкальский край,8,1854141.0,1854141.0,16.01.2017,Ремонт кровли ,4277.9,"1969,22000",433.423174922275,0.0
5667638,76609000,358,Забайкальский край,8,3875513.24,3389765.77,,Ремонт кровли ,7760.4,"4865,00000",436.8029702077213,0.12533758496461753
5659348,76701000,3065,Забайкальский край,8,960790.0,960790.0,07.11.2016,Ремонт кровли ,2195.9,"960,79000",437.5381392595291,0.0
5651405,76701000,3404,Забайкальский край,8,3083986.0,3083986.0,20.06.2017,Ремонт кровли ,7025.1,"4448,42000",438.9953167926435,0.0
5650667,76701000,836,Забайкальский край,8,1881494.0,1881494.0,22.12.2015,Ремонт кровли ,4236.2,"1881,49000",444.1466408573722,0.0
5676742,76640000,5689,Забайкальский край,8,1496078.2,1496078.2,30.12.2016,Ремонт кровли ,3357.3,"1945,75000",445.619456110565,0.0
5648733,76715000,1810,Забайкальский край,8,3242716.98,3069390.73,,Ремонт кровли ,6864.0,"0,00000",447.1723091491842,0.053450933605682725
5654927,76701000,2605,Забайкальский край,8,4743238.92,4743238.92,29.12.2018,Ремонт кровли ,10526.52,"5148,14000",450.5989557802578,0.0
5679257,76650000,733,Забайкальский край,8,961833.14,1335124.83,,Ремонт кровли ,2959.0,"0,00000",451.2081209868199,-0.38810441694699777
5673354,76624000,1148,Забайкальский край,8,584112.0,584112.0,09.12.2014,Ремонт кровли ,1289.4,"584,11000",453.01070265239645,0.0
5681472,76654000,1622,Забайкальский край,8,1902222.62,1356693.25,,Ремонт кровли ,2984.2,"0,00000",454.6254440050935,0.28678523967925484
5670618,76620000,5235,Забайкальский край,8,2342567.31,2196852.54,,Ремонт кровли ,4794.25,"0,00000",458.2265296970329,0.06220302374150351
5659227,76701000,3049,Забайкальский край,8,2098716.0,2098716.0,30.12.2016,Ремонт кровли ,4498.4,"5839,75000",466.5472167881914,0.0
5673325,76624000,1145,Забайкальский край,8,584112.0,584112.0,11.12.2014,Ремонт кровли ,1245.5,"976,81000",468.9779205138499,0.0
5681839,76654000,2084,Забайкальский край,8,332066.21,332066.21,29.12.2017,Ремонт кровли ,672.6,"895,65000",493.7053374962831,0.0
5648470,76715000,1774,Забайкальский край,8,551124.0,492939.32,,Ремонт кровли ,994.5,"0,00000",495.66548014077426,0.10557457123986615
5648098,76715000,1717,Забайкальский край,8,675536.46,1198838.4,,Ремонт кровли ,2406.0,"0,00000",498.27032418952615,-0.7746464787407625
5670559,76620000,5231,Забайкальский край,8,1593996.48,1595266.78,10.08.2018,Ремонт кровли ,3169.04,"1594,00000",503.39117840103,-0.0007969277322369285
5663109,76701000,3575,Забайкальский край,8,880859.0,880859.0,29.12.2017,Ремонт кровли ,1728.1,"942,02000",509.72686765812165,0.0
5656459,76701000,2772,Забайкальский край,8,5378246.62,5378246.62,28.12.2017,Ремонт кровли ,10527.66,"13806,40000",510.86819103200526,0.0
5656372,76701000,2775,Забайкальский край,8,3129058.0,3129058.0,30.12.2014,Ремонт кровли ,5952.2,"16315,44000",525.6977252108464,0.0
5680593,76654000,1587,Забайкальский край,8,2338073.2,2233721.83,,Ремонт кровли ,4241.2,"0,00000",526.6721281712723,0.04463135285926895
5661257,76701000,3305,Забайкальский край,8,3096384.6,2235526.2,,Ремонт кровли ,4202.4,"0,00000",531.9641633352371,0.2780205017167441
5659011,76701000,3019,Забайкальский край,8,1678566.0,1678566.0,05.12.2016,Ремонт кровли ,3126.1,"5226,45000",536.9521128562747,0.0
5670548,76620000,5230,Забайкальский край,8,1572173.1,1575695.3,31.08.2018,Ремонт кровли ,2931.74,"1572,17000",537.4607912024942,-0.0022403385479626598
5658789,76701000,3000,Забайкальский край,8,2338777.0,2338777.0,30.12.2015,Ремонт кровли ,4289.2,"2338,78000",545.2711461344774,0.0
5651920,76701000,3082,Забайкальский край,8,980379.0,980379.0,03.11.2015,Ремонт кровли ,1794.25,"980,38000",546.4004458687474,0.0
5656514,76701000,2782,Забайкальский край,8,1046768.0,1046768.0,08.11.2016,Ремонт кровли ,1896.7,"2437,42000",551.8890704908525,0.0
5648977,76701000,3606,Забайкальский край,8,2719824.07,2669479.53,,Ремонт кровли ,4825.28,"0,00000",553.2279018005173,0.018510219302530124
5655715,76701000,2683,Забайкальский край,8,4133232.35,4032783.95,,Ремонт кровли ,7277.12,"0,00000",554.1730725891562,0.024302626006495836
5647904,76715000,1697,Забайкальский край,8,2050729.0,2050729.0,22.11.2016,Ремонт кровли ,3571.0,"2845,84000",574.2730327639317,0.0
5680465,76654000,1508,Забайкальский край,8,2929052.23,2693866.98,,Ремонт кровли ,4664.5,"0,00000",577.5253467681423,0.08029397618491767
5652216,76701000,5724,Забайкальский край,8,537497.41,497273.74,30.07.2018,Ремонт кровли ,854.9,"1135,70000",581.6747455842789,0.07483509548446017
5667205,76609000,300,Забайкальский край,8,1053935.4,948424.68,,Ремонт кровли ,1626.0,"0,00000",583.2870110701107,0.10011118328504752
5648089,76715000,1712,Забайкальский край,8,581152.36,590610.66,18.05.2018,Ремонт кровли ,1005.0,"674,19000",587.6722985074628,-0.01627507801912746
5680456,76654000,1507,Забайкальский край,8,2920035.61,2757258.83,,Ремонт кровли ,4689.8,"0,00000",587.9267410124099,0.05574479278353725
5647893,76715000,1696,Забайкальский край,8,2140408.5,1311508.7,,Ремонт кровли ,2230.12,"0,00000",588.08884723692,0.3872624314470813
5676256,76638000,528,Забайкальский край,8,573042.22,573042.22,29.12.2018,Ремонт кровли ,957.7,"1207,67000",598.3525321081758,0.0
5670601,76620000,5234,Забайкальский край,8,2074134.75,1732994.29,,Ремонт кровли ,2890.46,"0,00000",599.5565723102898,0.16447362448365516
5649830,76701000,2309,Забайкальский край,8,3071685.21,3672988.78,,Ремонт кровли ,6106.2,"0,00000",601.5179293177426,-0.1957568985397432
5675790,76638000,1854,Забайкальский край,8,588288.0,687362.4,,Ремонт кровли ,1140.0,"0,00000",602.9494736842106,-0.16841139033942562
5661437,76701000,3322,Забайкальский край,8,164955.0,164955.0,31.12.2015,Ремонт кровли ,265.0,"164,96000",622.4716981132076,0.0
5648426,76715000,1778,Забайкальский край,8,654739.52,656406.28,18.05.2018,Ремонт кровли ,1047.9,"1425,41000",626.4016413779941,-0.002545684121832159
5648014,76715000,1830,Забайкальский край,8,2835693.0,2835693.0,26.08.2015,Ремонт кровли ,4457.9,"2835,69000",636.1051167590122,0.0
5648702,76715000,1806,Забайкальский край,8,411083.68,457824.21,18.05.2018,Ремонт кровли ,715.7,"411,08000",639.6873131200224,-0.11370076768798029
5670543,76620000,5229,Забайкальский край,8,1515206.87,1666412.52,21.09.2018,Ремонт кровли ,2597.0,"3558,78000",641.6682787832113,-0.09979208317607476
5656482,76701000,2779,Забайкальский край,8,1853116.7,2045064.99,25.06.2018,Ремонт кровли ,3186.9,"5650,13000",641.7098089052057,-0.10358132868804218
5649503,76701000,2199,Забайкальский край,8,3315561.64,3315561.64,29.12.2018,Ремонт кровли ,5140.7,"3542,20000",644.9630672865563,0.0
5657530,76701000,2864,Забайкальский край,8,2388853.0,1867186.75,,Ремонт кровли ,2891.4,"0,00000",645.7725496299371,0.21837519931113383
5662381,76701000,3467,Забайкальский край,8,2981858.82,2981858.82,29.12.2018,Ремонт кровли ,4608.1,"3201,72000",647.0907358781276,0.0
5657133,76701000,2831,Забайкальский край,8,2885561.38,2885561.38,01.05.2019,Ремонт кровли ,4448.9,"2339,53000",648.6010879093709,0.0
5649031,76701000,3617,Забайкальский край,8,1817381.21,1783562.57,,Ремонт кровли ,2748.5,"0,00000",648.922164817173,0.018608445940739037
5666637,76606000,217,Забайкальский край,8,880239.89,940335.52,13.09.2018,Ремонт кровли ,1449.0,"880,24000",648.9548102139406,-0.06827187756737542
5659290,76701000,3054,Забайкальский край,8,1674820.0,1674820.0,30.12.2016,Ремонт кровли ,2575.3,"3462,61000",650.3397662408263,0.0
5647975,76715000,1690,Забайкальский край,8,1879659.76,1879659.76,29.12.2018,Ремонт кровли ,2888.22,"1879,66000",650.8021411111342,0.0
5649050,76701000,3611,Забайкальский край,8,1821783.02,1685599.15,,Ремонт кровли ,2574.6,"0,00000",654.7033131360212,0.07475306801355526
5667751,76609000,367,Забайкальский край,8,444990.0,444990.0,26.12.2014,Ремонт кровли ,674.2,"1518,41000",660.026698309107,0.0
5663361,76701000,3595,Забайкальский край,8,2952022.52,2952022.52,29.12.2018,Ремонт кровли ,4465.7,"3163,49000",661.0436258593278,0.0
5662480,76701000,3501,Забайкальский край,8,3489331.28,3489331.28,30.12.2014,Ремонт кровли ,5252.4,"3489,33000",664.330835427614,0.0
5652330,76701000,3475,Забайкальский край,8,2871185.22,2828698.36,,Ремонт кровли ,4246.6,"307,91000",666.108971883389,0.014797672997216228
5650691,76701000,839,Забайкальский край,8,2916365.28,2916365.28,29.12.2018,Ремонт кровли ,4246.2,"3131,14000",686.8176911120531,0.0
5669756,76612000,709,Забайкальский край,8,2518973.5,2684462.4,,Ремонт кровли ,3855.4,"0,00000",696.2863516107278,-0.06569695949560403
5649381,76701000,2192,Забайкальский край,8,2578917.4,2000000.0,,Ремонт кровли ,2864.0,"199,93000",698.3240223463687,0.22448078406853975
5652371,76701000,3649,Забайкальский край,8,9219719.9,7232967.83,,Ремонт кровли ,10228.9,"469,54000",707.1110119367675,0.215489417417117
5674221,76628000,1282,Забайкальский край,8,2181392.0,2181392.0,01.06.2017,Ремонт кровли ,3072.99,"2181,39000",709.8597782615628,0.0
5661808,76701000,3367,Забайкальский край,8,1583204.0,1583204.0,30.12.2015,Ремонт кровли ,2228.3,"4229,67000",710.4985863662881,0.0
5667335,76609000,314,Забайкальский край,8,638050.0,638050.0,29.12.2016,Ремонт кровли ,892.9,"1363,75000",714.5817000783962,0.0
5677118,76646000,534,Забайкальский край,8,1799205.97,1789423.92,,Ремонт кровли ,2498.8,"0,00000",716.1133023851448,0.0054368705768578825
5677360,76647000,2018,Забайкальский край,8,410465.0,410465.0,19.11.2014,Ремонт кровли ,566.0,"532,17000",725.2031802120141,0.0
5677609,76647000,2067,Забайкальский край,8,408030.0,408030.0,17.12.2014,Ремонт кровли ,562.0,"559,09000",726.0320284697509,0.0
5677348,76647000,2015,Забайкальский край,8,413011.0,413011.0,17.12.2014,Ремонт кровли ,568.0,"536,45000",727.1320422535211,0.0
5648852,76715000,1820,Забайкальский край,8,736594.84,736594.84,29.12.2018,Ремонт кровли ,1006.7,"736,59000",731.692500248336,0.0
5679458,76650000,720,Забайкальский край,8,458145.64,450297.44,26.09.2018,Ремонт кровли ,614.0,"1229,95000",733.3834527687296,0.01713036055521561
