,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2563681,83610000,8361123,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,856.1,"0,00000",0.0,
2570523,83620000,83620048,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,279.9,"0,00000",0.0,
2570524,83620000,83620048,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,279.9,"0,00000",0.0,
2570527,83620000,83620087,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,367.4,"0,00000",0.0,
2570529,83620000,83620087,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,367.4,"0,00000",0.0,
2570530,83620000,83620095,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,538.2,"0,00000",0.0,
2570532,83620000,83620095,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,538.2,"0,00000",0.0,
2570536,83620000,83620021,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,442.6,"0,00000",0.0,
2570537,83620000,83620021,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,442.6,"0,00000",0.0,
2570538,83620000,83620023,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,448.8,"0,00000",0.0,
2570539,83620000,83620023,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,448.8,"0,00000",0.0,
2570542,83620000,83620054,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,2777.3,"0,00000",0.0,
2570543,83620000,83620054,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,2777.3,"0,00000",0.0,
2570546,83620000,83620067,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,1241.0,"0,00000",0.0,
2570550,83620000,83620106,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,367.95,"0,00000",0.0,
2570520,83620000,83620080,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,2099.9,"1430,63000",0.0,
2570552,83620000,83620106,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,367.95,"0,00000",0.0,
2570556,83620000,83620083,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,6405.9,"0,00000",0.0,
2570557,83620000,83620041,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,1991.4,"0,00000",0.0,
2570560,83620000,83620041,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,1991.4,"0,00000",0.0,
2570561,83620000,83620041,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,1991.4,"0,00000",0.0,
2570564,83620000,83620041,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,1991.4,"0,00000",0.0,
2570566,83620000,83620123,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,5839.0,"0,00000",0.0,
2570568,83620000,83620123,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,5839.0,"0,00000",0.0,
2570569,83620000,83620047,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,931.4,"0,00000",0.0,
2570570,83620000,83620047,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,931.4,"0,00000",0.0,
2570574,83620000,83620104,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,378.5,"0,00000",0.0,
2570576,83620000,83620104,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,378.5,"0,00000",0.0,
2570577,83620000,83620120,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,938.8,"0,00000",0.0,
2570579,83620000,83620120,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,938.8,"0,00000",0.0,
2570583,83620000,83620061,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,957.4,"0,00000",0.0,
2570553,83620000,83620083,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,6405.9,"0,00000",0.0,
2570517,83620000,83620143,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,276.1,"0,00000",0.0,
2570516,83620000,83620143,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,276.1,"0,00000",0.0,
2570512,83620000,83620049,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,237.7,"0,00000",0.0,
2570448,83620000,83620076,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,2764.5,"0,00000",0.0,
2570450,83620000,83620076,Кабардино-Балкарская Республика,22,0.0,0.0,,Ремонт кровли ,2764.5,"0,00000",0.0,
2570451,83620000,83620082,Кабардино-Балкарская Республика,8,0.0,0.0,,Ремонт кровли ,6319.6,"0,00000",0.0,
