,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1715236,4601000,1801001001,Красноярский край,8,1678221.72,0.0,,Ремонт кровли ,322.96,"0,00000",0.0,1.0
1797781,4729000,1101039003,Красноярский край,8,1442781.43,0.0,,Ремонт кровли ,4189.7,"0,00000",0.0,1.0
1797788,4729000,1101039004,Красноярский край,8,1477191.89,0.0,,Ремонт кровли ,4289.5,"0,00000",0.0,1.0
1797802,4729000,1101039005,Красноярский край,8,2241595.68,0.0,,Ремонт кровли ,6546.3,"0,00000",0.0,1.0
1797814,4729000,1101039006,Красноярский край,8,1442781.43,0.0,,Ремонт кровли ,4199.3,"0,00000",0.0,1.0
1797815,4729000,1101039007,Красноярский край,8,1445239.32,0.0,,Ремонт кровли ,4173.7,"0,00000",0.0,1.0
1797831,4729000,1101039008,Красноярский край,8,1452612.99,0.0,,Ремонт кровли ,4201.8,"0,00000",0.0,1.0
1797834,4729000,1101039009,Красноярский край,8,1671365.2,0.0,,Ремонт кровли ,4270.3,"0,00000",0.0,1.0
1797849,4729000,1101039010,Красноярский край,8,2244053.57,0.0,,Ремонт кровли ,6548.4,"0,00000",0.0,1.0
1797853,4729000,1101039011,Красноярский край,8,2241595.68,0.0,,Ремонт кровли ,6544.4,"0,00000",0.0,1.0
1797867,4729000,1101039012,Красноярский край,8,1494397.12,0.0,,Ремонт кровли ,4299.0,"0,00000",0.0,1.0
1797771,4729000,1101039002,Красноярский край,8,1459986.66,0.0,,Ремонт кровли ,4211.3,"0,00000",0.0,1.0
1797875,4729000,1101039013,Красноярский край,8,1487023.45,0.0,,Ремонт кровли ,4212.6,"0,00000",0.0,1.0
1797889,4729000,1101039015,Красноярский край,8,1671365.2,0.0,,Ремонт кровли ,3851.6,"0,00000",0.0,1.0
1797903,4729000,1101039016,Красноярский край,8,948745.54,0.0,,Ремонт кровли ,2915.6,"0,00000",0.0,1.0
1797911,4729000,1101039017,Красноярский край,8,1705775.66,0.0,,Ремонт кровли ,3853.1,"0,00000",0.0,1.0
1797918,4729000,1101039018,Красноярский край,8,2907683.87,0.0,,Ремонт кровли ,8500.6,"0,00000",0.0,1.0
1797930,4729000,1101039019,Красноярский край,8,1464902.44,0.0,,Ремонт кровли ,4459.0,"0,00000",0.0,1.0
1797934,4729000,1101039020,Красноярский край,8,1437865.65,0.0,,Ремонт кровли ,4218.3,"0,00000",0.0,1.0
1797949,4729000,1101039021,Красноярский край,8,2934720.66,0.0,,Ремонт кровли ,8423.0,"0,00000",0.0,1.0
1797956,4729000,1101039022,Красноярский край,8,1435407.76,0.0,,Ремонт кровли ,4031.6,"0,00000",0.0,1.0
1797962,4729000,1101039023,Красноярский край,8,1388707.85,0.0,,Ремонт кровли ,4227.7,"0,00000",0.0,1.0
1797973,4729000,1101039024,Красноярский край,8,1423118.31,0.0,,Ремонт кровли ,4221.3,"0,00000",0.0,1.0
1797882,4729000,1101039014,Красноярский край,8,1509144.46,0.0,,Ремонт кровли ,4211.7,"0,00000",0.0,1.0
1797765,4729000,1101039001,Красноярский край,8,2226848.34,0.0,,Ремонт кровли ,6505.5,"0,00000",0.0,1.0
1797757,4729000,1101038010,Красноярский край,8,3428566.0,0.0,,Ремонт кровли ,2772.0,"0,00000",0.0,1.0
1797748,4729000,1101038009,Красноярский край,8,8914271.6,0.0,,Ремонт кровли ,6073.23,"7655,07000",0.0,1.0
1797523,4729000,1101037007,Красноярский край,8,3424198.4,0.0,,Ремонт кровли ,2797.66,"0,00000",0.0,1.0
1797530,4729000,1101037008,Красноярский край,8,3446036.4,0.0,,Ремонт кровли ,2808.01,"0,00000",0.0,1.0
1797540,4729000,1101037009,Красноярский край,8,3411095.6,0.0,,Ремонт кровли ,2746.85,"0,00000",0.0,1.0
1797548,4729000,1101037010,Красноярский край,8,3437301.2,0.0,,Ремонт кровли ,2792.61,"0,00000",0.0,1.0
1797555,4729000,1101037011,Красноярский край,8,973324.44,0.0,,Ремонт кровли ,2805.0,"2279,22000",0.0,1.0
1797571,4729000,1101037012,Красноярский край,8,8053854.4,0.0,,Ремонт кровли ,6629.95,"0,00000",0.0,1.0
