,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6340660,42715000,39204,Липецкая область,22,4732.7,4732.7,30.12.2015,Ремонт кровли ,914.0,"2389,87000",5.17800875273523,0.0
6363654,42701000,42260,Липецкая область,22,60180.9,60180.9,09.11.2015,Ремонт кровли ,3731.8,"6629,73000",16.126507315504583,0.0
6348363,42701000,41995,Липецкая область,22,34783.38,34783.38,,Ремонт кровли ,2041.6,"188,97000",17.037313871473355,0.0
6358013,42701000,40502,Липецкая область,22,226834.48,226834.48,09.08.2018,Ремонт кровли ,12058.1,"1900,00000",18.811792902696112,0.0
6362508,42701000,36922,Липецкая область,22,60387.0,60387.0,15.01.2015,Ремонт кровли ,3065.3,"3842,00000",19.700192477082176,0.0
6354228,42701000,38702,Липецкая область,22,46277.85,46277.85,14.05.2018,Ремонт кровли ,1873.3,"9658,68000",24.703918219185393,0.0
6344051,42715000,37941,Липецкая область,22,57000.0,57000.0,02.11.2018,Ремонт кровли ,2304.28,"464,08000",24.73657715208221,0.0
6347611,42701000,41299,Липецкая область,22,62178.0,62178.0,10.03.2015,Ремонт кровли ,2447.95,"3013,40000",25.400028595355298,0.0
6353498,42701000,42177,Липецкая область,22,56395.0,56395.0,25.12.2015,Ремонт кровли ,1494.2,"1570,56000",37.74260473832151,0.0
6354639,42701000,38739,Липецкая область,22,158343.0,158343.0,08.05.2018,Ремонт кровли ,4047.5,"12128,82000",39.12118591723286,0.0
6352990,42701000,38190,Липецкая область,22,131605.74,131605.74,06.11.2018,Ремонт кровли ,3017.6,"10978,36000",43.61271871686108,0.0
6353479,42701000,42180,Липецкая область,22,103566.0,103566.0,15.12.2015,Ремонт кровли ,2157.3,"2346,91000",48.00723126129884,0.0
6343660,42715000,39495,Липецкая область,22,24243.0,24243.0,15.10.2015,Ремонт кровли ,468.8,"1163,98000",51.71288395904437,0.0
6363663,42701000,42261,Липецкая область,22,144569.93,144569.93,27.02.2015,Ремонт кровли ,2781.6,"6906,58000",51.973659045153866,0.0
6393788,42648000,39753,Липецкая область,22,85569.78,85569.78,01.08.2019,Ремонт кровли ,1638.2,"9035,73000",52.234025149554384,0.0
6353520,42701000,42182,Липецкая область,22,77875.0,77875.0,28.12.2015,Ремонт кровли ,1489.1,"2021,57000",52.29668927540125,0.0
6342945,42715000,39468,Липецкая область,22,253500.0,253500.0,10.01.2018,Ремонт кровли ,4808.54,"253,50000",52.71870463799823,0.0
6350523,42701000,36666,Липецкая область,8,141410.0,141410.0,04.05.2017,Ремонт кровли ,2592.7,"3289,15000",54.541597562386706,0.0
