,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1421952,5623000,56964,Приморский край,8,5187895.08,5187895.08,19.06.2018,Ремонт кровли ,708.63,"5302,02000",7321.020955929046,0.0
1346890,5705000,48824,Приморский край,8,4635420.3,4612243.2,,Ремонт кровли ,630.0,"33,87000",7321.020952380953,0.004999999676404668
1346676,5705000,48774,Приморский край,8,4161577.34,4140769.45,,Ремонт кровли ,565.6,"194,04000",7321.020951202263,0.005000000792968482
1404040,5714000,50873,Приморский край,8,3160000.0,7321020.95,,Ремонт кровли ,1000.0,"285,17000",7321.02095,-1.3167787816455696
1400253,5626000,56741,Приморский край,8,4902213.33,6814406.3,,Ремонт кровли ,930.8,"126,15000",7321.020949720671,-0.39006726987950147
1346570,5705000,48754,Приморский край,8,4730111.63,4730111.63,19.02.2019,Ремонт кровли ,646.1,"4336,25000",7321.0209410308,0.0
1386237,5720000,47883,Приморский край,8,3393293.22,3393293.22,14.02.2019,Ремонт кровли ,465.0,"5372,73000",7297.404774193549,0.0
1351590,5705000,49627,Приморский край,8,2867338.56,2821630.66,,Ремонт кровли ,389.7,"122,49000",7240.520041057224,0.015940880033364427
1409660,5714000,51022,Приморский край,8,3690309.82,3690309.82,31.07.2018,Ремонт кровли ,512.5,"3802,03000",7200.604526829268,0.0
1413845,5717000,57867,Приморский край,8,7372268.1,7372268.1,09.04.2019,Ремонт кровли ,1029.2,"7439,12000",7163.105421686746,0.0
1347793,5705000,48977,Приморский край,8,4681837.85,4681837.85,12.02.2019,Ремонт кровли ,668.6,"4497,47000",7002.449670954232,0.0
1423517,5723000,59993,Приморский край,8,1312633.3,1312633.3,03.03.2017,Ремонт кровли ,189.2,"1451,54000",6937.8081395348845,0.0
1345525,5703000,48565,Приморский край,8,3629032.13,3629032.13,28.04.2018,Ремонт кровли ,526.3,"3718,01000",6895.367908037241,0.0
1423466,5723000,59975,Приморский край,8,2030019.78,2030019.78,05.04.2017,Ремонт кровли ,296.9,"2169,14000",6837.385584371843,0.0
1404829,5714000,50125,Приморский край,8,3514605.11,3514605.11,30.10.2018,Ремонт кровли ,516.4,"3620,24000",6805.974264136328,0.0
1387509,5707000,45533,Приморский край,8,2648013.28,2648013.28,19.02.2019,Ремонт кровли ,390.8,"3009,46000",6775.878403275332,0.0
1431277,5723000,59735,Приморский край,8,2229380.0,1910054.37,,Ремонт кровли ,282.2,"104,44000",6768.442133238838,0.14323517300774202
1350587,5705000,49474,Приморский край,8,3443455.08,3126207.83,,Ремонт кровли ,467.0,"111,76000",6694.235182012848,0.09213050341286869
1416565,5632000,47418,Приморский край,8,3791627.92,4038407.6,17.08.2017,Ремонт кровли ,606.0,"3975,81000",6664.038943894389,-0.06508541587065858
1349959,5705000,49360,Приморский край,8,3606062.68,3263098.77,,Ремонт кровли ,490.1,"108,03000",6658.026463986941,0.09510758420871379
1426665,5723000,60140,Приморский край,8,4697866.67,5921973.85,,Ремонт кровли ,892.0,"126,57000",6638.9841367713,-0.26056660735329035
1365822,5701000,52929,Приморский край,8,3917472.76,4502979.72,18.04.2019,Ремонт кровли ,679.4,"4531,65000",6627.877126876656,-0.14946037812398216
1348048,5705000,49035,Приморский край,8,6151853.9,6151853.9,28.02.2019,Ремонт кровли ,928.2,"6221,31000",6627.724520577462,0.0
1375245,5701000,54219,Приморский край,8,6067250.13,5897866.03,,Ремонт кровли ,894.4,"125,80000",6594.21514982111,0.027917771044656047
1365455,5701000,52886,Приморский край,8,7095148.81,7095148.81,11.12.2018,Ремонт кровли ,1076.4,"7300,22000",6591.554078409512,0.0
1423536,5723000,59998,Приморский край,8,1767040.56,1781648.16,03.03.2017,Ремонт кровли ,270.8,"1948,88000",6579.202954209748,-0.008266703283822676
1381276,5701000,55025,Приморский край,8,4939297.85,4914601.36,,Ремонт кровли ,751.1,"232,55000",6543.205112501664,0.005000000151843302
1423482,5723000,59978,Приморский край,8,1456357.18,1476814.79,27.04.2017,Ремонт кровли ,226.2,"1605,36000",6528.801016799293,-0.014047110338687727
1423524,5723000,60511,Приморский край,8,1453428.42,1473914.12,03.03.2017,Ремонт кровли ,226.7,"1609,96000",6501.606175562418,-0.014094742966427055
1419356,5623000,47621,Приморский край,8,5211541.46,5211541.46,15.06.2016,Ремонт кровли ,804.9,"5583,43000",6474.768865697602,0.0
1345886,5703000,48611,Приморский край,8,4302487.26,4302487.26,29.05.2018,Ремонт кровли ,666.6,"4402,39000",6454.376327632763,0.0
1373617,5701000,53984,Приморский край,8,2967744.84,3232285.93,16.02.2018,Ремонт кровли ,501.4,"3187,98000",6446.521599521341,-0.08913875830376318
1347862,5705000,48998,Приморский край,8,5263453.49,5263453.49,18.12.2018,Ремонт кровли ,816.5,"8101,34000",6446.360673606859,0.0
1381324,5701000,55032,Приморский край,8,5777352.41,5777352.41,23.10.2017,Ремонт кровли ,903.0,"9047,97000",6397.953942414175,0.0
1365828,5701000,52930,Приморский край,8,3844238.22,4420873.95,18.04.2019,Ремонт кровли ,692.7,"4459,44000",6382.0902988306625,-0.1499999992196113
1423489,5723000,59983,Приморский край,8,1626382.2,1669725.39,17.01.2018,Ремонт кровли ,262.0,"1807,46000",6372.997671755725,-0.026650064173107616
1372505,5701000,53862,Приморский край,8,1947612.31,1937874.25,,Ремонт кровли ,304.4,"208,10000",6366.209756898817,0.004999999204153754
1362267,5701000,56088,Приморский край,8,3853451.44,4036810.95,15.11.2018,Ремонт кровли ,634.1,"3974,40000",6366.205566945277,-0.047583189474420945
1378553,5701000,54653,Приморский край,8,3489958.24,4036810.95,13.12.2018,Ремонт кровли ,634.11,"3617,15000",6366.1051710271095,-0.15669319584752392
1375354,5701000,54232,Приморский край,8,5241703.84,5215495.32,,Ремонт кровли ,819.26,"132,81000",6366.10516807851,0.005000000152622044
1372868,5701000,53913,Приморский край,8,4090254.41,4090254.41,11.04.2019,Ремонт кровли ,642.51,"3821,84000",6366.055641157336,0.0
1356765,5701000,53435,Приморский край,8,288597.17,3261514.84,,Ремонт кровли ,512.33,"121,24000",6366.043058185153,-10.301271041569812
1409693,5714000,51027,Приморский край,8,2665657.16,2665657.16,27.09.2018,Ремонт кровли ,419.9,"2772,03000",6348.314265301263,0.0
1407131,5714000,50608,Приморский край,8,4355485.37,4355485.37,28.04.2018,Ремонт кровли ,692.2,"4489,70000",6292.235437734758,0.0
1368273,5701000,53256,Приморский край,8,4692811.22,4584067.44,,Ремонт кровли ,733.5,"123,52000",6249.580695296524,0.023172417321317123
1347815,5705000,48981,Приморский край,8,3754690.44,3180609.32,,Ремонт кровли ,510.3,"121,67000",6232.822496570644,0.15289705747353172
1378229,5701000,54604,Приморский край,8,4271030.6,4447346.51,29.11.2018,Ремонт кровли ,717.6,"4398,25000",6197.528581382385,-0.041281818491302816
1347043,5705000,48845,Приморский край,8,6084908.87,5111075.46,,Ремонт кровли ,827.0,"31,49000",6180.2605320435305,0.16004075505571214
1362245,5701000,52445,Приморский край,8,3734852.02,4002101.08,06.12.2018,Ремонт кровли ,650.9,"3859,48000",6148.5651866646185,-0.07155546151999888
1349410,5705000,49250,Приморский край,8,5586282.92,5586282.92,19.02.2019,Ремонт кровли ,909.4,"5589,37000",6142.822652298219,0.0
1352781,5701000,55790,Приморский край,8,4941505.2,4743844.98,,Ремонт кровли ,772.34,"137,54000",6142.171815521662,0.040000002428409814
1349603,5705000,49278,Приморский край,8,4446324.58,4030572.64,,Ремонт кровли ,657.9,"116,67000",6126.421401428789,0.09350463118911574
1401958,5620000,46455,Приморский край,8,4359220.0,3373099.71,,Ремонт кровли ,551.8,"123,67000",6112.902700253716,0.22621484806915
1381853,5701000,55109,Приморский край,8,2057253.3,2206996.79,18.12.2017,Ремонт кровли ,361.2,"2439,93000",6110.179374307863,-0.07278806649623554
1387528,5707000,45534,Приморский край,8,2467916.16,2467916.16,19.02.2019,Ремонт кровли ,405.0,"2834,85000",6093.6201481481485,0.0
1368036,5701000,53218,Приморский край,8,3491773.4,3685719.29,11.12.2017,Ремонт кровли ,607.3,"3742,91000",6069.0256710028,-0.05554366443137465
1381842,5701000,55108,Приморский край,8,1252227.8,1234489.19,21.12.2017,Ремонт кровли ,203.8,"1479,06000",6057.356182531893,0.014165641427222828
1405310,5714000,50315,Приморский край,8,4670940.13,4670940.13,19.07.2018,Ремонт кровли ,790.3,"4800,45000",5910.338010881944,0.0
1405280,5714000,50289,Приморский край,8,1365575.21,1365575.21,22.09.2016,Ремонт кровли ,231.6,"2258,74000",5896.266018998273,0.0
1346244,5703000,48673,Приморский край,8,6730278.44,6730278.44,29.05.2018,Ремонт кровли ,1143.2,"6840,75000",5887.227466759972,0.0
1428306,5723000,59549,Приморский край,8,2034417.94,2312213.09,24.05.2018,Ремонт кровли ,393.3,"2192,87000",5879.006076786168,-0.13654772922421235
1423470,5723000,59977,Приморский край,8,6011900.0,4473143.8,,Ремонт кровли ,761.0,"185,80000",5877.981340341656,0.25595172907067654
1405885,5714000,50404,Приморский край,8,6541190.76,6604123.11,28.06.2018,Ремонт кровли ,1124.19,"6720,60000",5874.56133749633,-0.009620931770532947
1359016,5701000,55688,Приморский край,8,3731559.6,7463119.2,22.02.2018,Ремонт кровли ,1277.42,"3985,82000",5842.337837203112,-1.0
1406307,5714000,50473,Приморский край,8,4107445.02,4107445.02,21.06.2016,Ремонт кровли ,706.3,"4377,80000",5815.439643211101,0.0
1379127,5701000,54745,Приморский край,8,5079836.4,5141512.93,04.10.2018,Ремонт кровли ,884.12,"5210,69000",5815.401676243044,-0.012141440224334651
1374769,5701000,54146,Приморский край,8,6019424.36,5778647.39,23.07.2019,Ремонт кровли ,994.8,"5919,14000",5808.853427824688,0.0399999992690332
1416357,5632000,47384,Приморский край,8,4785519.62,3893272.28,,Ремонт кровли ,674.6,"533,11000",5771.230773791876,0.1864473266959462
1343919,5602000,48436,Приморский край,8,4575969.2,4575969.2,16.07.2019,Ремонт кровли ,796.0,"4416,43000",5748.705025125629,0.0
1380005,5701000,54864,Приморский край,8,2858744.7,3083532.93,28.12.2017,Ремонт кровли ,536.6,"4580,31000",5746.427376071561,-0.0786317959767446
1378390,5701000,54624,Приморский край,8,2032561.8,2032561.8,09.12.2016,Ремонт кровли ,356.5,"2246,80000",5701.435624123423,0.0
1350488,5705000,49459,Приморский край,8,3048439.07,3048439.07,21.04.2016,Ремонт кровли ,536.0,"3258,03000",5687.386324626866,0.0
1401581,5620000,48283,Приморский край,8,3938489.21,4551305.87,19.12.2018,Ремонт кровли ,800.7,"4044,16000",5684.158698638691,-0.15559688685804476
1375225,5701000,54216,Приморский край,8,1404086.06,1404086.06,19.01.2018,Ремонт кровли ,250.7,"3226,05000",5600.662385321101,0.0
1362259,5701000,56087,Приморский край,8,3119191.94,3538939.06,18.01.2018,Ремонт кровли ,635.1,"5093,45000",5572.254857502755,-0.13456918588985586
1392476,5706000,49897,Приморский край,8,2176734.2,2503247.28,27.02.2018,Ремонт кровли ,449.3,"2271,82000",5571.4384153127085,-0.15000135524125985
1405881,5714000,50401,Приморский край,8,5030890.33,5030890.33,09.04.2018,Ремонт кровли ,906.7,"5163,45000",5548.572107643101,0.0
1382623,5701000,55211,Приморский край,8,4206741.3,4464357.01,27.12.2017,Ремонт кровли ,804.9,"4510,93000",5546.474108584917,-0.06123878119151277
1355369,5701000,55378,Приморский край,8,3066191.06,3387801.65,09.06.2017,Ремонт кровли ,611.2,"5382,32000",5542.869191753926,-0.10488928566636674
1430712,5723000,60407,Приморский край,8,6500910.0,4558067.65,,Ремонт кровли ,822.9,"123,03000",5539.029833515616,0.2988569830992891
1415035,5717000,57848,Приморский край,8,2981798.35,2981798.35,24.04.2017,Ремонт кровли ,543.6,"3187,17000",5485.280261221486,0.0
1428776,5723000,59527,Приморский край,8,6116424.39,6115201.11,06.12.2016,Ремонт кровли ,1117.4,"9628,48000",5472.705485949526,0.000199999202475113
1346222,5703000,48670,Приморский край,8,3967230.8,3967230.8,28.04.2016,Ремонт кровли ,725.2,"4198,20000",5470.533370104798,0.0
1346183,5703000,48651,Приморский край,8,5389050.56,5475996.05,18.10.2017,Ремонт кровли ,1004.89,"5762,17000",5449.348734687379,-0.016133730613950712
1420413,5653000,57386,Приморский край,8,9413305.31,10498031.57,17.07.2018,Ремонт кровли ,1941.5,"11563,58000",5407.175673448365,-0.11523330267931145
1417499,5626000,56283,Приморский край,8,4390153.5,4534708.07,24.05.2018,Ремонт кровли ,840.69,"4492,46000",5394.031176771461,-0.03292699674396358
1423377,5723000,59487,Приморский край,8,1801041.76,1801041.76,02.06.2017,Ремонт кровли ,333.97,"1983,80000",5392.824984280025,0.0
1370011,5701000,53527,Приморский край,8,3928210.56,4364667.64,02.02.2018,Ремонт кровли ,810.18,"4225,61000",5387.281394258066,-0.11110837195040778
