,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4488724,80659000,15876,Республика Башкортостан,8,1851453.54,0.0,28.09.2018,Ремонт кровли ,1055.5,"1851,45354",0.0,1.0
4488619,80659000,15930,Республика Башкортостан,8,7258395.4,0.0,28.09.2018,Ремонт кровли ,3961.5,"7258,39540",0.0,1.0
4488658,80659000,15867,Республика Башкортостан,8,2927850.71,0.0,28.09.2018,Ремонт кровли ,1559.0,"2927,85071",0.0,1.0
4412338,80723000,16078,Республика Башкортостан,22,7856.0,7856.0,31.01.2019,Ремонт кровли ,4802.5,,1.6358146798542426,0.0
4414967,80707000,2887,Республика Башкортостан,8,23839.0,23839.0,01.12.2014,Ремонт кровли ,3928.3,"2240,27395",6.068528371051091,0.0
4450059,80701000,9895,Республика Башкортостан,8,129686.65,129686.65,22.01.2018,Ремонт кровли ,2452.8,"812,00001",52.87290035877364,0.0
4440620,80745000,5826,Республика Башкортостан,8,906891.69,906891.69,28.09.2018,Ремонт кровли ,16221.1,"906,89169",55.90814987886148,0.0
4483340,80653000,15135,Республика Башкортостан,8,1693050.02,1693050.02,28.08.2017,Ремонт кровли ,30222.0,"1693,05002",56.020449341539276,0.0
4460125,80701000,8147,Республика Башкортостан,75,572715.2,572715.2,30.10.2017,Ремонт кровли ,8719.25,"6285,82801",65.68399805029102,0.0
4449290,80701000,9886,Республика Башкортостан,22,831161.04,831161.04,31.08.2016,Ремонт кровли ,9509.4,"7949,25408",87.40415168149411,0.0
4448456,80701000,10673,Республика Башкортостан,75,287806.38,287806.38,14.11.2018,Ремонт кровли ,3068.2,"15572,76587",93.80300501922952,0.0
4445325,80651000,14346,Республика Башкортостан,8,1251723.0,1251723.0,01.10.2018,Ремонт кровли ,12377.4,"1251,72300",101.12972029666975,0.0
4450926,80701000,8669,Республика Башкортостан,75,700071.95,700071.95,18.08.2017,Ремонт кровли ,5897.1,"9950,49737",118.71461396279526,0.0
4477732,80701000,10880,Республика Башкортостан,8,672048.46,672048.46,13.10.2017,Ремонт кровли ,5275.1,"672,04846",127.40013649030348,0.0
4428663,80739000,4287,Республика Башкортостан,22,1171755.1,1171755.1,31.08.2016,Ремонт кровли ,8961.1,"1171,75510",130.76018569148877,0.0
4383574,80703000,2380,Республика Башкортостан,8,1277251.74,1277251.74,24.07.2015,Ремонт кровли ,9315.8,"1277,25174",137.10596406105756,0.0
