,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1509595,89701000,89701000162227,Республика Мордовия,8,398281.0,398281.0,03.12.2014,Ремонт кровли ,4552.73,"0,00000",87.48179663630394,0.0
1513317,89701000,89701000124728,Республика Мордовия,8,679095.0,679095.0,10.01.2018,Ремонт кровли ,7437.2,"0,00000",91.31057387188727,0.0
1507720,89701000,89701000178115,Республика Мордовия,8,579842.0,579842.0,01.10.2016,Ремонт кровли ,5026.8,"0,00000",115.35012333890347,0.0
1505806,89701000,89701000156165,Республика Мордовия,8,402046.0,402046.0,31.10.2018,Ремонт кровли ,3285.4,"0,00000",122.37353138126255,0.0
1507097,89701000,8970100075676,Республика Мордовия,8,682416.17,682416.17,17.09.2015,Ремонт кровли ,4931.0,"0,00000",138.39305820320422,0.0
1503587,89701000,89701000149034,Республика Мордовия,8,649823.0,649823.0,31.07.2018,Ремонт кровли ,4675.6,"0,00000",138.98173496449652,0.0
1507140,89701000,8970100030414,Республика Мордовия,8,579214.0,579214.0,24.07.2018,Ремонт кровли ,4144.2,"0,00000",139.76497273297622,0.0
1507135,89701000,8970100042688,Республика Мордовия,8,564815.0,564815.0,24.07.2018,Ремонт кровли ,3783.8,"0,00000",149.27189597758866,0.0
1502228,89701000,89701000167478,Республика Мордовия,8,589314.0,589314.0,18.11.2016,Ремонт кровли ,3783.5,"0,00000",155.7589533500727,0.0
1508847,89701000,89701000148917,Республика Мордовия,8,1104675.0,1104675.0,01.11.2017,Ремонт кровли ,7083.24,"0,00000",155.95617259898015,0.0
1507130,89701000,8970100015657,Республика Мордовия,8,595870.0,595870.0,24.07.2018,Ремонт кровли ,3776.8,"0,00000",157.77112899809362,0.0
1508019,89701000,89701000204918,Республика Мордовия,8,666085.0,666085.0,29.06.2015,Ремонт кровли ,4177.8,"0,00000",159.4343913064292,0.0
1503727,89701000,89701000165627,Республика Мордовия,8,748593.0,748593.0,01.11.2017,Ремонт кровли ,4548.1,"0,00000",164.5946659044436,0.0
1509633,89701000,89701000177573,Республика Мордовия,8,1626652.0,1626652.0,30.08.2015,Ремонт кровли ,9666.0,"0,00000",168.2859507552245,0.0
1503353,89701000,89701000145305,Республика Мордовия,8,807635.0,807635.0,14.08.2015,Ремонт кровли ,4642.0,"0,00000",173.98427401981905,0.0
1507973,89701000,89701000140110,Республика Мордовия,8,774884.0,774884.0,31.08.2015,Ремонт кровли ,4182.28,"0,00000",185.27788670294672,0.0
1514869,89701000,89701000204944,Республика Мордовия,8,1269753.74,1269753.74,20.05.2015,Ремонт кровли ,6837.0,"0,00000",185.71796694456634,0.0
1501249,89701000,89701000127512,Республика Мордовия,8,884819.0,884819.0,30.10.2018,Ремонт кровли ,4642.0,"0,00000",190.61158983196898,0.0
1507075,89701000,89701000136368,Республика Мордовия,8,681241.6,681241.6,17.09.2015,Ремонт кровли ,3572.13,"0,00000",190.71019251818942,0.0
1489498,89613000,89613000132931,Республика Мордовия,8,623193.0,623193.0,30.11.2018,Ремонт кровли ,3177.8,"0,00000",196.10831392787463,0.0
1505924,89701000,89701000160756,Республика Мордовия,8,757847.0,757847.0,01.09.2015,Ремонт кровли ,3783.26,"0,00000",200.31586515333336,0.0
1514162,89701000,89701000204940,Республика Мордовия,8,1177201.06,1177201.06,30.11.2015,Ремонт кровли ,5753.2,"0,00000",204.6167454633943,0.0
1505580,89701000,89701000202552,Республика Мордовия,8,769310.0,769310.0,30.08.2015,Ремонт кровли ,3750.79,"0,00000",205.10612430981206,0.0
1514817,89701000,89701000204880,Республика Мордовия,8,1476214.12,1476214.12,13.07.2015,Ремонт кровли ,7160.76,"0,00000",206.15327423346127,0.0
1514154,89701000,89701000204939,Республика Мордовия,8,1226233.0,1226233.0,13.08.2015,Ремонт кровли ,5768.85,"0,00000",212.5610823647694,0.0
1503510,89701000,8970100038302,Республика Мордовия,8,811639.32,811639.32,18.06.2015,Ремонт кровли ,3783.24,"0,00000",214.53550924604306,0.0
1514821,89701000,89701000204881,Республика Мордовия,8,1473570.83,1473570.83,13.07.2015,Ремонт кровли ,6842.21,"0,00000",215.3647476473245,0.0
1513698,89701000,89701000204922,Республика Мордовия,8,1401078.0,1401078.0,,Ремонт кровли ,6275.45,"0,00000",223.26335163215387,0.0
1512146,89701000,8970100092975,Республика Мордовия,8,2842069.94,2842069.94,15.09.2015,Ремонт кровли ,12599.9,"0,00000",225.56289653092486,0.0
1497354,89643000,8964300012860,Республика Мордовия,8,2384631.89,2384631.89,28.11.2014,Ремонт кровли ,10268.6,"0,00000",232.22560913853886,0.0
1506732,89701000,8970100072587,Республика Мордовия,8,892233.38,892233.38,24.07.2015,Ремонт кровли ,3784.04,"0,00000",235.78856988826757,0.0
1519114,89657000,896570008550,Республика Мордовия,8,938520.0,938520.0,28.07.2015,Ремонт кровли ,3961.2,"0,00000",236.92820357467434,0.0
1503207,89701000,89701000152441,Республика Мордовия,8,2086606.0,2086606.0,17.11.2017,Ремонт кровли ,8714.63,"0,00000",239.43713043468284,0.0
1504122,89701000,89701000127578,Республика Мордовия,8,1238130.76,1238130.76,17.09.2015,Ремонт кровли ,5135.3,"0,00000",241.10193367476097,0.0
1501630,89701000,8970100093308,Республика Мордовия,8,3150362.0,3150362.0,01.11.2017,Ремонт кровли ,13001.99,"0,00000",242.29844816062771,0.0
1496317,89637000,8963700018681,Республика Мордовия,8,880251.28,880251.28,01.12.2014,Ремонт кровли ,3550.0,"0,00000",247.95810704225352,0.0
1513943,89701000,89701000204933,Республика Мордовия,8,2335639.0,2335639.0,28.06.2019,Ремонт кровли ,9413.17,"0,00000",248.12459564631257,0.0
1512774,89701000,89701000163939,Республика Мордовия,8,1441997.03,1441997.03,31.10.2014,Ремонт кровли ,5785.88,"0,00000",249.2269162167207,0.0
1497879,89643000,89643000204629,Республика Мордовия,8,1139579.0,1139579.0,07.12.2016,Ремонт кровли ,4565.2,"0,00000",249.62301761149567,0.0
1503516,89701000,8970100032285,Республика Мордовия,8,1167965.0,1167965.0,20.10.2017,Ремонт кровли ,4642.7,"0,00000",251.57020699162126,0.0
1504264,89701000,8970100041634,Республика Мордовия,8,1286147.18,1286147.18,17.09.2015,Ремонт кровли ,5059.56,"0,00000",254.20138905359357,0.0
1516049,89701000,8970100017645,Республика Мордовия,8,898263.0,898263.0,19.11.2014,Ремонт кровли ,3520.86,"0,00000",255.1260203473015,0.0
1503235,89701000,89701000113663,Республика Мордовия,8,1070148.0,1070148.0,29.09.2017,Ремонт кровли ,4179.57,"0,00000",256.04260725385626,0.0
1506004,89701000,89701000192362,Республика Мордовия,8,1112517.0,1112517.0,17.11.2017,Ремонт кровли ,4344.96,"0,00000",256.04769664162615,0.0
1514147,89701000,89701000204868,Республика Мордовия,8,1079649.0,1079649.0,29.09.2017,Ремонт кровли ,4183.92,"0,00000",258.0472379969024,0.0
1500434,89701000,89701000143469,Республика Мордовия,8,906818.97,906818.97,24.11.2014,Ремонт кровли ,3460.3,"0,00000",262.06368522960435,0.0
1501569,89701000,89701000118950,Республика Мордовия,8,1108229.0,1108229.0,30.10.2018,Ремонт кровли ,4182.12,"0,00000",264.9921570877928,0.0
1501497,89701000,89701000113246,Республика Мордовия,8,1112193.0,1112193.0,30.10.2018,Ремонт кровли ,4182.12,"0,00000",265.94000172161486,0.0
1501420,89701000,89701000112289,Республика Мордовия,8,1112696.0,1112696.0,30.10.2018,Ремонт кровли ,4182.12,"0,00000",266.06027564967053,0.0
1503014,89701000,8970100066335,Республика Мордовия,8,1090976.0,1090976.0,30.10.2017,Ремонт кровли ,4097.0,"0,00000",266.28655113497683,0.0
1495813,89637000,89637000178400,Республика Мордовия,8,520158.88,520158.88,01.12.2014,Ремонт кровли ,1951.0,"0,00000",266.6114197847258,0.0
1515588,89701000,89701000205080,Республика Мордовия,8,1082198.0,1082198.0,01.11.2017,Ремонт кровли ,4058.7,"0,00000",266.6366077808165,0.0
1515491,89701000,89701000130401,Республика Мордовия,8,1460988.0,1460988.0,20.01.2017,Ремонт кровли ,5455.1,"0,00000",267.82057157522314,0.0
1510861,89701000,8970100027436,Республика Мордовия,8,4657188.34,4657188.34,01.09.2015,Ремонт кровли ,17354.8,"0,00000",268.35159955747116,0.0
1506954,89701000,89701000113094,Республика Мордовия,8,990190.0,990190.0,22.06.2015,Ремонт кровли ,3679.47,"0,00000",269.11212756184995,0.0
1503993,89701000,89701000166953,Республика Мордовия,8,1199510.0,1199510.0,11.07.2016,Ремонт кровли ,4455.27,"0,00000",269.23396337371247,0.0
1501277,89701000,8970100088119,Республика Мордовия,8,1297278.0,1297278.0,20.07.2016,Ремонт кровли ,4818.0,"0,00000",269.25653798256536,0.0
1515932,89701000,8970100094223,Республика Мордовия,8,1002741.0,1002741.0,30.06.2015,Ремонт кровли ,3718.71,"0,00000",269.64753906596644,0.0
1509482,89701000,8970100014069,Республика Мордовия,8,892433.0,892433.0,03.12.2014,Ремонт кровли ,3309.17,"0,00000",269.6848454446281,0.0
1501012,89701000,8970100084338,Республика Мордовия,8,1141373.0,1141373.0,19.12.2017,Ремонт кровли ,4180.84,"0,00000",273.00088020589163,0.0
1500868,89701000,8970100014791,Республика Мордовия,8,701970.37,701970.37,28.08.2015,Ремонт кровли ,2566.5,"0,00000",273.51270991622835,0.0
1500996,89701000,8970100081943,Республика Мордовия,8,1145605.0,1145605.0,19.12.2017,Ремонт кровли ,4182.12,"0,00000",273.92925119317476,0.0
1499341,89643000,896430009638,Республика Мордовия,8,1792257.65,1792257.65,18.11.2014,Ремонт кровли ,6539.2,"0,00000",274.07903872033273,0.0
1505256,89701000,89701000106739,Республика Мордовия,8,528622.83,528622.83,28.10.2014,Ремонт кровли ,1927.72,"0,00000",274.22179050899507,0.0
1504559,89701000,8970100084925,Республика Мордовия,8,4797980.0,4797980.0,29.09.2017,Ремонт кровли ,17448.25,"0,00000",274.9834510624275,0.0
1503971,89701000,89701000186715,Республика Мордовия,8,1035864.0,1035864.0,10.01.2018,Ремонт кровли ,3758.14,"0,00000",275.6320945999883,0.0
1516242,89701000,89701000136196,Республика Мордовия,8,2343182.0,2343182.0,29.08.2016,Ремонт кровли ,8496.6,"0,00000",275.7787821010757,0.0
1501896,89701000,8970100012799,Республика Мордовия,8,1966107.0,1966107.0,01.11.2017,Ремонт кровли ,7113.5,"0,00000",276.3909467913123,0.0
1505272,89701000,89701000132128,Республика Мордовия,8,1461348.36,1461348.36,30.10.2014,Ремонт кровли ,5278.26,"0,00000",276.86176126223415,0.0
1506853,89701000,8970100086522,Республика Мордовия,8,1573411.0,1573411.0,01.08.2016,Ремонт кровли ,5673.19,"0,00000",277.3414957017128,0.0
1497877,89643000,89643000204628,Республика Мордовия,8,1200926.0,1200926.0,01.09.2016,Ремонт кровли ,4310.9,"0,00000",278.57895103110724,0.0
1505694,89701000,89701000190569,Республика Мордовия,8,818167.0,818167.0,30.08.2018,Ремонт кровли ,2936.8,"0,00000",278.5913238899482,0.0
1506975,89701000,8970100072749,Республика Мордовия,8,1055660.0,1055660.0,01.08.2016,Ремонт кровли ,3783.16,"0,00000",279.0418591865002,0.0
1511649,89701000,8970100060476,Республика Мордовия,8,962835.0,962835.0,10.12.2014,Ремонт кровли ,3449.0,"0,00000",279.1635256596115,0.0
1506995,89701000,8970100046984,Республика Мордовия,8,1452537.0,1452537.0,06.10.2015,Ремонт кровли ,5193.1,"0,00000",279.70518572721494,0.0
1506610,89701000,89701000125494,Республика Мордовия,8,3647334.0,3647334.0,29.09.2017,Ремонт кровли ,12888.21,"0,00000",282.9977165176545,0.0
1512661,89701000,89701000204809,Республика Мордовия,8,2147612.0,2147612.0,01.08.2016,Ремонт кровли ,7552.49,"0,00000",284.35813883897896,0.0
1504727,89701000,8970100089443,Республика Мордовия,8,3022185.0,3022185.0,03.07.2017,Ремонт кровли ,10468.97,"0,00000",288.6802617640513,0.0
1503982,89701000,89701000164535,Республика Мордовия,8,1100671.0,1100671.0,11.07.2016,Ремонт кровли ,3789.87,"0,00000",290.424473662685,0.0
1501087,89701000,8970100099075,Республика Мордовия,8,1094413.0,1094413.0,29.09.2017,Ремонт кровли ,3765.13,"0,00000",290.670707253136,0.0
1508772,89701000,8970100029292,Республика Мордовия,8,914872.0,914872.0,20.10.2014,Ремонт кровли ,3140.8,"0,00000",291.28629648497196,0.0
1506729,89701000,89701000117859,Республика Мордовия,8,1869681.0,1869681.0,30.11.2015,Ремонт кровли ,6400.38,"0,00000",292.1203116064984,0.0
1515714,89701000,89701000105908,Республика Мордовия,8,1118644.0,1118644.0,28.09.2018,Ремонт кровли ,3779.87,"0,00000",295.94774423459006,0.0
1502204,89701000,89701000191598,Республика Мордовия,8,561587.0,561587.0,10.01.2018,Ремонт кровли ,1891.6,"0,00000",296.8846479171072,0.0
1514875,89701000,89701000204945,Республика Мордовия,8,2094774.0,2094774.0,19.12.2017,Ремонт кровли ,7037.1,"0,00000",297.67574711173637,0.0
1512066,89701000,8970100036259,Республика Мордовия,8,2550795.0,2550795.0,29.12.2017,Ремонт кровли ,8547.42,"0,00000",298.4286486448542,0.0
1498997,89643000,89643000204652,Республика Мордовия,8,1346697.0,1346697.0,23.06.2015,Ремонт кровли ,4477.89,"0,00000",300.7436538190978,0.0
1502211,89701000,89701000160983,Республика Мордовия,8,569045.0,569045.0,10.01.2018,Ремонт кровли ,1891.62,"0,00000",300.8241613008955,0.0
1503226,89701000,89701000117691,Республика Мордовия,8,1046465.0,1046465.0,14.08.2015,Ремонт кровли ,3460.0,"0,00000",302.4465317919075,0.0
1516440,89701000,8970100010642,Республика Мордовия,8,1145915.0,1145915.0,29.09.2017,Ремонт кровли ,3781.96,"0,00000",302.99500787951223,0.0
1512695,89701000,89701000204813,Республика Мордовия,8,3171581.0,3171581.0,30.10.2017,Ремонт кровли ,10403.29,"0,00000",304.86326921579615,0.0
1502633,89701000,8970100057826,Республика Мордовия,8,1393832.0,1393832.0,01.08.2016,Ремонт кровли ,4568.9,"0,00000",305.06949156252057,0.0
1516563,89701000,8970100036051,Республика Мордовия,8,1409500.0,1409500.0,17.12.2018,Ремонт кровли ,4612.1,"0,00000",305.6091585178118,0.0
1515020,89701000,8970100030088,Республика Мордовия,8,2487587.0,2487587.0,30.10.2018,Ремонт кровли ,8116.0,"0,00000",306.50406604238543,0.0
1514798,89701000,89701000204942,Республика Мордовия,8,1642273.66,1642273.66,18.11.2016,Ремонт кровли ,5354.5,"0,00000",306.7090596694369,0.0
1501699,89701000,89701000139777,Республика Мордовия,8,1963944.0,1963944.0,09.08.2016,Ремонт кровли ,6400.0,"0,00000",306.86625,0.0
1501453,89701000,89701000115484,Республика Мордовия,8,3165814.0,3165814.0,,Ремонт кровли ,10310.75,"0,00000",307.0401280217249,0.0
1505151,89701000,8970100098515,Республика Мордовия,8,1155249.06,1155249.06,02.10.2015,Ремонт кровли ,3752.67,"0,00000",307.84722877311356,0.0
1504527,89701000,8970100056395,Республика Мордовия,8,4764484.0,4764484.0,,Ремонт кровли ,15429.67,"0,00000",308.78716135860327,0.0
1500923,89701000,89701000153306,Республика Мордовия,8,1107279.0,1107279.0,10.09.2015,Ремонт кровли ,3584.6,"0,00000",308.89890085365175,0.0
1501654,89701000,89701000150321,Республика Мордовия,8,2586136.0,2586136.0,,Ремонт кровли ,8364.4,"0,00000",309.1836832289226,0.0
1500538,89701000,89701000100831,Республика Мордовия,8,1055396.0,1055396.0,30.07.2016,Ремонт кровли ,3403.9,"0,00000",310.0549369840477,0.0
1514269,89701000,89701000204877,Республика Мордовия,8,1248808.0,1248808.0,30.11.2015,Ремонт кровли ,4027.3,"0,00000",310.0856653340948,0.0
1501551,89701000,8970100038545,Республика Мордовия,8,1300054.0,1300054.0,,Ремонт кровли ,4182.12,"0,00000",310.8600422752097,0.0
1506766,89701000,8970100020302,Республика Мордовия,8,1960474.0,1960474.0,30.10.2017,Ремонт кровли ,6304.7,"0,00000",310.95436737671895,0.0
1508318,89701000,89701000129507,Республика Мордовия,8,583996.0,583996.0,03.12.2014,Ремонт кровли ,1878.0,"0,00000",310.96698615548456,0.0
1501707,89701000,89701000101062,Республика Мордовия,8,2009825.0,2009825.0,09.08.2016,Ремонт кровли ,6452.0,"0,00000",311.50418474891507,0.0
1507116,89701000,8970100033346,Республика Мордовия,8,590849.0,590849.0,11.07.2016,Ремонт кровли ,1894.77,"0,00000",311.8315151707067,0.0
1501038,89701000,8970100094632,Республика Мордовия,8,1960339.0,1960339.0,28.06.2019,Ремонт кровли ,6277.86,"0,00000",312.26229957342156,0.0
1501607,89701000,89701000118563,Республика Мордовия,8,1310049.0,1310049.0,,Ремонт кровли ,4182.12,"0,00000",313.24997847981405,0.0
1512038,89701000,8970100055778,Республика Мордовия,8,2374194.0,2374194.0,18.11.2016,Ремонт кровли ,7571.16,"0,00000",313.58391580682485,0.0
1509616,89701000,89701000202741,Республика Мордовия,8,1288264.0,1288264.0,30.08.2015,Ремонт кровли ,4094.5,"0,00000",314.63280009769204,0.0
1508010,89701000,89701000116774,Республика Мордовия,8,1091516.0,1091516.0,31.08.2015,Ремонт кровли ,3460.5,"0,00000",315.42147088571016,0.0
1497626,89643000,8964300031911,Республика Мордовия,8,1059833.0,1059833.0,19.06.2015,Ремонт кровли ,3350.6,"0,00000",316.31140691219485,0.0
