,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5439373,66603000,2281,Смоленская область,22,,,,Ремонт кровли ,592.2,"0,00000",,
5439374,66603000,2281,Смоленская область,8,,,,Ремонт кровли ,592.2,"0,00000",,
5439378,66603000,2203,Смоленская область,8,,,16.05.2018,Ремонт кровли ,568.2,"1901,06852",,
5439379,66603000,2187,Смоленская область,8,,,11.01.2016,Ремонт кровли ,302.32,"1094,12818",,
5439386,66603000,2289,Смоленская область,22,,,,Ремонт кровли ,288.7,"0,00000",,
5439387,66603000,2289,Смоленская область,8,,,,Ремонт кровли ,288.7,"0,00000",,
5439391,66603000,2266,Смоленская область,8,1151300.0,,03.08.2015,Ремонт кровли ,1711.0,"3882,79599",,
5439398,66603000,2267,Смоленская область,8,,,,Ремонт кровли ,1505.3,"0,00000",,
5439401,66603000,2267,Смоленская область,22,,,,Ремонт кровли ,1505.3,"0,00000",,
5439402,66603000,2325,Смоленская область,22,,,,Ремонт кровли ,682.3,"0,00000",,
5439403,66603000,2325,Смоленская область,8,,,,Ремонт кровли ,682.3,"0,00000",,
5439410,66603000,2188,Смоленская область,8,,,02.06.2016,Ремонт кровли ,490.89,"1648,69689",,
5439413,66603000,2250,Смоленская область,8,,,,Ремонт кровли ,316.45,"98,42222",,
5439415,66603000,2318,Смоленская область,22,,,,Ремонт кровли ,474.54,"0,00000",,
5439416,66603000,2318,Смоленская область,8,,,,Ремонт кровли ,474.54,"0,00000",,
5439420,66603000,2193,Смоленская область,8,,,02.06.2016,Ремонт кровли ,519.66,"1515,91384",,
5439424,66603000,2326,Смоленская область,22,,,,Ремонт кровли ,887.6,"0,00000",,
5439427,66603000,2326,Смоленская область,8,,,,Ремонт кровли ,887.6,"0,00000",,
5439435,66603000,2199,Смоленская область,8,,,10.08.2016,Ремонт кровли ,955.3,"3291,26969",,
5439448,66603000,2201,Смоленская область,8,,,18.06.2018,Ремонт кровли ,858.2,"2849,25258",,
5439450,66603000,2208,Смоленская область,8,,,,Ремонт кровли ,733.3,"0,00000",,
5439453,66603000,2211,Смоленская область,8,,,,Ремонт кровли ,279.1,"0,00000",,
5439455,66603000,2274,Смоленская область,22,,,,Ремонт кровли ,729.8,"0,00000",,
5439456,66603000,2274,Смоленская область,8,,,,Ремонт кровли ,729.8,"0,00000",,
5439458,66603000,2276,Смоленская область,22,,,,Ремонт кровли ,731.5,"757,94169",,
