,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1343708,69658000,7226,Томская область,8,2388864.3,0.0,09.02.2016,Ремонт кровли ,975.2,"3891,06025",0.0,1.0
1204745,69608000,4532,Томская область,8,850046.7,0.0,14.02.2016,Ремонт кровли ,347.0,"1618,39750",0.0,1.0
1287967,69701000,2281,Томская область,8,1749922.8,0.0,23.12.2015,Ремонт кровли ,710.3,"3122,08532",0.0,1.0
1231703,69710000,5269,Томская область,22,1626696.0,0.0,15.02.2016,Ремонт кровли ,767.2,"3083,49008",0.0,1.0
1315498,69620000,4838,Томская область,8,1334677.8,0.0,15.02.2016,Ремонт кровли ,750.3,"2509,21976",0.0,1.0
1318524,69628000,6743,Томская область,8,884070.0,0.0,22.12.2015,Ремонт кровли ,340.0,"1674,19372",0.0,1.0
1320322,69632000,5681,Томская область,8,1130894.6,0.0,20.02.2016,Ремонт кровли ,424.6,"2170,98786",0.0,1.0
1321433,69632000,5405,Томская область,8,699781.8,0.0,24.02.2016,Ремонт кровли ,248.7,"1225,01576",0.0,1.0
1322066,69632000,5601,Томская область,8,996094.2,0.0,20.02.2016,Ремонт кровли ,347.5,"1741,46469",0.0,1.0
1202074,69608000,4519,Томская область,8,1321818.6,0.0,14.02.2016,Ремонт кровли ,546.4,"2646,16113",0.0,1.0
1322109,69632000,5604,Томская область,8,745129.4,0.0,18.02.2016,Ремонт кровли ,325.4,"1728,69156",0.0,1.0
1204502,69608000,4530,Томская область,8,804503.7,0.0,14.02.2016,Ремонт кровли ,324.4,"1643,70781",0.0,1.0
1205905,69612000,4781,Томская область,8,624857.1,0.0,12.02.2016,Ремонт кровли ,240.2,"1243,47360",0.0,1.0
1322176,69632000,5607,Томская область,22,457164.0,0.0,20.02.2016,Ремонт кровли ,238.0,"1183,38158",0.0,1.0
1322225,69632000,5609,Томская область,8,626480.2,0.0,18.02.2016,Ремонт кровли ,210.7,"1304,18263",0.0,1.0
1322255,69632000,5610,Томская область,8,1882546.6,0.0,20.02.2016,Ремонт кровли ,684.4,"2252,53387",0.0,1.0
1322502,69632000,5619,Томская область,8,493232.8,0.0,18.02.2016,Ремонт кровли ,172.9,"1591,27934",0.0,1.0
1323282,69632000,5449,Томская область,22,921213.0,0.0,18.02.2016,Ремонт кровли ,405.6,"1441,72677",0.0,1.0
1212981,69741000,5871,Томская область,8,4132089.6,0.0,12.02.2016,Ремонт кровли ,2730.6,"6908,59333",0.0,1.0
1325330,69632000,5540,Томская область,8,1368193.0,0.0,20.02.2016,Ремонт кровли ,590.0,"2389,59166",0.0,1.0
1325493,69632000,5546,Томская область,8,1261346.6,0.0,20.02.2016,Ремонт кровли ,426.4,"1598,51456",0.0,1.0
1328643,69636000,4900,Томская область,8,971087.6,0.0,12.02.2016,Ремонт кровли ,398.7,"1994,74374",0.0,1.0
1342118,69658000,7238,Томская область,8,1666338.0,0.0,09.02.2016,Ремонт кровли ,710.8,"2960,01572",0.0,1.0
1201622,69608000,4398,Томская область,8,993105.3,0.0,14.02.2016,Ремонт кровли ,411.0,"2170,16770",0.0,1.0
1229091,69710000,5137,Томская область,8,1261931.0,1261931.0,27.07.2016,Ремонт кровли ,5442.5,"1541,48727",231.8660542030317,0.0
1247332,69701000,2982,Томская область,8,2266175.41,2266175.41,03.12.2015,Ремонт кровли ,6299.84,"2206,56232",359.71951827348,0.0
1232995,69710000,5285,Томская область,8,10000000.0,10000000.0,25.08.2016,Ремонт кровли ,22218.4,"10960,01718",450.07741331509015,0.0
1231591,69710000,5230,Томская область,8,6869877.99,6869877.99,13.12.2016,Ремонт кровли ,15217.1,"6163,90859",451.45776724868733,0.0
1251302,69701000,4069,Томская область,8,25122166.8,7256768.48,24.05.2019,Ремонт кровли ,11286.2,"8627,03268",642.977129591891,0.7111408208626335
1214141,69741000,5914,Томская область,8,32206337.1,11843384.28,21.10.2015,Ремонт кровли ,17865.0,"22268,38438",662.9378270361041,0.6322654065494459
1322179,69632000,5607,Томская область,22,164108.53,164372.35,09.11.2016,Ремонт кровли ,238.0,"1183,38158",690.6401260504202,-0.0016075946813977737
1255765,69701000,1610,Томская область,8,11430266.64,11430266.64,25.10.2018,Ремонт кровли ,16071.6,"27339,56367",711.2090047039499,0.0
1228584,69710000,5126,Томская область,8,2705651.5,2705651.5,01.04.2015,Ремонт кровли ,3574.9,"2763,55203",756.846764944474,0.0
1323310,69632000,5449,Томская область,22,283424.67,319856.88,09.11.2016,Ремонт кровли ,405.6,"1441,72677",788.601775147929,-0.12854283291570923
1311532,69701000,676,Томская область,8,5385435.59,5385435.59,,Ремонт кровли ,6618.3,"1886,50119",813.7188688938246,0.0
1310248,69701000,526,Томская область,8,3934420.36,3939910.0,05.10.2016,Ремонт кровли ,4406.74,"4182,38888",894.0645465809192,-0.0013952855815335733
1260529,69701000,4100,Томская область,8,4244856.52,4244856.52,31.12.2015,Ремонт кровли ,4710.8,"4122,27673",901.0903710622398,0.0
1260556,69701000,4101,Томская область,8,4879145.42,4244856.52,30.12.2015,Ремонт кровли ,4682.9,"4122,27673",906.458929295949,0.12999999905721202
1245549,69701000,1366,Томская область,8,8512178.15,8512178.15,19.05.2017,Ремонт кровли ,9198.4,"8778,37663",925.3976941642026,0.0
1241690,69701000,339,Томская область,8,5466384.21,7551882.63,03.04.2018,Ремонт кровли ,8006.3,"5629,46303",943.2425252613566,-0.3815133257894435
1336489,69654000,7009,Томская область,8,3781187.63,5571989.17,18.10.2016,Ремонт кровли ,5797.2,"4054,11049",961.1517922445319,-0.47360821922502694
1260225,69701000,3880,Томская область,8,4400000.0,4400000.0,25.12.2015,Ремонт кровли ,4265.28,"3791,79583",1031.5852652111937,0.0
1257465,69701000,2964,Томская область,8,7202223.6,3411286.6,14.03.2016,Ремонт кровли ,3226.08,"3202,42825",1057.4091777017309,0.5263564713542078
1300934,69701000,746,Томская область,8,4038284.42,3676863.6,16.07.2019,Ремонт кровли ,3456.7,"4007,24508",1063.6918448230972,0.0894986044593659
1213340,69741000,5884,Томская область,8,7858464.02,7926499.19,22.07.2016,Ремонт кровли ,7404.0,"8270,84515",1070.56985278228,-0.008657565883975487
1207617,69707000,5054,Томская область,8,6573754.27,6573754.27,,Ремонт кровли ,5858.42,"2217,98268",1122.103616674803,0.0
1271952,69701000,486,Томская область,8,3943849.62,3943849.62,12.12.2016,Ремонт кровли ,3513.36,"3661,77230",1122.5293223580845,0.0
1217657,69741000,6170,Томская область,8,9296130.0,6149200.83,16.03.2016,Ремонт кровли ,5383.9,"6398,05900",1142.1461821356268,0.33852034879030307
1282279,69701000,618,Томская область,8,6058061.0,6204530.0,01.07.2016,Ремонт кровли ,5400.2,"6411,96395",1148.9444835376469,-0.024177537994417686
1281154,69701000,627,Томская область,8,4628691.02,4809730.0,30.09.2016,Ремонт кровли ,3954.5,"4733,34501",1216.2675433050954,-0.03911234930518228
1246646,69701000,2472,Томская область,8,5202064.22,5540809.91,19.09.2016,Ремонт кровли ,4547.16,"5493,22064",1218.5209911241302,-0.06511755250880014
1265200,69701000,482,Томская область,8,6139676.88,6166820.0,14.10.2016,Ремонт кровли ,5035.0,"6276,74596",1224.7904667328698,-0.004420936236631416
1260497,69701000,4352,Томская область,8,5410081.7,5848666.46,02.08.2016,Ремонт кровли ,4692.15,"5849,24092",1246.4790042944066,-0.0810680474566585
1259425,69701000,1449,Томская область,8,16880591.3,18187318.48,16.11.2015,Ремонт кровли ,14532.85,"17262,47595",1251.462616073241,-0.07741003598612091
1339287,69654000,7069,Томская область,8,2016466.6,2818824.16,22.07.2016,Ремонт кровли ,2232.45,"2194,32335",1262.6594817353134,-0.3979027274738892
1217803,69741000,6174,Томская область,8,7304434.14,7304434.14,,Ремонт кровли ,5753.6,"3674,43947",1269.5415287819799,0.0
1260427,69701000,4351,Томская область,8,5312682.14,5952956.04,06.09.2016,Ремонт кровли ,4624.1,"5751,34424",1287.37614670963,-0.12051801390097854
1261067,69701000,2235,Томская область,8,5778605.55,5778605.55,,Ремонт кровли ,4453.7,"2732,38980",1297.48423782473,0.0
1293928,69701000,2450,Томская область,8,4952139.04,6098375.78,08.08.2016,Ремонт кровли ,4687.44,"5232,11481",1301.0034859112866,-0.23146295585432516
1228328,69710000,5115,Томская область,8,1239829.54,1239829.51,25.03.2015,Ремонт кровли ,941.4,"1266,35646",1317.0060654344593,2.4196874699355586e-08
1241727,69701000,346,Томская область,8,7099217.11,7099217.11,08.04.2015,Ремонт кровли ,5305.8,"7251,14011",1338.0106883033661,0.0
1210681,69741000,6011,Томская область,8,4750377.85,4437462.47,31.08.2019,Ремонт кровли ,3271.95,"3332,17257",1356.2134109628814,0.06587168218629175
1306587,69701000,345,Томская область,8,4200623.43,4200623.43,13.12.2016,Ремонт кровли ,3072.8,"4254,78769",1367.0344409008069,0.0
1282519,69701000,588,Томская область,8,2656155.44,3248229.6,06.07.2018,Ремонт кровли ,2356.1,"2903,80334",1378.6467467424982,-0.2229064425536783
1295923,69701000,3378,Томская область,8,7172015.76,6275493.04,,Ремонт кровли ,4538.4,"232,32001",1382.754503789882,0.12500289318940366
1228954,69710000,5133,Томская область,8,14701283.13,14701283.13,,Ремонт кровли ,10531.4,"5026,90892",1395.9476546328124,0.0
