,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3164893,41645000,41645000153761,Ленинградская область,10,6471800.0,0.0,,Ремонт фасада,6417.6,"14110,49778",0.0,1.0
3169568,41645000,41645000248974,Ленинградская область,10,0.0,0.0,,Ремонт фасада,263.5,"82,96099",0.0,
3106128,41618000,41618000190038,Ленинградская область,10,0.0,0.0,31.07.2015,Ремонт фасада,448.6,"1316,85062",0.0,
3127597,41624000,41624000351344,Ленинградская область,10,0.0,0.0,,Ремонт фасада,322.1,"827,99036",0.0,
3103825,41618000,41618000165905,Ленинградская область,10,0.0,0.0,31.07.2015,Ремонт фасада,1105.83,"1415,68088",0.0,
3130554,41625000,41625000220644,Ленинградская область,10,1396000.0,0.0,,Ремонт фасада,669.22,"3608,25468",0.0,1.0
3169751,41645000,41645000268025,Ленинградская область,10,1103200.0,0.0,,Ремонт фасада,254.7,"2687,79498",0.0,1.0
3069863,41609000,41609000352271,Ленинградская область,10,1371000.0,0.0,,Ремонт фасада,453.23,"3500,31839",0.0,1.0
3098323,41615000,41615000349713,Ленинградская область,10,552000.0,0.0,,Ремонт фасада,373.4,"2249,57903",0.0,1.0
3159336,41642000,41642000353730,Ленинградская область,10,0.0,0.0,,Ремонт фасада,2097.2,"5158,45019",0.0,
3079150,41612000,41612000351130,Ленинградская область,10,0.0,0.0,,Ремонт фасада,3117.65,"0,00000",0.0,
3079499,41612000,41612000350795,Ленинградская область,10,0.0,0.0,,Ремонт фасада,889.27,"2735,69189",0.0,
3164896,41645000,41645000153762,Ленинградская область,10,6560800.0,0.0,,Ремонт фасада,6335.32,"8632,86560",0.0,1.0
3149912,41636000,41636000330658,Ленинградская область,10,0.0,0.0,,Ремонт фасада,7993.7,"3578,19348",0.0,
3170695,41648000,41648000238844,Ленинградская область,10,0.0,0.0,,Ремонт фасада,528.96,"2426,05498",0.0,
3142827,41633000,41633000183534,Ленинградская область,10,0.0,181464.51,15.04.2019,Ремонт фасада,7171.2,"277,34378",25.30462265729585,
3161730,41754000,41754000351853,Ленинградская область,10,8628400.0,241455.42,01.10.2015,Ремонт фасада,6080.6,"4869,92172",39.709143834490014,0.9720161999907283
3101720,41615000,41615000205485,Ленинградская область,10,11872813.44,310581.54,21.08.2018,Ремонт фасада,7504.4,"621,16308",41.38659186610522,0.9738409483506548
3144485,41633000,41633000201387,Ленинградская область,10,0.0,198161.86,15.04.2019,Ремонт фасада,4370.9,"2414,32624",45.33662632409801,
3098696,41615000,41615000351752,Ленинградская область,10,0.0,495325.41,14.03.2018,Ремонт фасада,10030.08,"946,76757",49.3839939462098,
3106593,41618000,41618000134542,Ленинградская область,10,0.0,100368.99,02.02.2016,Ремонт фасада,2026.53,"11367,46034",49.5275125460763,
3086991,41612000,41612000350235,Ленинградская область,10,4988000.0,145350.0,01.10.2015,Ремонт фасада,2453.5,"2445,74978",59.24189932749134,0.9708600641539695
3087359,41612000,41612000351392,Ленинградская область,10,40253716.8,969000.0,01.10.2015,Ремонт фасада,16048.5,"3987,02072",60.37947471726329,0.9759276887445086
3148356,41633000,41633000334516,Ленинградская область,10,0.0,242006.78,10.02.2015,Ремонт фасада,3858.4,"1321,13737",62.722055774414265,
3058849,41603000,41603000353215,Ленинградская область,10,3528000.0,187955.58,28.10.2016,Ремонт фасада,2697.82,"21958,28702",69.66942939113802,0.9467246088435374
3058927,41603000,41603000353211,Ленинградская область,10,7840000.0,604591.2,,Ремонт фасада,7990.58,"0,00000",75.66299317446293,0.9228837755102041
3148324,41633000,41633000334502,Ленинградская область,10,0.0,212211.0,10.02.2015,Ремонт фасада,2675.2,"1608,43747",79.3252840909091,
3059549,41603000,41603000189776,Ленинградская область,10,6249600.0,501504.08,,Ремонт фасада,6256.57,"0,00000",80.1563924003088,0.9197542114695341
3058810,41603000,41603000350885,Ленинградская область,10,7972000.0,516902.62,,Ремонт фасада,6376.42,"0,00000",81.06470715542576,0.9351602333166081
3135989,41627000,41627000135385,Ленинградская область,10,0.0,486607.37,,Ремонт фасада,5733.5,"2551,67593",84.87091131071772,
3136090,41627000,41627000135408,Ленинградская область,10,0.0,489056.09,,Ремонт фасада,5697.4,"2099,55590",85.83846842419351,
3164879,41645000,41645000153761,Ленинградская область,10,6471800.0,554094.0,28.08.2017,Ремонт фасада,6417.6,"14110,49778",86.33975317875841,0.9143833245773973
3164878,41645000,41645000153761,Ленинградская область,10,0.0,554094.0,28.08.2017,Ремонт фасада,6417.6,"14110,49778",86.33975317875841,
3164898,41645000,41645000153762,Ленинградская область,10,0.0,554029.03,28.08.2017,Ремонт фасада,6335.32,"8632,86560",87.45083594830254,
3164899,41645000,41645000153762,Ленинградская область,10,6560800.0,554029.03,28.08.2017,Ремонт фасада,6335.32,"8632,86560",87.45083594830254,0.9155546533959272
3149913,41636000,41636000330658,Ленинградская область,10,0.0,733918.65,04.09.2017,Ремонт фасада,7993.7,"3578,19348",91.81213330497768,
3102290,41615000,41615000197184,Ленинградская область,10,0.0,617083.94,14.08.2018,Ремонт фасада,6635.4,"1793,42610",92.9987551617084,
3102280,41615000,41615000197182,Ленинградская область,10,0.0,629941.87,15.08.2018,Ремонт фасада,6629.04,"1831,74704",95.02761636677407,
3058910,41603000,41603000350880,Ленинградская область,10,3928000.0,352433.5,,Ремонт фасада,3268.91,"0,00000",107.81376666840018,0.9102766038696538
3058103,41603000,41603000352993,Ленинградская область,10,0.0,403930.69,16.08.2018,Ремонт фасада,3708.06,"1252,51870",108.93315911824513,
3058921,41603000,41603000350881,Ленинградская область,10,3300000.0,300742.93,,Ремонт фасада,2686.21,"0,00000",111.95808592775694,0.9088657787878788
3135184,41627000,41627000350507,Ленинградская область,10,0.0,432528.75,14.06.2018,Ремонт фасада,3721.7,"3728,18406",116.2180589515544,
3135404,41627000,41627000191235,Ленинградская область,10,0.0,799260.26,02.11.2015,Ремонт фасада,6840.2,"3973,59251",116.84749861115172,
3068732,41609000,41609000352852,Ленинградская область,10,0.0,180864.71,26.11.2018,Ремонт фасада,1510.5,"180,86471",119.73830519695464,
3098924,41615000,41615000351949,Ленинградская область,10,0.0,894400.36,14.03.2018,Ремонт фасада,7400.88,"1788,80072",120.85054209769649,
3143815,41633000,41633000131393,Ленинградская область,10,0.0,1260545.07,31.07.2015,Ремонт фасада,10423.2,"5033,08040",120.93647536265254,
3138446,41630000,41630000352265,Ленинградская область,10,9210375.69,738005.43,,Ремонт фасада,6048.2,"12202,57402",122.02067226612878,0.9198723857918981
3146643,41633000,41633000157704,Ленинградская область,10,0.0,283123.47,31.07.2015,Ремонт фасада,2309.0,"496,89823",122.61735383282806,
3165004,41645000,41645000153770,Ленинградская область,10,11649181.68,876681.0,03.07.2018,Ремонт фасада,6989.6,"1608,57129",125.42649078631108,0.9247431258192893
3102390,41615000,41615000202269,Ленинградская область,10,0.0,594552.64,31.08.2018,Ремонт фасада,4690.85,"1726,27528",126.74731445260453,
3165577,41645000,41645000153818,Ленинградская область,10,29282207.12,1543090.14,27.11.2018,Ремонт фасада,12027.0,"5860,03209",128.30216512846096,0.9473028063193346
3165234,41645000,41645000153802,Ленинградская область,10,6456960.0,923557.6,28.08.2018,Ремонт фасада,7180.73,"1211,83014",128.61611563169762,0.8569671176528894
3146604,41633000,41633000157698,Ленинградская область,10,0.0,283123.45,31.07.2015,Ремонт фасада,2198.23,"283,12345",128.79609958921498,
3062279,41603000,41603000352607,Ленинградская область,10,5947300.0,818973.58,,Ремонт фасада,6182.02,"0,00000",132.47669531965278,0.8622948934810755
3058059,41603000,41603000353140,Ленинградская область,10,3116000.0,657043.45,20.09.2018,Ремонт фасада,4940.66,"657,04345",132.98697947237818,0.7891388157894736
3132179,41625000,41625000353145,Ленинградская область,10,7534200.0,776916.9,05.12.2018,Ремонт фасада,5686.14,"1547,86826",136.6334455359875,0.896881301266226
3132278,41625000,41625000170881,Ленинградская область,10,0.0,326699.24,31.07.2015,Ремонт фасада,2386.81,"1543,84342",136.8769361616551,
3142559,41633000,41633000158902,Ленинградская область,10,0.0,891674.72,23.07.2018,Ремонт фасада,6421.6,"5475,10797",138.85553756073253,
3173097,41648000,41648000349736,Ленинградская область,10,4622280.0,687673.0,26.04.2016,Ремонт фасада,4944.38,"4914,58100",139.08174533510774,0.8512264510155162
3058357,41603000,41603000207479,Ленинградская область,10,8906000.0,1366614.63,20.09.2018,Ремонт фасада,9796.26,"1366,61463",139.50371162055723,0.8465512429822591
3059415,41603000,41603000353115,Ленинградская область,10,2468000.0,544309.28,20.09.2018,Ремонт фасада,3888.68,"544,30928",139.97276196549987,0.7794532901134522
3125984,41624000,41624000225181,Ленинградская область,10,16466000.0,1884860.48,26.06.2018,Ремонт фасада,13458.0,"2857,71528",140.05502154852132,0.8855301542572573
3058383,41603000,41603000547596,Ленинградская область,10,4474000.0,798526.43,20.09.2018,Ремонт фасада,5639.8,"11530,39140",141.58772119578708,0.8215184555207867
3126026,41624000,41624000225188,Ленинградская область,10,7976000.0,1914568.74,26.06.2018,Ремонт фасада,13387.0,"3829,13748",143.01701202659297,0.7599587838515547
3058122,41603000,41603000352994,Ленинградская область,10,7758000.0,1143790.4,,Ремонт фасада,7964.5,"2013,33193",143.6110741415029,0.8525663315287445
3125906,41624000,41624000225170,Ленинградская область,10,14560000.0,1896579.8,02.10.2018,Ремонт фасада,13176.0,"1896,57980",143.94200060716454,0.8697403983516483
3165087,41645000,41645000153780,Ленинградская область,10,8576000.0,1145844.65,,Ремонт фасада,7940.4,"0,00000",144.30565840511812,0.8663893831623134
3142502,41633000,41633000145090,Ленинградская область,10,0.0,367588.49,31.08.2015,Ремонт фасада,2537.1,"9878,60938",144.8852981750818,
3131860,41625000,41625000352966,Ленинградская область,10,3216000.0,326453.98,10.06.2015,Ремонт фасада,2229.14,"2996,03413",146.4483971397041,0.8984906778606965
3059587,41603000,41603000189785,Ленинградская область,10,1246080.0,191153.35,,Ремонт фасада,1299.3,"180,67188",147.12025706149467,0.8465962458269132
3166120,41645000,41645000221300,Ленинградская область,10,29160226.16,2086020.77,31.07.2015,Ремонт фасада,14121.32,"3911,45987",147.72137236462314,0.9284634913819201
3171137,41648000,41648000351174,Ленинградская область,10,0.0,530618.8,13.11.2017,Ремонт фасада,3563.0,"10786,98148",148.9247263541959,
3171148,41648000,41648000351174,Ленинградская область,10,10388711.76,530618.8,13.11.2017,Ремонт фасада,3563.0,"10786,98148",148.9247263541959,0.9489235227371444
3165108,41645000,41645000153781,Ленинградская область,10,4700000.0,824783.05,02.10.2018,Ремонт фасада,5528.92,"2126,57468",149.1761591775609,0.8245142446808511
3085185,41612000,41612000349421,Ленинградская область,10,17386352.83,1252051.64,22.06.2018,Ремонт фасада,8361.92,"4853,85912",149.7325542459148,0.9279865275804368
3067201,41609000,41609000314240,Ленинградская область,10,3000000.0,334086.93,26.11.2018,Ремонт фасада,2221.03,"334,08693",150.41981873275012,0.8886376899999999
3171457,41648000,41648000213918,Ленинградская область,10,0.0,733589.94,25.09.2018,Ремонт фасада,4828.44,"3686,34410",151.93104605214106,
3165060,41645000,41645000153776,Ленинградская область,10,6360000.0,915744.52,16.08.2018,Ремонт фасада,5926.97,"0,00000",154.50466595916632,0.8560150125786165
3059297,41603000,41603000204364,Ленинградская область,10,4400000.0,446339.94,22.02.2019,Ремонт фасада,2872.08,"446,33994",155.4065137461352,0.8985591045454545
3161543,41754000,41754000353670,Ленинградская область,10,4972000.0,580099.22,10.08.2018,Ремонт фасада,3716.1,"879,71017",156.10430828018622,0.8833267860016091
3108306,41618000,41618000353285,Ленинградская область,10,0.0,467000.0,11.11.2018,Ремонт фасада,2986.0,"0,00000",156.3965170797053,
3076857,41612000,41612000354258,Ленинградская область,10,0.0,285343.36,27.08.2015,Ремонт фасада,1815.6,"12264,41144",157.16201806565323,
3135984,41627000,41627000135384,Ленинградская область,10,0.0,911995.65,13.11.2017,Ремонт фасада,5790.7,"3541,48416",157.49316144852955,
3171440,41648000,41648000213916,Ленинградская область,10,0.0,738830.16,25.09.2018,Ремонт фасада,4678.9,"6067,73412",157.906807155528,
3058121,41603000,41603000352994,Ленинградская область,10,7758000.0,1259361.05,16.08.2018,Ремонт фасада,7964.5,"2013,33193",158.12179672295812,0.837669367104924
3144509,41633000,41633000201390,Ленинградская область,10,0.0,660909.24,23.07.2018,Ремонт фасада,4154.2,"1908,48338",159.09422752876608,
3138413,41630000,41630000352196,Ленинградская область,10,10612750.12,1290979.32,10.12.2018,Ремонт фасада,8086.6,"1708,57863",159.64426582247174,0.8783558167861583
3165938,41645000,41645000221282,Ленинградская область,10,6319000.0,935997.41,10.12.2018,Ремонт фасада,5814.8,"5866,70921",160.96811756208297,0.8518757065991455
3059313,41603000,41603000204366,Ленинградская область,10,4400000.0,620488.84,16.08.2018,Ремонт фасада,3848.32,"894,00853",161.2362901214036,0.8589798090909091
3166109,41645000,41645000221298,Ленинградская область,10,29657095.27,2086020.77,31.07.2015,Ремонт фасада,12924.48,"4499,05233",161.40075035900864,0.9296619999022582
3138498,41630000,41630000352263,Ленинградская область,10,13794826.77,1303632.09,10.12.2018,Ремонт фасада,8068.4,"1725,80960",161.57256581230482,0.905498480572801
3058205,41603000,41603000207435,Ленинградская область,10,1480000.0,168377.42,28.10.2016,Ремонт фасада,1036.87,"8957,73620",162.3900971192146,0.886231472972973
3148089,41633000,41633000353778,Ленинградская область,10,0.0,1108727.93,07.12.2018,Ремонт фасада,6796.4,"1108,72793",163.13459037137306,
3142961,41633000,41633000183584,Ленинградская область,10,0.0,1284232.85,07.12.2018,Ремонт фасада,7725.6,"5232,74372",166.2308234959097,
3149888,41636000,41636000330654,Ленинградская область,10,0.0,990497.27,16.07.2018,Ремонт фасада,5939.3,"2907,44440",166.77003518933208,
3136409,41627000,41627000150452,Ленинградская область,10,0.0,703970.91,,Ремонт фасада,4199.1,"0,00000",167.64804600985926,
3068980,41609000,41609000352472,Ленинградская область,10,12850800.0,166372.05,,Ремонт фасада,989.8,"1498,24108",168.08653263285512,0.9870535647586142
3058799,41603000,41603000353214,Ленинградская область,10,3528000.0,787527.89,20.09.2018,Ремонт фасада,4667.03,"12906,27560",168.74283859328096,0.7767778089569161
3164921,41645000,41645000153763,Ленинградская область,10,6520000.0,1069852.66,,Ремонт фасада,6323.16,"1985,08630",169.19588623409814,0.8359121687116564
3153569,41639000,41639000335969,Ленинградская область,10,0.0,478168.48,,Ремонт фасада,2807.0,"0,00000",170.3485856786605,
3135579,41627000,41627000157137,Ленинградская область,10,0.0,853703.17,19.08.2015,Ремонт фасада,5011.0,"4741,91017",170.36582917581322,
3143227,41633000,41633000147027,Ленинградская область,10,0.0,869820.87,23.07.2018,Ремонт фасада,5085.6,"5519,14764",171.03603704577628,
3174359,41648000,41648000349831,Ленинградская область,10,0.0,109697.21,25.09.2018,Ремонт фасада,638.1,"884,57883",171.91225513242438,
3135959,41627000,41627000135383,Ленинградская область,10,0.0,606619.33,31.08.2015,Ремонт фасада,3524.7,"3741,94518",172.10523732516242,
3171817,41648000,41648000161813,Ленинградская область,10,0.0,1195952.05,25.09.2018,Ремонт фасада,6918.98,"13513,98919",172.8509187770452,
3164264,41754000,41754000285342,Ленинградская область,10,7280000.0,797273.76,10.05.2018,Ремонт фасада,4610.8,"1733,05655",172.91440964691594,0.8904843736263737
3140541,41630000,41630000349916,Ленинградская область,10,13099399.76,1007676.44,21.12.2018,Ремонт фасада,5805.1,"2482,36331",173.5846824344111,0.9230746096415032
3119601,41621000,41621000353442,Ленинградская область,10,4038000.0,749431.27,24.07.2015,Ремонт фасада,4288.1,"9394,73802",174.77000769571603,0.8144053318474492
3102345,41615000,41615000202262,Ленинградская область,10,0.0,914944.86,27.09.2016,Ремонт фасада,5234.94,"21236,28944",174.7765705051061,
3085891,41612000,41612000352564,Ленинградская область,10,9967200.0,484500.0,01.10.2015,Ремонт фасада,2762.0,"2447,58362",175.41636495293267,0.9513905610402119
3058098,41603000,41603000159176,Ленинградская область,10,2660000.0,909125.55,28.10.2016,Ремонт фасада,5179.27,"7098,81536",175.53160001312926,0.658223477443609
3165121,41645000,41645000153782,Ленинградская область,10,4750000.0,812201.22,,Ремонт фасада,4601.19,"0,00000",176.5198176993343,0.8290102694736843
3136011,41627000,41627000135392,Ленинградская область,10,0.0,501901.88,28.10.2014,Ремонт фасада,2834.4,"3824,96286",177.07517640417726,
3101356,41615000,41615000207866,Ленинградская область,10,30029001.66,1082806.81,14.03.2018,Ремонт фасада,6112.0,"38626,17133",177.16080006544504,0.9639412984067883
