,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
336239,11851000,2101500,Ненецкий автономный округ,65,2116196.52,2999746.1,28.11.2016,Ремонт фасада,446.0,"5475,93232",6725.888116591928,-0.4175177360182031
335141,11851000,602100,Ненецкий автономный округ,65,3262157.62,3448289.73,24.11.2017,Ремонт фасада,525.7,"9918,40416",6559.4250142666915,-0.057057975635156424
335158,11851000,602400,Ненецкий автономный округ,65,3136396.13,3461526.24,24.11.2017,Ремонт фасада,528.5,"9941,94784",6549.718524124883,-0.10366359876869263
334822,11851000,5700300,Ненецкий автономный округ,65,3398215.4,3424302.7,24.11.2017,Ремонт фасада,523.7,"8563,22417",6538.672331487493,-0.007676764692432469
334815,11851000,5700200,Ненецкий автономный округ,65,3210772.93,3494733.56,15.09.2017,Ремонт фасада,540.1,"9887,94010",6470.530568413256,-0.08843996015626053
335732,11851000,1205212,Ненецкий автономный округ,65,4488228.45,4108032.87,20.12.2016,Ремонт фасада,637.0,"22025,82218",6449.031193092622,0.08470949824312086
336208,11851000,2101111,Ненецкий автономный округ,65,2849857.46,5081539.58,10.10.2017,Ремонт фасада,792.2,"14459,33839",6414.465513759152,-0.783085523161569
336381,11851000,2300300,Ненецкий автономный округ,65,1533666.99,3411996.51,21.11.2016,Ремонт фасада,559.8,"8643,88836",6095.027706323687,-1.2247310089134797
335748,11851000,1205400,Ненецкий автономный округ,65,2402614.02,4405797.48,25.12.2015,Ремонт фасада,778.9,"8959,45937",5656.4353318782905,-0.833751673520993
335755,11851000,1205411,Ненецкий автономный округ,65,2494971.35,3370758.0,08.12.2017,Ремонт фасада,603.2,"12223,11951",5588.126657824933,-0.3510207241457902
337492,11811000,51000702211,Ненецкий автономный округ,65,1534456.09,4441023.07,12.12.2016,Ремонт фасада,832.7,"10204,27694",5333.280977542932,-1.8942001657408132
336049,11851000,1000200,Ненецкий автономный округ,65,1808165.54,1808165.54,10.12.2018,Ремонт фасада,552.1,"4112,09563",3275.0689005614922,0.0
335531,11851000,1202800,Ненецкий автономный округ,65,1517477.78,1517477.78,18.12.2018,Ремонт фасада,485.2,"6541,53607",3127.530461665293,0.0
334805,11851000,5700100,Ненецкий автономный округ,65,0.0,,,Ремонт фасада,520.4,"0,00000",,
334811,11851000,5700200,Ненецкий автономный округ,65,0.0,,,Ремонт фасада,540.1,"9887,94010",,
334818,11851000,5700300,Ненецкий автономный округ,65,0.0,,,Ремонт фасада,523.7,"8563,22417",,
334830,11851000,5700500,Ненецкий автономный округ,65,0.0,,,Ремонт фасада,586.5,"0,00000",,
334832,11851000,5700500,Ненецкий автономный округ,65,0.0,,,Ремонт фасада,586.5,"0,00000",,
