,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5032297,82701000,9418,Республика Дагестан,10,774766.5,4047900.0,26.12.2018,Ремонт фасада,1173.0,"0,00000",3450.8951406649617,-4.224670916979503
5008334,82710000,6918,Республика Дагестан,10,2284141.1,10518217.43,21.12.2015,Ремонт фасада,3458.2,"0,00000",3041.5295327048752,-3.604889527183763
5008273,82710000,6913,Республика Дагестан,10,2957058.5,13172367.93,21.12.2015,Ремонт фасада,4477.0,"0,00000",2942.230942595488,-3.454551010742601
5008670,82710000,6932,Республика Дагестан,10,2520137.75,11408038.77,21.12.2015,Ремонт фасада,4486.1,"0,00000",2542.9746929404155,-3.526752067421711
5008545,82710000,6874,Республика Дагестан,10,1112744.35,4184074.47,21.12.2015,Ремонт фасада,1684.7,"0,00000",2483.572428325518,-2.7601399369046447
5008351,82710000,6920,Республика Дагестан,10,1959835.6,7278952.16,21.12.2015,Ремонт фасада,2967.2,"0,00000",2453.1383661364252,-2.714062628518433
5008403,82710000,6899,Республика Дагестан,10,2000258.2,6687890.1,21.12.2015,Ремонт фасада,3028.4,"0,00000",2208.3906022982433,-2.3435134024197475
5008176,82710000,6906,Республика Дагестан,10,2941867.0,9573064.27,21.12.2015,Ремонт фасада,4454.0,"0,00000",2149.3184261338124,-2.25407785940017
5010138,82710000,7128,Республика Дагестан,10,871199.5,2804604.0,26.12.2016,Ремонт фасада,1319.0,"0,00000",2126.3108415466263,-2.2192442718344076
5016582,82730000,8012,Республика Дагестан,10,231373.15,734483.0,06.12.2018,Ремонт фасада,350.3,"0,00000",2096.725663716814,-2.1744521782237913
5008609,82710000,6880,Республика Дагестан,10,2911484.0,8404611.04,21.12.2015,Ремонт фасада,4408.0,"0,00000",1906.6721960072593,-1.8867103648860852
5010110,82710000,7126,Республика Дагестан,10,702772.0,1840939.0,07.11.2017,Ремонт фасада,1064.0,"0,00000",1730.2058270676691,-1.6195394807988934
5028178,82701000,8530,Республика Дагестан,10,1766309.1,4582053.0,,Ремонт фасада,2674.2,"0,00000",1713.4294368409246,-1.5941399497970088
5017638,82730000,7932,Республика Дагестан,10,270805.0,597387.0,07.11.2017,Ремонт фасада,410.0,"0,00000",1457.041463414634,-1.2059673935119366
5010998,82715000,7225,Республика Дагестан,10,1337644.6,2946343.0,26.12.2018,Ремонт фасада,2025.2,"0,00000",1454.8405095793007,-1.2026351394084795
5025428,82701000,9234,Республика Дагестан,10,695968.85,2634660.0,07.11.2017,Ремонт фасада,1927.3,"0,00000",1367.0212213978105,-2.7856004618597514
5027959,82701000,8528,Республика Дагестан,10,1009640.3,1932903.2,,Ремонт фасада,1528.6,"0,00000",1264.4924767761352,-0.9144473531811278
5031915,82701000,9355,Республика Дагестан,10,1404355.1,3993167.09,29.11.2016,Ремонт фасада,3235.8,"0,00000",1234.0586840966685,-1.8434169463264665
5013278,82720000,11860,Республика Дагестан,10,5037204.18,9138962.0,26.12.2018,Ремонт фасада,7626.35,"0,00000",1198.3402282874506,-0.8142925467039537
5017359,82730000,7899,Республика Дагестан,10,365256.5,799264.68,02.11.2016,Ремонт фасада,692.55,"0,00000",1154.0894953432967,-1.1882284914847512
5010181,82710000,7146,Республика Дагестан,10,2373837.0,4058362.0,,Ремонт фасада,3594.0,"0,00000",1129.2047857540344,-0.7096211744951317
5030305,82701000,8925,Республика Дагестан,10,1932193.68,3136432.0,26.12.2018,Ремонт фасада,2925.35,"0,00000",1072.1561522552856,-0.6232492800618208
5014567,82720000,7571,Республика Дагестан,10,488505.8,796823.14,06.10.2016,Ремонт фасада,768.4,"0,00000",1036.9900312337325,-0.6311436629820977
