,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5204207,93703000,39,Республика Тыва,10,1092528.62,1092528.62,01.12.0014,Ремонт фасада,4183.0,"0,00000",261.18303131723644,0.0
5204183,93703000,37,Республика Тыва,10,770470.0,770470.0,01.12.0014,Ремонт фасада,2824.0,"0,00000",272.82932011331445,0.0
5206931,93701000,312,Республика Тыва,10,313856.0,313856.0,01.12.2014,Ремонт фасада,665.6,"0,00000",471.53846153846155,0.0
5206940,93701000,311,Республика Тыва,10,304796.0,304796.0,01.12.2014,Ремонт фасада,644.8,"0,00000",472.6985111662531,0.0
5204084,93703000,35,Республика Тыва,10,630220.0,630220.0,01.12.0014,Ремонт фасада,802.0,"0,00000",785.8104738154614,0.0
5205963,93701000,212,Республика Тыва,10,5468817.0,5468817.0,23.11.2017,Ремонт фасада,6454.45,"9425,22000",847.2940374470327,0.0
5205948,93701000,211,Республика Тыва,10,673409.0,673409.0,01.12.0014,Ремонт фасада,662.8,"1456,45000",1016.0063367531684,0.0
5205921,93701000,208,Республика Тыва,10,2912779.65,2046488.83,,Ремонт фасада,229.0,"0,00000",8936.632445414847,0.2974103516549904
5203747,93610000,344,Республика Тыва,10,316547.0,,,Ремонт фасада,979.7,"0,00000",,
5203752,93610000,345,Республика Тыва,10,309498.0,,,Ремонт фасада,942.6,"0,00000",,
5203762,93610000,346,Республика Тыва,10,293724.5,,,Ремонт фасада,1019.5,"0,00000",,
5203774,93610000,347,Республика Тыва,10,314857.0,,,Ремонт фасада,1019.5,"0,00000",,
5203783,93610000,342,Республика Тыва,10,274639.0,,,Ремонт фасада,894.6,"0,00000",,
5203791,93610000,343,Республика Тыва,10,319796.0,,,Ремонт фасада,996.8,"0,00000",,
5203799,93703000,1,Республика Тыва,10,1016500.0,,,Ремонт фасада,2675.0,"0,00000",,
5203808,93703000,2,Республика Тыва,10,507870.0,,,Ремонт фасада,2673.0,"0,00000",,
5203817,93703000,3,Республика Тыва,10,630540.0,,,Ремонт фасада,2034.0,"2161,60600",,
5203819,93703000,4,Республика Тыва,10,386460.0,,,Ремонт фасада,2034.0,"0,00000",,
5203834,93703000,5,Республика Тыва,10,630540.0,,,Ремонт фасада,2034.0,"0,00000",,
5203843,93703000,6,Республика Тыва,10,772920.0,,,Ремонт фасада,2034.0,"0,00000",,
5203853,93703000,7,Республика Тыва,10,772920.0,,,Ремонт фасада,2034.0,"0,00000",,
5203863,93703000,8,Республика Тыва,10,772920.0,,,Ремонт фасада,2034.0,"0,00000",,
5203869,93703000,9,Республика Тыва,10,618640.0,,,Ремонт фасада,3256.0,"0,00000",,
5203875,93703000,10,Республика Тыва,10,772920.0,,,Ремонт фасада,2034.0,"0,00000",,
5203886,93703000,11,Республика Тыва,10,1225766.0,,,Ремонт фасада,3225.7,"0,00000",,
5203894,93703000,12,Республика Тыва,10,772920.0,,,Ремонт фасада,2034.0,"0,00000",,
5203906,93703000,13,Республика Тыва,10,1107130.0,,,Ремонт фасада,5827.0,"0,00000",,
5203914,93703000,20,Республика Тыва,10,523450.0,,,Ремонт фасада,2755.0,"0,00000",,
5203928,93703000,14,Республика Тыва,10,248620.0,,,Ремонт фасада,802.0,"0,00000",,
5203934,93703000,15,Республика Тыва,10,,,,Ремонт фасада,802.0,"1092,02000",,
5203943,93703000,16,Республика Тыва,10,248620.0,,,Ремонт фасада,802.0,"0,00000",,
5203950,93703000,17,Республика Тыва,10,248620.0,,,Ремонт фасада,802.0,"0,00000",,
