,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3471388,73701000,177,Ульяновская область,10,257337.0,349700.0,10.03.2015,Ремонт фасада,13134.42,"2112,80620",26.624700595839023,-0.35891846100638464
3485840,73629000,101156,Ульяновская область,10,70205.0,70205.0,03.07.2015,Ремонт фасада,774.8,"316,10000",90.61048012390295,0.0
3476259,73701000,5146,Ульяновская область,10,2762598.0,1509028.0,20.08.2017,Ремонт фасада,15945.7,"1509,00000",94.63541895307199,0.45376489811402165
3480797,73701000,333,Ульяновская область,10,548304.0,746683.0,29.05.2015,Ремонт фасада,7643.05,"746,70000",97.69437593630815,-0.36180476523972105
3480541,73701000,312,Ульяновская область,10,1560000.0,681306.0,16.10.2017,Ремонт фасада,5383.53,"10885,80000",126.55376676641535,0.5632653846153847
3473284,73701000,1433,Ульяновская область,10,414876.0,482080.0,23.12.2014,Ремонт фасада,3214.47,"4189,00000",149.97184605860377,-0.1619857499590239
3480676,73701000,598,Ульяновская область,10,714630.0,701685.95,22.12.2014,Ремонт фасада,3878.34,"5991,60000",180.92430008715067,0.018112939563130637
3479469,73701000,103513,Ульяновская область,10,534323.0,912197.7,15.09.2015,Ремонт фасада,4335.51,"3130,80000",210.40147525896606,-0.7072027593796261
3465070,73701000,1078,Ульяновская область,10,1100000.0,927628.79,15.10.2017,Ремонт фасада,4079.81,"11377,60000",227.370585885127,0.15670109999999995
3480658,73701000,325,Ульяновская область,10,2245420.0,2273666.0,22.12.2014,Ремонт фасада,9986.96,"1316,31300",227.6634731690124,-0.01257938381238254
3464427,73701000,86,Ульяновская область,10,1765567.0,2020601.97,29.10.2017,Ремонт фасада,7369.0,"11171,80000",274.2030085493283,-0.14444932987533182
3480632,73701000,597,Ульяновская область,10,477443.0,1565293.65,31.08.2015,Ремонт фасада,4596.4,"7641,80000",340.54774388651987,-2.2784932442197285
3463851,73701000,67,Ульяновская область,10,1117680.0,2217423.0,10.08.2015,Ремонт фасада,6383.22,"10859,50000",347.3831389173489,-0.983951578269272
3480570,73701000,317,Ульяновская область,10,1827660.0,2744722.0,31.08.2015,Ремонт фасада,7696.93,"8044,60000",356.5995793127909,-0.5017683814276178
3465721,73701000,456,Ульяновская область,10,807554.0,1693948.04,12.12.2016,Ремонт фасада,4741.72,"10743,50000",357.24337160355316,-1.097628195761522
3473070,73701000,1443,Ульяновская область,10,532262.0,956459.0,30.10.2015,Ремонт фасада,2362.72,"5692,30000",404.8126735288143,-0.7969702890681657
3462624,73701000,5147,Ульяновская область,10,2966753.64,2387213.77,05.12.2017,Ремонт фасада,5803.16,"10577,50000",411.36445832959976,0.19534479108282146
3461608,73701000,5382,Ульяновская область,10,2500000.0,5886400.47,29.12.2017,Ремонт фасада,13932.2,"41235,30000",422.5032995506811,-1.354560188
3478225,73701000,285,Ульяновская область,10,4811508.0,1804254.72,20.12.2018,Ремонт фасада,4030.0,"1787,40000",447.7058858560794,0.6250126322142664
3478457,73701000,1350,Ульяновская область,10,1458455.0,1535265.62,24.07.2017,Ремонт фасада,3344.86,"2011,90000",458.99248996968487,-0.05266574560065282
3471558,73701000,183,Ульяновская область,10,665090.0,1681634.01,12.01.2017,Ремонт фасада,3617.88,"9406,80000",464.81199210587414,-1.5284307537325776
3471294,73701000,801,Ульяновская область,10,7975047.6,3335801.0,29.12.2018,Ремонт фасада,7127.97,"6829,23000",467.987519588326,0.5817202395130532
3470454,73701000,5303,Ульяновская область,10,744466.0,1830742.61,30.10.2015,Ремонт фасада,3851.84,"4502,80000",475.29040925895157,-1.4591352862320108
3478303,73701000,291,Ульяновская область,10,3775740.88,5037539.55,18.12.2017,Ремонт фасада,10452.78,"24785,40000",481.93299294541737,-0.33418571615539466
3464959,73701000,5101,Ульяновская область,10,695427.0,1758550.62,20.02.2017,Ремонт фасада,3620.75,"5751,50000",485.6868383622178,-1.5287350361720211
3478219,73701000,865,Ульяновская область,10,2712713.0,2292242.47,15.09.2015,Ремонт фасада,4686.84,"2292,20000",489.0805894803322,0.15500000552951965
3484171,73622000,2000,Ульяновская область,10,3200000.0,1126712.12,27.12.2018,Ремонт фасада,2268.0,"3631,30000",496.7866490299824,0.6479024624999999
3465133,73701000,1096,Ульяновская область,10,2362530.0,3951445.06,23.11.2015,Ремонт фасада,7650.77,"11811,70000",516.4767807684716,-0.6725480988601203
