,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3176821,75603000,16149,Челябинская область,10,0.0,0.0,,Ремонт фасада,627.0,"0,00000",0.0,
3329234,75758000,9133,Челябинская область,10,0.0,0.0,,Ремонт фасада,4883.8,"0,00000",0.0,
3329243,75758000,11696,Челябинская область,10,0.0,0.0,,Ремонт фасада,1298.7,"0,00000",0.0,
3329257,75758000,11697,Челябинская область,10,0.0,0.0,,Ремонт фасада,1279.5,"0,00000",0.0,
3329273,75758000,11698,Челябинская область,10,0.0,0.0,,Ремонт фасада,1279.9,"0,00000",0.0,
3329280,75758000,11699,Челябинская область,10,0.0,0.0,,Ремонт фасада,1614.3,"0,00000",0.0,
3329289,75758000,9975,Челябинская область,10,0.0,0.0,,Ремонт фасада,1999.9,"0,00000",0.0,
3329305,75758000,11700,Челябинская область,10,0.0,0.0,,Ремонт фасада,1631.1,"0,00000",0.0,
3329311,75758000,11701,Челябинская область,10,0.0,0.0,,Ремонт фасада,1279.2,"0,00000",0.0,
3329321,75758000,26947,Челябинская область,10,0.0,0.0,,Ремонт фасада,3328.2,"0,00000",0.0,
3329333,75758000,11581,Челябинская область,10,0.0,0.0,,Ремонт фасада,2008.2,"0,00000",0.0,
3329357,75758000,11582,Челябинская область,10,0.0,0.0,,Ремонт фасада,2014.2,"0,00000",0.0,
3329366,75758000,11583,Челябинская область,10,0.0,0.0,,Ремонт фасада,1509.3,"0,00000",0.0,
3329380,75758000,23823,Челябинская область,10,0.0,0.0,,Ремонт фасада,3327.6,"0,00000",0.0,
3329386,75758000,10657,Челябинская область,10,0.0,0.0,,Ремонт фасада,6598.29,"0,00000",0.0,
3329222,75758000,37958,Челябинская область,10,0.0,0.0,,Ремонт фасада,4053.0,"0,00000",0.0,
3329407,75758000,10658,Челябинская область,10,0.0,0.0,,Ремонт фасада,6445.2,"0,00000",0.0,
3329426,75758000,9809,Челябинская область,10,0.0,0.0,,Ремонт фасада,4419.9,"0,00000",0.0,
3329427,75758000,9809,Челябинская область,10,0.0,0.0,,Ремонт фасада,4419.9,"0,00000",0.0,
3329439,75758000,5093,Челябинская область,10,0.0,0.0,,Ремонт фасада,3344.9,"0,00000",0.0,
3329456,75758000,8411,Челябинская область,10,0.0,0.0,,Ремонт фасада,1110.2,"0,00000",0.0,
3329466,75758000,9810,Челябинская область,10,0.0,0.0,,Ремонт фасада,2726.3,"0,00000",0.0,
3329467,75758000,9810,Челябинская область,10,0.0,0.0,,Ремонт фасада,2726.3,"0,00000",0.0,
3329480,75758000,9811,Челябинская область,10,0.0,0.0,,Ремонт фасада,4523.3,"0,00000",0.0,
3329491,75758000,9812,Челябинская область,10,0.0,0.0,,Ремонт фасада,3622.6,"0,00000",0.0,
3329503,75758000,8409,Челябинская область,10,0.0,0.0,,Ремонт фасада,1573.6,"0,00000",0.0,
3329515,75758000,21340,Челябинская область,10,0.0,0.0,,Ремонт фасада,4837.1,"0,00000",0.0,
3329528,75758000,9814,Челябинская область,10,0.0,0.0,,Ремонт фасада,1780.6,"0,00000",0.0,
3329540,75758000,8410,Челябинская область,10,0.0,0.0,,Ремонт фасада,1124.6,"0,00000",0.0,
3329552,75758000,9902,Челябинская область,10,0.0,0.0,,Ремонт фасада,4477.3,"0,00000",0.0,
3329553,75758000,9902,Челябинская область,10,0.0,0.0,,Ремонт фасада,4477.3,"0,00000",0.0,
3329420,75758000,24952,Челябинская область,10,0.0,0.0,,Ремонт фасада,3211.6,"0,00000",0.0,
3329211,75758000,19855,Челябинская область,10,0.0,0.0,,Ремонт фасада,4974.6,"0,00000",0.0,
3329201,75758000,13042,Челябинская область,10,0.0,0.0,,Ремонт фасада,293.7,"0,00000",0.0,
3329193,75758000,37941,Челябинская область,10,0.0,0.0,,Ремонт фасада,11011.0,"0,00000",0.0,
3328815,75758000,8995,Челябинская область,10,0.0,0.0,,Ремонт фасада,1688.3,"0,00000",0.0,
3328832,75758000,13033,Челябинская область,10,0.0,0.0,,Ремонт фасада,1901.9,"0,00000",0.0,
3328838,75758000,8412,Челябинская область,10,0.0,0.0,,Ремонт фасада,758.4,"0,00000",0.0,
3328845,75758000,8413,Челябинская область,10,0.0,0.0,,Ремонт фасада,751.6,"0,00000",0.0,
3328853,75758000,23916,Челябинская область,10,0.0,0.0,,Ремонт фасада,4044.8,"0,00000",0.0,
3328863,75758000,23373,Челябинская область,10,0.0,0.0,,Ремонт фасада,4981.8,"0,00000",0.0,
3328891,75758000,2954,Челябинская область,10,0.0,0.0,,Ремонт фасада,7446.3,"0,00000",0.0,
3328896,75758000,20702,Челябинская область,10,0.0,0.0,,Ремонт фасада,561.23,"0,00000",0.0,
3328911,75758000,20701,Челябинская область,10,0.0,0.0,,Ремонт фасада,926.8,"0,00000",0.0,
3328921,75758000,19853,Челябинская область,10,0.0,0.0,,Ремонт фасада,1254.8,"0,00000",0.0,
3328940,75758000,9660,Челябинская область,10,0.0,0.0,,Ремонт фасада,5931.3,"0,00000",0.0,
3328957,75758000,9661,Челябинская область,10,0.0,0.0,,Ремонт фасада,5384.1,"0,00000",0.0,
3328962,75758000,5026,Челябинская область,10,0.0,0.0,,Ремонт фасада,3471.5,"0,00000",0.0,
3328986,75758000,9806,Челябинская область,10,0.0,0.0,,Ремонт фасада,3277.3,"0,00000",0.0,
