,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
526721,12701000,925,Астраханская область,9,240600.0,240600.0,20.02.2017,Ремонт фундаментов,5398.7,"4673,07134",44.566284475892346,0.0
522648,12701000,834,Астраханская область,11,70490.0,70490.0,16.12.2016,Ремонт фундаментов,296.4,"389,23000",237.82051282051285,0.0
521672,12701000,198,Астраханская область,11,151600.0,151600.0,08.12.2016,Ремонт фундаментов,494.5,"2260,58200",306.572295247725,0.0
510821,12605000,3721,Астраханская область,9,1200000.0,,,Ремонт фундаментов,7839.3,"1026,37812",,
510822,12605000,3721,Астраханская область,11,1000000.0,,,Ремонт фундаментов,7839.3,"1026,37812",,
510836,12605000,3722,Астраханская область,9,1200000.0,,,Ремонт фундаментов,7821.2,,,
510837,12605000,3722,Астраханская область,11,1000000.0,,,Ремонт фундаментов,7821.2,,,
510846,12605000,3723,Астраханская область,9,1000000.0,,,Ремонт фундаментов,7984.9,,,
510865,12605000,3724,Астраханская область,9,1000000.0,,,Ремонт фундаментов,8003.1,,,
510877,12605000,3725,Астраханская область,9,500000.0,,,Ремонт фундаментов,3763.4,,,
510895,12605000,3726,Астраханская область,9,550000.0,,,Ремонт фундаментов,3768.4,,,
510913,12605000,3727,Астраханская область,9,1000000.0,,,Ремонт фундаментов,8043.1,,,
510927,12605000,3728,Астраханская область,9,1000000.0,,,Ремонт фундаментов,7977.0,,,
510936,12605000,3729,Астраханская область,9,550000.0,,,Ремонт фундаментов,4245.9,,,
510943,12605000,3974,Астраханская область,9,400000.0,,,Ремонт фундаментов,732.1,,,
510944,12605000,3974,Астраханская область,11,1400000.0,,,Ремонт фундаментов,732.1,,,
510955,12605000,3975,Астраханская область,9,1300000.0,,,Ремонт фундаментов,741.4,,,
510958,12605000,3975,Астраханская область,11,1400000.0,,,Ремонт фундаментов,741.4,,,
510961,12605000,3976,Астраханская область,9,500000.0,,,Ремонт фундаментов,768.3,,,
510963,12605000,3976,Астраханская область,11,300000.0,,,Ремонт фундаментов,768.3,,,
510971,12605000,3977,Астраханская область,11,500000.0,,,Ремонт фундаментов,1145.8,,,
510976,12605000,3977,Астраханская область,9,130000.0,,,Ремонт фундаментов,1145.8,,,
510981,12605000,3978,Астраханская область,9,400000.0,,,Ремонт фундаментов,1272.6,,,
510984,12605000,3978,Астраханская область,11,400000.0,,,Ремонт фундаментов,1272.6,,,
510987,12605000,3979,Астраханская область,9,450000.0,,,Ремонт фундаментов,746.3,,,
510988,12605000,3979,Астраханская область,11,300000.0,,,Ремонт фундаментов,746.3,,,
510995,12605000,3980,Астраханская область,9,1800000.0,,,Ремонт фундаментов,699.6,,,
