,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4320194,18614000,800105,Волгоградская область,11,1202619.42,1145991.91,26.12.2018,Ремонт фундаментов,170.5,"3169,44000",6721.360175953078,0.04708680822732766
4312290,18725000,3700190,Волгоградская область,11,739418.68,592643.33,18.10.2018,Ремонт фундаментов,89.0,"1383,06000",6658.913820224719,0.19850100351806108
4226095,18710000,3400840,Волгоградская область,11,0.0,3867560.19,,Ремонт фундаментов,687.5,"1451,23000",5625.542094545454,
4305604,18715000,3500771,Волгоградская область,11,462861.0,441830.36,29.12.2018,Ремонт фундаментов,87.1,"1540,16000",5072.679219288175,0.04543618926632405
4337301,18650000,2600024,Волгоградская область,11,2801079.28,2031071.33,03.12.2018,Ремонт фундаментов,415.2,"4426,72000",4891.790293834297,0.2748968783204165
4340620,18654000,3000027,Волгоградская область,11,0.0,4120106.5,,Ремонт фундаментов,850.0,"0,00000",4847.184117647059,
4249990,18701000,3301158,Волгоградская область,11,1799445.66,1799445.66,,Ремонт фундаментов,383.5,"1788,45000",4692.165997392438,0.0
4241281,18701000,3305042,Волгоградская область,11,2481216.0,2481216.0,,Ремонт фундаментов,528.9,"1361,04000",4691.27623369257,0.0
4226232,18710000,3400850,Волгоградская область,11,3261586.0,3261585.6,,Ремонт фундаментов,696.4,"2343,10000",4683.494543365882,1.2263972187361232e-07
4324819,18620000,1100002,Волгоградская область,11,1146338.4,1146338.4,,Ремонт фундаментов,246.0,"679,10000",4659.91219512195,0.0
4301768,18715000,3500375,Волгоградская область,11,1077878.4,1077878.4,,Ремонт фундаментов,243.8,"188,53000",4421.158326497129,0.0
4214135,18604000,200009,Волгоградская область,11,678551.0,678550.8,,Ремонт фундаментов,154.6,"568,02000",4389.073738680466,2.947457154339672e-07
4221358,18710000,3400452,Волгоградская область,11,1829018.0,1829018.0,05.08.2019,Ремонт фундаментов,429.1,"34,60000",4262.451642973666,0.0
4262868,18701000,3302122,Волгоградская область,11,2083958.0,2041215.0,14.12.2018,Ремонт фундаментов,480.3,"6066,44000",4249.875078076202,0.02051049013463803
4262809,18701000,3302119,Волгоградская область,11,1236388.0,1236226.0,14.12.2018,Ремонт фундаментов,299.0,"3460,64000",4134.5351170568565,0.00013102682976541346
4222545,18710000,3400543,Волгоградская область,11,1771001.0,1771001.0,,Ремонт фундаментов,439.0,"35,00000",4034.1708428246016,0.0
4331321,18640000,2000014,Волгоградская область,11,1663973.46,1655653.59,,Ремонт фундаментов,421.6,"957,57000",3927.0720825426943,0.005000001622621961
4272089,18701000,3302904,Волгоградская область,11,1865338.1,2014508.28,15.01.2019,Ремонт фундаментов,529.4,"6827,97000",3805.2668681526256,-0.0799695133016368
4262783,18701000,3302118,Волгоградская область,11,1052647.0,1052647.0,25.12.2018,Ремонт фундаментов,279.5,"3652,47000",3766.178890876565,0.0
4262776,18701000,3302117,Волгоградская область,11,1058029.0,1034149.0,17.12.2018,Ремонт фундаментов,275.5,"3748,48000",3753.7168784029036,0.02257026981302025
4228962,18710000,3401064,Волгоградская область,11,2534107.0,2534107.0,,Ремонт фундаментов,677.9,"42,82000",3738.172296798938,0.0
4262720,18701000,3302114,Волгоградская область,11,1056157.0,1004387.0,27.12.2018,Ремонт фундаментов,271.9,"3459,05000",3693.9573372563445,0.049017333597182994
4311359,18725000,3700099,Волгоградская область,11,2613946.8,2613946.8,,Ремонт фундаментов,717.0,"758,37000",3645.671966527196,0.0
4311165,18725000,3700080,Волгоградская область,11,1011466.8,1011466.8,,Ремонт фундаментов,277.7,"456,69000",3642.3003240907456,0.0
4263047,18701000,3302133,Волгоградская область,11,1062119.0,1061952.0,17.12.2018,Ремонт фундаментов,295.9,"3726,63000",3588.8881378844208,0.00015723285243932178
4304656,18715000,3500684,Волгоградская область,11,0.0,2291893.2,,Ремонт фундаментов,669.5,"0,00000",3423.2908140403288,
4312003,18725000,3700157,Волгоградская область,11,2327014.28,1385638.36,22.11.2018,Ремонт фундаментов,412.8,"3600,11000",3356.682073643411,0.4045423906895835
4302034,18715000,3500412,Волгоградская область,11,953514.34,697169.99,29.12.2018,Ремонт фундаментов,213.0,"2833,65000",3273.098544600939,0.2688416306355707
4331749,18640000,2000059,Волгоградская область,11,520702.14,520702.14,29.10.2018,Ремонт фундаментов,159.4,"2019,10000",3266.6382685069007,0.0
4252142,18701000,3301340,Волгоградская область,11,6895851.56,2992860.8,24.10.2018,Ремонт фундаментов,926.5,"8142,37000",3230.2868861305988,0.5659911217694483
4310618,18725000,3700028,Волгоградская область,11,1248409.32,1248409.32,22.11.2018,Ремонт фундаментов,392.4,"3660,58000",3181.4712538226304,0.0
4301818,18715000,3500394,Волгоградская область,11,609370.0,609369.99,08.04.2019,Ремонт фундаментов,192.0,"2057,74000",3173.80203125,1.6410391074902318e-08
4305133,18715000,3500731,Волгоградская область,11,1151840.4,1151840.4,28.08.2019,Ремонт фундаментов,371.6,"421,36000",3099.678148546824,0.0
4312105,18725000,3700168,Волгоградская область,11,1326385.2,1326385.2,14.08.2019,Ремонт фундаментов,429.0,"1392,53000",3091.806993006993,0.0
4310493,18725000,3700016,Волгоградская область,11,3538206.0,3538206.0,,Ремонт фундаментов,1151.9,"437,09000",3071.6260092021876,0.0
4331115,18638000,1900040,Волгоградская область,11,933270.26,843931.46,28.11.2018,Ремонт фундаментов,277.2,"1019,68000",3044.4857864357864,0.09572661192482448
4302961,18715000,3500512,Волгоградская область,11,1911703.2,1902144.68,,Ремонт фундаментов,634.6,"316,89000",2997.3915537346356,0.005000002092375019
4311439,18725000,3700105,Волгоградская область,11,1251541.2,1251541.2,,Ремонт фундаментов,428.1,"1246,35000",2923.4786264891377,0.0
4215164,18710000,3401506,Волгоградская область,11,1356497.0,1349714.32,,Ремонт фундаментов,468.8,"284,83000",2879.083447098976,0.005000143752621595
4310199,18720000,3600294,Волгоградская область,11,1893783.6,1893783.6,30.08.2019,Ремонт фундаментов,672.2,"2592,62000",2817.2918774174354,0.0
4310214,18720000,3600295,Волгоградская область,11,2694350.4,2694350.4,,Ремонт фундаментов,958.7,"3516,65000",2810.4207781370606,0.0
4303345,18715000,3500544,Волгоградская область,11,1503401.0,1503400.8,,Ремонт фундаментов,536.0,"313,60000",2804.85223880597,1.3303170608070227e-07
4308005,18720000,3600121,Волгоградская область,11,2014387.2,1994243.33,,Ремонт фундаментов,711.0,"279,42000",2804.8429395218004,0.009999999007142163
4222419,18710000,3400547,Волгоградская область,11,0.0,1938941.15,,Ремонт фундаментов,692.2,"964,77000",2801.1285033227387,
4300875,18715000,3500261,Волгоградская область,11,570541.0,393377.63,28.12.2018,Ремонт фундаментов,141.5,"1456,92000",2780.0539222614843,0.310518209909542
4306295,18715000,3500833,Волгоградская область,11,2042635.2,2042635.2,,Ремонт фундаментов,744.7,"296,73000",2742.8967369410498,0.0
4340861,18656000,3100016,Волгоградская область,11,1192298.4,1186336.91,21.08.2019,Ремонт фундаментов,437.1,"230,62000",2714.108693662777,0.004999998322567565
4213973,18602000,100012,Волгоградская область,11,897821.0,897820.8,,Ремонт фундаментов,344.8,"1044,04000",2603.8886310904873,2.2276155264070886e-07
4301717,18715000,3500381,Волгоградская область,11,711081.0,590623.85,28.12.2018,Ремонт фундаментов,228.6,"2626,99000",2583.656386701662,0.16940004022045313
4340850,18656000,3100014,Волгоградская область,11,1192298.4,1120760.5,,Ремонт фундаментов,437.3,"230,62000",2562.9099016693344,0.05999999664513507
4337140,18650000,2600014,Волгоградская область,11,1877454.28,1877454.28,29.12.2018,Ремонт фундаментов,733.8,"2742,09000",2558.5367675115835,0.0
4307534,18720000,3600075,Волгоградская область,11,2459975.0,2111994.44,05.06.2019,Ремонт фундаментов,846.0,"241,60000",2496.4473286052007,0.14145694976574968
4340818,18656000,3100012,Волгоградская область,11,1196404.0,1124619.38,,Ремонт фундаментов,455.4,"230,62000",2469.5199385155906,0.060000317618463424
4213928,18602000,100007,Волгоградская область,11,563960.4,563960.4,,Ремонт фундаментов,228.6,"894,69000",2467.0183727034123,0.0
4311594,18725000,3700119,Волгоградская область,11,2588466.0,2588466.0,,Ремонт фундаментов,1049.8,"339,77000",2465.6753667365215,0.0
4340846,18656000,3100013,Волгоградская область,11,1192298.4,1120760.5,,Ремонт фундаментов,454.7,"230,62000",2464.8350560809326,0.05999999664513507
4302520,18715000,3500461,Волгоградская область,11,956447.0,956446.8,15.05.2019,Ремонт фундаментов,388.8,"304,38000",2459.996913580247,2.0910724792218898e-07
4326573,18624000,1300088,Волгоградская область,11,1352911.2,1298794.75,,Ремонт фундаментов,532.8,"214,99000",2437.677834084084,0.04000000147829359
4324026,18618000,1000156,Волгоградская область,11,0.0,1313304.0,,Ремонт фундаментов,540.0,"233,28000",2432.0444444444443,
4307680,18720000,3600088,Волгоградская область,11,1647448.0,1638879.8,05.07.2019,Ремонт фундаментов,688.5,"2958,53000",2380.3628177196806,0.005200892531964562
