,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5656371,76701000,2775,Забайкальский край,9,424796.66,424796.66,30.12.2014,Ремонт фундаментов,5952.2,"16315,44000",71.36800846745741,0.0
5669629,76612000,674,Забайкальский край,11,502768.0,481377.6,,Ремонт фундаментов,428.0,"99,12000",1124.7140186915888,0.0425452693886644
5647820,76715000,1713,Забайкальский край,11,,,,Ремонт фундаментов,1200.9,"0,00000",,
5647827,76715000,1714,Забайкальский край,11,,,,Ремонт фундаментов,1292.0,"0,00000",,
5647834,76715000,1715,Забайкальский край,11,,,,Ремонт фундаментов,1296.0,"0,00000",,
5647839,76715000,1761,Забайкальский край,11,,,,Ремонт фундаментов,2426.3,"0,00000",,
5647845,76715000,1761,Забайкальский край,9,,,,Ремонт фундаментов,2426.3,"0,00000",,
5647851,76715000,1762,Забайкальский край,11,,,,Ремонт фундаментов,4599.6,"0,00000",,
5647855,76715000,1762,Забайкальский край,9,,,,Ремонт фундаментов,4599.6,"0,00000",,
5647859,76715000,1763,Забайкальский край,9,,,,Ремонт фундаментов,2444.0,"435,70000",,
5647862,76715000,1763,Забайкальский край,11,,,,Ремонт фундаментов,2444.0,"435,70000",,
5647866,76715000,5664,Забайкальский край,11,,,,Ремонт фундаментов,541.0,"0,00000",,
5647868,76715000,5664,Забайкальский край,9,,,,Ремонт фундаментов,541.0,"0,00000",,
5647873,76715000,1694,Забайкальский край,11,,,,Ремонт фундаментов,6814.0,"0,00000",,
5647875,76715000,1694,Забайкальский край,9,,,,Ремонт фундаментов,6814.0,"0,00000",,
5647883,76715000,1695,Забайкальский край,11,,,,Ремонт фундаментов,4917.96,"0,00000",,
5647885,76715000,1695,Забайкальский край,9,,,,Ремонт фундаментов,4917.96,"0,00000",,
5647889,76715000,1696,Забайкальский край,9,,,,Ремонт фундаментов,2230.12,"0,00000",,
5647896,76715000,1696,Забайкальский край,11,,,,Ремонт фундаментов,2230.12,"0,00000",,
5647898,76715000,1697,Забайкальский край,9,,,,Ремонт фундаментов,3571.0,"2845,84000",,
5647905,76715000,1697,Забайкальский край,11,,,,Ремонт фундаментов,3571.0,"2845,84000",,
5647912,76715000,1698,Забайкальский край,11,,,,Ремонт фундаментов,4252.0,"0,00000",,
