,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5953992,34602000,1781,Костромская область,9,172595.67,0.0,,Ремонт фундаментов,620.8,"0,00000",0.0,1.0
5970372,34701000,1100,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4530.6,"0,00000",0.0,
5970371,34701000,1905,Костромская область,11,682821.0,0.0,,Ремонт фундаментов,246.3,"131,83000",0.0,1.0
5970365,34701000,1977,Костромская область,11,0.0,0.0,,Ремонт фундаментов,701.5,"0,00000",0.0,
5970362,34701000,1977,Костромская область,9,0.0,0.0,,Ремонт фундаментов,701.5,"0,00000",0.0,
5970355,34701000,2708,Костромская область,9,0.0,0.0,,Ремонт фундаментов,2640.3,"0,00000",0.0,
5970352,34701000,2057,Костромская область,9,0.0,0.0,,Ремонт фундаментов,3429.8,"0,00000",0.0,
5970345,34701000,2151,Костромская область,11,0.0,0.0,,Ремонт фундаментов,231.9,"133,55000",0.0,
5970379,34701000,245,Костромская область,11,0.0,0.0,,Ремонт фундаментов,572.1,"0,00000",0.0,
5970343,34701000,3740,Костромская область,11,244119.59,0.0,,Ремонт фундаментов,211.9,"0,00000",0.0,1.0
5970336,34701000,1416,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1381.3,"0,00000",0.0,
5970333,34701000,6032,Костромская область,9,456052.15,0.0,,Ремонт фундаментов,2203.4,"0,00000",0.0,1.0
5970328,34701000,2892,Костромская область,9,424685.24,0.0,,Ремонт фундаментов,2537.2,"0,00000",0.0,1.0
5970322,34701000,4936,Костромская область,9,0.0,0.0,,Ремонт фундаментов,356.6,"0,00000",0.0,
5970319,34701000,4936,Костромская область,11,0.0,0.0,,Ремонт фундаментов,356.6,"0,00000",0.0,
5970317,34701000,3055,Костромская область,11,0.0,0.0,,Ремонт фундаментов,516.3,"0,00000",0.0,
5970312,34701000,3055,Костромская область,9,0.0,0.0,,Ремонт фундаментов,516.3,"0,00000",0.0,
5970337,34701000,1416,Костромская область,9,187024.89,0.0,,Ремонт фундаментов,1381.3,"0,00000",0.0,1.0
5970309,34701000,4595,Костромская область,11,0.0,0.0,,Ремонт фундаментов,800.3,"0,00000",0.0,
5970382,34701000,245,Костромская область,9,0.0,0.0,,Ремонт фундаментов,572.1,"0,00000",0.0,
5970387,34701000,3015,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1198.3,"0,00000",0.0,
5970453,34701000,641,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4731.8,"0,00000",0.0,
5970450,34701000,641,Костромская область,11,0.0,0.0,,Ремонт фундаментов,4731.8,"0,00000",0.0,
5970444,34701000,3057,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4514.5,"0,00000",0.0,
5970441,34701000,3057,Костромская область,11,0.0,0.0,,Ремонт фундаментов,4514.5,"0,00000",0.0,
5970436,34701000,2206,Костромская область,9,0.0,0.0,,Ремонт фундаментов,10814.6,"0,00000",0.0,
5970435,34701000,2206,Костромская область,11,0.0,0.0,,Ремонт фундаментов,10814.6,"0,00000",0.0,
5970429,34701000,1060,Костромская область,11,0.0,0.0,,Ремонт фундаментов,4981.0,"0,00000",0.0,
5970386,34701000,3015,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1198.3,"0,00000",0.0,
5970426,34701000,1060,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4981.0,"0,00000",0.0,
5970419,34701000,1535,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4338.5,"0,00000",0.0,
5970411,34701000,1029,Костромская область,11,0.0,0.0,,Ремонт фундаментов,302.0,"0,00000",0.0,
5970408,34701000,1029,Костромская область,9,0.0,0.0,,Ремонт фундаментов,302.0,"0,00000",0.0,
5970402,34701000,4307,Костромская область,9,0.0,0.0,,Ремонт фундаментов,299.3,"0,00000",0.0,
5970401,34701000,4307,Костромская область,11,0.0,0.0,,Ремонт фундаментов,299.3,"0,00000",0.0,
5970393,34701000,4922,Костромская область,11,0.0,0.0,,Ремонт фундаментов,360.8,"0,00000",0.0,
5970392,34701000,4922,Костромская область,9,0.0,0.0,,Ремонт фундаментов,360.8,"0,00000",0.0,
5970422,34701000,1535,Костромская область,11,0.0,0.0,,Ремонт фундаментов,4338.5,"0,00000",0.0,
5970458,34701000,8565,Костромская область,11,0.0,0.0,,Ремонт фундаментов,10648.4,"0,00000",0.0,
5970304,34701000,4595,Костромская область,9,0.0,0.0,,Ремонт фундаментов,800.3,"0,00000",0.0,
5970299,34701000,602,Костромская область,11,0.0,0.0,,Ремонт фундаментов,542.8,"0,00000",0.0,
5970209,34701000,1047,Костромская область,11,0.0,0.0,,Ремонт фундаментов,59.7,"0,00000",0.0,
5970204,34701000,2205,Костромская область,11,0.0,0.0,,Ремонт фундаментов,3443.8,"0,00000",0.0,
5970203,34701000,2205,Костромская область,9,0.0,0.0,,Ремонт фундаментов,3443.8,"0,00000",0.0,
5970198,34701000,4066,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1068.6,"0,00000",0.0,
5970191,34701000,588,Костромская область,11,0.0,0.0,,Ремонт фундаментов,264.5,"0,00000",0.0,
5970183,34701000,3374,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1644.3,"0,00000",0.0,
5970182,34701000,3374,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1644.3,"0,00000",0.0,
5970217,34701000,529,Костромская область,9,0.0,0.0,,Ремонт фундаментов,33300.6,"0,00000",0.0,
5970170,34701000,5030,Костромская область,9,0.0,0.0,,Ремонт фундаментов,3353.8,"0,00000",0.0,
5970164,34701000,1685,Костромская область,9,390199.41,0.0,,Ремонт фундаментов,2789.9,"0,00000",0.0,1.0
5970159,34701000,490,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1698.7,"0,00000",0.0,
5970157,34701000,490,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1698.7,"0,00000",0.0,
5970153,34701000,1130,Костромская область,11,0.0,0.0,,Ремонт фундаментов,7369.2,"0,00000",0.0,
5970149,34701000,1130,Костромская область,9,0.0,0.0,,Ремонт фундаментов,7369.2,"0,00000",0.0,
5970146,34701000,2965,Костромская область,9,0.0,0.0,,Ремонт фундаментов,4191.3,"0,00000",0.0,
5970142,34701000,2965,Костромская область,11,0.0,0.0,,Ремонт фундаментов,4191.3,"0,00000",0.0,
5970167,34701000,5030,Костромская область,11,0.0,0.0,,Ремонт фундаментов,3353.8,"0,00000",0.0,
5970303,34701000,602,Костромская область,9,0.0,0.0,,Ремонт фундаментов,542.8,"0,00000",0.0,
5970220,34701000,529,Костромская область,11,0.0,0.0,,Ремонт фундаментов,33300.6,"0,00000",0.0,
5970230,34701000,8564,Костромская область,11,0.0,0.0,,Ремонт фундаментов,6069.0,"0,00000",0.0,
5970296,34701000,283,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1698.6,"0,00000",0.0,
5970295,34701000,283,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1698.6,"0,00000",0.0,
5970288,34701000,1129,Костромская область,11,0.0,0.0,,Ремонт фундаментов,515.6,"0,00000",0.0,
5970285,34701000,1129,Костромская область,9,0.0,0.0,,Ремонт фундаментов,515.6,"0,00000",0.0,
5970283,34701000,1860,Костромская область,11,0.0,0.0,,Ремонт фундаментов,1013.6,"0,00000",0.0,
5970281,34701000,1860,Костромская область,9,0.0,0.0,,Ремонт фундаментов,1013.6,"0,00000",0.0,
5970271,34701000,2165,Костромская область,11,0.0,0.0,,Ремонт фундаментов,443.2,"0,00000",0.0,
5970228,34701000,8564,Костромская область,9,0.0,0.0,,Ремонт фундаментов,6069.0,"0,00000",0.0,
5970270,34701000,3506,Костромская область,11,0.0,0.0,,Ремонт фундаментов,513.4,"0,00000",0.0,
5970262,34701000,2720,Костромская область,11,793515.52,0.0,,Ремонт фундаментов,206.3,"0,00000",0.0,1.0
5970256,34701000,3067,Костромская область,11,0.0,0.0,,Ремонт фундаментов,259.1,"0,00000",0.0,
5970251,34701000,2766,Костромская область,9,0.0,0.0,,Ремонт фундаментов,452.5,"0,00000",0.0,
5970241,34701000,3094,Костромская область,11,0.0,0.0,,Ремонт фундаментов,528.5,"0,00000",0.0,
5970238,34701000,3094,Костромская область,9,0.0,0.0,,Ремонт фундаментов,528.5,"0,00000",0.0,
5970236,34701000,2431,Костромская область,9,0.0,0.0,,Ремонт фундаментов,513.2,"0,00000",0.0,
5970234,34701000,2431,Костромская область,11,0.0,0.0,,Ремонт фундаментов,513.2,"0,00000",0.0,
5970267,34701000,3506,Костромская область,9,0.0,0.0,,Ремонт фундаментов,513.4,"0,00000",0.0,
5970132,34701000,3431,Костромская область,11,0.0,0.0,,Ремонт фундаментов,7736.7,"0,00000",0.0,
5970461,34701000,8565,Костромская область,9,0.0,0.0,,Ремонт фундаментов,10648.4,"0,00000",0.0,
5970476,34701000,1679,Костромская область,11,0.0,0.0,,Ремонт фундаментов,502.1,"0,00000",0.0,
5970687,34701000,1443,Костромская область,9,0.0,0.0,,Ремонт фундаментов,3877.4,"0,00000",0.0,
5970686,34701000,1443,Костромская область,11,0.0,0.0,,Ремонт фундаментов,3877.4,"0,00000",0.0,
