,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2796794,52601000,26901,Омская область,11,,,,Ремонт фундаментов,802.0,"839,03184",,
2796797,52601000,26901,Омская область,9,,,,Ремонт фундаментов,802.0,"839,03184",,
2796808,52601000,26903,Омская область,11,,,,Ремонт фундаментов,802.0,"1117,34024",,
2796811,52601000,26903,Омская область,9,,,,Ремонт фундаментов,802.0,"1117,34024",,
2796818,52601000,26904,Омская область,11,,,,Ремонт фундаментов,794.0,"1092,76445",,
2796821,52601000,26904,Омская область,9,,,,Ремонт фундаментов,794.0,"1092,76445",,
2796839,52601000,26905,Омская область,9,,,,Ремонт фундаментов,801.0,"1081,90430",,
2796842,52601000,26905,Омская область,11,,,,Ремонт фундаментов,801.0,"1081,90430",,
2796864,52601000,26893,Омская область,11,,,,Ремонт фундаментов,807.0,"1837,30892",,
2796868,52601000,26896,Омская область,9,,,,Ремонт фундаментов,803.6,"1837,30892",,
2796882,52601000,26896,Омская область,11,,,,Ремонт фундаментов,803.6,"1837,30892",,
2796900,52601000,26897,Омская область,11,,,,Ремонт фундаментов,801.0,"1837,31315",,
2796903,52601000,26897,Омская область,9,,,,Ремонт фундаментов,801.0,"1837,31315",,
2796907,52601000,26898,Омская область,11,,,,Ремонт фундаментов,803.0,"1073,81180",,
2796911,52601000,26898,Омская область,9,,,,Ремонт фундаментов,803.0,"1073,81180",,
2796929,52601000,26900,Омская область,11,,,,Ремонт фундаментов,805.0,"1032,87911",,
2796935,52601000,26900,Омская область,9,,,,Ремонт фундаментов,805.0,"1032,87911",,
2796944,52601000,26869,Омская область,9,,,,Ремонт фундаментов,2939.0,"0,00000",,
2796959,52601000,26869,Омская область,11,,,,Ремонт фундаментов,2939.0,"0,00000",,
2796975,52601000,26870,Омская область,11,,,,Ремонт фундаментов,2581.2,"0,00000",,
2796978,52601000,26870,Омская область,9,,,,Ремонт фундаментов,2581.2,"0,00000",,
2796992,52601000,26871,Омская область,9,,,,Ремонт фундаментов,1910.4,"0,00000",,
2796995,52601000,26871,Омская область,11,,,,Ремонт фундаментов,1910.4,"0,00000",,
2797009,52601000,26872,Омская область,11,,,,Ремонт фундаментов,2538.6,"0,00000",,
2797012,52601000,26872,Омская область,9,,,,Ремонт фундаментов,2538.6,"0,00000",,
2797034,52601000,26873,Омская область,11,,,,Ремонт фундаментов,927.3,"0,00000",,
2797047,52601000,26873,Омская область,9,,,,Ремонт фундаментов,927.3,"0,00000",,
2797067,52601000,26874,Омская область,11,,,,Ремонт фундаментов,1388.7,"0,00000",,
2797070,52601000,26874,Омская область,9,,,,Ремонт фундаментов,1388.7,"0,00000",,
2797075,52601000,26289,Омская область,9,,,,Ремонт фундаментов,915.7,"0,00000",,
2797077,52601000,26289,Омская область,11,,,,Ремонт фундаментов,915.7,"0,00000",,
2797100,52601000,26876,Омская область,9,,,,Ремонт фундаментов,919.2,"0,00000",,
2797123,52601000,26877,Омская область,11,,,,Ремонт фундаментов,3340.1,"0,00000",,
2797136,52601000,26882,Омская область,9,,,,Ремонт фундаментов,931.3,"0,00000",,
2797139,52601000,26882,Омская область,11,,,,Ремонт фундаментов,931.3,"0,00000",,
2797164,52601000,26881,Омская область,9,,,,Ремонт фундаментов,1013.1,"0,00000",,
2797167,52601000,26881,Омская область,11,,,,Ремонт фундаментов,1013.1,"0,00000",,
2797176,52601000,26878,Омская область,9,,,,Ремонт фундаментов,1022.3,"0,00000",,
2797185,52601000,26878,Омская область,11,,,,Ремонт фундаментов,1022.3,"0,00000",,
2797199,52601000,26883,Омская область,11,,,,Ремонт фундаментов,1039.2,"0,00000",,
2797202,52601000,26883,Омская область,9,,,,Ремонт фундаментов,1039.2,"0,00000",,
2797214,52601000,26879,Омская область,9,,,,Ремонт фундаментов,1403.2,"0,00000",,
2797222,52601000,26879,Омская область,11,,,,Ремонт фундаментов,1403.2,"0,00000",,
2797246,52601000,26880,Омская область,9,,,,Ремонт фундаментов,1033.1,"0,00000",,
2797249,52601000,26880,Омская область,11,,,,Ремонт фундаментов,1033.1,"0,00000",,
2797258,52601000,33550,Омская область,11,,,,Ремонт фундаментов,1038.8,"0,00000",,
2797261,52601000,33550,Омская область,9,,,,Ремонт фундаментов,1038.8,"0,00000",,
2797273,52601000,36416,Омская область,9,,,,Ремонт фундаментов,1039.2,"0,00000",,
2797276,52601000,36416,Омская область,11,,,,Ремонт фундаментов,1039.2,"0,00000",,
2797298,52601000,26888,Омская область,9,,,,Ремонт фундаментов,3856.0,"0,00000",,
2797301,52601000,26888,Омская область,11,,,,Ремонт фундаментов,3856.0,"0,00000",,
2797317,52601000,26891,Омская область,11,,,,Ремонт фундаментов,348.8,"0,00000",,
2797343,52601000,32998,Омская область,11,,,,Ремонт фундаментов,359.3,"0,00000",,
2797375,52601000,26908,Омская область,11,,,,Ремонт фундаментов,632.5,"0,00000",,
2797378,52601000,26908,Омская область,9,,,,Ремонт фундаментов,632.5,"0,00000",,
2797397,52601000,26918,Омская область,9,,,,Ремонт фундаментов,575.1,"0,00000",,
2797400,52601000,26918,Омская область,11,,,,Ремонт фундаментов,575.1,"0,00000",,
2797404,52601000,32999,Омская область,11,,,,Ремонт фундаментов,591.93,"0,00000",,
2797407,52601000,32999,Омская область,9,,,,Ремонт фундаментов,591.93,"0,00000",,
2797427,52601000,26909,Омская область,9,,,,Ремонт фундаментов,575.3,"0,00000",,
2797430,52601000,26909,Омская область,11,,,,Ремонт фундаментов,575.3,"0,00000",,
2797443,52601000,33000,Омская область,11,,,,Ремонт фундаментов,569.0,"0,00000",,
2797446,52601000,33000,Омская область,9,,,,Ремонт фундаментов,569.0,"0,00000",,
2797467,52601000,26912,Омская область,11,,,,Ремонт фундаментов,579.2,"0,00000",,
2797470,52601000,26912,Омская область,9,,,,Ремонт фундаментов,579.2,"0,00000",,
2797485,52601000,26913,Омская область,11,,,,Ремонт фундаментов,623.4,"1545,44676",,
2797488,52601000,26913,Омская область,9,,,,Ремонт фундаментов,623.4,"1545,44676",,
2797492,52601000,26915,Омская область,11,,,,Ремонт фундаментов,579.2,"0,00000",,
2797496,52601000,26915,Омская область,9,,,,Ремонт фундаментов,579.2,"0,00000",,
2797512,52601000,26916,Омская область,9,,,,Ремонт фундаментов,622.2,"0,00000",,
2797515,52601000,26916,Омская область,11,,,,Ремонт фундаментов,622.2,"0,00000",,
2797537,52601000,26917,Омская область,9,,,,Ремонт фундаментов,575.3,"1499,43337",,
2797546,52601000,26917,Омская область,11,,,,Ремонт фундаментов,575.3,"1499,43337",,
2797554,52603000,27176,Омская область,11,,,,Ремонт фундаментов,1712.9,"0,00000",,
2797572,52603000,27186,Омская область,11,,,,Ремонт фундаментов,1686.5,"0,00000",,
2797596,52603000,24211,Омская область,11,,,,Ремонт фундаментов,773.8,"0,00000",,
2797623,52603000,27073,Омская область,11,,,,Ремонт фундаментов,761.4,"0,00000",,
2797631,52603000,36519,Омская область,9,,,,Ремонт фундаментов,689.8,"0,00000",,
2797635,52603000,36519,Омская область,11,,,,Ремонт фундаментов,689.8,"0,00000",,
2797648,52603000,27156,Омская область,9,,,,Ремонт фундаментов,1454.5,"977,37332",,
2797651,52603000,27156,Омская область,11,,,,Ремонт фундаментов,1454.5,"977,37332",,
2797669,52603000,27106,Омская область,11,,,,Ремонт фундаментов,690.3,"1470,38618",,
2797683,52603000,27164,Омская область,9,,,,Ремонт фундаментов,1313.6,"566,65686",,
2797691,52603000,27164,Омская область,11,,,,Ремонт фундаментов,1313.6,"566,65686",,
2797702,52603000,27124,Омская область,11,,,,Ремонт фундаментов,770.0,"0,00000",,
2797716,52603000,27173,Омская область,11,,,,Ремонт фундаментов,1862.6,"0,00000",,
2797727,52603000,27173,Омская область,9,,,,Ремонт фундаментов,1862.6,"0,00000",,
2797760,52603000,27175,Омская область,11,,,,Ремонт фундаментов,3075.4,"0,00000",,
2797763,52603000,27175,Омская область,9,,,,Ремонт фундаментов,3075.4,"0,00000",,
2797775,52603000,27099,Омская область,11,,,,Ремонт фундаментов,425.6,"33,03900",,
2797788,52603000,27132,Омская область,11,,,,Ремонт фундаментов,894.5,"0,00000",,
2797812,52603000,27169,Омская область,9,,,,Ремонт фундаментов,1301.0,"0,00000",,
2797815,52603000,27169,Омская область,11,,,,Ремонт фундаментов,1301.0,"0,00000",,
2797819,52603000,27170,Омская область,9,,,,Ремонт фундаментов,1301.0,"0,00000",,
2797835,52603000,27170,Омская область,11,,,,Ремонт фундаментов,1301.0,"0,00000",,
2797845,52603000,27171,Омская область,11,,,,Ремонт фундаментов,1450.4,"0,00000",,
2797856,52603000,27171,Омская область,9,,,,Ремонт фундаментов,1450.4,"0,00000",,
2797870,52603000,27172,Омская область,9,,,,Ремонт фундаментов,1495.5,"0,00000",,
2797873,52603000,27172,Омская область,11,,,,Ремонт фундаментов,1495.5,"0,00000",,
2797887,52603000,20709,Омская область,11,,,,Ремонт фундаментов,556.2,"0,00000",,
2797904,52603000,27184,Омская область,9,,,,Ремонт фундаментов,1445.8,"0,00000",,
2797906,52603000,27184,Омская область,11,,,,Ремонт фундаментов,1445.8,"0,00000",,
2797939,52603000,27102,Омская область,11,,,,Ремонт фундаментов,887.6,"0,00000",,
2797947,52603000,27167,Омская область,11,,,,Ремонт фундаментов,1432.0,"802,36388",,
2797957,52603000,27167,Омская область,9,,,,Ремонт фундаментов,1432.0,"802,36388",,
2797961,52603000,20706,Омская область,11,,,,Ремонт фундаментов,720.0,"0,00000",,
2797986,52603000,22226,Омская область,11,,,,Ремонт фундаментов,720.0,"0,00000",,
2797993,52603000,27120,Омская область,11,,,,Ремонт фундаментов,1025.7,"0,00000",,
2798016,52603000,24207,Омская область,11,,,,Ремонт фундаментов,760.7,"0,00000",,
2798038,52603000,23302,Омская область,11,,,,Ремонт фундаментов,658.9,"0,00000",,
2798049,52603000,27069,Омская область,11,,,,Ремонт фундаментов,720.0,"19,17500",,
2798068,52603000,24206,Омская область,11,,,,Ремонт фундаментов,650.6,"0,00000",,
