,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6085910,53720000,1001761,Оренбургская область,9,54592.18,54592.18,05.09.2018,Ремонт фундаментов,5089.8,"3208,70000",10.725800620849542,0.0
6085829,53720000,1001757,Оренбургская область,9,82964.9,82964.9,19.12.2018,Ремонт фундаментов,5160.2,"6826,66000",16.07784581992946,0.0
6085870,53720000,1001760,Оренбургская область,9,87452.87,87452.87,19.12.2018,Ремонт фундаментов,5145.0,"8618,29000",16.997642371234207,0.0
6113988,53701000,1004343,Оренбургская область,11,180000.0,180000.0,01.10.2017,Ремонт фундаментов,4901.9,"952,42000",36.72045533364614,0.0
6154433,53640000,1007977,Оренбургская область,11,136731.0,136731.0,31.07.2017,Ремонт фундаментов,2615.0,"136,73000",52.28718929254302,0.0
6100494,53701000,1003034,Оренбургская область,9,268603.42,236339.35,,Ремонт фундаментов,3434.2,"188,90000",68.81933201327821,0.12011786744934215
6145124,53623000,1009583,Оренбургская область,9,120783.11,120783.11,27.12.2014,Ремонт фундаментов,1167.7,"134,02000",103.43676457994347,0.0
6120947,53701000,1005023,Оренбургская область,11,1194287.67,1194287.67,09.12.2015,Ремонт фундаментов,8224.7,"14709,71000",145.207444648437,0.0
6107841,53701000,1003746,Оренбургская область,9,1042298.26,170751.86,,Ремонт фундаментов,1074.2,"258,42000",158.95723328989013,0.8361775448037302
6101915,53701000,1003126,Оренбургская область,11,752153.25,752153.25,25.12.2015,Ремонт фундаментов,4505.5,"752,15000",166.9411275108201,0.0
6069673,53606000,1009095,Оренбургская область,11,83306.0,83306.0,06.04.2015,Ремонт фундаментов,391.1,"162,50000",213.0043467143953,0.0
6163351,53653000,1008869,Оренбургская область,11,1465181.96,1465181.96,06.10.2017,Ремонт фундаментов,6877.6,"11039,28000",213.03680935209954,0.0
6100466,53701000,1003032,Оренбургская область,11,407847.92,358858.08,,Ремонт фундаментов,1653.7,"290,77000",217.00313236983735,0.12011791061727119
6144088,53619000,1009315,Оренбургская область,11,225568.79,225568.79,13.05.2016,Ремонт фундаментов,860.9,"2506,32000",262.01508886049487,0.0
