,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6395511,85605000,801011,Республика Калмыкия,11,,,,Ремонт фундаментов,940.9,,,
6395513,85605000,801011,Республика Калмыкия,9,,,,Ремонт фундаментов,940.9,,,
6395515,85605000,801012,Республика Калмыкия,11,,,,Ремонт фундаментов,740.78,,,
6395520,85605000,801013,Республика Калмыкия,9,,,,Ремонт фундаментов,625.5,,,
6395528,85605000,801014,Республика Калмыкия,11,,,,Ремонт фундаментов,817.55,,,
6395531,85605000,801015,Республика Калмыкия,9,,,,Ремонт фундаментов,611.52,,,
6395534,85605000,801016,Республика Калмыкия,9,,,,Ремонт фундаментов,625.58,,,
6395539,85605000,801017,Республика Калмыкия,9,,,,Ремонт фундаментов,629.55,,,
6395547,85605000,801018,Республика Калмыкия,9,,,,Ремонт фундаментов,609.23,,,
6395549,85605000,801018,Республика Калмыкия,11,,,,Ремонт фундаментов,609.23,,,
6395551,85605000,801019,Республика Калмыкия,9,,,,Ремонт фундаментов,646.5,,,
6395559,85605000,8010110,Республика Калмыкия,9,,,,Ремонт фундаментов,627.74,,,
6395561,85605000,8010111,Республика Калмыкия,9,,,,Ремонт фундаментов,672.69,,,
6395564,85605000,8010111,Республика Калмыкия,11,,,,Ремонт фундаментов,672.69,,,
6395567,85605000,8010112,Республика Калмыкия,11,,,,Ремонт фундаментов,601.16,,,
6395570,85605000,8010112,Республика Калмыкия,9,,,,Ремонт фундаментов,601.16,,,
6395574,85605000,8010113,Республика Калмыкия,9,,,,Ремонт фундаментов,620.65,,,
6395577,85605000,8010113,Республика Калмыкия,11,,,,Ремонт фундаментов,620.65,,,
6395582,85605000,8010114,Республика Калмыкия,11,,,,Ремонт фундаментов,789.53,,,
6395587,85605000,8010115,Республика Калмыкия,9,,,,Ремонт фундаментов,631.79,,,
6395589,85605000,8010116,Республика Калмыкия,11,,,,Ремонт фундаментов,772.23,,,
6395594,85605000,8010117,Республика Калмыкия,11,,,,Ремонт фундаментов,621.43,,,
6395602,85605000,8010118,Республика Калмыкия,11,,,,Ремонт фундаментов,797.45,,,
6395604,85605000,8010119,Республика Калмыкия,11,,,,Ремонт фундаментов,503.43,,,
6395609,85605000,8010120,Республика Калмыкия,11,,,,Ремонт фундаментов,926.03,,,
6395612,85605000,8010120,Республика Калмыкия,9,,,,Ремонт фундаментов,926.03,,,
6395614,85605000,8010121,Республика Калмыкия,11,,,,Ремонт фундаментов,791.28,,,
6395621,85605000,8010122,Республика Калмыкия,9,,,,Ремонт фундаментов,640.82,,,
6395624,85605000,8010123,Республика Калмыкия,9,,,,Ремонт фундаментов,617.82,,,
6395626,85605000,8010123,Республика Калмыкия,11,,,,Ремонт фундаментов,617.82,,,
6395633,85605000,8010124,Республика Калмыкия,9,,,,Ремонт фундаментов,645.9,,,
6395635,85605000,8010124,Республика Калмыкия,11,,,,Ремонт фундаментов,645.9,,,
6395636,85605000,8010125,Республика Калмыкия,11,,,,Ремонт фундаментов,640.75,,,
6395637,85605000,8010125,Республика Калмыкия,9,,,,Ремонт фундаментов,640.75,,,
6395642,85605000,8010126,Республика Калмыкия,11,,,,Ремонт фундаментов,770.14,,,
6395647,85605000,8010127,Республика Калмыкия,11,,,,Ремонт фундаментов,621.66,,,
6395650,85605000,8010127,Республика Калмыкия,9,,,,Ремонт фундаментов,621.66,,,
6395653,85605000,8010128,Республика Калмыкия,9,,,,Ремонт фундаментов,939.6,,,
6395654,85605000,8010128,Республика Калмыкия,11,,,,Ремонт фундаментов,939.6,,,
6395663,85605000,8010129,Республика Калмыкия,11,,,,Ремонт фундаментов,783.21,,,
6395665,85605000,8010130,Республика Калмыкия,11,,,,Ремонт фундаментов,802.87,,,
6395671,85605000,8010131,Республика Калмыкия,9,,,,Ремонт фундаментов,309.32,,,
6395674,85605000,8010131,Республика Калмыкия,11,,,,Ремонт фундаментов,309.32,,,
6395675,85605000,8010132,Республика Калмыкия,9,,,,Ремонт фундаментов,302.13,,,
6395678,85605000,8010132,Республика Калмыкия,11,,,,Ремонт фундаментов,302.13,,,
6395681,85605000,8010133,Республика Калмыкия,11,,,,Ремонт фундаментов,918.78,,,
6395685,85605000,8010133,Республика Калмыкия,9,,,,Ремонт фундаментов,918.78,,,
6395687,85605000,8010134,Республика Калмыкия,11,,,,Ремонт фундаментов,607.9,,,
6395689,85605000,8010134,Республика Калмыкия,9,,,,Ремонт фундаментов,607.9,,,
6395695,85605000,8010135,Республика Калмыкия,9,,,,Ремонт фундаментов,616.29,,,
6395698,85605000,8010135,Республика Калмыкия,11,,,,Ремонт фундаментов,616.29,,,
6395699,85605000,8010136,Республика Калмыкия,11,,,,Ремонт фундаментов,608.2,,,
6395704,85605000,8010136,Республика Калмыкия,9,,,,Ремонт фундаментов,608.2,,,
6395705,85605000,8010137,Республика Калмыкия,11,,,,Ремонт фундаментов,607.91,,,
6395708,85605000,8010137,Республика Калмыкия,9,,,,Ремонт фундаментов,607.91,,,
6395713,85605000,8010138,Республика Калмыкия,9,,,,Ремонт фундаментов,606.2,,,
6395716,85605000,8010138,Республика Калмыкия,11,,,,Ремонт фундаментов,606.2,,,
6395719,85605000,8010139,Республика Калмыкия,9,,,,Ремонт фундаментов,612.08,,,
6395722,85605000,8010139,Республика Калмыкия,11,,,,Ремонт фундаментов,612.08,,,
6395724,85605000,8010140,Республика Калмыкия,9,,,,Ремонт фундаментов,608.79,,,
6395728,85605000,8010141,Республика Калмыкия,9,,,,Ремонт фундаментов,606.3,,,
6395737,85605000,8010142,Республика Калмыкия,9,,,,Ремонт фундаментов,591.6,,,
6395740,85605000,8010143,Республика Калмыкия,9,,,,Ремонт фундаментов,628.65,,,
6395745,85605000,8010144,Республика Калмыкия,9,,,,Ремонт фундаментов,606.4,,,
6395748,85605000,8010145,Республика Калмыкия,9,,,,Ремонт фундаментов,624.15,,,
6395755,85605000,8010146,Республика Калмыкия,11,,,,Ремонт фундаментов,925.54,,,
6395758,85605000,8010146,Республика Калмыкия,9,,,,Ремонт фундаментов,925.54,,,
6395759,85605000,8010147,Республика Калмыкия,9,,,,Ремонт фундаментов,910.84,,,
6395762,85605000,8010147,Республика Калмыкия,11,,,,Ремонт фундаментов,910.84,,,
6395765,85605000,8010148,Республика Калмыкия,9,,,,Ремонт фундаментов,300.9,,,
6395769,85605000,8010148,Республика Калмыкия,11,,,,Ремонт фундаментов,300.9,,,
6395771,85605000,8010149,Республика Калмыкия,11,,,,Ремонт фундаментов,296.57,,,
6395774,85605000,8010149,Республика Калмыкия,9,,,,Ремонт фундаментов,296.57,,,
6395777,85605000,8010150,Республика Калмыкия,11,,,,Ремонт фундаментов,302.4,,,
6395780,85605000,8010150,Республика Калмыкия,9,,,,Ремонт фундаментов,302.4,,,
6395785,85605000,8010151,Республика Калмыкия,11,,,,Ремонт фундаментов,865.9,,,
6395789,85605000,8010152,Республика Калмыкия,11,,,,Ремонт фундаментов,714.84,,,
6395794,85605000,8010153,Республика Калмыкия,9,,,,Ремонт фундаментов,303.48,,,
6395797,85605000,8010153,Республика Калмыкия,11,,,,Ремонт фундаментов,303.48,,,
6395802,85605000,8010154,Республика Калмыкия,9,,,,Ремонт фундаментов,287.42,,,
6395804,85605000,8010154,Республика Калмыкия,11,,,,Ремонт фундаментов,287.42,,,
6395805,85605000,8010155,Республика Калмыкия,9,,,,Ремонт фундаментов,315.33,,,
6395807,85605000,8010155,Республика Калмыкия,11,,,,Ремонт фундаментов,315.33,,,
6395814,85605000,8010156,Республика Калмыкия,11,,,,Ремонт фундаментов,312.7,,,
6395816,85605000,8010156,Республика Калмыкия,9,,,,Ремонт фундаментов,312.7,,,
