,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3053901,88612000,1203000159,Республика Марий Эл,11,1365697.0,1365697.0,07.10.2016,Ремонт фундаментов,450.6,,3030.841100754549,0.0
3047559,88705000,1216000196,Республика Марий Эл,9,663080.0,663080.0,24.07.2016,Ремонт фундаментов,383.8,,1727.6706618030223,0.0
3047553,88705000,1216000194,Республика Марий Эл,11,637968.0,427914.92,07.07.2017,Ремонт фундаментов,387.9,,1103.15782418149,0.329253316780779
3056350,88636000,1209000086,Республика Марий Эл,9,632870.8,632870.8,21.07.2017,Ремонт фундаментов,690.7,,916.2745041262488,0.0
3056002,88632000,1208000042,Республика Марий Эл,9,155208.0,468237.33,11.05.2018,Ремонт фундаментов,738.2,,634.2960308859388,-2.016837598577393
3052880,88701000,1215001741,Республика Марий Эл,9,450403.0,450403.0,04.07.2017,Ремонт фундаментов,788.1,,571.504885166857,0.0
3047122,88705000,1216000032,Республика Марий Эл,11,566365.47,720100.0,02.11.2018,Ремонт фундаментов,1262.0,,570.6022187004754,-0.27144050642776657
3053150,88715000,1217000089,Республика Марий Эл,11,982125.0,209389.0,21.10.2016,Ремонт фундаментов,385.9,,542.5991189427314,0.7868000509100166
3054347,88620000,1205000081,Республика Марий Эл,9,150466.64,150466.64,17.09.2015,Ремонт фундаментов,288.0,,522.4536111111112,0.0
3047001,88604000,1201000082,Республика Марий Эл,9,300388.4,300388.4,23.12.2015,Ремонт фундаментов,639.9,,469.4302234724176,0.0
3049044,88701000,1215000350,Республика Марий Эл,9,1350000.0,569707.32,13.12.2017,Ремонт фундаментов,1373.2,,414.87570637926007,0.5779945777777779
3056655,88644000,1211000015,Республика Марий Эл,9,84317.77,84317.77,05.10.2015,Ремонт фундаментов,210.6,,400.3692782526116,0.0
3047126,88705000,1216000032,Республика Марий Эл,9,437359.44,489900.0,02.11.2018,Ремонт фундаментов,1262.0,,388.1933438985737,-0.12013130435689234
3056456,88640000,1210000026,Республика Марий Эл,9,320000.0,484518.0,09.09.2016,Ремонт фундаментов,1266.9,,382.44376035993366,-0.51411875
3047485,88705000,1216000172,Республика Марий Эл,9,163377.6,163377.6,23.10.2015,Ремонт фундаментов,427.7,,381.99111526771105,0.0
3053264,88715000,1217000138,Республика Марий Эл,9,104803.0,104803.0,10.12.2015,Ремонт фундаментов,288.1,,363.77299548767786,0.0
3054098,88616000,1204000008,Республика Марий Эл,9,130386.23,130386.23,18.11.2015,Ремонт фундаментов,375.4,,347.32613212573256,0.0
3056079,88632000,1208000073,Республика Марий Эл,9,111247.0,111247.0,04.12.2015,Ремонт фундаментов,320.6,,346.99625701809106,0.0
3057260,88652000,1213000033,Республика Марий Эл,9,189051.8,189051.8,23.10.2015,Ремонт фундаментов,548.3,,344.7962794090826,0.0
3057251,88652000,1213000031,Республика Марий Эл,9,182425.0,182425.0,10.10.2016,Ремонт фундаментов,550.2,,331.5612504543802,0.0
3053668,88612000,1203000033,Республика Марий Эл,9,197878.35,197878.35,30.09.2016,Ремонт фундаментов,624.3,,316.9603555982701,0.0
3054276,88620000,1205000050,Республика Марий Эл,9,205780.0,228909.0,10.06.2016,Ремонт фундаментов,730.7,,313.2735732858902,-0.1123967343765186
3056184,88636000,1209000031,Республика Марий Эл,9,223135.62,223135.62,19.10.2015,Ремонт фундаментов,715.2,,311.9905201342282,0.0
3047118,88705000,1216000031,Республика Марий Эл,9,118556.96,118556.96,22.10.2015,Ремонт фундаментов,384.3,,308.50106687483736,0.0
3046873,88604000,1201000040,Республика Марий Эл,9,279299.53,279299.53,27.10.2014,Ремонт фундаментов,938.4,,297.63377024722934,0.0
3052876,88701000,1215001740,Республика Марий Эл,9,228827.0,228827.0,30.06.2017,Ремонт фундаментов,793.2,,288.48587997982855,0.0
3053718,88612000,1203000058,Республика Марий Эл,9,105610.61,105610.61,11.12.2015,Ремонт фундаментов,382.39,,276.1855958576323,0.0
3048843,88701000,1215000276,Республика Марий Эл,9,800000.0,867854.92,25.05.2018,Ремонт фундаментов,3221.1,,269.4281208282885,-0.08481865000000005
3053328,88715000,1217000156,Республика Марий Эл,9,78319.0,78319.0,10.12.2015,Ремонт фундаментов,306.0,,255.94444444444446,0.0
3056452,88640000,1210000025,Республика Марий Эл,9,325862.04,325862.04,02.10.2014,Ремонт фундаментов,1366.0,,238.55200585651536,0.0
3057064,88648000,1212000089,Республика Марий Эл,9,271943.0,87998.91,13.08.2018,Ремонт фундаментов,369.8,,237.963520822066,0.676406783774541
3047498,88705000,1216000175,Республика Марий Эл,9,191035.46,191035.46,30.10.2015,Ремонт фундаментов,868.4,,219.9855596499309,0.0
3048458,88701000,1215000160,Республика Марий Эл,11,86771.24,86771.24,19.12.2014,Ремонт фундаментов,414.7,,209.23858210754764,0.0
3050218,88701000,1215000780,Республика Марий Эл,9,600000.0,836139.0,26.10.2016,Ремонт фундаментов,4107.1,,203.58379391784956,-0.393565
3053155,88715000,1217000090,Республика Марий Эл,11,510000.0,27065.79,29.08.2017,Ремонт фундаментов,135.1,,200.33893412287196,0.9469298235294118
3048048,88705000,1216000385,Республика Марий Эл,9,209370.0,209370.0,11.11.2015,Ремонт фундаментов,1045.4,,200.27740577769274,0.0
3048833,88701000,1215000273,Республика Марий Эл,9,400000.0,306394.56,09.10.2018,Ремонт фундаментов,1605.1,,190.88814404086975,0.23401360000000002
3056419,88640000,1210000015,Республика Марий Эл,9,572162.11,572162.11,07.09.2017,Ремонт фундаментов,3206.4,,178.44377183133733,0.0
3052012,88701000,1215001417,Республика Марий Эл,9,2799070.0,2771899.0,15.11.2018,Ремонт фундаментов,16213.8,,170.9592445941112,0.009707152732871989
3049209,88701000,1215000408,Республика Марий Эл,9,396058.0,808611.64,10.08.2017,Ремонт фундаментов,4875.4,,165.85544570701893,-1.0416495563781063
3055011,88628000,1207000118,Республика Марий Эл,9,832649.0,832649.0,14.12.2015,Ремонт фундаментов,5109.8,,162.9513875298446,0.0
3050373,88701000,1215000833,Республика Марий Эл,9,169457.0,435880.0,24.08.2017,Ремонт фундаментов,2692.3,,161.89874828213794,-1.5722159603911317
3047770,88705000,1216000278,Республика Марий Эл,9,200000.0,273747.0,16.06.2016,Ремонт фундаментов,1721.0,,159.06275421266704,-0.368735
3052800,88701000,1215001716,Республика Марий Эл,9,60030.0,60030.0,11.12.2015,Ремонт фундаментов,394.6,,152.12873796249366,0.0
3048865,88701000,1215000283,Республика Марий Эл,9,800000.0,384627.0,19.06.2018,Ремонт фундаментов,2556.7,,150.43884695114798,0.51921625
3056463,88640000,1210000029,Республика Марий Эл,9,219280.02,219280.02,09.10.2015,Ремонт фундаментов,1502.07,,145.98522039585373,0.0
3056747,88644000,1211000045,Республика Марий Эл,9,242420.0,200094.7,19.05.2018,Ремонт фундаментов,1372.2,,145.82036146334354,0.1745949179110634
3048495,88701000,1215000178,Республика Марий Эл,9,50578.7,50578.7,10.12.2014,Ремонт фундаментов,351.0,,144.09886039886038,0.0
3055120,88628000,1207000157,Республика Марий Эл,9,582587.0,545773.8,21.06.2018,Ремонт фундаментов,3824.83,,142.69230266443216,0.0631891889108407
3049872,88701000,1215000655,Республика Марий Эл,9,695637.0,695637.0,22.09.2016,Ремонт фундаментов,5343.83,,130.17573538080364,0.0
3046882,88604000,1201000043,Республика Марий Эл,9,179464.0,179464.0,27.05.2016,Ремонт фундаментов,1407.5,,127.50550621669628,0.0
3052185,88701000,1215001479,Республика Марий Эл,9,360000.0,696287.0,06.08.2016,Ремонт фундаментов,5499.4,,126.61144852165691,-0.9341305555555556
3057646,88652000,1213000160,Республика Марий Эл,9,217483.0,381375.76,13.11.2017,Ремонт фундаментов,3155.2,,120.87213488843814,-0.7535888322305652
3052727,88701000,1215001677,Республика Марий Эл,9,563259.0,563259.0,16.09.2016,Ремонт фундаментов,4854.0,,116.04017305315205,0.0
3047814,88705000,1216000293,Республика Марий Эл,9,296894.0,376872.0,22.09.2016,Ремонт фундаментов,3348.0,,112.5663082437276,-0.2693823384777059
3050616,88701000,1215000923,Республика Марий Эл,9,386912.66,386912.66,08.08.2016,Ремонт фундаментов,3788.2,,102.13628108336412,0.0
3053973,88612000,1203000204,Республика Марий Эл,9,264001.42,264001.42,23.11.2015,Ремонт фундаментов,2814.5,,93.80046899982234,0.0
3050107,88701000,1215000743,Республика Марий Эл,9,750000.0,605907.09,31.05.2018,Ремонт фундаментов,6701.3,,90.41635055884679,0.19212388000000005
3055618,88628000,1207000337,Республика Марий Эл,9,368296.65,368296.65,14.11.2014,Ремонт фундаментов,4097.2,,89.8898394025188,0.0
3050250,88701000,1215000791,Республика Марий Эл,9,509669.0,509669.0,28.10.2016,Ремонт фундаментов,6018.9,,84.67809732675407,0.0
3050767,88701000,1215000977,Республика Марий Эл,9,284167.0,251269.0,02.09.2016,Ремонт фундаментов,3026.2,,83.0311942369969,0.11576995217600917
