,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5806703,92645000,11186,Республика Татарстан,11,2931059.04,2931059.04,11.12.2017,Ремонт фундаментов,717.5,"3007,06000",4085.0997073170734,0.0
5719486,92701000,10341,Республика Татарстан,11,12511943.56,12511943.56,11.11.2016,Ремонт фундаментов,3236.7,"16626,65000",3865.648209596194,0.0
5707242,92618000,1597,Республика Татарстан,11,1461582.32,1461582.32,30.05.2015,Ремонт фундаментов,716.0,"1505,43000",2041.316089385475,0.0
5692903,92608000,3970,Республика Татарстан,11,6495000.0,6495000.0,,Ремонт фундаментов,3271.0,"15714,07000",1985.6313054111893,0.0
5733888,92701000,16030,Республика Татарстан,9,9054850.0,9054850.0,,Ремонт фундаментов,5036.5,"31920,06000",1797.8457261987492,0.0
5775086,92627000,2587,Республика Татарстан,11,870000.0,870000.0,05.06.2019,Ремонт фундаментов,562.1,"1906,58000",1547.7673011919587,0.0
5698458,92614000,11094,Республика Татарстан,11,805561.14,805561.14,10.10.2016,Ремонт фундаментов,541.7,"4403,88000",1487.0982831825734,0.0
5774100,92627000,3954,Республика Татарстан,11,789766.0,789766.0,29.10.2014,Ремонт фундаментов,635.9,"2427,94000",1241.96571788017,0.0
5812622,92652000,11945,Республика Татарстан,9,993604.18,993604.18,25.07.2017,Ремонт фундаментов,912.4,"4128,26000",1089.0006356861027,0.0
5774911,92627000,4257,Республика Татарстан,11,747512.0,747512.0,29.10.2014,Ремонт фундаментов,724.8,"2366,71000",1031.3355408388522,0.0
5688134,92607000,16819,Республика Татарстан,9,611731.95,611731.95,18.06.2015,Ремонт фундаментов,602.0,"617,85000",1016.1660299003322,0.0
5738151,92701000,11766,Республика Татарстан,11,407466.55,407466.55,,Ремонт фундаментов,418.8,"8143,29000",972.938276026743,0.0
5777429,92628000,15457,Республика Татарстан,11,383027.0,383027.0,,Ремонт фундаментов,455.55,"5101,23000",840.8012292832839,0.0
5702960,92617000,5750,Республика Татарстан,11,546907.74,546907.74,,Ремонт фундаментов,671.8,"6783,97000",814.0930931824948,0.0
5816935,92657000,5775,Республика Татарстан,9,586475.62,586475.62,,Ремонт фундаментов,743.9,"625,48000",788.3796478021239,0.0
5817139,92657000,10995,Республика Татарстан,9,560383.01,560383.01,12.09.2014,Ремонт фундаментов,744.7,"1661,91000",752.4949778434268,0.0
5768149,92730000,2456,Республика Татарстан,11,7500000.0,7500000.0,,Ремонт фундаментов,10285.9,"10003,68000",729.1535013951137,0.0
5782249,92628000,15529,Республика Татарстан,9,343346.68,343346.68,18.12.2018,Ремонт фундаментов,481.49,"4571,96000",713.0920268333714,0.0
5682042,92601000,11095,Республика Татарстан,11,3172764.71,3172764.71,,Ремонт фундаментов,4734.3,"6034,07000",670.1655387280063,0.0
5817466,92658000,1285,Республика Татарстан,9,668250.0,668250.0,31.07.2015,Ремонт фундаментов,1158.6,"1234,57000",576.7736923873641,0.0
5817657,92658000,3260,Республика Татарстан,9,761400.0,761400.0,31.07.2015,Ремонт фундаментов,1478.3,"1484,37000",515.0510721775012,0.0
5817576,92658000,3256,Республика Татарстан,9,740900.0,740900.0,31.07.2015,Ремонт фундаментов,1482.4,"1186,71000",499.7976254722072,0.0
5696723,92610000,11925,Республика Татарстан,9,742500.0,742500.0,,Ремонт фундаментов,1562.6,"3584,92000",475.16958914629464,0.0
5817483,92658000,1350,Республика Татарстан,9,601407.87,601407.87,04.09.2017,Ремонт фундаментов,1411.2,"1189,24000",426.16770833333334,0.0
5696730,92610000,4360,Республика Татарстан,9,542500.0,542500.0,,Ремонт фундаментов,1296.2,"1042,43000",418.53109088103685,0.0
5733450,92701000,6686,Республика Татарстан,9,3139134.26,3139134.26,17.11.2015,Ремонт фундаментов,7598.4,"19631,62000",413.1309565171615,0.0
5817551,92658000,5112,Республика Татарстан,9,441065.18,441065.18,01.10.2018,Ремонт фундаментов,1072.0,"1176,17000",411.44139925373133,0.0
5782274,92628000,5617,Республика Татарстан,9,320576.26,320576.26,11.07.2017,Ремонт фундаментов,799.9,"4459,18000",400.77042130266284,0.0
5815392,92657000,6079,Республика Татарстан,9,152741.46,152741.46,12.09.2014,Ремонт фундаментов,382.5,"732,83000",399.3240784313725,0.0
5812868,92652000,14521,Республика Татарстан,9,485729.0,485729.0,18.05.2017,Ремонт фундаментов,1219.5,"519,15000",398.30176301763015,0.0
5815405,92657000,1444,Республика Татарстан,9,210383.7,210383.7,,Ремонт фундаментов,530.9,"253,91000",396.2774533810511,0.0
5686380,92604000,3904,Республика Татарстан,9,329660.15,329660.15,30.07.2017,Ремонт фундаментов,845.48,"3113,85000",389.9088683351469,0.0
5817619,92658000,3258,Республика Татарстан,9,572363.05,572363.05,11.09.2017,Ремонт фундаментов,1471.2,"1011,26000",389.04503126699296,0.0
5775225,92627000,8503,Республика Татарстан,11,1230238.72,1230238.72,18.06.2015,Ремонт фундаментов,3243.8,"4453,31000",379.258499290955,0.0
5817213,92657000,6254,Республика Татарстан,9,193044.32,193044.32,17.08.2017,Ремонт фундаментов,516.2,"2348,97000",373.97194885703215,0.0
5711061,92701000,4293,Республика Татарстан,9,1501632.88,1501632.88,05.10.2016,Ремонт фундаментов,4045.6,"17782,36000",371.17680442950365,0.0
5782121,92628000,5344,Республика Татарстан,9,292743.42,292743.42,01.08.2016,Ремонт фундаментов,789.5,"4460,53000",370.7959721342622,0.0
5786762,92634000,10713,Республика Татарстан,9,665277.53,665277.53,,Ремонт фундаментов,1809.4,"5383,54000",367.67852879407536,0.0
5782237,92628000,15768,Республика Татарстан,9,380808.37,380808.37,,Ремонт фундаментов,1092.15,"4475,25000",348.67771826214346,0.0
5777437,92628000,15457,Республика Татарстан,9,155872.9,155872.9,,Ремонт фундаментов,455.55,"5101,23000",342.16419712435516,0.0
5817635,92658000,3259,Республика Татарстан,9,488800.0,488800.0,20.11.2018,Ремонт фундаментов,1476.4,"887,90000",331.0755892712002,0.0
5786170,92634000,7557,Республика Татарстан,9,750000.0,750000.0,,Ремонт фундаментов,2387.2,"817,50000",314.1756032171582,0.0
5733166,92701000,7801,Республика Татарстан,9,1629108.83,1629108.83,13.11.2014,Ремонт фундаментов,5203.3,"10978,51000",313.091466953664,0.0
5812848,92652000,6892,Республика Татарстан,9,618535.16,618535.16,,Ремонт фундаментов,2046.2,"10336,21000",302.2848010947122,0.0
5713646,92701000,4217,Республика Татарстан,9,730464.07,730464.07,,Ремонт фундаментов,2475.3,"18533,02000",295.1012281339635,0.0
5806496,92645000,1876,Республика Татарстан,9,268036.4,268036.4,04.06.2015,Ремонт фундаментов,910.1,"278,76000",294.51313042522804,0.0
5806643,92645000,1880,Республика Татарстан,9,168768.0,168768.0,04.06.2015,Ремонт фундаментов,575.3,"1710,74000",293.3565096471406,0.0
5806671,92645000,1938,Республика Татарстан,9,168768.0,168768.0,04.06.2015,Ремонт фундаментов,576.4,"175,52000",292.7966689798751,0.0
5806603,92645000,1878,Республика Татарстан,9,168768.0,168768.0,04.06.2015,Ремонт фундаментов,578.0,"990,68000",291.98615916955015,0.0
5806617,92645000,1879,Республика Татарстан,9,168768.0,168768.0,04.06.2015,Ремонт фундаментов,579.6,"175,52000",291.1801242236025,0.0
5812168,92652000,14508,Республика Татарстан,9,235591.26,235591.26,26.05.2017,Ремонт фундаментов,816.1,"1006,76000",288.6794020340645,0.0
