,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5205058,93701000,131,Республика Тыва,9,,1316708.13,,Ремонт фундаментов,6201.0,"4002,95400",212.33803096274792,
5203739,93610000,344,Республика Тыва,11,316547.0,,,Ремонт фундаментов,979.7,"0,00000",,
5203742,93610000,344,Республика Тыва,9,247500.0,,,Ремонт фундаментов,979.7,"0,00000",,
5203751,93610000,345,Республика Тыва,11,309498.0,,,Ремонт фундаментов,942.6,"0,00000",,
5203753,93610000,345,Республика Тыва,9,42417.0,,,Ремонт фундаментов,942.6,"0,00000",,
5203760,93610000,346,Республика Тыва,9,297000.0,,,Ремонт фундаментов,1019.5,"0,00000",,
5203763,93610000,346,Республика Тыва,11,293724.5,,,Ремонт фундаментов,1019.5,"0,00000",,
5203766,93610000,347,Республика Тыва,11,314857.0,,,Ремонт фундаментов,1019.5,"0,00000",,
5203769,93610000,347,Республика Тыва,9,152925.0,,,Ремонт фундаментов,1019.5,"0,00000",,
5203775,93610000,342,Республика Тыва,11,274638.0,,,Ремонт фундаментов,894.6,"0,00000",,
5203778,93610000,342,Республика Тыва,9,247500.0,,,Ремонт фундаментов,894.6,"0,00000",,
5203787,93610000,343,Республика Тыва,9,247500.0,,,Ремонт фундаментов,996.8,"0,00000",,
5203790,93610000,343,Республика Тыва,11,319796.0,,,Ремонт фундаментов,996.8,"0,00000",,
5203797,93703000,1,Республика Тыва,11,488160.0,,,Ремонт фундаментов,2675.0,"0,00000",,
5203800,93703000,1,Республика Тыва,9,120375.0,,,Ремонт фундаментов,2675.0,"0,00000",,
5203806,93703000,2,Республика Тыва,11,507870.0,,,Ремонт фундаментов,2673.0,"0,00000",,
5203809,93703000,2,Республика Тыва,9,400950.0,,,Ремонт фундаментов,2673.0,"0,00000",,
5203815,93703000,3,Республика Тыва,11,630540.0,,,Ремонт фундаментов,2034.0,"2161,60600",,
5203818,93703000,3,Республика Тыва,9,,,,Ремонт фундаментов,2034.0,"2161,60600",,
