,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3176820,75603000,16149,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,627.0,"0,00000",0.0,
3329388,75758000,10657,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,6598.29,"0,00000",0.0,
3329387,75758000,10657,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,6598.29,"0,00000",0.0,
3329381,75758000,23823,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3327.6,"0,00000",0.0,
3329367,75758000,11583,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1509.3,"0,00000",0.0,
3329365,75758000,11583,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1509.3,"0,00000",0.0,
3329358,75758000,11582,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,2014.2,"0,00000",0.0,
3329356,75758000,11582,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,2014.2,"0,00000",0.0,
3329334,75758000,11581,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,2008.2,"0,00000",0.0,
3329332,75758000,11581,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,2008.2,"0,00000",0.0,
3329322,75758000,26947,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3328.2,"0,00000",0.0,
3329320,75758000,26947,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3328.2,"0,00000",0.0,
3329406,75758000,10658,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,6445.2,"0,00000",0.0,
3329313,75758000,11701,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1279.2,"0,00000",0.0,
3329306,75758000,11700,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1631.1,"0,00000",0.0,
3329304,75758000,11700,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1631.1,"0,00000",0.0,
3329286,75758000,9975,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1999.9,"0,00000",0.0,
3329285,75758000,9975,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1999.9,"0,00000",0.0,
3329279,75758000,11699,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1614.3,"0,00000",0.0,
3329278,75758000,11699,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1614.3,"0,00000",0.0,
3329272,75758000,11698,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1279.9,"0,00000",0.0,
3329263,75758000,11698,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1279.9,"0,00000",0.0,
3329258,75758000,11697,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1279.5,"0,00000",0.0,
3329256,75758000,11697,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1279.5,"0,00000",0.0,
3329244,75758000,11696,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1298.7,"0,00000",0.0,
3329310,75758000,11701,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1279.2,"0,00000",0.0,
3329242,75758000,11696,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1298.7,"0,00000",0.0,
3329408,75758000,10658,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,6445.2,"0,00000",0.0,
3329419,75758000,24952,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3211.6,"0,00000",0.0,
3329581,75758000,9904,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,2769.46,"0,00000",0.0,
3329570,75758000,9904,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,2769.46,"0,00000",0.0,
3329565,75758000,9903,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,2778.3,"0,00000",0.0,
3329563,75758000,9903,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,2778.3,"0,00000",0.0,
3329554,75758000,9902,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,4477.3,"0,00000",0.0,
3329551,75758000,9902,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4477.3,"0,00000",0.0,
3329531,75758000,8410,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1124.6,"0,00000",0.0,
3329530,75758000,9814,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1780.6,"0,00000",0.0,
3329527,75758000,9814,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1780.6,"0,00000",0.0,
3329516,75758000,21340,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,4837.1,"0,00000",0.0,
3329514,75758000,21340,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4837.1,"0,00000",0.0,
3329410,75758000,24952,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3211.6,"0,00000",0.0,
3329504,75758000,8409,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,1573.6,"0,00000",0.0,
3329492,75758000,9812,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3622.6,"0,00000",0.0,
3329490,75758000,9812,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3622.6,"0,00000",0.0,
3329484,75758000,9811,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,4523.3,"0,00000",0.0,
3329482,75758000,9811,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4523.3,"0,00000",0.0,
3329468,75758000,9810,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,2726.3,"0,00000",0.0,
3329465,75758000,9810,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,2726.3,"0,00000",0.0,
3329457,75758000,8411,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1110.2,"0,00000",0.0,
3329440,75758000,5093,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3344.9,"0,00000",0.0,
3329438,75758000,5093,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3344.9,"0,00000",0.0,
3329428,75758000,9809,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4419.9,"0,00000",0.0,
3329425,75758000,9809,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,4419.9,"0,00000",0.0,
3329502,75758000,8409,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1573.6,"0,00000",0.0,
3329591,75758000,24953,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4356.7,"0,00000",0.0,
3329235,75758000,9133,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,4883.8,"0,00000",0.0,
3329212,75758000,19855,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,4974.6,"0,00000",0.0,
3329022,75758000,3595,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,719.1,"0,00000",0.0,
3329007,75758000,9807,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3329.5,"0,00000",0.0,
3329005,75758000,9807,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3329.5,"0,00000",0.0,
3329000,75758000,9886,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,718.9,"0,00000",0.0,
3328998,75758000,9886,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,718.9,"0,00000",0.0,
3328987,75758000,9806,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3277.3,"0,00000",0.0,
3328985,75758000,9806,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3277.3,"0,00000",0.0,
3328963,75758000,5026,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,3471.5,"0,00000",0.0,
3328961,75758000,5026,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,3471.5,"0,00000",0.0,
3328958,75758000,9661,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,5384.1,"0,00000",0.0,
3328956,75758000,9661,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,5384.1,"0,00000",0.0,
3329024,75758000,3595,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,719.1,"0,00000",0.0,
3328944,75758000,9660,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,5931.3,"0,00000",0.0,
3328929,75758000,23888,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,7992.6,"0,00000",0.0,
3328920,75758000,19853,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,1254.8,"0,00000",0.0,
3328910,75758000,20701,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,926.8,"0,00000",0.0,
3328897,75758000,20702,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,561.23,"0,00000",0.0,
3328892,75758000,2954,Челябинская область,9,0.0,0.0,,Ремонт фундаментов,7446.3,"0,00000",0.0,
3328890,75758000,2954,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,7446.3,"0,00000",0.0,
3328879,75758000,20703,Челябинская область,11,0.0,0.0,,Ремонт фундаментов,8289.3,"0,00000",0.0,
