,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3423663,97707000,4401,Чувашская Республика,9,595971.0,595971.0,31.12.2015,Ремонт фундаментов,5275.48,"873,65000",112.97000462517155,0.0
3422705,97610000,3866,Чувашская Республика,9,111307.0,111307.0,14.06.2015,Ремонт фундаментов,732.93,"295,68000",151.8657989166769,0.0
3439644,97701000,1739,Чувашская Республика,9,755900.83,755900.83,11.07.2015,Ремонт фундаментов,4952.7,"2888,87000",152.6239889353282,0.0
3441690,97701000,1772,Чувашская Республика,9,544019.33,544019.33,27.07.2015,Ремонт фундаментов,2964.16,"1432,50000",183.5323767947749,0.0
3430118,97710000,5713,Чувашская Республика,9,1135274.83,1135274.83,19.09.2016,Ремонт фундаментов,6015.9,"2174,98000",188.7123838494656,0.0
3446451,97701000,1843,Чувашская Республика,9,731724.91,731724.91,08.07.2015,Ремонт фундаментов,3251.0,"731,72000",225.07687173177484,0.0
3451500,97655000,4673,Чувашская Республика,9,327257.19,327257.19,06.07.2016,Ремонт фундаментов,1395.11,"327,26000",234.57447083025713,0.0
3440512,97701000,2199,Чувашская Республика,9,366310.8,430307.74,,Ремонт фундаментов,1740.8,"2089,28000",247.1896484375,-0.17470666985521585
3436651,97701000,818,Чувашская Республика,9,1007040.0,955655.27,,Ремонт фундаментов,3402.1,,280.9015813762088,0.05102551040673656
3441704,97701000,1774,Чувашская Республика,9,721711.47,721711.47,27.07.2015,Ремонт фундаментов,2234.7,"959,55000",322.9567592965499,0.0
3441658,97701000,1768,Чувашская Республика,9,819883.16,819883.16,08.07.2015,Ремонт фундаментов,2401.03,"1245,85000",341.47143517573704,0.0
3436402,97701000,201,Чувашская Республика,9,1228562.0,1228562.0,08.07.2015,Ремонт фундаментов,3296.39,"2116,26000",372.69922551639826,0.0
3450447,97713000,2783,Чувашская Республика,9,3079019.54,3079019.54,09.11.2016,Ремонт фундаментов,6689.39,"3079,02000",460.2840528060107,0.0
3443798,97701000,611,Чувашская Республика,11,1572864.88,1572864.88,04.07.2016,Ремонт фундаментов,1032.9,"1777,12000",1522.7658824668406,0.0
3421210,97704000,5037,Чувашская Республика,9,,,,Ремонт фундаментов,4018.92,,,
3421517,97704000,5063,Чувашская Республика,9,,,,Ремонт фундаментов,4120.53,,,
3421561,97704000,5066,Чувашская Республика,9,,,,Ремонт фундаментов,5487.52,,,
