,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
521829,12701000,2954,Астраханская область,1,38000.0,38000.0,15.04.2016,Электроснабжение,5108.9,"38,00000",7.438000352326333,0.0
536078,12701000,1276,Астраханская область,1,134594.11,134594.11,30.06.2016,Электроснабжение,8535.3,"524,69299",15.769112977868382,0.0
533834,12701000,2908,Астраханская область,1,81000.0,81000.0,10.09.2015,Электроснабжение,4731.0,"81,00000",17.121116043119848,0.0
516682,12701000,661,Астраханская область,1,118672.0,118672.0,31.12.2015,Электроснабжение,5400.2,"298,76200",21.975482389541128,0.0
552797,12701000,2937,Астраханская область,1,132031.0,132031.0,16.12.2015,Электроснабжение,4800.4,"348,91100",27.50416631947338,0.0
530418,12701000,2951,Астраханская область,1,86400.0,86400.0,31.12.2015,Электроснабжение,3085.1,"86,40000",28.005575183948658,0.0
532911,12701000,2946,Астраханская область,1,157822.0,157822.0,31.12.2016,Электроснабжение,5603.6,"157,82200",28.164394317938466,0.0
540621,12701000,2701,Астраханская область,1,301756.0,301756.0,15.03.2016,Электроснабжение,8558.8,"301,75600",35.25681170257513,0.0
517224,12701000,2151,Астраханская область,1,155682.0,155682.0,26.07.2017,Электроснабжение,4258.5,,36.557942937654104,0.0
552796,12701000,2937,Астраханская область,1,216880.0,216880.0,05.02.2016,Электроснабжение,4800.4,"348,91100",45.17956836930256,0.0
532378,12701000,2522,Астраханская область,1,580470.0,580470.0,30.04.2016,Электроснабжение,12559.0,"760,02600",46.21944422326619,0.0
541654,12701000,468,Астраханская область,1,204635.0,204635.0,24.04.2017,Электроснабжение,3317.3,,61.68721550658668,0.0
552821,12701000,2919,Астраханская область,1,337411.0,337411.0,30.01.2016,Электроснабжение,5265.1,"337,41100",64.08444284059182,0.0
526718,12701000,925,Астраханская область,1,375000.0,375000.0,14.03.2015,Электроснабжение,5398.7,"4673,07134",69.46116657713894,0.0
544248,12701000,1674,Астраханская область,1,788966.03,788966.03,14.03.2015,Электроснабжение,6247.0,"7350,00000",126.29518648951498,0.0
520103,12701000,2975,Астраханская область,1,1001275.49,1001275.49,30.09.2016,Электроснабжение,7704.0,"13355,95407",129.9682619418484,0.0
526897,12701000,939,Астраханская область,1,788874.83,788874.83,14.03.2015,Электроснабжение,5533.8,"7350,00000",142.55571759008276,0.0
536029,12701000,1272,Астраханская область,1,645474.94,645474.94,27.04.2015,Электроснабжение,4226.8,"5064,05102",152.71007381470613,0.0
538506,12701000,413,Астраханская область,1,1336866.41,1336866.41,30.09.2016,Электроснабжение,7047.8,"3870,21628",189.68563381480743,0.0
526127,12701000,2304,Астраханская область,1,289643.0,289643.0,25.08.2016,Электроснабжение,1463.1,"4201,64100",197.96527920169504,0.0
542570,12701000,2657,Астраханская область,1,2682892.14,2682892.14,15.02.2015,Электроснабжение,13385.9,"5000,00000",200.42672812436967,0.0
530649,12701000,2462,Астраханская область,1,935218.0,935218.0,26.12.2016,Электроснабжение,4516.8,"2550,51000",207.05322352107686,0.0
522236,12701000,2256,Астраханская область,1,362450.0,362450.0,10.06.2017,Электроснабжение,1713.5,"355,54000",211.5261161365626,0.0
526155,12701000,2305,Астраханская область,1,420943.0,420943.0,,Электроснабжение,1909.6,"430,38300",220.43516966904065,0.0
543509,12701000,1636,Астраханская область,1,2079000.0,2079000.0,28.02.2015,Электроснабжение,9424.0,"6091,94700",220.606960950764,0.0
515572,12701000,37,Астраханская область,1,1120288.26,1120288.26,30.09.2016,Электроснабжение,4155.4,"1920,89000",269.5981758675459,0.0
542375,12701000,2642,Астраханская область,1,2770855.2,2770855.2,28.02.2015,Электроснабжение,9678.2,"23537,14500",286.2986092455209,0.0
531359,12701000,2518,Астраханская область,1,2445893.01,2445893.01,15.02.2015,Электроснабжение,8068.7,"4732,90488",303.1334675970106,0.0
529545,12701000,319,Астраханская область,1,1596863.91,1596863.91,30.09.2016,Электроснабжение,5199.7,"3579,68998",307.1069311691059,0.0
538585,12701000,409,Астраханская область,1,859642.0,859642.0,18.12.2016,Электроснабжение,2738.3,"3412,85700",313.9327319869992,0.0
526180,12701000,2307,Астраханская область,1,463499.0,463499.0,26.12.2016,Электроснабжение,1406.0,"3966,03300",329.6578947368421,0.0
521618,12701000,197,Астраханская область,1,225387.0,225387.0,30.12.2016,Электроснабжение,589.1,,382.59548463758273,0.0
536020,12701000,1271,Астраханская область,1,2174576.59,2174576.59,20.10.2016,Электроснабжение,5389.0,"6977,87194",403.52135646687697,0.0
515197,12701000,8,Астраханская область,1,2262032.0,2262032.0,01.12.2016,Электроснабжение,4482.5,"3324,86200",504.6362520914668,0.0
523308,12701000,811,Астраханская область,1,3237949.0,3237949.0,24.02.2017,Электроснабжение,5608.0,"9095,45800",577.3803495007132,0.0
533351,12701000,2928,Астраханская область,1,876554.5,876554.5,25.12.2016,Электроснабжение,1185.0,"4223,38000",739.7084388185654,0.0
521679,12701000,198,Астраханская область,1,407416.0,407416.0,26.12.2016,Электроснабжение,494.5,"2260,58200",823.8948432760365,0.0
527337,12701000,618,Астраханская область,1,1350437.64,1350437.64,12.01.2017,Электроснабжение,943.7,"2954,64964",1431.003115396842,0.0
510825,12605000,3721,Астраханская область,1,650000.0,,,Электроснабжение,7839.3,"1026,37812",,
510840,12605000,3722,Астраханская область,1,824543.52,,,Электроснабжение,7821.2,,,
510853,12605000,3723,Астраханская область,1,600000.0,,,Электроснабжение,7984.9,,,
510870,12605000,3724,Астраханская область,1,600000.0,,,Электроснабжение,8003.1,,,
510881,12605000,3725,Астраханская область,1,300000.0,,,Электроснабжение,3763.4,,,
510893,12605000,3726,Астраханская область,1,300000.0,,,Электроснабжение,3768.4,,,
510904,12605000,3727,Астраханская область,1,543764.14,,,Электроснабжение,8043.1,,,
510924,12605000,3728,Астраханская область,1,623880.0,,,Электроснабжение,7977.0,,,
510932,12605000,3729,Астраханская область,1,300000.0,,,Электроснабжение,4245.9,,,
510947,12605000,3974,Астраханская область,1,900000.0,,,Электроснабжение,732.1,,,
510957,12605000,3975,Астраханская область,1,250000.0,,,Электроснабжение,741.4,,,
510968,12605000,3976,Астраханская область,1,250000.0,,,Электроснабжение,768.3,,,
510974,12605000,3977,Астраханская область,1,200000.0,,,Электроснабжение,1145.8,,,
510979,12605000,3978,Астраханская область,1,250000.0,,,Электроснабжение,1272.6,,,
510993,12605000,3979,Астраханская область,1,250000.0,,,Электроснабжение,746.3,,,
510996,12605000,3980,Астраханская область,1,250000.0,,,Электроснабжение,699.6,,,
511005,12605000,3794,Астраханская область,1,400000.0,,,Электроснабжение,841.0,,,
511011,12605000,3802,Астраханская область,1,600000.0,,,Электроснабжение,979.5,,,
511021,12605000,3803,Астраханская область,1,400000.0,,,Электроснабжение,1411.4,"15,00000",,
511034,12605000,3804,Астраханская область,1,400000.0,,,Электроснабжение,1504.4,,,
511041,12605000,3805,Астраханская область,1,400000.0,,,Электроснабжение,1477.9,"30,00000",,
511054,12605000,3806,Астраханская область,1,400000.0,,,Электроснабжение,1480.7,,,
511064,12605000,3807,Астраханская область,1,400000.0,,,Электроснабжение,1459.6,"151,24100",,
511066,12605000,3808,Астраханская область,1,400000.0,,,Электроснабжение,2496.6,,,
511077,12605000,3809,Астраханская область,1,400000.0,,,Электроснабжение,1540.4,"354,97000",,
511091,12605000,3810,Астраханская область,1,400000.0,,,Электроснабжение,1974.8,,,
511098,12605000,3811,Астраханская область,1,400000.0,,,Электроснабжение,1587.8,"15,00000",,
511110,12605000,5359,Астраханская область,1,1015309.82,,,Электроснабжение,1382.1,,,
511120,12605000,3795,Астраханская область,1,400000.0,,,Электроснабжение,979.7,,,
511131,12605000,3796,Астраханская область,1,400000.0,,,Электроснабжение,838.7,,,
511138,12605000,3797,Астраханская область,1,840000.0,,,Электроснабжение,908.6,"30,00000",,
511146,12605000,3798,Астраханская область,1,400000.0,,,Электроснабжение,928.6,,,
511158,12605000,3799,Астраханская область,1,500000.0,,,Электроснабжение,837.5,"337,75800",,
511159,12605000,3800,Астраханская область,1,400000.0,,,Электроснабжение,987.4,"22,50000",,
511175,12605000,3801,Астраханская область,1,400000.0,,,Электроснабжение,998.5,"214,88300",,
511182,12605000,3962,Астраханская область,1,600000.0,,,Электроснабжение,352.9,,,
511196,12605000,3963,Астраханская область,1,500000.0,,,Электроснабжение,355.2,,,
511205,12605000,3964,Астраханская область,1,500000.0,,,Электроснабжение,675.5,,,
511213,12605000,3965,Астраханская область,1,130000.0,,,Электроснабжение,670.8,,,
511220,12605000,3966,Астраханская область,1,400000.0,,,Электроснабжение,677.1,,,
511223,12605000,3967,Астраханская область,1,400000.0,,,Электроснабжение,677.4,,,
511233,12605000,3968,Астраханская область,1,200000.0,,,Электроснабжение,668.1,,,
511240,12605000,3969,Астраханская область,1,350000.0,,,Электроснабжение,631.0,,,
511250,12605000,3970,Астраханская область,1,200000.0,,,Электроснабжение,601.5,,,
511256,12605000,3971,Астраханская область,1,600000.0,,,Электроснабжение,589.9,,,
511265,12605000,3972,Астраханская область,1,500000.0,,,Электроснабжение,603.9,,,
511268,12605000,3973,Астраханская область,1,400000.0,,,Электроснабжение,595.0,,,
511281,12605000,3824,Астраханская область,1,500000.0,,,Электроснабжение,2725.4,"225,00000",,
