,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6311707,25701000,5589,Иркутская область,1,580594.9,678530.34,26.03.2019,Электроснабжение,715.9,"19,29960",947.800446989803,-0.16868119234254372
6304203,25701000,2877,Иркутская область,1,2272016.5,2272016.5,,Электроснабжение,2801.5,"0,00000",811.0,0.0
6315764,25701000,6404,Иркутская область,1,1009451.7,1009451.7,,Электроснабжение,1244.7,"0,00000",810.9999999999999,0.0
6334237,25642000,13656,Иркутская область,1,768422.3,764580.19,,Электроснабжение,947.5,"0,00000",806.9447915567282,0.004999998047948507
6310362,25701000,5182,Иркутская область,1,360471.6,355064.53,,Электроснабжение,449.4,"214,91440",790.0857365376058,0.01499998890342526
6305000,25701000,3181,Иркутская область,1,283169.69,281753.84,27.11.2017,Электроснабжение,365.8,"1994,65276",770.2401312192455,0.005000005473749598
6306907,25701000,3992,Иркутская область,1,524659.71,519413.11,14.12.2017,Электроснабжение,677.9,"2956,92543",766.2090426316566,0.010000005527392178
6308873,25701000,4652,Иркутская область,1,553623.6,548087.36,,Электроснабжение,716.1,"173,91712",765.3782432621142,0.010000007225125502
6327936,25745000,8465,Иркутская область,1,401250.74,395231.99,,Электроснабжение,517.2,"0,00000",764.1763147718483,0.014999972336499617
6308884,25701000,4657,Иркутская область,1,551214.0,545701.86,,Электроснабжение,729.1,"174,11295",748.4595528734055,0.010000000000000024
6308882,25701000,4656,Иркутская область,1,551214.0,545701.86,,Электроснабжение,729.4,"174,11448",748.1517137373183,0.010000000000000024
6306903,25701000,3991,Иркутская область,1,528759.38,523471.78,27.11.2017,Электроснабжение,701.4,"4189,69344",746.3241802110066,0.010000011725560266
6316058,25701000,6530,Иркутская область,1,405662.2,369281.33,,Электроснабжение,500.2,"0,00000",738.2673530587765,0.08968267193739025
6309476,25701000,4939,Иркутская область,1,293610.0,289205.85,,Электроснабжение,393.1,"159,53326",735.7055456626812,0.01500000000000008
6306209,25701000,3704,Иркутская область,1,400958.4,390130.0,17.09.2018,Электроснабжение,531.0,"616,10861",734.7080979284369,0.027006292922158566
6304495,25701000,2956,Иркутская область,1,413220.0,409087.8,,Электроснабжение,580.5,"235,77207",704.7162790697674,0.010000000000000028
6306977,25701000,4008,Иркутская область,1,347477.94,345740.55,,Электроснабжение,529.7,"243,76263",652.7101189352463,0.0050000008633642005
6307646,25701000,2598,Иркутская область,1,335889.53,332530.63,,Электроснабжение,522.1,"221,55605",636.909844857307,0.010000013992695822
6320539,25714000,126,Иркутская область,1,324869.32,321620.62,31.10.2017,Электроснабжение,510.2,"2805,91355",630.381458251666,0.010000020931493351
6304062,25701000,2560,Иркутская область,1,581240.4,575428.0,,Электроснабжение,970.7,"344,97925",592.7969506541671,0.009999993118165948
6308408,25701000,4467,Иркутская область,1,298009.74,296519.7,27.11.2017,Электроснабжение,505.3,"4363,45210",586.8191173560261,0.00499997080632324
6320398,25714000,59,Иркутская область,1,257178.97,255893.07,31.10.2017,Электроснабжение,436.8,"3051,88649",585.835782967033,0.0050000200249654715
6329447,25614000,11349,Иркутская область,1,749170.8,745424.95,,Электроснабжение,1273.38,"0,00000",585.3908102844398,0.004999994660763731
6304991,25701000,3179,Иркутская область,1,506642.74,504109.52,27.11.2017,Электроснабжение,861.2,"1639,52656",585.3570831398049,0.005000012434797688
6329422,25614000,11336,Иркутская область,1,760266.0,756464.67,,Электроснабжение,1299.58,"0,00000",582.0839578940889,0.004999999999999945
6331372,25628000,12206,Иркутская область,1,775518.25,775518.25,14.12.2017,Электроснабжение,1344.39,"6243,68823",576.8551164468644,0.0
6311143,25701000,5405,Иркутская область,1,407748.7,401632.47,,Электроснабжение,702.9,"228,85674",571.3934699103713,0.014999998773754618
6315928,25701000,6486,Иркутская область,1,335445.13,330413.45,,Электроснабжение,585.7,"235,68964",564.1342837630186,0.015000009092396103
6335383,25644000,13888,Иркутская область,1,457134.36,457134.36,28.08.2016,Электроснабжение,832.9,"3660,51851",548.8466322487693,0.0
6304221,25701000,2879,Иркутская область,1,793481.16,793481.16,31.10.2017,Электроснабжение,1471.0,"6917,77777",539.4161522773624,0.0
6308470,25701000,4489,Иркутская область,1,1267380.0,1254706.2,20.12.2017,Электроснабжение,2338.9,"7236,38491",536.451408781906,0.010000000000000037
6311851,25701000,2652,Иркутская область,1,496230.17,491267.88,31.10.2017,Электроснабжение,919.3,"4073,99930",534.393429783531,0.009999976422231601
6322961,25714000,793,Иркутская область,1,936381.79,931699.89,14.12.2017,Электроснабжение,1755.7,"6251,40698",530.6714643731844,0.004999990441932904
6335354,25644000,13887,Иркутская область,1,428198.4,428198.4,28.08.2016,Электроснабжение,818.8,"3273,27496",522.9584758182707,0.0
6329215,25614000,11263,Иркутская область,1,585891.6,582962.14,,Электроснабжение,1117.6,"0,00000",521.6196671438798,0.005000003413600677
6329238,25614000,11267,Иркутская область,1,585891.6,582962.14,,Электроснабжение,1118.4,"0,00000",521.2465486409155,0.005000003413600677
6304752,25701000,3061,Иркутская область,1,373415.72,373415.72,29.07.2016,Электроснабжение,718.1,"3227,02065",520.0051803370004,0.0
6329245,25614000,11268,Иркутская область,1,585938.4,583008.71,,Электроснабжение,1121.5,"0,00000",519.8472670530539,0.004999996586672013
6307251,25701000,4152,Иркутская область,1,358387.24,356595.3,31.10.2017,Электроснабжение,692.0,"3043,35062",515.31112716763,0.005000010603056076
6315892,25701000,6472,Иркутская область,1,264558.36,261912.79,20.12.2017,Электроснабжение,508.8,"458,42989",514.7657036163522,0.009999948593572994
6307023,25701000,4038,Иркутская область,1,207624.28,204509.91,,Электроснабжение,404.8,"216,28661",505.21222826086955,0.01500002793507578
6322669,25714000,866,Иркутская область,1,1357427.48,1350640.32,31.10.2017,Электроснабжение,2720.3,"11635,80026",496.50417968606405,0.005000016649139825
6331818,25628000,12368,Иркутская область,1,286626.0,282326.61,,Электроснабжение,572.7,"63,34560",492.97469879518064,0.015000000000000048
6329234,25614000,11265,Иркутская область,1,585891.6,582962.14,,Электроснабжение,1194.5,"0,00000",488.03862704060276,0.005000003413600677
6323211,25714000,1193,Иркутская область,1,834500.11,830327.62,14.12.2017,Электроснабжение,1713.3,"5957,64231",484.6364442887994,0.004999987357700877
6304768,25701000,3062,Иркутская область,1,341127.38,341127.38,29.07.2016,Электроснабжение,717.7,"3452,51719",475.3063675630486,0.0
6304786,25701000,3063,Иркутская область,1,340709.66,340709.66,29.07.2016,Электроснабжение,717.2,"3599,52205",475.05529838259895,0.0
6328016,25745000,8497,Иркутская область,1,199717.2,195722.86,,Электроснабжение,413.0,"0,00000",473.90523002421304,0.01999997997168008
6328959,25745000,8777,Иркутская область,1,560879.96,560879.96,30.08.2016,Электроснабжение,1185.0,"4974,83022",473.31642194092825,0.0
6311894,25701000,5639,Иркутская область,1,2877914.6,820872.0,,Электроснабжение,1774.3,"2376,51500",462.64555035788766,0.7147684646375538
6304795,25701000,3064,Иркутская область,1,333082.14,333082.14,29.07.2016,Электроснабжение,725.1,"2744,28848",459.36028134050474,0.0
6310595,25701000,5297,Иркутская область,1,3990768.8,2243425.71,,Электроснабжение,4920.8,"9245,30510",455.9067041944399,0.437846234038915
6331116,25628000,12146,Иркутская область,1,390498.33,390498.33,14.12.2017,Электроснабжение,870.0,"2735,24949",448.8486551724138,0.0
6332767,25634000,12680,Иркутская область,1,263109.21,259162.57,27.12.2017,Электроснабжение,595.5,"3798,04286",435.2016288832914,0.015000007031300857
6321885,25714000,872,Иркутская область,1,1383973.2,1377053.34,31.10.2017,Электроснабжение,3169.68,"12474,50645",434.44554024381017,0.00499999566465584
6323863,25726000,6833,Иркутская область,1,925147.67,877884.6,06.03.2019,Электроснабжение,2063.7,"5334,88271",425.3935164994912,0.051087055107645746
6307244,25701000,4151,Иркутская область,1,290598.54,289145.55,31.10.2017,Электроснабжение,682.6,"1924,39570",423.59441840023436,0.004999990708831472
6306467,25701000,3803,Иркутская область,1,497020.72,492050.51,,Электроснабжение,1167.2,"208,36002",421.5648646333105,0.010000005633567878
6307270,25701000,4155,Иркутская область,1,290932.54,289477.88,31.10.2017,Электроснабжение,696.3,"2347,92443",415.73729714203654,0.004999990719497979
6317872,25612000,11000,Иркутская область,1,446538.0,444305.31,,Электроснабжение,1071.0,"0,00000",414.8508963585434,0.005000000000000005
6307261,25701000,4154,Иркутская область,1,276215.49,274834.41,31.10.2017,Электроснабжение,664.6,"2907,58586",413.53356906409863,0.00500000923192257
6318075,25604000,10762,Иркутская область,1,248997.94,248997.94,31.10.2017,Электроснабжение,602.43,"4301,95917",413.3226100957788,0.0
6304848,25701000,3080,Иркутская область,1,2067551.67,2057213.9,27.11.2017,Электроснабжение,5005.2,"6517,13227",411.0153240629745,0.005000005634683858
6304056,25701000,2558,Иркутская область,1,426251.4,426251.4,28.06.2016,Электроснабжение,1040.4,"3649,04268",409.699538638985,0.0
6316291,25701000,2456,Иркутская область,1,1187814.21,1140301.64,31.10.2017,Электроснабжение,2827.2,"6114,53459",403.3324985851726,0.04000000134701206
6308355,25701000,4455,Иркутская область,1,2682139.2,1330737.0,,Электроснабжение,3307.2,"4610,87074",402.37572568940493,0.503852372762756
6309122,25701000,4816,Иркутская область,1,1784446.74,1784446.74,28.08.2015,Электроснабжение,4436.9,"2594,33722",402.1832225202281,0.0
6329428,25614000,11339,Иркутская область,1,495556.8,493079.02,,Электроснабжение,1234.33,"0,00000",399.4709842586667,0.00499999192827133
6305326,25701000,3296,Иркутская область,1,3515068.64,2213450.4,,Электроснабжение,5564.84,"8316,25127",397.75634160191487,0.3702966779049868
6310028,25701000,5086,Иркутская область,1,279911.26,278511.69,21.12.2017,Электроснабжение,701.8,"3278,19076",396.85336278141926,0.005000048944083232
6321101,25714000,484,Иркутская область,1,5430122.5,5430122.5,08.12.2017,Электроснабжение,13695.88,"24535,35293",396.47853953159637,0.0
6310314,25701000,5151,Иркутская область,1,219607.62,217411.54,27.11.2017,Электроснабжение,551.8,"2992,49769",394.00424066690834,0.010000017303588953
6329418,25614000,11340,Иркутская область,1,493422.0,490954.89,,Электроснабжение,1255.52,"0,00000",391.03709220084113,0.0049999999999999715
6307036,25701000,4053,Иркутская область,1,166391.7,163895.82,,Электроснабжение,419.7,"217,19767",390.5070764832023,0.015000027044618239
6306090,25701000,3660,Иркутская область,1,302876.49,299847.72,20.11.2017,Электроснабжение,775.0,"728,00304",386.9002838709677,0.010000016838547022
6304390,25701000,2927,Иркутская область,1,783212.57,779296.51,31.10.2017,Электроснабжение,2017.6,"3068,29304",386.2492614988105,0.004999996361141063
6307279,25701000,4156,Иркутская область,1,215603.56,214525.53,31.10.2017,Электроснабжение,557.8,"3201,39082",384.59220150591614,0.005000056585336526
6329360,25614000,11317,Иркутская область,1,469911.02,467561.46,20.12.2017,Электроснабжение,1248.25,"2634,96331",374.5735709993992,0.005000010427506037
6307291,25701000,4157,Иркутская область,1,195384.18,194407.26,31.10.2017,Электроснабжение,521.8,"2945,57647",372.57044844768114,0.00499999539369044
6311533,25701000,2200,Иркутская область,1,1696650.95,1628784.92,07.12.2017,Электроснабжение,4378.2,"8350,42638",372.0215887807775,0.039999995284828636
6305173,25701000,3244,Иркутская область,1,2982153.82,2982153.82,17.07.2016,Электроснабжение,8034.8,"14004,18214",371.15470453527155,0.0
