,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5841272,33701000,3370100028011,Кировская область,1,167777.0,167777.0,24.12.2015,Электроснабжение,10761.0,"1626,25800",15.59120899544652,0.0
5826519,33610000,33610000249813,Кировская область,1,189627.0,189627.0,11.01.2016,Электроснабжение,7218.0,"189,62700",26.271404821280132,0.0
5822829,33605000,33605000132942,Кировская область,1,13867.5,13867.5,25.05.2018,Электроснабжение,486.3,"150,23320",28.51634793337446,0.0
5861902,33701000,33701000169216,Кировская область,1,279875.0,279875.0,05.09.2016,Электроснабжение,9704.41,"737,58300",28.839980998329626,0.0
5877778,33612000,33612000135046,Кировская область,1,20423.0,20423.0,25.07.2016,Электроснабжение,546.7,"20,42300",37.35686848362904,0.0
5856649,33701000,33701000243980,Кировская область,1,67038.0,67038.0,03.11.2016,Электроснабжение,1740.97,"185,00642",38.506120151409846,0.0
5826576,33610000,33610000249750,Кировская область,1,53000.0,53000.0,27.06.2016,Электроснабжение,1354.1,"1651,00205",39.14038844989292,0.0
5892382,33634000,33634000227925,Кировская область,1,170476.0,16480.0,,Электроснабжение,411.0,"0,00000",40.09732360097323,0.9033295009268166
5861040,33701000,33701000246198,Кировская область,1,665802.0,665802.0,16.12.2015,Электроснабжение,15875.83,"1255,92200",41.9380907958828,0.0
5865712,33707000,33707000250000,Кировская область,1,352240.0,352240.0,28.03.2018,Электроснабжение,7769.3,"352,24000",45.33741778538607,0.0
5834230,33701000,33701000213060,Кировская область,1,132755.29,132755.29,01.07.2016,Электроснабжение,2898.61,"132,71578",45.799638447393754,0.0
5856631,33701000,33701000237389,Кировская область,1,139672.0,139672.0,10.02.2016,Электроснабжение,2919.62,"139,67200",47.839102348935825,0.0
5827630,33704000,33704000250172,Кировская область,1,37643.17,37643.17,21.09.2017,Электроснабжение,757.8,"948,82543",49.67428081287939,0.0
5843980,33701000,3370100027407,Кировская область,1,391163.41,391163.41,28.07.2017,Электроснабжение,7350.97,"1329,89500",53.212488964041476,0.0
5861992,33701000,33701000172173,Кировская область,1,559446.0,845377.0,28.08.2018,Электроснабжение,15363.11,"3865,25100",55.026423686349965,-0.5110966920846695
5824651,33607000,33607000143240,Кировская область,1,78507.76,78507.76,07.11.2018,Электроснабжение,1335.9,"74,92891",58.767692192529374,0.0
