,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3058149,41603000,41603000130665,Ленинградская область,1,728000.0,0.0,,Электроснабжение,4251.54,"5571,33472",0.0,1.0
3058322,41603000,41603000207454,Ленинградская область,1,196000.0,0.0,,Электроснабжение,1711.22,"517,07528",0.0,1.0
3058190,41603000,41603000352995,Ленинградская область,1,721000.0,0.0,,Электроснабжение,3616.3,"1901,51720",0.0,1.0
3059128,41603000,41603000209110,Ленинградская область,1,322000.0,0.0,,Электроснабжение,1322.95,"2593,94714",0.0,1.0
3109007,41618000,41618000353138,Ленинградская область,1,0.0,0.0,,Электроснабжение,1021.1,"1782,63014",0.0,
3058631,41603000,41603000128991,Ленинградская область,1,266000.0,116721.14,16.08.2018,Электроснабжение,8582.7,"116,72114",13.599582881843707,0.5611987218045112
3101742,41615000,41615000203793,Ленинградская область,1,0.0,449211.19,27.09.2016,Электроснабжение,17035.86,"38455,22374",26.368565484806755,
3058968,41603000,41603000191564,Ленинградская область,1,483000.0,131508.14,,Электроснабжение,4656.69,"0,00000",28.240690275710865,0.7277264182194617
3146484,41633000,41633000141774,Ленинградская область,1,0.0,116386.49,07.12.2018,Электроснабжение,3968.5,"232,77298",29.32757717021545,
3159693,41642000,41642000352166,Ленинградская область,1,588000.0,294470.28,,Электроснабжение,8982.35,"9073,68300",32.78321152037051,0.4992002040816326
3135996,41627000,41627000135385,Ленинградская область,1,0.0,193450.31,,Электроснабжение,5733.5,"2551,67593",33.74035231533967,
3165011,41645000,41645000153770,Ленинградская область,1,630000.0,238911.0,16.08.2018,Электроснабжение,6989.6,"1608,57129",34.18092594712144,0.6207761904761905
3136101,41627000,41627000135408,Ленинградская область,1,0.0,195517.52,,Электроснабжение,5697.4,"2099,55590",34.316972654193144,
3125992,41624000,41624000225181,Ленинградская область,1,801500.0,486427.4,05.07.2018,Электроснабжение,13458.0,"2857,71528",36.14410759399614,0.39310368059887707
3134906,41627000,41627000214621,Ленинградская область,1,0.0,271963.25,18.06.2018,Электроснабжение,7326.2,"463,27102",37.122007316207586,
3063966,41606000,41606000115563,Ленинградская область,1,305200.0,173548.68,15.10.2018,Электроснабжение,4650.2,"173,54868",37.32069158315771,0.4313608125819135
3164925,41645000,41645000153764,Ленинградская область,1,560000.0,244457.05,02.10.2018,Электроснабжение,6502.4,"2417,79037",37.59489573080709,0.5634695535714286
3147354,41633000,41633000349964,Ленинградская область,1,0.0,189582.61,20.11.2018,Электроснабжение,5036.7,"3050,63797",37.640242619175254,
3134785,41627000,41627000345755,Ленинградская область,1,0.0,123297.24,18.06.2018,Электроснабжение,3253.9,"4236,67389",37.89214173760718,
3164920,41645000,41645000153763,Ленинградская область,1,560000.0,239967.93,16.08.2018,Электроснабжение,6323.16,"1985,08630",37.950633860285045,0.5714858392857143
3135597,41627000,41627000157138,Ленинградская область,1,0.0,190918.57,,Электроснабжение,4994.5,"0,00000",38.22576233857243,
3157343,41642000,41642000287793,Ленинградская область,1,294000.0,176909.08,,Электроснабжение,4600.08,"0,00000",38.45782682040312,0.3982684353741497
3165160,41645000,41645000153795,Ленинградская область,1,420000.0,179307.97,16.08.2018,Электроснабжение,4611.98,"5663,91368",38.878739716997906,0.5730762619047619
3164945,41645000,41645000153765,Ленинградская область,1,560000.0,243270.7,16.08.2018,Электроснабжение,6159.6,"3546,95979",39.49456133515163,0.5655880357142857
3125952,41624000,41624000225177,Ленинградская область,1,511000.0,172606.71,26.06.2018,Электроснабжение,4355.0,"345,21342",39.63414695752009,0.6622177886497065
3157407,41642000,41642000287801,Ленинградская область,1,294000.0,182409.01,,Электроснабжение,4598.47,"1130,80907",39.66732630635842,0.37956119047619047
3141123,41630000,41630000349607,Ленинградская область,1,369600.0,184190.15,21.12.2018,Электроснабжение,4584.8,"2543,73747",40.17408611062641,0.501650027056277
3125634,41624000,41624000225531,Ленинградская область,1,707000.0,234900.66,02.10.2018,Электроснабжение,5724.4,"234,90066",41.034983579065056,0.6677501272984441
3146518,41633000,41633000141783,Ленинградская область,1,0.0,180034.28,07.12.2018,Электроснабжение,4386.6,"360,06856",41.04187297679296,
3133411,41625000,41625000319971,Ленинградская область,1,0.0,197859.23,,Электроснабжение,4808.8,"1170,46275",41.14523997670937,
