,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6347742,42701000,42056,Липецкая область,1,43944.04,43944.04,28.06.2017,Электроснабжение,4099.62,"10715,59000",10.71905200969846,0.0
6347700,42701000,41986,Липецкая область,1,70203.03,70203.03,02.08.2017,Электроснабжение,4075.4,"12823,96000",17.226046523040683,0.0
6348540,42701000,42040,Липецкая область,1,116218.59,116218.59,24.04.2017,Электроснабжение,4633.8,"11759,67000",25.080622814968276,0.0
6363606,42701000,42256,Липецкая область,1,43313.0,43313.0,31.10.2016,Электроснабжение,1672.3,"5215,78000",25.900257130897568,0.0
6338458,42715000,37415,Липецкая область,1,6759.75,6759.75,25.12.2015,Электроснабжение,248.0,"640,18000",27.257056451612904,0.0
6389950,42640000,41177,Липецкая область,1,29238.55,29238.55,10.12.2016,Электроснабжение,996.05,"2600,52000",29.35450027609056,0.0
6365811,42701000,38362,Липецкая область,1,350000.0,250308.0,,Электроснабжение,7043.7,"22072,25000",35.53643681587802,0.2848342857142857
6353369,42701000,38197,Липецкая область,1,162741.0,162741.0,24.04.2017,Электроснабжение,4315.74,"15508,24000",37.70871275841455,0.0
6376806,42606000,41625,Липецкая область,1,31295.04,31295.04,25.04.2016,Электроснабжение,686.2,"377,51000",45.6062955406587,0.0
6382007,42615000,37830,Липецкая область,1,11639.57,11639.57,17.04.2017,Электроснабжение,251.13,"1177,33000",46.34878349858639,0.0
6347533,42701000,41600,Липецкая область,1,130504.12,130504.12,24.04.2017,Электроснабжение,2696.0,"7368,08000",48.406572700296735,0.0
6350417,42701000,36657,Липецкая область,1,93733.97,93733.97,19.05.2017,Электроснабжение,1890.1,"5354,04000",49.59206920268769,0.0
6350519,42701000,36666,Липецкая область,1,145732.48,145732.48,04.05.2017,Электроснабжение,2592.7,"3289,15000",56.208770779496284,0.0
6353496,42701000,42177,Липецкая область,1,84642.0,84642.0,25.12.2015,Электроснабжение,1494.2,"1570,56000",56.647035202784096,0.0
6353483,42701000,42180,Липецкая область,1,125564.0,125564.0,15.12.2015,Электроснабжение,2157.3,"2346,91000",58.204236777453296,0.0
