,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4349910,54710000,42594,Орловская область,1,,0.0,24.01.2017,Электроснабжение,138.0,"927,12628",0.0,
4374428,54636000,44601,Орловская область,1,,0.0,04.09.2017,Электроснабжение,246.4,"1610,61682",0.0,
4348443,54710000,42439,Орловская область,1,0.0,0.0,03.09.2018,Электроснабжение,1569.6,"5548,85495",0.0,
4349738,54710000,42577,Орловская область,1,0.0,0.0,13.08.2018,Электроснабжение,299.6,"1411,28048",0.0,
4353578,54701000,44528,Орловская область,1,,0.0,24.08.2017,Электроснабжение,335.8,"1897,12217",0.0,
4349845,54710000,42586,Орловская область,1,,0.0,03.09.2018,Электроснабжение,2774.7,"9304,53812",0.0,
4353518,54701000,44520,Орловская область,1,0.0,0.0,26.11.2018,Электроснабжение,949.33,"4514,78340",0.0,
4374032,54636000,40849,Орловская область,1,,6988.0,03.09.2018,Электроснабжение,1077.99,"3036,55057",6.482434901993525,
4342317,54604000,40105,Орловская область,1,,31507.0,15.06.2017,Электроснабжение,1525.0,"4782,13435",20.66032786885246,
4342286,54604000,40102,Орловская область,1,,31508.0,26.06.2017,Электроснабжение,1525.0,"4782,13435",20.660983606557377,
4380323,54652000,44467,Орловская область,1,,18743.0,06.08.2018,Электроснабжение,901.0,"1929,02163",20.802441731409544,
4375667,54643000,40974,Орловская область,1,,13438.0,05.06.2018,Электроснабжение,520.3,"1877,42925",25.8274072650394,
4344868,54705000,43855,Орловская область,1,,24588.0,20.12.2017,Электроснабжение,847.8,"2379,05067",29.002123142250532,
4374466,54636000,40885,Орловская область,1,8446.0,15885.0,01.10.2014,Электроснабжение,454.8,"0,00000",34.92744063324538,-0.8807719630594364
4375322,54643000,40979,Орловская область,1,9794.0,10730.56,20.08.2014,Электроснабжение,298.8,"0,00000",35.91218206157965,-0.09562589340412492
4343717,54610000,40154,Орловская область,1,24918.0,24918.0,01.11.2014,Электроснабжение,662.1,"0,00000",37.63479836882646,0.0
4367530,54612000,40254,Орловская область,1,,19793.0,30.11.2016,Электроснабжение,500.0,"743,70333",39.586,
4353107,54701000,42198,Орловская область,1,,142230.0,01.08.2016,Электроснабжение,3385.0,"13621,57791",42.01772525849335,
4372569,54629000,40727,Орловская область,1,,34136.0,12.02.2018,Электроснабжение,753.0,"3399,47384",45.333333333333336,
4366619,54701000,43031,Орловская область,1,,1506821.0,28.04.2017,Электроснабжение,28965.6,"7203,30300",52.02105255889745,
4358754,54701000,42686,Орловская область,1,,190248.0,31.12.2015,Электроснабжение,3604.1,"196,04800",52.78654865292306,
4357722,54701000,42339,Орловская область,1,0.0,274447.86,29.11.2018,Электроснабжение,4742.42,"8367,57200",57.87084652983076,
4372103,54629000,40669,Орловская область,1,53968.0,63395.0,01.10.2014,Электроснабжение,1004.05,"0,00000",63.13928589213685,-0.17467758671805514
4345760,54705000,43910,Орловская область,1,,112110.62,16.12.2016,Электроснабжение,1683.1,"5692,33597",66.60960133087755,
4376489,54647000,41315,Орловская область,1,0.0,43992.0,01.11.2014,Электроснабжение,646.0,"0,00000",68.09907120743034,
4373270,54632000,40766,Орловская область,1,54524.0,54524.0,18.08.2014,Электроснабжение,775.7,"0,00000",70.29006059043444,0.0
4377765,54647000,41121,Орловская область,1,,28284.0,27.09.2016,Электроснабжение,394.9,"2691,25314",71.62319574575842,
4348436,54710000,42438,Орловская область,1,,12813.0,13.07.2018,Электроснабжение,175.7,"567,72472",72.92544109277178,
4377489,54647000,41017,Орловская область,1,0.0,31107.68,,Электроснабжение,423.7,"1758,93617",73.4191172999764,
4357410,54701000,42308,Орловская область,1,,303010.0,03.04.2019,Электроснабжение,3919.0,"9236,93469",77.31819341668793,
4360835,54701000,42989,Орловская область,1,,308057.0,01.06.2016,Электроснабжение,3910.5,"14330,43776",78.77688275156629,
4362101,54701000,43214,Орловская область,1,,555217.0,25.08.2017,Электроснабжение,7009.7,"972,43440",79.206956075153,
4382833,54659000,41734,Орловская область,1,,59843.0,30.11.2016,Электроснабжение,749.0,"2613,87072",79.89719626168224,
4369896,54623000,40457,Орловская область,1,,56501.08,29.12.2018,Электроснабжение,685.2,"3131,80177",82.45925277291302,
4379957,54652000,44421,Орловская область,1,174723.0,96033.0,28.10.2014,Электроснабжение,1107.1,"0,00000",86.74284165838678,0.45037001425112894
4376397,54647000,44283,Орловская область,1,0.0,80934.0,26.09.2014,Электроснабжение,932.3,"0,00000",86.81111230290679,
4365016,54701000,43614,Орловская область,1,,262644.07,24.05.2018,Электроснабжение,2975.0,"3183,68763",88.28372100840336,
4373595,54632000,40811,Орловская область,1,,36326.45,15.06.2018,Электроснабжение,409.7,"1849,28279",88.66597510373444,
4349756,54710000,42579,Орловская область,1,,89088.0,26.01.2017,Электроснабжение,989.8,"5220,06852",90.00606183067286,
4357057,54701000,42269,Орловская область,1,,35108.0,20.03.2017,Электроснабжение,386.8,"2540,46256",90.76525336091002,
4367710,54612000,40273,Орловская область,1,0.0,80186.0,28.10.2014,Электроснабжение,868.4,"0,00000",92.33763242745279,
4369921,54623000,40460,Орловская область,1,,63164.0,29.09.2016,Электроснабжение,676.4,"4307,45555",93.3826138379657,
4344003,54610000,40181,Орловская область,1,0.0,72769.32,29.08.2018,Электроснабжение,775.9,"2725,62117",93.78698285861581,
4375119,54639000,40962,Орловская область,1,,35550.0,29.09.2016,Электроснабжение,372.14,"2311,60299",95.52856451872951,
4358917,54701000,42713,Орловская область,1,,421999.0,,Электроснабжение,4263.4,"29059,40545",98.98179856452597,
