,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
338468,57605000,10017470,Пермский край,1,158324.75,0.0,,Электроснабжение,841.0,,0.0,1.0
339736,57701000,10005952,Пермский край,1,1027663.52,0.0,01.03.2018,Электроснабжение,3353.0,,0.0,1.0
339761,57701000,10016049,Пермский край,1,973056.27,0.0,,Электроснабжение,4337.0,,0.0,1.0
339769,57701000,10001305,Пермский край,1,1045374.9,0.0,01.03.2018,Электроснабжение,3365.0,,0.0,1.0
339815,57701000,10016066,Пермский край,1,84078.0,0.0,,Электроснабжение,424.0,,0.0,1.0
339850,57701000,10013048,Пермский край,1,738608.03,0.0,,Электроснабжение,4071.6,,0.0,1.0
339892,57701000,10017078,Пермский край,1,463321.22,0.0,,Электроснабжение,1101.0,,0.0,1.0
339734,57701000,10008846,Пермский край,1,1062452.71,0.0,21.09.2018,Электроснабжение,4253.0,,0.0,1.0
339951,57701000,10014928,Пермский край,1,459142.1,0.0,,Электроснабжение,1975.0,,0.0,1.0
339987,57701000,10010573,Пермский край,1,763157.1,0.0,,Электроснабжение,3405.9,,0.0,1.0
340054,57701000,10008062,Пермский край,1,630322.31,0.0,,Электроснабжение,2569.0,,0.0,1.0
340055,57701000,10008062,Пермский край,1,630322.31,0.0,,Электроснабжение,2569.0,,0.0,1.0
340056,57701000,10008062,Пермский край,1,630322.31,0.0,,Электроснабжение,2569.0,,0.0,1.0
340060,57701000,10014931,Пермский край,1,594648.09,0.0,,Электроснабжение,2502.0,,0.0,1.0
340118,57701000,10012533,Пермский край,1,1219033.45,0.0,,Электроснабжение,5946.0,,0.0,1.0
339964,57701000,10004776,Пермский край,1,1594701.85,0.0,,Электроснабжение,8144.6,,0.0,1.0
339726,57701000,10012981,Пермский край,1,1204471.73,0.0,,Электроснабжение,7111.4,,0.0,1.0
339725,57701000,10009834,Пермский край,1,992947.91,0.0,,Электроснабжение,4830.0,,0.0,1.0
339706,57701000,10007943,Пермский край,1,374837.0,0.0,,Электроснабжение,3769.44,,0.0,1.0
339343,57701000,10012929,Пермский край,1,703876.36,0.0,22.08.2018,Электроснабжение,2129.0,,0.0,1.0
339344,57701000,10012930,Пермский край,1,901811.89,0.0,30.08.2018,Электроснабжение,2735.0,,0.0,1.0
339354,57701000,10008123,Пермский край,1,369186.11,0.0,,Электроснабжение,1585.0,,0.0,1.0
339375,57701000,10009875,Пермский край,1,670383.12,0.0,20.09.2018,Электроснабжение,3220.0,,0.0,1.0
339415,57701000,10010592,Пермский край,1,1165155.38,0.0,,Электроснабжение,5110.8,,0.0,1.0
339424,57701000,10009716,Пермский край,1,805167.99,0.0,,Электроснабжение,4251.0,,0.0,1.0
339442,57701000,10013032,Пермский край,1,907226.1,0.0,01.03.2018,Электроснабжение,3063.0,,0.0,1.0
339474,57701000,10015143,Пермский край,1,747290.78,0.0,,Электроснабжение,3268.0,,0.0,1.0
339509,57701000,10016113,Пермский край,1,755772.16,0.0,,Электроснабжение,2540.0,,0.0,1.0
339559,57701000,10006890,Пермский край,1,1150836.84,0.0,21.09.2018,Электроснабжение,3769.0,,0.0,1.0
339640,57701000,10015973,Пермский край,1,941986.49,0.0,01.08.2018,Электроснабжение,3262.0,,0.0,1.0
341415,57825000,10007501,Пермский край,1,77118.21,0.0,,Электроснабжение,333.0,,0.0,1.0
339645,57701000,10009806,Пермский край,1,457299.32,0.0,20.09.2018,Электроснабжение,1593.0,,0.0,1.0
339648,57701000,10009807,Пермский край,1,919523.27,0.0,20.09.2018,Электроснабжение,3365.0,,0.0,1.0
339659,57701000,10008052,Пермский край,1,543293.14,0.0,21.09.2018,Электроснабжение,1979.0,,0.0,1.0
340147,57701000,10014934,Пермский край,1,2862946.89,0.0,,Электроснабжение,12495.0,,0.0,1.0
340163,57701000,10011683,Пермский край,1,739516.23,0.0,,Электроснабжение,3059.0,,0.0,1.0
340164,57701000,10009825,Пермский край,1,1721085.83,0.0,27.03.2018,Электроснабжение,4009.0,,0.0,1.0
340165,57701000,10009827,Пермский край,1,1304249.11,0.0,27.03.2018,Электроснабжение,4217.0,,0.0,1.0
340898,57642000,10016578,Пермский край,1,66094.65,0.0,,Электроснабжение,393.0,,0.0,1.0
340902,57642000,10015682,Пермский край,1,40941.31,0.0,,Электроснабжение,226.0,,0.0,1.0
340905,57642000,10016555,Пермский край,1,27769.1,0.0,,Электроснабжение,167.0,,0.0,1.0
340907,57642000,10016554,Пермский край,1,23070.69,0.0,,Электроснабжение,178.0,,0.0,1.0
340920,57646000,10001760,Пермский край,1,29800.98,0.0,,Электроснабжение,175.0,,0.0,1.0
340928,57646000,10016429,Пермский край,1,72030.05,0.0,,Электроснабжение,314.0,,0.0,1.0
340975,57646000,10001838,Пермский край,1,118749.7,0.0,,Электроснабжение,491.0,,0.0,1.0
340985,57646000,10001930,Пермский край,1,104466.91,0.0,,Электроснабжение,455.0,,0.0,1.0
340990,57646000,10001931,Пермский край,1,105186.48,0.0,,Электроснабжение,464.0,,0.0,1.0
341077,57646000,10001820,Пермский край,1,15968.37,0.0,,Электроснабжение,786.0,,0.0,1.0
341163,57646000,10001691,Пермский край,1,35794.15,0.0,,Электроснабжение,210.0,,0.0,1.0
341171,57646000,10002972,Пермский край,1,143633.25,0.0,,Электроснабжение,615.0,,0.0,1.0
341174,57646000,10003884,Пермский край,1,36900.9,0.0,,Электроснабжение,121.0,,0.0,1.0
341187,57650000,10016310,Пермский край,1,63292.05,0.0,,Электроснабжение,281.0,,0.0,1.0
341346,57657000,10006502,Пермский край,1,772155.33,0.0,,Электроснабжение,3528.8,,0.0,1.0
340755,57851000,10011970,Пермский край,1,357232.45,0.0,,Электроснабжение,1573.0,,0.0,1.0
339338,57701000,10001142,Пермский край,1,897348.04,0.0,,Электроснабжение,3113.0,,0.0,1.0
340745,57851000,10011969,Пермский край,1,146550.24,0.0,,Электроснабжение,660.0,,0.0,1.0
340733,57851000,10011967,Пермский край,1,143024.26,0.0,,Электроснабжение,646.0,,0.0,1.0
340169,57701000,10010873,Пермский край,1,850362.98,0.0,,Электроснабжение,3915.2,,0.0,1.0
340175,57701000,10008551,Пермский край,1,403903.1,0.0,,Электроснабжение,1525.0,,0.0,1.0
340306,57730000,10016744,Пермский край,1,96241.43,0.0,,Электроснабжение,462.0,,0.0,1.0
340595,57626000,10010167,Пермский край,1,0.0,0.0,,Электроснабжение,844.0,,0.0,
340688,57726000,10014412,Пермский край,1,358191.67,0.0,,Электроснабжение,1532.0,,0.0,1.0
340690,57726000,10014472,Пермский край,1,118022.67,0.0,,Электроснабжение,443.0,,0.0,1.0
340693,57726000,10014390,Пермский край,1,290941.08,0.0,,Электроснабжение,890.0,,0.0,1.0
340698,57726000,10013528,Пермский край,1,272430.5,0.0,,Электроснабжение,1042.0,,0.0,1.0
340703,57726000,10014436,Пермский край,1,130204.96,0.0,,Электроснабжение,589.0,,0.0,1.0
340706,57726000,10014393,Пермский край,1,126997.68,0.0,,Электроснабжение,518.0,,0.0,1.0
340708,57726000,10014443,Пермский край,1,129019.08,0.0,,Электроснабжение,452.0,,0.0,1.0
340712,57726000,10014394,Пермский край,1,517855.13,0.0,,Электроснабжение,1410.0,,0.0,1.0
340715,57726000,10014468,Пермский край,1,130609.24,0.0,,Электроснабжение,436.0,,0.0,1.0
340722,57851000,10011964,Пермский край,1,144939.03,0.0,,Электроснабжение,660.0,,0.0,1.0
340728,57851000,10011965,Пермский край,1,144425.31,0.0,,Электроснабжение,659.0,,0.0,1.0
340740,57851000,10011968,Пермский край,1,344811.84,0.0,,Электроснабжение,1472.0,,0.0,1.0
339280,57701000,10010963,Пермский край,1,182124.88,0.0,27.03.2018,Электроснабжение,471.0,,0.0,1.0
341417,57825000,10007508,Пермский край,1,26251.02,0.0,,Электроснабжение,112.0,,0.0,1.0
339278,57701000,10010961,Пермский край,1,321294.74,0.0,,Электроснабжение,1378.0,,0.0,1.0
338920,57701000,10015126,Пермский край,1,279556.98,0.0,,Электроснабжение,1133.0,,0.0,1.0
339268,57701000,10010955,Пермский край,1,279638.29,0.0,09.08.2018,Электроснабжение,924.0,,0.0,1.0
338968,57701000,10015168,Пермский край,1,1507095.54,0.0,,Электроснабжение,6732.0,,0.0,1.0
338977,57701000,10015170,Пермский край,1,1029205.8,0.0,,Электроснабжение,4399.0,,0.0,1.0
339004,57701000,10009849,Пермский край,1,261105.89,0.0,,Электроснабжение,2386.3,,0.0,1.0
339033,57701000,10012460,Пермский край,1,726857.96,0.0,30.08.2018,Электроснабжение,2349.0,,0.0,1.0
