,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1375224,5701000,54216,Приморский край,1,200713.28,264586.18,29.12.2017,Электроснабжение,250.7,"3226,05000",1055.3896290386917,-0.31822956607554814
1357855,5701000,55531,Приморский край,1,1968940.35,1968940.36,27.12.2017,Электроснабжение,1937.2,"3692,78000",1016.3846582696676,-5.078874029532294e-09
1350203,5705000,49409,Приморский край,1,744645.71,744645.71,16.05.2019,Электроснабжение,781.0,"442,83000",953.4516133162612,0.0
1421193,5648000,47714,Приморский край,1,3873037.3,4830114.2,27.07.2017,Электроснабжение,5268.0,"3873,04000",916.8781700835232,-0.24711275050204148
1420414,5653000,57386,Приморский край,1,1764169.13,1778276.15,26.06.2018,Электроснабжение,1941.5,"11563,58000",915.9289981972701,-0.00799641018545655
1423371,5723000,59477,Приморский край,1,1511573.54,1108309.77,19.09.2019,Электроснабжение,1252.9,"76,44000",884.5955543139914,0.26678408911550544
1423323,5723000,59452,Приморский край,1,1129755.71,1124106.93,19.09.2019,Электроснабжение,1271.0,"77,82000",884.427167584579,0.005000001283463332
1358455,5701000,55622,Приморский край,1,3456210.56,3627561.34,01.03.2018,Электроснабжение,4223.8,"12139,50000",858.8383304133718,-0.049577644945335675
1381847,5701000,55108,Приморский край,1,131271.46,167956.36,29.12.2017,Электроснабжение,203.8,"1479,06000",824.1234543670264,-0.27945830723601306
1360551,5701000,55848,Приморский край,1,3256260.36,3256260.36,26.12.2017,Электроснабжение,3977.1,"6039,13000",818.7524477634457,0.0
1427914,5723000,60228,Приморский край,1,1564543.12,1569176.65,11.04.2018,Электроснабжение,1947.3,"5902,41000",805.8217275201561,-0.0029615866387880667
1372544,5701000,53851,Приморский край,1,3078045.72,3078045.72,29.12.2017,Электроснабжение,3886.9,"4870,51000",791.902472407317,0.0
1381272,5701000,55025,Приморский край,1,575763.48,588164.18,,Электроснабжение,751.1,"232,55000",783.0704034083345,-0.021537837029886073
1357832,5701000,55528,Приморский край,1,1968957.2,1968957.2,16.10.2017,Электроснабжение,2515.9,"3759,55000",782.6055089629953,0.0
1381852,5701000,55109,Приморский край,1,213072.6,282146.71,29.12.2017,Электроснабжение,361.2,"2439,93000",781.1370708748617,-0.324181100714029
1423393,5723000,59491,Приморский край,1,1088096.27,996377.75,,Электроснабжение,1291.5,"71,98000",771.4887727448703,0.08429265178898189
1358463,5701000,55623,Приморский край,1,1523873.24,1661715.44,27.12.2017,Электроснабжение,2162.3,"5904,61000",768.4943994820329,-0.09045516148049161
1427853,5723000,60221,Приморский край,1,1716906.9,2997681.35,13.11.2018,Электроснабжение,3944.7,"9510,42000",759.9263188582149,-0.7459778104450511
1420589,5648000,47723,Приморский край,1,1541791.3,1566718.68,27.11.2018,Электроснабжение,2397.0,"3250,71000",653.6164705882353,-0.01616780429361606
1393058,5706000,49933,Приморский край,1,2511532.72,1632801.86,,Электроснабжение,2546.2,"113,76000",641.2700730500354,0.34987832449978995
1365392,5701000,52879,Приморский край,1,3068326.65,2402655.78,,Электроснабжение,3832.8,"19332,40000",626.866984971822,0.21694915370239348
1373352,5701000,53956,Приморский край,1,182309.29,182309.29,26.07.2017,Электроснабжение,291.07,"1680,55000",626.3417391005601,0.0
1400836,5634000,48355,Приморский край,1,2146556.88,2383201.42,05.12.2017,Электроснабжение,3846.6,"6873,14000",619.5605001819789,-0.11024377793333855
1363357,5701000,52591,Приморский край,1,850000.0,903767.32,,Электроснабжение,1494.6,"62,02000",604.6884249966546,-0.06325567058823524
1381331,5701000,55032,Приморский край,1,541542.97,541542.97,29.11.2017,Электроснабжение,903.0,"9047,97000",599.7153599114064,0.0
1360705,5701000,55857,Приморский край,1,1439198.68,1439198.68,22.11.2017,Электроснабжение,2440.9,"10300,48000",589.618042525298,0.0
1357739,5701000,55517,Приморский край,1,1884194.88,1884194.88,18.10.2017,Электроснабжение,3214.0,"10256,75000",586.2460734287492,0.0
1380946,5701000,54995,Приморский край,1,1316200.32,1492541.03,19.12.2017,Электроснабжение,2592.1,"9508,89000",575.8038000077158,-0.13397710615964595
1365175,5701000,52820,Приморский край,1,905772.79,905772.79,10.04.2018,Электроснабжение,1610.3,"967,49000",562.4869837918401,0.0
1356771,5701000,53435,Приморский край,1,537950.16,287154.18,,Электроснабжение,512.33,"121,24000",560.4867565826713,0.4662067207118221
1420844,5648000,47676,Приморский край,1,1488548.69,1488548.69,01.04.2016,Электроснабжение,2717.0,"1589,97000",547.8648104527051,0.0
1373952,5701000,54031,Приморский край,1,1310210.07,1310210.07,20.12.2017,Электроснабжение,2396.9,"1494,50000",546.6269222746047,0.0
1347179,5705000,48867,Приморский край,1,800000.0,1746825.5,12.09.2019,Электроснабжение,3205.2,"363,49000",544.9973480594035,-1.183531875
1386914,5720000,47954,Приморский край,1,576986.51,576986.51,27.12.2017,Электроснабжение,1071.0,"2720,95000",538.7362371615313,0.0
1433482,5655000,57130,Приморский край,1,988272.42,1018162.55,11.12.2017,Электроснабжение,1925.0,"10791,34000",528.9156103896104,-0.03024482864755044
