,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
565688,61620000,621000017,Рязанская область,1,0.0,0.0,,Электроснабжение,424.4,"0,00000",0.0,
596541,61627000,621400064,Рязанская область,1,0.0,0.0,,Электроснабжение,1176.8,"0,00000",0.0,
596531,61627000,621400156,Рязанская область,1,0.0,0.0,,Электроснабжение,5035.4,"0,00000",0.0,
596523,61627000,621400031,Рязанская область,1,0.0,0.0,,Электроснабжение,6175.0,"0,00000",0.0,
596514,61627000,621400155,Рязанская область,1,0.0,0.0,,Электроснабжение,4742.5,"0,00000",0.0,
596510,61627000,621400261,Рязанская область,1,0.0,0.0,,Электроснабжение,2170.4,"0,00000",0.0,
596507,61627000,621400030,Рязанская область,1,0.0,0.0,,Электроснабжение,6630.1,"0,00000",0.0,
596501,61627000,621400029,Рязанская область,1,0.0,0.0,,Электроснабжение,713.5,"0,00000",0.0,
596550,61627000,621400157,Рязанская область,1,0.0,0.0,,Электроснабжение,1282.26,"0,00000",0.0,
596493,61627000,621400154,Рязанская область,1,0.0,0.0,,Электроснабжение,3990.6,"0,00000",0.0,
596476,61627000,621400176,Рязанская область,1,0.0,0.0,,Электроснабжение,965.7,"0,00000",0.0,
596469,61627000,621400127,Рязанская область,1,0.0,0.0,,Электроснабжение,674.6,"1207,93444",0.0,
596457,61627000,621400126,Рязанская область,1,0.0,0.0,,Электроснабжение,448.9,"0,00000",0.0,
596444,61627000,621400023,Рязанская область,1,0.0,0.0,,Электроснабжение,638.1,"0,00000",0.0,
596441,61627000,621400123,Рязанская область,1,0.0,0.0,,Электроснабжение,253.8,"790,05438",0.0,
596437,61627000,621400122,Рязанская область,1,0.0,0.0,,Электроснабжение,486.6,"1092,56082",0.0,
596425,61626000,621300025,Рязанская область,1,0.0,0.0,,Электроснабжение,923.3,"0,00000",0.0,
596487,61627000,621400046,Рязанская область,1,0.0,0.0,,Электроснабжение,1415.6,"0,00000",0.0,
596421,61626000,621300024,Рязанская область,1,0.0,0.0,,Электроснабжение,944.5,"0,00000",0.0,
596556,61627000,621400032,Рязанская область,1,0.0,0.0,,Электроснабжение,1347.9,"0,00000",0.0,
596577,61627000,621400034,Рязанская область,1,0.0,0.0,,Электроснабжение,3902.2,"0,00000",0.0,
596706,61627000,621400062,Рязанская область,1,0.0,0.0,,Электроснабжение,2557.3,"0,00000",0.0,
596702,61627000,621400041,Рязанская область,1,0.0,0.0,,Электроснабжение,2568.1,"0,00000",0.0,
596691,61627000,621400040,Рязанская область,1,0.0,0.0,,Электроснабжение,2877.8,"0,00000",0.0,
596681,61627000,621400164,Рязанская область,1,0.0,0.0,,Электроснабжение,2592.3,"0,00000",0.0,
596667,61627000,621400163,Рязанская область,1,0.0,0.0,,Электроснабжение,791.48,"0,00000",0.0,
596661,61627000,621400162,Рязанская область,1,0.0,0.0,,Электроснабжение,762.0,"0,00000",0.0,
