,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6279447,67310000,673100728,Севастополь,1,740889.0,740889.0,12.11.2018,Электроснабжение,689.75,"607,19000",1074.14135556361,0.0
6282162,67304000,673040123,Севастополь,1,1007370.0,1007370.0,29.11.2018,Электроснабжение,1082.2,"838,62000",930.8538163001293,0.0
6279241,67310000,673100587,Севастополь,1,1199979.0,829160.0,28.05.2019,Электроснабжение,920.0,"2805,98000",901.2608695652174,0.3090212412050544
6277746,67310000,673100422,Севастополь,1,775812.51,515010.0,01.04.2019,Электроснабжение,594.8,"1721,38000",865.8540685944856,0.33616693033217526
6275014,67310000,673100278,Севастополь,1,468252.68,303000.0,01.04.2019,Электроснабжение,359.0,"678,94000",844.0111420612814,0.3529134739816118
6292868,67312000,673121125,Севастополь,1,709120.0,709100.0,15.04.2019,Электроснабжение,849.6,"1125,48000",834.6280602636534,2.8203971119133575e-05
6279474,67310000,673100729,Севастополь,1,594060.0,594060.0,23.11.2018,Электроснабжение,720.5,"1731,17000",824.5107564191534,0.0
6296582,67314000,673140300,Севастополь,1,492370.0,492370.0,01.12.2018,Электроснабжение,615.5,"1208,53000",799.9512591389115,0.0
6279181,67310000,673100607,Севастополь,1,473730.84,281410.0,12.04.2019,Электроснабжение,363.2,"490,14000",774.807268722467,0.40597069846666517
6272179,67310000,673100247,Севастополь,1,940157.46,555680.0,,Электроснабжение,720.8,"96,41000",770.9211986681465,0.40895007098066316
6279597,67310000,673100736,Севастополь,1,448760.0,448760.0,01.12.2018,Электроснабжение,624.2,"1651,94000",718.9362383851329,0.0
6279650,67310000,673100738,Севастополь,1,992591.33,523910.0,07.03.2019,Электроснабжение,761.0,"1035,85000",688.449408672799,0.47217955248510984
6294770,67314000,673140117,Севастополь,1,356710.0,356710.0,30.06.2019,Электроснабжение,535.0,"1177,80000",666.7476635514018,0.0
