,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5485095,8709000,200100054,Хабаровский край,1,5591054.06,5591054.06,,Электроснабжение,4405.5,"16777367,65000",1269.107719895585,0.0
5539608,8655000,1801100011,Хабаровский край,1,297624.32,297624.32,,Электроснабжение,329.8,"319583,00000",902.438811400849,0.0
5489662,8709000,200100659,Хабаровский край,1,1206758.0,1206758.0,07.09.2016,Электроснабжение,1416.2,"744454,63000",852.1098714870781,0.0
5487859,8709000,200100561,Хабаровский край,1,1603830.0,1603830.0,26.09.2017,Электроснабжение,2622.5,"1234762,61000",611.5653002859866,0.0
5481341,8617000,800103629,Хабаровский край,1,2183200.0,2183200.0,17.12.2014,Электроснабжение,3957.6,"5608223,40000",551.647463108955,0.0
5476552,8612000,600100035,Хабаровский край,1,462286.42,462286.42,,Электроснабжение,850.6,"374737,32000",543.4827415941688,0.0
5481105,8617000,800100023,Хабаровский край,1,2319967.38,2319967.38,01.12.2014,Электроснабжение,4521.5,"11587606,38000",513.0968439677098,0.0
5541199,8655000,1801800035,Хабаровский край,1,242015.64,242015.64,09.01.2017,Электроснабжение,502.5,"240275,00000",481.6231641791045,0.0
5476885,8612000,600100089,Хабаровский край,1,913403.62,913403.62,21.12.2018,Электроснабжение,1918.5,"972651,58000",476.103007557988,0.0
5539660,8655000,1801100018,Хабаровский край,1,657824.04,657824.04,03.12.2016,Электроснабжение,1381.85,"365195,84000",476.0459094691899,0.0
5481092,8617000,800100022,Хабаровский край,1,3120144.0,3120144.0,25.11.2014,Электроснабжение,6954.0,"7725765,96000",448.68334771354614,0.0
5476521,8612000,600100031,Хабаровский край,1,305291.96,305291.96,07.03.2018,Электроснабжение,682.0,"336222,69000",447.6421700879766,0.0
5476861,8612000,600100087,Хабаровский край,1,883552.14,883552.14,29.03.2018,Электроснабжение,2001.8,"4559065,78000",441.3788290538516,0.0
5476886,8612000,600100047,Хабаровский край,1,846823.96,846823.96,21.12.2018,Электроснабжение,1961.0,"820572,00000",431.8327180010199,0.0
5539646,8655000,1801100016,Хабаровский край,1,641682.82,641682.82,03.12.2016,Электроснабжение,1496.4,"404540,58000",428.8177091686714,0.0
5532025,8642000,1500100036,Хабаровский край,1,539419.3,539419.3,,Электроснабжение,1267.7,"94925,64000",425.510215350635,0.0
5476900,8612000,600100090,Хабаровский край,1,911371.64,911371.64,25.04.2018,Электроснабжение,2186.4,"4374478,84000",416.83664471276984,0.0
5532045,8642000,1500100038,Хабаровский край,1,539419.3,539419.3,,Электроснабжение,1295.1,"94262,90000",416.5078372326462,0.0
5481600,8617000,800103637,Хабаровский край,1,1878060.0,1878060.0,17.12.2014,Электроснабжение,4573.8,"6448484,04000",410.61261970352876,0.0
5481162,8617000,800100029,Хабаровский край,1,2577743.0,2577743.0,31.12.2014,Электроснабжение,6314.5,"13241563,83000",408.2259878058437,0.0
5493410,8709000,200100936,Хабаровский край,1,1275097.0,1275097.0,30.10.2017,Электроснабжение,3179.7,"875128,64000",401.0117306664151,0.0
5536373,8644000,1600100085,Хабаровский край,1,985385.73,985385.73,03.05.2018,Электроснабжение,2557.1,"2786758,00000",385.35283328770873,0.0
5481434,8617000,800103670,Хабаровский край,1,199714.41,199714.41,10.07.2018,Электроснабжение,522.1,"192860,36000",382.5213752154759,0.0
5494457,8709000,200101002,Хабаровский край,1,1002035.0,1002035.0,01.11.2017,Электроснабжение,2628.7,"687619,43000",381.1903222125005,0.0
5476253,8612000,600100005,Хабаровский край,1,1043470.0,1043470.0,,Электроснабжение,2755.4,"1191432,98000",378.7000072584743,0.0
5540464,8655000,1801600031,Хабаровский край,1,250777.19,250777.19,07.05.2018,Электроснабжение,662.3,"256883,46000",378.6459157481504,0.0
5521170,8701000,100100930,Хабаровский край,1,221376.56,221376.56,,Электроснабжение,589.6,"243192,10000",375.46906377204886,0.0
5538168,8655000,1801800059,Хабаровский край,1,193334.74,193334.74,09.01.2017,Электроснабжение,515.8,"162939,00000",374.82500969367976,0.0
5489691,8709000,200100660,Хабаровский край,1,879897.78,879897.78,05.09.2016,Электроснабжение,2389.2,"1223828,26000",368.281341034656,0.0
5501354,8701000,100101979,Хабаровский край,1,295887.29,295887.29,,Электроснабжение,814.2,"867623,99000",363.4086096782117,0.0
5476533,8612000,600100032,Хабаровский край,1,298869.22,298869.22,06.03.2018,Электроснабжение,849.4,"345158,09000",351.8592182717212,0.0
5476791,8612000,600100081,Хабаровский край,1,1040339.24,1040339.24,21.04.2016,Электроснабжение,2970.1,"1040339,24000",350.2707787616579,0.0
5481545,8617000,800103686,Хабаровский край,1,801573.49,801573.49,03.12.2014,Электроснабжение,2317.0,"3776191,49000",345.9531678895123,0.0
5538322,8655000,1800600018,Хабаровский край,1,197714.9,197714.9,20.11.2015,Электроснабжение,573.2,"157081,22000",344.9317864619679,0.0
5476104,8609000,500200004,Хабаровский край,1,1157929.4,1157929.4,24.10.2016,Электроснабжение,3358.0,"3458528,71000",344.82709946396665,0.0
5481230,8617000,800100143,Хабаровский край,1,803340.43,803340.43,31.10.2014,Электроснабжение,2339.0,"3215911,95000",343.45465156049596,0.0
5493173,8709000,200100062,Хабаровский край,1,932887.35,932887.35,,Электроснабжение,2746.7,"952823,98000",339.6393308333637,0.0
5475762,8609000,500100016,Хабаровский край,1,565400.54,565400.54,,Электроснабжение,1671.3,"3652830,00000",338.299850415844,0.0
5492141,8709000,200100818,Хабаровский край,1,741433.0,741433.0,20.11.2017,Электроснабжение,2220.2,"503269,26000",333.94874335645443,0.0
5540471,8655000,1801600032,Хабаровский край,1,332663.63,332663.63,30.05.2018,Электроснабжение,1000.8,"286545,49000",332.39771183053557,0.0
5488251,8709000,200100588,Хабаровский край,1,699457.0,699457.0,20.11.2017,Электроснабжение,2105.7,"670062,33000",332.17314907156765,0.0
5511602,8701000,100102076,Хабаровский край,1,1113300.82,1113300.82,,Электроснабжение,3373.6,"918324,38000",330.00380009485417,0.0
5475959,8609000,500100069,Хабаровский край,1,349357.88,349357.88,20.11.2017,Электроснабжение,1067.9,"1116531,54000",327.1447513812154,0.0
5512242,8701000,100100992,Хабаровский край,1,955036.47,955036.47,17.08.2018,Электроснабжение,3036.6,"1806507,38000",314.5084864651255,0.0
