,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2415650,14656000,300219,Белгородская область,21,133505.77,80429.37,15.11.2018,ИРД,6479.9,"8363,10863",12.412131360051852,0.39755884708204
2402521,14650000,270008,Белгородская область,21,93591.4,62649.91,28.11.2018,ИРД,815.96,"3231,14390",76.78061424579636,0.33060185016999416
2420077,14658000,310080,Белгородская область,21,55927.13,45163.95,09.11.2018,ИРД,945.1,"2239,61149",47.78748280605227,0.19245006850878993
2376372,14701000,120712,Белгородская область,20,902668.5,738485.02,28.12.2018,ИРД,39206.0,"30121,60788",18.836020507065246,0.18188679454306866
2366347,14610000,130003,Белгородская область,21,347605.12,285025.62,05.11.2018,ИРД,5288.0,"16841,13994",53.90045763993948,0.18003043223298898
2363900,14610000,130015,Белгородская область,21,251752.28,207064.83,09.11.2018,ИРД,4226.2,"12284,85510",48.99551133405897,0.1775056416569495
2411158,14740000,280080,Белгородская область,21,516466.02,449995.3,12.11.2018,ИРД,8196.88,"24577,50488",54.89836376767746,0.1287029880494365
2363899,14610000,130009,Белгородская область,21,165535.29,144280.28,12.11.2018,ИРД,2820.6,"8810,67773",51.15233638233,0.12840168401553534
2364562,14610000,130034,Белгородская область,21,98163.52,85571.68,09.11.2018,ИРД,1130.2,"4822,35860",75.7137497788002,0.12827412871910066
2364549,14610000,130024,Белгородская область,21,55582.91,48480.16,12.11.2018,ИРД,658.3,"2386,78514",73.64447820142793,0.1277865804435212
2395965,14730000,180142,Белгородская область,21,150456.3,132786.81,12.11.2018,ИРД,1460.18,"6077,02551",90.9386582476133,0.11743934949882452
2411325,14740000,280082,Белгородская область,21,448259.29,396462.62,05.11.2018,ИРД,6152.18,"19838,44262",64.44262359033708,0.11555068942352535
2362550,14610000,130392,Белгородская область,21,46971.05,41768.53,14.05.2019,ИРД,947.5,"1998,98333",44.082881266490766,0.11076013842568995
2362194,14605000,110024,Белгородская область,21,106800.45,95380.85,09.11.2018,ИРД,1220.3,"4648,37847",78.1618044743096,0.10692464310777709
2375735,14701000,120343,Белгородская область,21,270771.18,242684.28,12.11.2018,ИРД,3611.45,"13391,11060",67.19857121100944,0.103729281676137
2392494,14730000,180064,Белгородская область,21,103708.07,94251.04,12.11.2018,ИРД,1070.72,"5058,98303",88.02585176329946,0.09118894990524858
