,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5650057,76701000,2363,Забайкальский край,20,886286.8,308174.34,08.05.2019,ИРД,12264.6,"265,45000",25.127141529279392,0.652285986883704
5650331,76701000,2394,Забайкальский край,20,1016268.8,423912.61,,ИРД,16029.4,"0,00000",26.445943703444918,0.5828735370012343
5650592,76701000,2556,Забайкальский край,20,413036.0,203353.18,26.07.2019,ИРД,6620.5,"0,00000",30.715683105505626,0.5076623345180565
5654136,76701000,2506,Забайкальский край,20,394485.47,199088.38,26.06.20119,ИРД,4604.0,"0,00000",43.24248045178106,0.49532138661532954
5655943,76701000,2707,Забайкальский край,20,261562.94,132408.35,26.07.2019,ИРД,2116.2,"0,00000",62.56892070692752,0.49378015861115493
5652358,76701000,3648,Забайкальский край,20,732508.0,371383.62,08.05.2019,ИРД,9814.6,"11245,33000",37.83991400566503,0.49299718228333345
5661162,76701000,3257,Забайкальский край,20,606285.8,338367.83,22.07.2019,ИРД,7546.5,"5616,30000",44.83771682236799,0.441900453548475
5651505,76701000,3435,Забайкальский край,20,1110407.48,643587.67,03.06.2019,ИРД,11706.0,"536,32000",54.97929865026482,0.4204040574366447
5649329,76701000,2217,Забайкальский край,20,310514.1,183921.44,26.07.2019,ИРД,2865.0,"0,00000",64.19596509598604,0.40768731597051466
5660428,76701000,3183,Забайкальский край,20,113247.26,67207.4,26.07.2019,ИРД,1272.8,"898,56000",52.80279698302954,0.4065428161352425
5664221,76701000,3714,Забайкальский край,20,361899.6,219122.21,26.07.2019,ИРД,4604.0,"0,00000",47.59387706342311,0.39452209949941913
5650431,76701000,2414,Забайкальский край,20,169947.44,105150.26,13.03.2019,ИРД,8104.2,"87,63000",12.974785913476962,0.3812777644664727
5674244,76628000,1284,Забайкальский край,20,350497.71,219353.44,06.08.2019,ИРД,5860.6,"182,80000",37.42849537590008,0.37416583977110723
5649473,76701000,2196,Забайкальский край,20,306108.3,193303.21,26.07.2019,ИРД,5150.22,"0,00000",37.5330005320161,0.36851366003470015
5655187,76701000,2614,Забайкальский край,20,333653.9,211306.09,,ИРД,4229.6,"4456,18000",49.95888263665594,0.36669078347353357
5655298,76701000,2622,Забайкальский край,20,648110.8,456087.52,03.06.2019,ИРД,10114.2,"7473,34000",45.093781020743116,0.29628156173296294
5649391,76701000,2221,Забайкальский край,20,241052.14,174549.88,26.07.2019,ИРД,2000.4,"0,00000",87.25748850229954,0.27588330060044275
5664631,76701000,3741,Забайкальский край,20,417896.5,309806.8,03.06.2019,ИРД,7242.6,"5414,20000",42.77563305995084,0.2586518432195532
5678766,76650000,112,Забайкальский край,20,291618.13,221267.84,08.05.2019,ИРД,4055.1,"0,00000",54.56532268008187,0.2412411395683801
5653847,76701000,2472,Забайкальский край,20,463224.4,358949.75,,ИРД,7256.8,"0,00000",49.46391660235916,0.22510612567040947
5661942,76701000,3381,Забайкальский край,20,486346.2,379912.99,25.05.2019,ИРД,7567.0,"1240,01000",50.2065534557949,0.2188424829884556
5652382,76701000,3650,Забайкальский край,20,339894.88,280413.24,26.02.2019,ИРД,14611.2,"233,68000",19.191663929040736,0.17500010591509943
5649451,76701000,2225,Забайкальский край,20,84973.72,70811.43,23.04.2019,ИРД,5790.4,"70,81000",12.229108524454269,0.16666670589448135
5649196,76701000,2204,Забайкальский край,20,235806.0,207935.69,08.05.2019,ИРД,2952.6,"178,73000",70.42460543250017,0.1181916914751957
5674264,76628000,1286,Забайкальский край,20,212926.71,188638.29,06.08.2019,ИРД,2659.7,"157,20000",70.92464939654849,0.11406939035501927
5664125,76701000,3705,Забайкальский край,20,218002.59,193857.36,26.07.2019,ИРД,2757.9,"0,00000",70.29165669531164,0.11075661990988277
5650646,76701000,846,Забайкальский край,20,239614.0,214660.75,08.05.2019,ИРД,2982.5,"184,69000",71.97342833193629,0.1041393658133498
5649343,76701000,2218,Забайкальский край,20,181544.3,166346.57,26.07.2019,ИРД,2259.7,"0,00000",73.61444882063992,0.08371361700697837
5651605,76701000,3440,Забайкальский край,20,282668.3,261000.09,03.06.2019,ИРД,3518.4,"1945,50000",74.18147169167803,0.07665596036060639
5659561,76701000,5305,Забайкальский край,20,80503.15,74520.36,26.07.2019,ИРД,761.0,"0,00000",97.92425755584757,0.07431746459610579
5664544,76701000,3744,Забайкальский край,20,276586.5,262719.83,03.06.2019,ИРД,4291.5,"218,83000",61.218648491203545,0.05013502105128046
5656618,76701000,2801,Забайкальский край,20,396148.5,379574.36,03.06.2019,ИРД,6402.2,"316,31000",59.288113460997785,0.0418381995640524
5651861,76701000,2765,Забайкальский край,20,176498.95,172417.67,25.05.2019,ИРД,2522.9,"143,68000",68.3410638550874,0.023123536995545858
5656333,76701000,2758,Забайкальский край,20,269942.4,267797.32,25.05.2019,ИРД,3360.2,"223,16000",79.69683947384085,0.007946435980416623
5664989,76701000,4066,Забайкальский край,20,255433.0,253745.86,03.06.2019,ИРД,4290.2,"211,45000",59.14546175003496,0.006605019711626978
5649415,76701000,2223,Забайкальский край,20,212434.3,211372.13,04.04.2019,ИРД,12164.6,"176,14000",17.37600332111208,0.004999992938993297
5652485,76701000,3644,Забайкальский край,20,127460.58,126823.28,04.04.2019,ИРД,8268.5,"105,69000",15.33812420632521,0.00499997724786756
5663764,76701000,3658,Забайкальский край,20,272802.5,272649.86,03.06.2019,ИРД,4608.1,"227,21000",59.167522406197776,0.0005595256641710174
5654570,76701000,2558,Забайкальский край,20,265250.6,265250.54,03.06.2019,ИРД,3301.6,"921,65000",80.33999878846619,2.2620118483302846e-07
5664562,76701000,3745,Забайкальский край,20,42486.86,42486.86,26.04.2019,ИРД,3057.3,"35,40000",13.896856703627384,0.0
5675867,76638000,1861,Забайкальский край,20,80653.54,80653.54,29.12.2018,ИРД,509.0,"80,65000",158.45489194499015,0.0
5662338,76701000,3464,Забайкальский край,20,335882.0,335882.0,14.12.2016,ИРД,2880.9,"3943,86000",116.5892603006005,0.0
5669628,76612000,674,Забайкальский край,20,99117.45,99117.45,29.12.2018,ИРД,428.0,"99,12000",231.58282710280372,0.0
5662057,76701000,3445,Забайкальский край,20,104883.87,104883.87,26.07.2019,ИРД,1748.6,"0,00000",59.98162530024019,0.0
5670670,76620000,5237,Забайкальский край,20,84973.72,84973.72,31.01.2019,ИРД,4252.2,"2145,80000",19.983472085038333,0.0
5675441,76632000,4099,Забайкальский край,20,252466.9,252466.9,24.04.2018,ИРД,2967.6,"3417,29000",85.07443725569483,0.0
5661785,76701000,3365,Забайкальский край,20,167645.48,167645.48,,ИРД,2218.6,"0,00000",75.5636347246011,0.0
5661625,76701000,3340,Забайкальский край,20,172862.29,172862.29,11.09.2018,ИРД,10545.06,"8707,57000",16.392727020993718,0.0
5662372,76701000,3467,Забайкальский край,20,219860.18,219860.18,29.06.2018,ИРД,4608.1,"3201,72000",47.71167726394826,0.0
5676287,76640000,1935,Забайкальский край,20,157642.18,157642.18,12.04.2018,ИРД,2995.3,"2519,03000",52.62984675992387,0.0
5681102,76654000,1554,Забайкальский край,20,219249.24,219249.24,22.05.2018,ИРД,2772.3,"219,25000",79.08568336760091,0.0
5660223,76701000,3144,Забайкальский край,20,51289.06,51289.06,26.07.2019,ИРД,685.2,"0,00000",74.85268534734384,0.0
5659902,76701000,3130,Забайкальский край,20,160934.38,160934.38,04.05.2018,ИРД,3233.5,"2945,19000",49.77095407453224,0.0
5659809,76701000,3122,Забайкальский край,20,42740.88,42740.88,26.07.2019,ИРД,959.9,"822,44000",44.5263881654339,0.0
5662347,76701000,3465,Забайкальский край,20,315183.0,315183.0,14.12.2016,ИРД,2852.6,"5633,58000",110.48972866858306,0.0
5663139,76701000,3576,Забайкальский край,20,22270.25,22270.25,26.07.2019,ИРД,552.2,"390,67000",40.33004346251358,0.0
5664430,76701000,3735,Забайкальский край,20,43440.28,43440.28,09.08.2018,ИРД,2990.0,"2970,06000",14.528521739130435,0.0
5663202,76701000,3557,Забайкальский край,20,84973.72,84973.72,26.04.2019,ИРД,4896.28,"70,81000",17.354750953785324,0.0
5663311,76701000,3592,Забайкальский край,20,129822.95,129822.95,31.07.2018,ИРД,6599.14,"6558,73000",19.672707352776268,0.0
