,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6091319,53720000,1002207,Оренбургская область,64,9611.71,59982.62,,ИРД,2753.0,,21.788092989466037,524.0577379051178
6091335,53720000,1002207,Оренбургская область,64,9611.71,59491.82,,ИРД,2753.0,,21.60981474754813,518.9514664924349
6069322,53605000,1007624,Оренбургская область,64,10503.18,50323.82,,ИРД,408.0,,123.34269607843137,379.12936843889185
6068131,53603000,1000091,Оренбургская область,64,13107.48,54979.31,,ИРД,874.6,,62.86223416418934,319.44988662961913
6068105,53603000,1000089,Оренбургская область,64,13253.6,55108.58,,ИРД,878.2,,62.75174219995445,315.80083901732354
6068392,53604000,1007527,Оренбургская область,64,15765.6,58669.87,05.06.2019,ИРД,845.4,"58,67000",69.39894724390821,272.1385167706906
6068711,53604000,1007576,Оренбургская область,64,16322.63,60491.07,05.06.2019,ИРД,911.8,"60,49000",66.3424764202676,270.5963438489998
6068598,53604000,1007559,Оренбургская область,64,16178.96,59889.21,05.06.2019,ИРД,764.6,"59,89000",78.3275045775569,270.1672418993557
6159671,53727000,1007292,Оренбургская область,64,7589.81,28012.51,19.08.2019,ИРД,4814.9,"2433,56000",5.817879914432283,269.0805171670964
6159674,53727000,1007292,Оренбургская область,64,7589.81,28007.95,19.08.2019,ИРД,4814.9,"2433,56000",5.816932854264887,269.0204366117202
6068405,53604000,1007529,Оренбургская область,64,16247.01,59847.41,05.06.2019,ИРД,876.2,"59,85000",68.30336681123032,268.35953200004184
6159870,53727000,1007307,Оренбургская область,64,7589.81,27741.02,19.08.2019,ИРД,4551.1,"278,22000",6.095453846322867,265.503484276945
6159869,53727000,1007307,Оренбургская область,64,7589.81,27736.44,19.08.2019,ИРД,4551.1,"278,22000",6.094447496209707,265.443140210361
6160468,53727000,1007360,Оренбургская область,64,7589.81,24530.02,19.08.2019,ИРД,920.9,"42,45000",26.637007275491367,223.19675986618898
6069279,53605000,1007618,Оренбургская область,64,18036.55,56303.34,,ИРД,776.5,,72.50913071474565,212.16247009544506
6069360,53605000,1007630,Оренбургская область,64,18495.28,56969.4,,ИРД,794.4,,71.71374622356495,208.02128975608915
6067949,53603000,1000069,Оренбургская область,64,23498.44,68246.95,,ИРД,2424.6,,28.147715087024665,190.4318329216748
6142667,53615000,1009209,Оренбургская область,64,21124.14,56625.0,25.04.2019,ИРД,921.9,"1343,02000",61.42206313049138,168.05824994532324
6069391,53605000,1007635,Оренбургская область,64,20546.38,52090.94,,ИРД,288.2,,180.74580152671757,153.5285534483447
6148921,53630000,1008952,Оренбургская область,64,35011.68,82491.0,,ИРД,2142.0,"753,61000",38.51120448179272,135.60994502406052
6149115,53630000,1008968,Оренбургская область,64,35567.1,82351.66,,ИРД,2120.3,"20,86000",38.83962646795265,131.53886597445396
6134393,53723000,1006279,Оренбургская область,64,27117.35,60166.87,,ИРД,560.6,,107.32584730645736,121.87592076659408
6149420,53630000,1008992,Оренбургская область,64,48633.41,91087.81,,ИРД,3556.3,"1709,94000",25.613083823074543,87.29472187946514
6149435,53630000,1008992,Оренбургская область,64,48633.41,89370.01,,ИРД,3556.3,"1709,94000",25.130053707504988,83.76258214260524
6136129,53723000,1006437,Оренбургская область,64,29566.65,51921.28,,ИРД,1836.7,,28.268786410409973,75.60758489717298
6067872,53603000,1000061,Оренбургская область,64,40515.3,68700.41,,ИРД,1271.1,,54.04799779718355,69.5665834882131
6135676,53723000,1006351,Оренбургская область,64,49570.8,82537.57,,ИРД,4080.1,,20.22930075243254,66.50441388882165
6144777,53622000,1009388,Оренбургская область,64,33975.3,54828.61,16.07.2019,ИРД,540.0,"54,83000",101.53446296296296,61.377853911518066
6067731,53603000,1000047,Оренбургская область,64,36641.05,54710.4,28.08.2019,ИРД,1155.2,"54,71000",47.3601108033241,49.31449835635169
6067952,53603000,1000070,Оренбургская область,64,37114.5,54831.34,,ИРД,1415.9,,38.7254325870471,47.73562893208854
6138081,53723000,1006659,Оренбургская область,64,65676.74,93670.79,,ИРД,3782.6,,24.763599111722094,42.62399443090506
6068415,53604000,1007531,Оренбургская область,64,41038.5,58126.91,16.07.2019,ИРД,633.8,"58,13000",91.71175449668667,41.639947853844575
6149225,53630000,1008977,Оренбургская область,64,77927.44,109522.29,,ИРД,6349.7,"452,03000",17.248419610375294,40.54393420340767
6132934,53723000,1006137,Оренбургская область,64,73862.64,102848.68,,ИРД,6320.3,,16.272752875654636,39.24316812938178
6073162,53713000,1001190,Оренбургская область,64,39547.98,54430.15,,ИРД,650.6,"198,25000",83.66146633876421,37.63067039075067
6097328,53701000,1002754,Оренбургская область,64,73550.15,95256.42,,ИРД,4128.3,"3436,47000",23.074006249545818,29.51220357810285
6080467,53712000,1000726,Оренбургская область,64,78877.35,101906.12,,ИРД,700.7,"1742,50000",145.43473669187952,29.195668972144716
6138623,53723000,1006716,Оренбургская область,64,41182.38,52723.69,,ИРД,803.1,,65.65021790561573,28.024873744548053
6138627,53723000,1006717,Оренбургская область,64,41725.2,52951.22,,ИРД,812.0,,65.21086206896553,26.904652344386616
6092258,53720000,1002288,Оренбургская область,64,79026.19,98423.88,,ИРД,555.3,,177.2445164775797,24.54590054259227
