,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5949442,87636000,8763600005165,Республика Коми,51,179520.0,179520.0,,ИРД,453.2,"111698,00000",396.11650485436894,0.0
5950414,87640000,8764000005464,Республика Коми,64,64000.0,64000.0,,ИРД,359.7,,177.9260494856825,0.0
5950419,87640000,8764000005463,Республика Коми,64,64000.0,64000.0,,ИРД,372.6,,171.76596886741814,0.0
5953314,87616000,8761600001752,Республика Коми,64,75000.0,75000.0,,ИРД,1840.7,,40.74536860976802,0.0
5922523,87723000,8772300005645,Республика Коми,20,,,,ИРД,8943.0,,,
5949073,87636000,8763600005158,Республика Коми,52,,,,ИРД,6555.4,,,
5949076,87636000,8763600005158,Республика Коми,51,,,,ИРД,6555.4,,,
5949079,87636000,8763600005171,Республика Коми,52,,,,ИРД,1816.0,,,
5949080,87636000,8763600005171,Республика Коми,51,,,,ИРД,1816.0,,,
5949087,87636000,8763600005309,Республика Коми,52,,,,ИРД,3416.2,,,
5949091,87636000,8763600005309,Республика Коми,51,,,,ИРД,3416.2,,,
5949098,87636000,8763600005159,Республика Коми,52,,,,ИРД,6137.5,,,
5949099,87636000,8763600005159,Республика Коми,51,,,,ИРД,6137.5,,,
5949108,87636000,8763600005174,Республика Коми,51,,,,ИРД,4167.6,,,
5949114,87636000,8763600005174,Республика Коми,52,,,,ИРД,4167.6,,,
5949121,87636000,8763600005166,Республика Коми,52,,,,ИРД,4297.6,,,
5949122,87636000,8763600005166,Республика Коми,51,,,,ИРД,4297.6,,,
5949128,87636000,8763600005177,Республика Коми,52,,,,ИРД,34868.4,,,
5949129,87636000,8763600005177,Республика Коми,51,,,,ИРД,34868.4,,,
5949135,87636000,8763600005175,Республика Коми,52,,,,ИРД,5889.4,,,
5949137,87636000,8763600005175,Республика Коми,51,,,,ИРД,5889.4,,,
5949150,87636000,8763600005186,Республика Коми,51,,,,ИРД,6132.5,,,
5949151,87636000,8763600005186,Республика Коми,52,,,,ИРД,6132.5,,,
5949154,87636000,8763600005170,Республика Коми,52,,,,ИРД,1779.0,,,
5949163,87636000,8763600005170,Республика Коми,51,,,,ИРД,1779.0,,,
5949166,87636000,8763600005187,Республика Коми,51,,,,ИРД,640.0,,,
5949167,87636000,8763600005187,Республика Коми,52,,,,ИРД,640.0,,,
5949175,87636000,8763600005226,Республика Коми,52,,,,ИРД,648.2,,,
5949179,87636000,8763600005226,Республика Коми,51,,,,ИРД,648.2,,,
5949182,87636000,8763600005208,Республика Коми,51,,,,ИРД,655.8,,,
5949190,87636000,8763600005208,Республика Коми,52,,,,ИРД,655.8,,,
5949192,87636000,8763600005242,Республика Коми,52,,,,ИРД,659.1,,,
5949193,87636000,8763600005242,Республика Коми,51,,,,ИРД,659.1,,,
5949200,87636000,8763600005213,Республика Коми,52,,,,ИРД,642.0,,,
5949203,87636000,8763600005213,Республика Коми,51,,,,ИРД,642.0,,,
5949213,87636000,8763600005243,Республика Коми,52,,,,ИРД,637.7,,,
5949214,87636000,8763600005243,Республика Коми,51,,,,ИРД,637.7,,,
5949219,87636000,8763600005222,Республика Коми,52,,,,ИРД,324.0,,,
5949220,87636000,8763600005222,Республика Коми,51,,,,ИРД,324.0,,,
5949229,87636000,8763600005190,Республика Коми,52,,,,ИРД,671.0,,,
5949230,87636000,8763600005190,Республика Коми,51,,,,ИРД,671.0,,,
