,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4036605,60601000,60201825205022,Ростовская область,21,1175.48,0.0,,ИРД,513.9,"0,00000",0.0,-100.0
4150012,60701000,60401372205393,Ростовская область,21,40100.92,0.0,,ИРД,1040.74,"1194,04008",0.0,-100.0
4150182,60701000,60401378205587,Ростовская область,21,3526.45,0.0,,ИРД,4291.1,"7860,88751",0.0,-100.0
4150156,60701000,60401368205647,Ростовская область,21,1827.26,0.0,,ИРД,737.6,"71,75500",0.0,-100.0
4150148,60701000,60401368205627,Ростовская область,21,5870.55,0.0,,ИРД,377.8,"143,18300",0.0,-100.0
4150137,60701000,60401372205343,Ростовская область,21,16052.7,0.0,,ИРД,269.6,"2976,03031",0.0,-100.0
4150136,60701000,60401372205343,Ростовская область,21,3521.86,0.0,,ИРД,269.6,"2976,03031",0.0,-100.0
4150135,60701000,60401372205343,Ростовская область,21,22174.92,0.0,,ИРД,269.6,"2976,03031",0.0,-100.0
4150134,60701000,60401372205343,Ростовская область,21,293.88,0.0,,ИРД,269.6,"2976,03031",0.0,-100.0
4150118,60701000,60401372205466,Ростовская область,21,7415.23,0.0,,ИРД,1070.6,"2943,06534",0.0,-100.0
4150117,60701000,60401372205466,Ростовская область,21,28454.98,0.0,,ИРД,1070.6,"2943,06534",0.0,-100.0
4150066,60701000,60401372205337,Ростовская область,21,6605.25,0.0,,ИРД,1106.0,"6109,47739",0.0,-100.0
4150065,60701000,60401372205337,Ростовская область,21,30489.94,0.0,,ИРД,1106.0,"6109,47739",0.0,-100.0
4150064,60701000,60401372205337,Ростовская область,21,41875.65,0.0,,ИРД,1106.0,"6109,47739",0.0,-100.0
4150054,60701000,60401372205377,Ростовская область,21,2825.61,0.0,,ИРД,510.4,"73,69600",0.0,-100.0
4150044,60701000,60401372205404,Ростовская область,21,13888.53,0.0,,ИРД,402.1,"2474,22250",0.0,-100.0
4150042,60701000,60401372205404,Ростовская область,21,18919.16,0.0,,ИРД,402.1,"2474,22250",0.0,-100.0
4150041,60701000,60401372205404,Ростовская область,21,4764.63,0.0,,ИРД,402.1,"2474,22250",0.0,-100.0
4150020,60701000,60401372205376,Ростовская область,21,4206.99,0.0,,ИРД,883.83,"3259,85854",0.0,-100.0
4150191,60701000,60401378205587,Ростовская область,21,67247.29,0.0,,ИРД,4291.1,"7860,88751",0.0,-100.0
4150192,60701000,60401378205587,Ростовская область,21,14320.53,0.0,,ИРД,4291.1,"7860,88751",0.0,-100.0
4150197,60701000,60401378205110,Ростовская область,21,9165.05,0.0,,ИРД,1309.6,"337,38988",0.0,-100.0
4150581,60701000,60401364205223,Ростовская область,21,2684.55,0.0,,ИРД,140.2,"283,50951",0.0,-100.0
4150626,60701000,60401364205213,Ростовская область,21,3751.92,0.0,,ИРД,239.9,"217,45900",0.0,-100.0
4150625,60701000,60401364205213,Ростовская область,21,2201.52,0.0,,ИРД,239.9,"217,45900",0.0,-100.0
4150608,60701000,60401364205125,Ростовская область,21,14200.9,0.0,,ИРД,318.7,"260,32078",0.0,-100.0
4150607,60701000,60401364205125,Ростовская область,21,5377.89,0.0,,ИРД,318.7,"260,32078",0.0,-100.0
4150591,60701000,60401364205259,Ростовская область,21,1220.71,0.0,,ИРД,369.7,"907,44160",0.0,-100.0
4150590,60701000,60401364205259,Ростовская область,21,3667.52,0.0,,ИРД,369.7,"907,44160",0.0,-100.0
